Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,07.01.2009,2009,withdrawn,approved,24.09.2009,2009,Infectious and parasitic diseases,nevirapine-teva-epar-public-assessment-report_en.pdf,Small molecule,Nevirapine Teva,"treatment of HIV-1 infected adults, adolescents, and children of any age in combination with other anti-retroviral medicinal products",<HIV Infections>,no,"treatment of HIV-1 infected adults, adolescents, and children of any age in combination with other anti-retroviral medicinal products",<Human Immunodeficiency Virus>,Teva Pharma B.V.,Teva,Not reported,nevirapine,yes,no,tablet,EMEA/H/C/001119,Not reported
Intratumoural,Not reported,Not reported,withdrawn,withdrawn,Not reported,Not reported,Neoplasms,contusugene-ladenovec-gendux-withdrawal-assessment-report_en.pdf,Cell and gene therapy,Contusugene Ladenovec Gendux,NA,Not Reported,no,Treatment of adult patients with recurrent or refractory squamous cell carcinoma of the head and neck as monotherapy,<Squamous Cell Carcinoma of Head and Neck>,Gendux Molecular Ltd,Gendux,Not reported,Contusugene Ladenovec,no,Not reported,Sterile suspension for injection,EMEA/H/C/1041,NA
intravenous,03.11.2017,2017,authorised,approved,18.10.2018,2018,Neoplasms; Diseases of the digestive system,ogivri-epar-public-assessment-report_en.pdf,Biologics,Ogivri,Breast cancer; Metastatic breast cancer; Early breast cancer; Metastatic gastric cancer,<Breast Neoplasms>; <Gastric Neoplasms>,no,Breast cancer; Metastatic breast cancer; Early breast cancer; Metastatic gastric cancer,<Breast Neoplasms>; <Stomach Neoplasms>,MYLAN S.A.S,Mylan,EMA/810499/2018,trastuzumab,no,no,powder for concentrate for solution for infusion,EMEA/H/C/004916/0000,NA
oral,06.03.2023,2023,authorised,approved,25.07.2024,2024,Neoplasms; Diseases of the genitourinary system,axitinib-accord-epar-public-assessment-report_en.pdf,Small molecule,Axitinib Accord,Treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of prior treatment with sunitinib or a cytokine.,<Renal Cell Carcinoma>,no,Treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of prior treatment with sunitinib or a cytokine.,<Renal Cell Carcinoma>,Accord Healthcare S.L.U.,Accord,EMA/372021/2024,axitinib,yes,no,film-coated tablet,EMEA/H/C/006206/0000,NA
oral,Not reported,Not reported,withdrawn,withdrawn,20.03.2014,2014,Infectious and parasitic diseases,faldaprevir-boehringer-ingelheim-withdrawal-assessment-report_en.pdf,Small molecule,Faldaprevir,NA,Not Reported,no,"treatment of chronic genotype-1 hepatitis C virus (HCV) infection in adult patients with compensated liver disease including cirrhosis, and patients with human immunodeficiency virus (HIV)/HCV co-infection",<Hepatitis C>; <Liver Diseases>; <Cirrhosis>; <HIV Infections>,Boehringer Ingelheim,Boehringer Ingelheim,EMA/519229/2014,Faldaprevir,no,no,soft gelatin capsule,EMEA/H/C/03720,NA
Not applicable,05.12.2013,2013,authorised,approved,23.04.2015,2015,Neoplasms,lumark-epar-public-assessment-report_en.pdf,Other,Lumark,NA,Not Reported,no,To be used only for the radiolabelling of carrier molecules which have been specifically developed for radiolabelling with this radionuclide,Not Reported,I.D.B. Radiopharmacy B.V.,I.D.B.,EMA/427491/2015,"lutetium, isotope of mass 177",yes,no,"Radiopharmaceutical precursor, solution",EMEA/H/C/002749/0000,Not reported
oral,31.10.2007,2007,authorised,approved,30.09.2008,2008,Diseases of the circulatory system,xarelto-epar-public-assessment-report_en.pdf,Small molecule,Xarelto,Prevention of venous thromboembolism (VTE) in adult patients undergoing elective hip or knee replacement surgery.,<Venous Thromboembolism>,no,Prevention of venous thromboembolism (VTE) in patients undergoing major orthopaedic surgery of the lower limbs.,<Venous Thromboembolism>,Bayer HealthCare AG,Bayer,Not reported,rivaroxaban,no,no,film-coated tablet,EMEA/H/C/000944,NA
Intravenous,Not reported,Not reported,NA,refused,Not reported,Not reported,Neoplasms; Diseases of the blood and blood-forming organs,doxorubicin-sun-withdrawal-assessment-report_en.pdf,Biologics,Doxorubicin SUN,NA,Not Reported,no,"Metastatic breast cancer, advanced ovarian cancer, progressive multiple myeloma",<Breast Neoplasms>; <Ovarian Neoplasms>; <Multiple Myeloma>,Not reported,Not Reported,EMA/588790/2011,Doxorubicin,yes,no,Concentrate for solution for infusion,EMEA/H/C/002049,Not reported
Intravenous,04.06.2010,2010,authorised,approved,19.05.2011,2011,Diseases of the musculoskeletal system and connective tissue,benlysta-epar-public-assessment-report_en.pdf,Biologics,Benlysta,Add-on therapy in adult patients with active autoantibody-positive systemic lupus erythematosus (SLE) with a high degree of disease activity despite standard therapy,<Systemic Lupus Erythematosus>,no,"treatment of active, autoantibody-positive systemic lupus erythematosus (SLE)",<Systemic Lupus Erythematosus>,Glaxo Group Limited,Glaxo,EMA/002015/2011,belimumab,no,no,Powder for concentrate for solution for infusion,EMEA/H/C/002015,NA
oral,30.07.2019,2019,authorised,approved,30.01.2020,2020,Diseases of the respiratory system,budesonideformoterol-teva-pharma-bv-epar-public-assessment-report_en.pdf-0.pdf,Small molecule,Budesonide/Formoterol Teva Pharma B.V.,Regular treatment of asthma and symptomatic treatment of COPD,"<Asthma>; <Pulmonary Disease, Chronic Obstructive>",no,Regular treatment of asthma and symptomatic treatment of COPD,"<Asthma>; <Pulmonary Disease, Chronic Obstructive>",Teva Pharma B.V.,Teva,EMA/83618/2020,budesonide / formoterol fumarate dihydrate,yes,no,inhalation powder,EMEA/H/C/004882/0000,NA
intravenous; oral,16.07.2014,2014,authorised,approved,23.07.2015,2015,Infectious and parasitic diseases,cresemba-epar-public-assessment-report_en.pdf,Small molecule,Cresemba,treatment of invasive aspergillosis; mucormycosis in patients for whom amphotericin B is inappropriate,<Aspergillosis>; <Mucormycosis>,no,treatment of invasive aspergillosis; treatment of mucormycosis,<Aspergillosis>; <Mucormycosis>,Basilea Medical Ltd,Basilea,EMA/596950/2015,isavuconazole,no,yes,powder for concentrate for solution for infusion; hard capsules,EMEA/H/C/002734/0000,NA
intramuscular,11.03.2019,2019,authorised,approved,10.12.2020,2020,Infectious and parasitic diseases,heplisav-b-epar-public-assessment-report_en.pdf,Vaccine,Heplisav B,prevention of infection caused by all known subtypes of hepatitis B virus in adults 18 years of age and older,<Hepatitis B>,no,prevention of infection caused by all known subtypes of hepatitis B virus in adults 18 years of age and older,<Hepatitis B>,Dynavax GmbH,Dynavax,EMA/1767/2021,"Hepatitis B vaccine (recombinant, adjuvanted)",no,no,solution for injection,EMEA/H/C/005063/0000,NA
oral,31.07.2014,2014,authorised,approved,25.06.2015,2015,Diseases of the nervous system; Mental and behavioural disorders,pregabalin-accord-epar-public-assessment-report_en.pdf,Small molecule,Pregabalin Accord,adjunctive therapy in adults with partial seizures with or without secondary generalisation; treatment of Generalised Anxiety Disorder (GAD) in adults,<Seizures>; <Generalized Anxiety Disorder>,no,adjunctive therapy in adults with partial seizures with or without secondary generalisation; treatment of Generalised Anxiety Disorder (GAD) in adults,<Seizures>; <Generalized Anxiety Disorder>,Accord Healthcare Limited,Accord,EMA/CHMP/282380/2015,pregabalin,yes,no,hard capsules,EMEA/H/C/004024/0000,NA
intravenous,29.05.2019,2019,authorised,approved,28.05.2020,2020,Neoplasms; Diseases of the digestive system,zercepac-epar-public-assessment-report_en.pdf,Biologics,Zercepac,"Treatment of adult patients with HER2-positive metastatic breast cancer (MBC), early breast cancer (EBC), and metastatic adenocarcinoma of the stomach or gastroesophageal junction.",<Breast Neoplasms>; <Adenocarcinoma>; <Stomach Neoplasms>; <Esophageal Neoplasms>,no,"Treatment of adult patients with HER2-positive metastatic breast cancer (MBC), early breast cancer (EBC), and metastatic adenocarcinoma of the stomach or gastroesophageal junction.",<Breast Neoplasms>; <Stomach Neoplasms>; <Esophageal Neoplasms>,Accord Healthcare S.L.U.,Accord,EMA/327248/2020,trastuzumab,no,no,powder for concentrate for solution for infusion,EMEA/H/C/005209/0000,NA
oral,27.11.2007,2007,authorised,approved,15.05.2009,2009,Diseases of the genitourinary system; Diseases of the digestive system; Diseases of the circulatory system,modigraf-epar-public-assessment-report_en.pdf,Biologics,Modigraf,"prophylaxis of transplant rejection in adult and paediatric, kidney, liver or heart allograft recipients. Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult and paediatric patients",<Transplant Rejection>,no,"prophylaxis of transplant rejection (liver, kidney and heart) and treatment of allograft rejection",<Transplant Rejection>,Astellas Pharma Europe B.V.,Astellas,EMA/306253/2009,tacrolimus,yes,no,granules for oral suspension,EMEA/H/C/000954,Not reported
oral,Not reported,Not reported,authorised,conditional marketing authorisation,09.07.2007,2007,Infectious and parasitic diseases,isentress-epar-scientific-discussion_en.pdf,Small molecule,ISENTRESS,ISENTRESS is indicated in combination with other anti-retroviral medicinal products for the treatment of human immunodeficiency virus (HIV-1) infection in treatment-experienced adult patients with evidence of HIV-1 replication despite ongoing anti-retroviral therapy.,<Human Immunodeficiency Virus>,no,ISENTRESS is indicated in combination with other anti-retroviral agents for the treatment of human immunodeficiency virus (HIV-1) infection in treatment-experienced patients with evidence of HIV-1 replication despite ongoing antiretroviral therapy.,<Human Immunodeficiency Virus>,Merck Sharp & Dohme Ltd,Merck Sharp & Dohme,EMA/000574/2008,raltegravir,no,no,film-coated tablet,EMEA/H/C/000860,NA
intravenous,30.07.2018,2018,authorised,approved,27.02.2020,2020,Infectious and parasitic diseases,tigecycline-accord-epar-public-assessment-report_en.pdf,Small molecule,Tigecycline Accord,"Complicated skin and soft tissue infections (cSSTI), excluding diabetic foot infections; Complicated intra-abdominal infections (cIAI)",<Skin Diseases>; <Soft Tissue Infections>; <Intraabdominal Infections>,no,"Complicated skin and soft tissue infections (cSSTI), excluding diabetic foot infections; Complicated intra-abdominal infections (cIAI)",<Skin Diseases>; <Soft Tissue Infections>; <Intraabdominal Infections>,Accord Healthcare S.L.U.,Accord,EMA/140293/2020,tigecycline,yes,no,powder for solution for infusion,EMEA/H/C/005114/0000,Not reported
subcutaneous,Not reported,Not reported,authorised,approved,22.02.2024,2024,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue; Diseases of the digestive system,withdrawal-assessment-report-upstelda_en.pdf,Biologics,Upstelda,Moderate to severe plaque psoriasis in adult patients and paediatric patients 6 years of age and older; Active psoriatic arthritis in adults; Moderately to severely active Crohn’s disease,<Plaque Psoriasis>; <Psoriatic Arthritis>; <Crohn Disease>,no,Moderate to severe plaque psoriasis in adult patients and paediatric patients 6 years of age and older; Active psoriatic arthritis in adults; Moderately to severely active Crohn’s disease,<Plaque Psoriasis>; <Psoriatic Arthritis>; <Crohn Disease>,Amgen Technology Ireland Unlimited Company,Amgen,EMA/250302/2024,Ustekinumab,yes,no,solution for injection,EMEA/H/C/006415/0000,Not reported
oral,10.04.2018,2018,authorised,approved,15.11.2018,2018,Diseases of the genitourinary system,silodosin-recordati-epar-public-assessment-report_en.pdf,Small molecule,Silodosin Recordati,Treatment of the signs and symptoms of benign prostatic hyperplasia (BPH) in adult men.,<Prostatic Hyperplasia>,no,Treatment of the signs and symptoms of benign prostatic hyperplasia (BPH) in adult men.,<Prostatic Hyperplasia>,Recordati Ireland Ltd,Recordati,Not reported,silodosin,yes,no,"capsule, hard",EMEA/H/C/004964/0000,Not reported
intravenous,10.09.2020,2020,withdrawn,approved,20.05.2021,2021,"Endocrine, nutritional, and metabolic diseases; Diseases of the nervous system",skysona-epar-public-assessment-report_en.pdf,Cell and gene therapy,Skysona,treatment of patients less than 18 years of age with an ABCD1 genetic mutation and early cerebral adrenoleukodystrophy for whom a human leukocyte antigen (HLA)-matched sibling haematopoietic stem cell (HSC) donor is not available,<Early Cerebral Adrenoleukodystrophy>,no,treatment of patients less than 18 years of age with an ABCD1 genetic mutation and early cerebral adrenoleukodystrophy for whom a human leukocyte antigen (HLA)-matched sibling haematopoietic stem cell (HSC) donor is not available,<Early Cerebral Adrenoleukodystrophy>,bluebird bio (Netherlands) B.V,bluebird,EMA/332184/2021,elivaldogene autotemcel,no,yes,dispersion for infusion,EMEA/H/C/003690/0000,NA
Oral,28.10.2013,2013,authorised,approved,24.07.2014,2014,Neoplasms; Diseases of the blood and blood-forming organs,zydelig-epar-public-assessment-report_en.pdf,Small molecule,Zydelig,"Zydelig is indicated in combination with rituximab for the treatment of adult patients with chronic lymphocytic leukaemia (CLL): who have received at least one prior therapy, or as first line treatment in the presence of 17p deletion or TP53 mutation in patients unsuitable for chemo-immunotherapy. Zydelig is indicated as monotherapy for the treatment of adult patients with follicular lymphoma (FL) that is refractory to two prior lines of treatment.","<Leukemia, Lymphocytic, Chronic, B-Cell>; <Lymphoma, Follicular>",no,"Idelalisib is indicated, alone or in combination, for the treatment of patients with relapsed chronic lymphocytic leukaemia (CLL) and for the treatment of patients with refractory indolent non-Hodgkin lymphoma(iNHL).","<Leukemia, Lymphocytic, Chronic, B-Cell>; <Lymphoma, Non-Hodgkin>",Gilead Sciences International Ltd,Gilead Sciences,EMA/324336/2014,idelalisib,no,no,Film-coated tablet,EMEA/H/C/003843/0000,NA
intravenous,30.12.2009,2009,authorised,approved,06.05.2011,2011,Diseases of the blood and blood-forming organs,methylthioninium-chloride-proveblue-epar-public-assessment-report_en.pdf,Small molecule,Methylthioninium chloride Proveblue,Acute symptomatic treatment of medicinal and chemical products-induced methaemoglobinaemia,<Methemoglobinemia>,yes,Treatment of medicinal and chemical products-induced methaemoglobinaemia,<Methaemoglobinaemia>,Provepharm S.A.S.,Provepharm,EMA/002108/2011,methylthioninium chloride,yes,no,solution for injection,EMEA/H/C/002108,CHMP
Intravenous,02.09.2014,2014,authorised,approved,23.04.2015,2015,Neoplasms; Diseases of the skin,opdivo-epar-public-assessment-report_en.pdf,Biologics,OPDIVO,treatment of advanced (unresectable or metastatic) melanoma in adults,<Melanoma>,no,treatment of advanced (unresectable or metastatic) melanoma in adults,<Melanoma>,Bristol-Myers Squibb Pharma EEIG,Bristol-Myers Squibb,EMA/CHMP/76688/2015,nivolumab,no,no,Concentrate for solution for infusion,EMEA/H/C/003985/0000,NA
Subcutaneous,09.01.2020,2020,authorised,approved,15.10.2020,2020,"Endocrine, nutritional, and metabolic diseases; Diseases of the circulatory system",leqvio-epar-public-assessment-report_en.pdf,Small molecule,Leqvio,treatment for primary hypercholesterolaemia or mixed dyslipidaemia,<Hypercholesterolemia>; <Dyslipidemias>,no,Hypercholesterolaemia and mixed dyslipidaemia,<Hypercholesterolemia>; <Dyslipidemias>,Novartis Europharm Limited,Novartis,EMA/696912/2020,inclisiran,no,no,Solution for injection,EMEA/H/C/005333/0000,NA
oral,Not reported,Not reported,authorised,approved,19.07.2006,2006,Neoplasms; Diseases of the genitourinary system,nexavar-epar-scientific-discussion_en.pdf,Small molecule,Nexavar,treatment of patients with advanced renal cell carcinoma who have failed prior interferon-alpha or interleukin-2 based therapy or are considered unsuitable for such therapy,<Renal Cell Carcinoma>,no,treatment of patients with advanced renal cell carcinoma who have failed prior interferon-alpha or interleukin-2 based therapy or are considered unsuitable for such therapy,<Renal Cell Carcinoma>,Bayer Pharma AG,Bayer,EMA/000228/2006,sorafenib,no,no,film-coated tablet,EMEA/H/C/000690,NA
"Intraarterial use, Intravenous use, Subcutaneous use",27.05.2015,2015,authorised (under additional monitoring),approved,21.07.2016,2016,Diseases of the circulatory system,inhixa-epar-public-assessment-report_en.pdf,Biologics,Inhixa,"Prophylaxis of venous thromboembolism, Treatment of deep vein thrombosis, Treatment of unstable angina and non-Q-wave myocardial infarction, Treatment of acute ST-segment elevation myocardial infarction, Blood clot prevention in the extracorporeal circulation during haemodialysis","<Venous Thromboembolism>; <Deep Vein Thrombosis>; <Angina, Unstable>; <Myocardial Infarction>",no,"Prophylaxis of venous thromboembolism, Treatment of deep vein thrombosis, Treatment of unstable angina and non-Q-wave myocardial infarction, Treatment of acute ST-segment elevation myocardial infarction, Blood clot prevention in the extracorporeal circulation during haemodialysis","<Venous Thromboembolism>; <Venous Thrombosis>; <Angina, Unstable>; <Myocardial Infarction>",Techdow Europe AB,Techdow,EMA/536977/2016,Enoxaparin sodium,yes,no,Solution for injection,EMEA/H/C/004264/0000,CHMP
Inhalation,04.10.2012,2012,authorised,approved,25.07.2013,2013,Diseases of the respiratory system,ultibro-breezhaler-epar-public-assessment-report_en.pdf,Small molecule,Ultibro Breezhaler,Maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,<Chronic Obstructive Pulmonary Disease>,no,Once-daily maintenance bronchodilator treatment to relieve symptoms and reduce exacerbations in adult patients with chronic obstructive pulmonary disease (COPD).,"<Pulmonary Disease, Chronic Obstructive>",Novartis Europharm Ltd,Novartis,EMA/CHMP/296722/2013,Indacaterol/glycopyrronium bromide,no,no,"Inhalation powder, hard capsule",EMEA/H/C/002679/0000,NA
