field,cleaned_value,total_count,original_variants
Administration_route,intracavitary; intravenous; intravesical; INTRAVENOUS,1,"INTRACAVITARY, INTRAVENOUS, INTRAVESICAL; INTRAVENOUS (1)"
Administration_route,INJECTION; intramuscular; intravenous; Injection,1,"INJECTION; INTRAMUSCULAR, INTRAVENOUS; Injection (1)"
Current_status,None (conditional marketing authorisation),958,None (Tentative Approval) (958)
Decision,conditional marketing authorisation,1059,Tentative Approval (1059)
Drug_name,MYRBETRIQ granule,1,MYRBETRIQ GRANULES (1)
Indications_and_usage,"1 INDICATIONS AND USAGE Deferasirox oral granule are an iron chelator indicated for the treatment of chronic iron overload due to blood transfusions in patients 2 years of age and older. ( 1.1 ) Deferasirox oral granule are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes, and with a liver iron (Fe) concentration (LIC) of at least 5 mg Fe per gram of dry weight (Fe/g dw) and a serum ferritin greater than 300 mcg/L. ( 1.2 ) L imitations of Use: The safety and efficacy of deferasirox oral granule when administered with other iron chelation therapy have not been established. ( 1.3 ) 1.1 Treatment of Chronic Iron Overload Due to Blood Transfusions (Transfusional Iron Overload) Deferasirox oral granule are indicated for the treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older. 1.2 Treatment of Chronic Iron Overload in Non-Transfusion-Dependent Thalassemia Syndromes Deferasirox oral granule are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L. 1.3 Limitations of Use The safety and efficacy of deferasirox oral granule when administered with other iron chelation therapy have not been established.",1,"1 INDICATIONS AND USAGE Deferasirox oral granules are an iron chelator indicated for the treatment of chronic iron overload due to blood transfusions in patients 2 years of age and older. ( 1.1 ) Deferasirox oral granules are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes, and with a liver iron (Fe) concentration (LIC) of at least 5 mg Fe per gram of dry weight (Fe/g dw) and a serum ferritin greater than 300 mcg/L. ( 1.2 ) L imitations of Use: The safety and efficacy of deferasirox oral granules when administered with other iron chelation therapy have not been established. ( 1.3 ) 1.1 Treatment of Chronic Iron Overload Due to Blood Transfusions (Transfusional Iron Overload) Deferasirox oral granules are indicated for the treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older. 1.2 Treatment of Chronic Iron Overload in Non-Transfusion-Dependent Thalassemia Syndromes Deferasirox oral granules are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L. 1.3 Limitations of Use The safety and efficacy of deferasirox oral granules when administered with other iron chelation therapy have not been established. (1)"
Indications_and_usage,"INDICATIONS AND USAGE Since no drug is innocuous, strict attention should be paid to the indications and contraindications, particularly when selecting drugs for chronic long-term use. Colestipol hydrochloride granule are indicated as adjunctive therapy to diet for the reduction of elevated serum total and low-density lipoprotein (LDL) cholesterol in patients with primary hypercholesterolemia (elevated low density lipoproteins [LDL] cholesterol) who do not respond adequately to diet. Generally, colestipol hydrochloride granule have no clinically significant effect on serum triglycerides, but with its use triglyceride levels may be raised in some patients. Therapy with lipid-altering agents should be a component of multiple risk factor intervention in those individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Treatment should begin and continue with dietary therapy (see NCEP guidelines). A minimum of six months of intensive dietary therapy and counseling should be carried out prior to initiation of drug therapy. Shorter periods may be considered in patients with severe elevations of LDL-C or with definite CHD. According to the NCEP guidelines, the goal of treatment is to lower LDL-C, and LDL-C is to be used to initiate and assess treatment response. Only if LDL-C levels are not available, should the Total-C be used to monitor therapy. The NCEP treatment guidelines are shown below. LDL-Cholesterol mg/dL (mmol/L) Definite Atherosclerotic Disease Coronary heart disease or peripheral vascular disease (including symptomatic carotid artery disease). Two or More Other Risk Factors Other risk factors for coronary heart disease (CHD) include: age (males: ≥45 years; females: ≥55 years or premature menopause without estrogen replacement therapy); family history of premature CHD; current cigarette smoking; hypertension; confirmed HDL-C <35 mg/dL (0.91 mmol/L); and diabetes mellitus. Subtract one risk factor if HDL-C is ≥60 mg/dL (1.6 mmol/L). Initiation Level Goal No No ≥190 (≥4.9) <160 (<4.1) No Yes ≥160 (≥4.1) <130 (<3.4) Yes Yes or No ≥130 (≥3.4) ≤100 (≤2.6)",1,"INDICATIONS AND USAGE Since no drug is innocuous, strict attention should be paid to the indications and contraindications, particularly when selecting drugs for chronic long-term use. Colestipol hydrochloride granules are indicated as adjunctive therapy to diet for the reduction of elevated serum total and low-density lipoprotein (LDL) cholesterol in patients with primary hypercholesterolemia (elevated low density lipoproteins [LDL] cholesterol) who do not respond adequately to diet. Generally, colestipol hydrochloride granules have no clinically significant effect on serum triglycerides, but with its use triglyceride levels may be raised in some patients. Therapy with lipid-altering agents should be a component of multiple risk factor intervention in those individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Treatment should begin and continue with dietary therapy (see NCEP guidelines). A minimum of six months of intensive dietary therapy and counseling should be carried out prior to initiation of drug therapy. Shorter periods may be considered in patients with severe elevations of LDL-C or with definite CHD. According to the NCEP guidelines, the goal of treatment is to lower LDL-C, and LDL-C is to be used to initiate and assess treatment response. Only if LDL-C levels are not available, should the Total-C be used to monitor therapy. The NCEP treatment guidelines are shown below. LDL-Cholesterol mg/dL (mmol/L) Definite Atherosclerotic Disease Coronary heart disease or peripheral vascular disease (including symptomatic carotid artery disease). Two or More Other Risk Factors Other risk factors for coronary heart disease (CHD) include: age (males: ≥45 years; females: ≥55 years or premature menopause without estrogen replacement therapy); family history of premature CHD; current cigarette smoking; hypertension; confirmed HDL-C <35 mg/dL (0.91 mmol/L); and diabetes mellitus. Subtract one risk factor if HDL-C is ≥60 mg/dL (1.6 mmol/L). Initiation Level Goal No No ≥190 (≥4.9) <160 (<4.1) No Yes ≥160 (≥4.1) <130 (<3.4) Yes Yes or No ≥130 (≥3.4) ≤100 (≤2.6) (1)"
Indications_and_usage,"1 INDICATIONS AND USAGE Montelukast sodium tablets, chewable tablets, and oral granule are a leukotriene receptor antagonist indicated for: • Prophylaxis and chronic treatment of asthma in patients 12 months of age and older ( 1.1 ). • Acute prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older ( 1.2 ). • Relief of symptoms of allergic rhinitis (AR): seasonal allergic rhinitis (SAR) in patients 2 years of age and older, and perennial allergic rhinitis (PAR) in patients 6 months of age and older ( 1.3 ). 1.1 Asthma Montelukast sodium tablets, chewable tablets and oral granule are indicated for the prophylaxis and chronic treatment of asthma in adults and pediatric patients 12 months of age and older. 1.2 Exercise-Induced Bronchoconstriction (EIB) Montelukast sodium tablets and chewable tablets are indicated for prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older. 1.3 Allergic Rhinitis Montelukast sodium tablets, chewable tablets and oral granule are indicated for the relief of symptoms of seasonal allergic rhinitis in patients 2 years of age and older and perennial allergic rhinitis in patients 6 months of age and older.",1,"1 INDICATIONS AND USAGE Montelukast sodium tablets, chewable tablets, and oral granules are a leukotriene receptor antagonist indicated for: • Prophylaxis and chronic treatment of asthma in patients 12 months of age and older ( 1.1 ). • Acute prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older ( 1.2 ). • Relief of symptoms of allergic rhinitis (AR): seasonal allergic rhinitis (SAR) in patients 2 years of age and older, and perennial allergic rhinitis (PAR) in patients 6 months of age and older ( 1.3 ). 1.1 Asthma Montelukast sodium tablets, chewable tablets and oral granules are indicated for the prophylaxis and chronic treatment of asthma in adults and pediatric patients 12 months of age and older. 1.2 Exercise-Induced Bronchoconstriction (EIB) Montelukast sodium tablets and chewable tablets are indicated for prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older. 1.3 Allergic Rhinitis Montelukast sodium tablets, chewable tablets and oral granules are indicated for the relief of symptoms of seasonal allergic rhinitis in patients 2 years of age and older and perennial allergic rhinitis in patients 6 months of age and older. (1)"
Indications_and_usage,"1 INDICATIONS AND USAGE Montelukast sodium tablets, chewable tablets, and oral granule are a leukotriene receptor antagonist indicated for: Prophylaxis and chronic treatment of asthma in patients 12 months of age and older ( 1.1 ). Acute prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older ( 1.2 ). Relief of symptoms of allergic rhinitis (AR): seasonal allergic rhinitis (SAR) in patients 2 years of age and older, and perennial allergic rhinitis (PAR) in patients 6 months of age and older. Reserve use for patients who have an inadequate response or intolerance to alternative therapies ( 1.3 ). Limitations of Use: Not indicated to treat an acute asthma attack ( 5.2 ). 1.1 Asthma Montelukast sodium tablets, chewable tablets and oral granule are indicated for the prophylaxis and chronic treatment of asthma in adults and pediatric patients 12 months of age and older. 1.2 Exercise-Induced Bronchoconstriction (EIB) Montelukast sodium tablets and chewable tablets are indicated for prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older. 1.3 Allergic Rhinitis Montelukast sodium tablets, chewable tablets and oral granule are indicated for the relief of symptoms of seasonal allergic rhinitis in patients 2 years of age and older and perennial allergic rhinitis in patients 6 months of age and older. Because the benefits of montelukast sodium tablets, chewable tablets and oral granule may not outweigh the risk of neuropsychiatric symptoms in patients with allergic rhinitis [see Warnings and Precautions ( 5.1 )] , reserve use for patients who have an inadequate response or intolerance to alternative therapies. 1.4 Limitations of Use Montelukast sodium tablets, chewable tablets and oral granule are not indicated for the treatment of an acute asthma attack.",1,"1 INDICATIONS AND USAGE Montelukast sodium tablets, chewable tablets, and oral granules are a leukotriene receptor antagonist indicated for: Prophylaxis and chronic treatment of asthma in patients 12 months of age and older ( 1.1 ). Acute prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older ( 1.2 ). Relief of symptoms of allergic rhinitis (AR): seasonal allergic rhinitis (SAR) in patients 2 years of age and older, and perennial allergic rhinitis (PAR) in patients 6 months of age and older. Reserve use for patients who have an inadequate response or intolerance to alternative therapies ( 1.3 ). Limitations of Use: Not indicated to treat an acute asthma attack ( 5.2 ). 1.1 Asthma Montelukast sodium tablets, chewable tablets and oral granules are indicated for the prophylaxis and chronic treatment of asthma in adults and pediatric patients 12 months of age and older. 1.2 Exercise-Induced Bronchoconstriction (EIB) Montelukast sodium tablets and chewable tablets are indicated for prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older. 1.3 Allergic Rhinitis Montelukast sodium tablets, chewable tablets and oral granules are indicated for the relief of symptoms of seasonal allergic rhinitis in patients 2 years of age and older and perennial allergic rhinitis in patients 6 months of age and older. Because the benefits of montelukast sodium tablets, chewable tablets and oral granules may not outweigh the risk of neuropsychiatric symptoms in patients with allergic rhinitis [see Warnings and Precautions ( 5.1 )] , reserve use for patients who have an inadequate response or intolerance to alternative therapies. 1.4 Limitations of Use Montelukast sodium tablets, chewable tablets and oral granules are not indicated for the treatment of an acute asthma attack. (1)"
Indications_and_usage,"INDICATIONS AND USAGE MALES Androgens are indicated for replacement therapy in conditions associated with a deficiency or absence of endogenous testosterone. a. Primary hypogonadism (congenital or acquired) - testicular failure due to cryptorchidism, bilateral torsion, orchitis, vanishing testes syndrome; or orchiectomy. b. Hypogonadotropic hypogonadism (congenital or acquired) - gonadotropic LHRH deficiency, or pituitary - hypothalamic injury from tumors, trauma or radiation. If the above conditions occur prior to puberty, androgen replacement therapy will be needed during the adolescent years for development of secondary sex characteristics. Prolonged androgen treatment will be required to maintain sexual characteristics in these and other males who develop testosterone deficiency after puberty. Safety and efficacy of TESTOPEL ® (testosterone pellet) in men with “age-related hypogonadism” (also referred to as “late-onset hypogonadism”) have not been established. c. Androgens may be used to stimulate puberty in carefully selected males with clearly delayed puberty. These patients usually have a familial pattern of delayed puberty that is not secondary to a pathological disorder; puberty is expected to occur spontaneously at a relatively late date. Brief treatment with conservative doses may occasionally be justified in these patients if they do not respond to psychological support. The potential adverse effect on bone maturation should be discussed with the patient and parents prior to androgen administration. An x-ray of the hand and wrist to determine bone age should be taken every 6 months to assess the effect of treatment on epiphyseal centers (see WARNINGS ).",1,"INDICATIONS AND USAGE MALES Androgens are indicated for replacement therapy in conditions associated with a deficiency or absence of endogenous testosterone. a. Primary hypogonadism (congenital or acquired) - testicular failure due to cryptorchidism, bilateral torsion, orchitis, vanishing testes syndrome; or orchiectomy. b. Hypogonadotropic hypogonadism (congenital or acquired) - gonadotropic LHRH deficiency, or pituitary - hypothalamic injury from tumors, trauma or radiation. If the above conditions occur prior to puberty, androgen replacement therapy will be needed during the adolescent years for development of secondary sex characteristics. Prolonged androgen treatment will be required to maintain sexual characteristics in these and other males who develop testosterone deficiency after puberty. Safety and efficacy of TESTOPEL ® (testosterone pellets) in men with “age-related hypogonadism” (also referred to as “late-onset hypogonadism”) have not been established. c. Androgens may be used to stimulate puberty in carefully selected males with clearly delayed puberty. These patients usually have a familial pattern of delayed puberty that is not secondary to a pathological disorder; puberty is expected to occur spontaneously at a relatively late date. Brief treatment with conservative doses may occasionally be justified in these patients if they do not respond to psychological support. The potential adverse effect on bone maturation should be discussed with the patient and parents prior to androgen administration. An x-ray of the hand and wrist to determine bone age should be taken every 6 months to assess the effect of treatment on epiphyseal centers (see WARNINGS ). (1)"
Indications_and_usage,"1 INDICATIONS AND USAGE Sodium Polystyrene Sulfonate Powder, suspension is indicated for the treatment of hyperkalemia. Limitation of Use: Sodium Polystyrene Sulfonate Powder, suspension should not be used as an emergency treatment for life-threatening hyperkalemia because of its delayed onset of action [see Clinical Pharmacology (12.2)] . Sodium Polystyrene Sulfonate Powder, suspension is indicated for the treatment of hyperkalemia (1) . Limitation of Use: Sodium Polystyrene Sulfonate Powder, suspension should not be used as an emergency treatment for life-threatening hyperkalemia because of its delayed onset of action (1) .",1,"1 INDICATIONS AND USAGE Sodium Polystyrene Sulfonate Powder, for Suspension is indicated for the treatment of hyperkalemia. Limitation of Use: Sodium Polystyrene Sulfonate Powder, for Suspension should not be used as an emergency treatment for life-threatening hyperkalemia because of its delayed onset of action [see Clinical Pharmacology (12.2)] . Sodium Polystyrene Sulfonate Powder, for Suspension is indicated for the treatment of hyperkalemia (1) . Limitation of Use: Sodium Polystyrene Sulfonate Powder, for Suspension should not be used as an emergency treatment for life-threatening hyperkalemia because of its delayed onset of action (1) . (1)"
Indications_and_usage,"1 INDICATIONS AND USAGE Deferasirox oral granule are an iron chelator indicated for the treatment of chronic iron overload due to blood transfusions in patients 2 years of age and older. (1.1) Deferasirox oral granule are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes, and with a liver iron (Fe) concentration (LIC) of at least 5 mg Fe per gram of dry weight (Fe/g dw) and a serum ferritin greater than 300 mcg/L. (1.2) Limitations of Use: The safety and efficacy of deferasirox oral granule when administered with other iron chelation therapy have not been established. (1.3) 1.1 Treatment of Chronic Iron Overload Due to Blood Transfusions (Transfusional Iron Overload) Deferasirox oral granule are indicated for the treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older. 1.2 Treatment of Chronic Iron Overload in Non-Transfusion-Dependent Thalassemia Syndromes Deferasirox oral granule are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L. 1.3 Limitations of Use The safety and efficacy of deferasirox oral granule when administered with other iron chelation therapy have not been established.",1,"1 INDICATIONS AND USAGE Deferasirox oral granules are an iron chelator indicated for the treatment of chronic iron overload due to blood transfusions in patients 2 years of age and older. (1.1) Deferasirox oral granules are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes, and with a liver iron (Fe) concentration (LIC) of at least 5 mg Fe per gram of dry weight (Fe/g dw) and a serum ferritin greater than 300 mcg/L. (1.2) Limitations of Use: The safety and efficacy of deferasirox oral granules when administered with other iron chelation therapy have not been established. (1.3) 1.1 Treatment of Chronic Iron Overload Due to Blood Transfusions (Transfusional Iron Overload) Deferasirox oral granules are indicated for the treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older. 1.2 Treatment of Chronic Iron Overload in Non-Transfusion-Dependent Thalassemia Syndromes Deferasirox oral granules are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L. 1.3 Limitations of Use The safety and efficacy of deferasirox oral granules when administered with other iron chelation therapy have not been established. (1)"
Indications_and_usage,"1 INDICATIONS AND USAGE Deferasirox granule is an iron chelator indicated for the treatment of chronic iron overload due to blood transfusions in patients 2 years of age and older. ( 1.1 ) Deferasirox granule is indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes, and with a liver iron (Fe) concentration (LIC) of at least 5 mg Fe per gram of dry weight (Fe/g dw) and a serum ferritin greater than 300 mcg/L. ( 1.2 ) Limitations of Use: The safety and efficacy of deferasirox when administered with other iron chelation therapy have not been established. ( 1.3 ) 1.1 Treatment of Chronic Iron Overload Due to Blood Transfusions (Transfusional Iron Overload) Deferasirox granule are indicated for the treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older. 1.2 Treatment of Chronic Iron Overload in Non-Transfusion-Dependent Thalassemia Syndromes Deferasirox granule are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L. 1.3 Limitations of Use The safety and efficacy of deferasirox when administered with other iron chelation therapy have not been established.",1,"1 INDICATIONS AND USAGE Deferasirox granule is an iron chelator indicated for the treatment of chronic iron overload due to blood transfusions in patients 2 years of age and older. ( 1.1 ) Deferasirox granule is indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes, and with a liver iron (Fe) concentration (LIC) of at least 5 mg Fe per gram of dry weight (Fe/g dw) and a serum ferritin greater than 300 mcg/L. ( 1.2 ) Limitations of Use: The safety and efficacy of deferasirox when administered with other iron chelation therapy have not been established. ( 1.3 ) 1.1 Treatment of Chronic Iron Overload Due to Blood Transfusions (Transfusional Iron Overload) Deferasirox granules are indicated for the treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older. 1.2 Treatment of Chronic Iron Overload in Non-Transfusion-Dependent Thalassemia Syndromes Deferasirox granules are indicated for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L. 1.3 Limitations of Use The safety and efficacy of deferasirox when administered with other iron chelation therapy have not been established. (1)"
