field,cleaned_value,total_count,original_variants
Pharmaceutical_form,spray,54,"SPRAY, METERED DOSE (30); SPRAY, BAG-ON-VALVE (24)"
Pharmaceutical_form,suspension; KIT,1,SUSPENSION (EXTENDED-RELEASE); KIT (1)
Pharmaceutical_form,powder; LIQUID,1,POWDER FOR SOLUTION; LIQUID (1)
Pharmaceutical_form,KIT; powder,51,"KIT; POWDER FOR SOLUTION (42); KIT; POWDER FOR SUSPENSION, SUSTAINED-RELEASE (9)"
Pharmaceutical_form,KIT; TABLET; capsule; CAPSULE,1,KIT; TABLET; CAPSULE (DELAYED RELEASE); CAPSULE (1)
Pharmaceutical_form,mouthwash,4,MOUTHWASH/GARGLE (4)
Pharmaceutical_form,LIQUID; powder,4,LIQUID; POWDER FOR SOLUTION (4)
Pharmaceutical_form,KIT; powder; LIQUID,1,KIT; POWDER FOR SOLUTION; LIQUID (1)
Pharmaceutical_form,tablet; CREAM; KIT,1,VAGINAL TABLET; CREAM; KIT (1)
Pharmaceutical_form,powder; SOLUTION,1,POWDER FOR SOLUTION; SOLUTION (1)
Pharmaceutical_form,film; soluble,9,"FILM, SOLUBLE (9)"
Pharmaceutical_form,patch,9,PATCH (EXTENDED RELEASE) (9)
Pharmaceutical_form,suspension,11,SUSPENSION (EXTENDED-RELEASE) (11)
Pharmaceutical_form,aerosol; foam,6,"AEROSOL, FOAM (6)"
Pharmaceutical_form,granules,12,"GRANULES FOR SUSPENSION (10); GRANULES FOR SUSPENSION, DELAYED RELEASE (2)"
Pharmaceutical_form,aerosol,26,"METERED-DOSE AEROSOL (18); AEROSOL, METERED DOSE (8)"
Pharmaceutical_form,solution,8,SOLUTION (EXTENDED RELEASE) (8)
Pharmaceutical_form,SOLUTION; powder; KIT,4,SOLUTION; POWDER FOR SOLUTION; KIT (4)
Pharmaceutical_form,INSERT,2,INSERT (EXTENDED-RELEASE) (2)
Pharmaceutical_form,CREAM; KIT; capsule,1,CREAM; KIT; VAGINAL CAPSULE (1)
Pharmaceutical_form,SOLUTION; KIT; powder,2,SOLUTION; KIT; POWDER FOR SOLUTION (2)
Pharmaceutical_form,pump,3,METERED-DOSE PUMP (3)
Pharmaceutical_form,GRANULES,3,GRANULES FOR SOLUTION (2); GRANULES FOR SUSPENSION (1)
Pharmaceutical_form,tablet; KIT; CREAM,1,VAGINAL TABLET; KIT; CREAM (1)
Pharmaceutical_form,tablet; KIT; powder,1,TABLET (DELAYED-RELEASE); KIT; POWDER FOR SOLUTION (1)
Pharmaceutical_form,powder; AEROSOL,1,POWDER FOR SOLUTION; AEROSOL (1)
Pharmaceutical_form,KIT; suspension,1,KIT; SUSPENSION (EXTENDED-RELEASE) (1)
Pharmaceutical_form,SUSPENSION; aerosol,1,SUSPENSION; METERED-DOSE AEROSOL (1)
