field,cleaned_value,total_count,original_variants
Indication_approved,"Ebymect is indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximally tolerated dose of metformin alone, in combination with other glucose-lowering medicinal products, including insulin, in patients inadequately controlled with metformin and these medicinal products, in patients already being treated with the combination of dapagliflozin and metformin as separate tablet.",1,"Ebymect is indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximally tolerated dose of metformin alone, in combination with other glucose-lowering medicinal products, including insulin, in patients inadequately controlled with metformin and these medicinal products, in patients already being treated with the combination of dapagliflozin and metformin as separate tablets. (1)"
Indication_approved,Decrease of ocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction,1,Decrease of intraocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction (1)
Indication_approved,reduction of elevated ocular pressure (IOP) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction,1,reduction of elevated intraocular pressure (IOP) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction (1)
Indication_approved,reduction of elevated ocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension,1,reduction of elevated intraocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension (1)
Indication_approved,Komboglyze is indicated as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type 2 diabetes mellitus inadequately controlled on their maximally tolerated dose of metformin alone or those already being treated with the combination of saxagliptin and metformin as separate tablet.,1,Komboglyze is indicated as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type 2 diabetes mellitus inadequately controlled on their maximally tolerated dose of metformin alone or those already being treated with the combination of saxagliptin and metformin as separate tablets. (1)
Indication_approved,"maintenance of intraoperative mydriasis, prevention of intraoperative miosis and reduction of acute postoperative ocular pain in ocular lens replacement surgery",1,"maintenance of intraoperative mydriasis, prevention of intraoperative miosis and reduction of acute postoperative ocular pain in intraocular lens replacement surgery (1)"
Indication_approved,Decrease of elevated ocular pressure in patients with ocular hypertension or open-angle glaucoma.,1,Decrease of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma. (1)
Indication_approved,The treatment of type 2 diabetes mellitus patients who are unable to achieve sufficient glycaemic control at their maximally tolerated dose of oral metformin alone or who are already treated with the combination of vildagliptin and metformin as separate tablet.,1,The treatment of type 2 diabetes mellitus patients who are unable to achieve sufficient glycaemic control at their maximally tolerated dose of oral metformin alone or who are already treated with the combination of vildagliptin and metformin as separate tablets. (1)
Indication_approved,Reduction of ocular pressure in patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues,1,Reduction of intraocular pressure in patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues (1)
Indication_approved,Reduction of elevated ocular pressure (IOP) in adult patients with open angle glaucoma or ocular hypertension. Reduction of elevated IOP in children from 4 years of age and adolescents with elevated IOP and paediatric glaucoma.,1,Reduction of elevated intraocular pressure (IOP) in adult patients with open angle glaucoma or ocular hypertension. Reduction of elevated IOP in children from 4 years of age and adolescents with elevated IOP and paediatric glaucoma. (1)
Indication_approved,Decrease of ocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues.,1,Decrease of intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues. (1)
Indication_approved,Decrease of elevated ocular pressure in adult patients with open-angle glaucoma or ocular hypertension,1,Decrease of elevated intraocular pressure in adult patients with open-angle glaucoma or ocular hypertension (1)
Indication_approved,Add on therapy: TWYNSTA is indicated in adults whose blood pressure is not adequately controlled on amlodipine. Replacement therapy: Adult patients receiving telmisartan and amlodipine from separate tablet can instead receive tablet of TWYNSTA containing the same component doses.,1,Add on therapy: TWYNSTA is indicated in adults whose blood pressure is not adequately controlled on amlodipine. Replacement therapy: Adult patients receiving telmisartan and amlodipine from separate tablets can instead receive tablets of TWYNSTA containing the same component doses. (1)
Indication_approved,Decrease elevated ocular pressure in ocular hypertension and open-angle glaucoma,1,Decrease elevated intraocular pressure in ocular hypertension and open-angle glaucoma (1)
Indication_requested,Treatment of essential hypertension in adults: Add on therapy for adults whose blood pressure is not adequately controlled on amlodipine. Replacement therapy for adult patients receiving telmisartan and amlodipine from separate tablet.,1,Treatment of essential hypertension in adults: Add on therapy for adults whose blood pressure is not adequately controlled on amlodipine. Replacement therapy for adult patients receiving telmisartan and amlodipine from separate tablets. (1)
Indication_requested,treatment of type 2 diabetes mellitus patients who are unable to achieve sufficient glycaemic control at their maximally tolerated dose of oral metformin alone or who are already treated with the combination of vildagliptin and metformin as separate tablet,2,treatment of type 2 diabetes mellitus patients who are unable to achieve sufficient glycaemic control at their maximally tolerated dose of oral metformin alone or who are already treated with the combination of vildagliptin and metformin as separate tablets (2)
Indication_requested,Reduction of elevated ocular pressure in chronic open-angle glaucoma and ocular hypertension,1,Reduction of elevated intraocular pressure in chronic open-angle glaucoma and ocular hypertension (1)
Indication_requested,Decrease of elevated ocular pressure in adult patients with ocular hypertension or open-angle glaucoma.,1,Decrease of elevated intraocular pressure in adult patients with ocular hypertension or open-angle glaucoma. (1)
Indication_requested,Long-term treatment of pulmonary arterial hypertension (PAH) in adult patients of WHO Functional Class (FC) II to III who are treatment-naïve to any PAH specific therapy; on treatment with macitentan or tadalafil; already treated with the combination of macitentan and tadalafil as separate tablet.,1,Long-term treatment of pulmonary arterial hypertension (PAH) in adult patients of WHO Functional Class (FC) II to III who are treatment-naïve to any PAH specific therapy; on treatment with macitentan or tadalafil; already treated with the combination of macitentan and tadalafil as separate tablets. (1)
Indication_requested,"Ebymect is indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximally tolerated dose of metformin alone, in combination with other glucose-lowering medicinal products, including insulin, in patients inadequately controlled with metformin and these medicinal products, in patients already being treated with the combination of dapagliflozin and metformin as separate tablet.",1,"Ebymect is indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximally tolerated dose of metformin alone, in combination with other glucose-lowering medicinal products, including insulin, in patients inadequately controlled with metformin and these medicinal products, in patients already being treated with the combination of dapagliflozin and metformin as separate tablets. (1)"
Indication_requested,Decrease of ocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction or is not well tolerated,1,Decrease of intraocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction or is not well tolerated (1)
Indication_requested,reduction of elevated ocular pressure (IOP) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction,1,reduction of elevated intraocular pressure (IOP) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction (1)
Indication_requested,reduction of elevated ocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension,1,reduction of elevated intraocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension (1)
Indication_requested,Komboglyze is indicated as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type 2 diabetes mellitus inadequately controlled on their maximally tolerated dose of metformin alone or those already being treated with the combination of saxagliptin and metformin as separate tablet.,1,Komboglyze is indicated as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type 2 diabetes mellitus inadequately controlled on their maximally tolerated dose of metformin alone or those already being treated with the combination of saxagliptin and metformin as separate tablets. (1)
Indication_requested,"maintenance of intraoperative mydriasis, prevention of intraoperative miosis and reduction of acute postoperative ocular pain in ocular lens replacement surgery",1,"maintenance of intraoperative mydriasis, prevention of intraoperative miosis and reduction of acute postoperative ocular pain in intraocular lens replacement surgery (1)"
Indication_requested,Decrease of elevated ocular pressure in patients with ocular hypertension or open-angle glaucoma.,1,Decrease of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma. (1)
Indication_requested,The treatment of type 2 diabetes mellitus patients who are unable to achieve sufficient glycaemic control at their maximally tolerated dose of oral metformin alone or who are already treated with the combination of vildagliptin and metformin as separate tablet.,1,The treatment of type 2 diabetes mellitus patients who are unable to achieve sufficient glycaemic control at their maximally tolerated dose of oral metformin alone or who are already treated with the combination of vildagliptin and metformin as separate tablets. (1)
Indication_requested,Reduction of ocular pressure in patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues,1,Reduction of intraocular pressure in patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues (1)
Indication_requested,"Reduction of elevated ocular pressure (IOP) in patients with open angle glaucoma or ocular hypertension in adults (including the elderly), especially in patients having, or who are at risk of developing, concomitant ocular surface disease (OSD). Reduction of elevated IOP in paediatric patients with elevated IOP and paediatric glaucoma.",1,"Reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma or ocular hypertension in adults (including the elderly), especially in patients having, or who are at risk of developing, concomitant ocular surface disease (OSD). Reduction of elevated IOP in paediatric patients with elevated IOP and paediatric glaucoma. (1)"
Indication_requested,"Oral contraception. Zoely 2.5mg/1.5mg, tablet is indicated in fertile women including post-menarcheal adolescents from the age of 12 years.",1,"Oral contraception. Zoely 2.5mg/1.5mg, film-coated tablet is indicated in fertile women including post-menarcheal adolescents from the age of 12 years. (1)"
Indication_requested,Decrease of ocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues.,1,Decrease of intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues. (1)
Indication_requested,for the reduction of ocular pressure (IOP) in adults with open angle glaucoma (OAG) or ocular hypertension (OHT) who are unsuitable for topical IOP-lowering medications,1,for the reduction of intraocular pressure (IOP) in adults with open angle glaucoma (OAG) or ocular hypertension (OHT) who are unsuitable for topical IOP-lowering medications (1)
Indication_requested,Decrease of elevated ocular pressure in adult patients with open-angle glaucoma or ocular hypertension,1,Decrease of elevated intraocular pressure in adult patients with open-angle glaucoma or ocular hypertension (1)
Indication_requested,Decrease elevated ocular pressure in ocular hypertension and open-angle glaucoma,1,Decrease elevated intraocular pressure in ocular hypertension and open-angle glaucoma (1)
Pharmaceutical_form,capsule,158,"hard capsules (65); Capsule, hard (21); hard capsule (15); capsules (6); Hard capsules (6); hard gastro-resistant capsules (5); capsule, hard (4); soft capsule (3); gastro-resistant hard capsule (3); soft capsules (2); hard gelatine capsules (2); gastro-resistant hard capsules (2); modified release hard capsules (2); soft gelatin capsule (2); Capsule, soft (2); hard gelatin capsule (1); hard gelatine, immediate-release capsules (1); prolonged-release capsules (1); prolonged-release hard capsules (1); Hard gastro-resistant capsules (1); enteric-coated hard gelatin capsule (1); oral capsules (1); Gastro-resistant capsule, hard (1); modified-release hard capsule (1); capsule containing enteric coated mini-tablets (1); gastro-resistant capsule, hard (1); soft gelatin capsules (1); hard-gelatin capsule (1); gastro-resistant capsules, hard (1); Hard gelatine capsule (1); gelatine hard capsules (1); capsules, hard (1); hard gelatin capsules (1)"
Pharmaceutical_form,suspension,76,"suspension for injection (34); Suspension for injection (10); prolonged-release suspension for injection (5); oral suspension (4); Oral suspension (3); sterile suspension for intramuscular injection (2); Suspension for intramuscular injection (2); pressurised inhalation suspension (2); sterile liquid suspension (1); pressurised inhalation, suspension (1); injectable suspension (1); suspension for intramuscular injection (1); suspension for nebulisation (1); extended-release suspension for intramuscular injection (1); Prolonged release suspension for injection (1); sterile suspension (1); prolonged release suspension for injection (1); Sterile liquid suspension (1); Sterile suspension for injection (1); cryopreserved liver cell suspension concentrate (1); suspension for deep intramuscular injection (1); cryopreserved cell suspension (1)"
Pharmaceutical_form,concentrate,132,concentrate for solution for infusion (96); Concentrate for solution for infusion (25); concentrate for dispersion for infusion (2); concentrate for solution for injection (2); concentrated solution for infusion (1); Sterile concentrate for solution for infusion (1); Concentrate for solution for intraocular irrigation (1); concentrate for liposomal dispersion for infusion (1); concentrate solution for infusion (1); Concentrate for infusion (1); concentrate for dispersion for injection (1)
Pharmaceutical_form,spray,10,"nasal spray suspension (3); nasal spray (2); nasal spray solution (2); cutaneous spray, solution (1); Nasal spray, solution in single-dose container (1); Cutaneous spray, solution (1)"
Pharmaceutical_form,solution,345,"solution for injection (214); solution for infusion (27); Solution for injection (25); solution for subcutaneous injection (18); oral solution (10); solution for intravitreal injection (6); nebuliser solution (5); Oral solution (4); Solution for infusion (3); solution for subcutaneous administration (2); solution for intravenous injection (2); solution in pre-filled syringes (2); solution for intravenous infusion (2); Solution for injection/infusion (1); solution for intrathecal injection (1); solution for injection or infusion (1); ophthalmic sterile solution (1); solution for intralesional injection (1); solution for sealant (1); Radiopharmaceutical precursor, solution (1); solution for intravenous use (1); solution for infusion and solution for injection (1); Freeze-dried substance for intravenous injection (1); solution for ICV infusion (1); prolonged-release wound solution (1); prolonged-release solution for injection (1); solution for intravenous infusion and oral solution (1); oromucosal solution (1); solution for intravenous administration (1); solution for IV infusion and SC injection (1); solution for nebulisation (1); solution in a single-dose pre-filled syringe (1); Nebuliser solution (1); solution for injection/infusion (1); solution for intramuscular injection (1); solution for injection and oral solution (1); solution for intravenous or subcutaneous administration (1); Powder for concentration for solution for infusion (1)"
Pharmaceutical_form,tablet,452,"film-coated tablet (217); film-coated tablets (91); Film-coated tablet (51); film coated tablets (27); prolonged-release tablet (6); gastro-resistant tablets (4); dispersible tablet (4); two-layer tablets (3); film-coated immediate-release tablet (3); modified-release tablets (3); Film coated tablets (2); orodispersible tablets (2); Film-coated tablets (2); prolonged-release tablets (2); gastro-resistant tablet (2); film coated tablet (2); prolonged release tablets (2); Sublingual tablet (2); soluble tablets (2); Orodispersible tablet (2); orodispersible tablet (2); modified-release tablet (1); prolonged release film coated tablets (1); prolonged-release film coated tablet (1); tablet with sensor (1); immediate release film-coated tablet (1); film-coated prolonged-release tablets (1); sublingual tablet (1); sublingual tablets (1); uncoated tablets (1); soluble tablet (1); prolonged-release, film-coated tablet (1); Film coated tablet (1); chewable tablet (1); coated tablet (1); Prolonged-release tablet (1); fast dissolving tablet for sublingual administration (1); prolonged release tablet (1); film coated tablets and orodispersible tablets (1); dispersible tablets (1); Buccal tablet (1); Film-coated immediate release tablet (1)"
Pharmaceutical_form,powder,191,"powder for concentrate for solution for infusion (51); powder for solution for injection (24); Powder for concentrate for solution for infusion (21); inhalation powder (15); powder for solution for infusion (12); Powder for solution for injection (12); Inhalation powder (7); Inhalation powder, pre-dispensed (6); powder for suspension for injection (4); Powder for solution for infusion (4); Powder for suspension for injection (3); powder for oral solution (3); powder for dispersion for infusion (3); powder for oral suspension (2); Oral powder (2); spray-dried powder for suspension for injection (1); powder for dispersion for injection (1); powder in sachet (1); powder for inhalation (1); effervescent powder and powder for oral suspension (1); sterile powder for constitution (1); encapsulated powder for inhalation (1); powder for concentrate for solution for injection or infusion (1); oral powder in sachets or capsules for opening (1); powder for injection (1); Powder for reconstitution (1); Powder for oral solution (1); powder for intravenous infusion (1); freeze-dried powder (1); Powder for injection (1); powder for concentrate for solution for IV infusion (1); powder for concentrate for infusion (1); Freeze-dried powder for solution for intravenous injection (1); nasal powder (1); Sealant powder (1); Freeze-dried powder (1); sterile freeze-dried powder for intravenous infusion or injection (1)"
Pharmaceutical_form,lyophilized powder; solvent,1,lyophilized powder and solvent for solution for injection (1)
Pharmaceutical_form,patch,10,transdermal patch (6); Transdermal patch (4)
Pharmaceutical_form,powder; solution,3,Powder for concentrate and solution for solution for infusion (1); powder and solution for solution for injection (1); Powder for solution for injection; Solution for injection in pre-filled pen; Solution for injection in pre-filled syringe (1)
Pharmaceutical_form,injection,1,long-acting injectable (1)
Pharmaceutical_form,powder; solvent,41,powder and solvent for solution for injection (18); Powder and solvent for solution for injection (10); Powder and solvent for concentrate for solution for infusion (3); powder and solvent for concentrate for solution for infusion (2); Powder and solvent for nebuliser solution (1); Powder and solvent for solution for injection in pre-filled pen (1); Powder and solvent for solution for infusion (1); Powder and solvent for solution for subcutaneous injection (1); powder and solvent for prolonged-release suspension for injection (1); powder and solvent for subcutaneous injection (1); powder and solvent for suspension for oral use (1); powder and solvent for injection (1)
Pharmaceutical_form,tablet; tablet,4,tablet; orodispersible tablet (2); film-coated tablets; orodispersible tablets (1); tablet; gastro-resistant tablet (1)
Pharmaceutical_form,eye drops,19,"eye drops, solution (5); Eye drops, solution (3); eye drops, emulsion (2); Eye drops, emulsion (2); eye drops solution (2); eye drops suspension (1); eye drop solution (1); eye drops, suspension (1); eye drop emulsion (1); Eye Drops, Suspension (1)"
Pharmaceutical_form,lyophilized powder,32,"lyophilised powder (5); lyophilised powder for concentrate for solution for infusion (4); lyophilised powder for solution for injection (3); lyophilized powder for solution for injection (2); sterile lyophilised powder (2); lyophilised powder for injection (2); sterile, lyophilised powder (1); lyophilised sterile powder for solution for injection (1); lyophilized powder for intravenous injection (1); Lyophilised powder for infusion (1); lyophilised powder for concentrate for solution (1); Lyophilised powder for solution for injection (1); lyophilised powder for solution (1); lyophilised powder for reconstitution (1); lyophilisate powder for solution for infusion (1); Lyophilised powder for solution for infusion (1); lyophilized powder for reconstitution (1); Lyophilised powder (1); lyophilised powder for solution for infusion (1); Lyophilised powder for solution for intravenous infusion (1)"
Pharmaceutical_form,dispersion,19,dispersion for infusion (8); dispersion for injection (3); dispersion of cells for infusion (2); cell dispersion for infusion (2); Nebuliser dispersion (1); dispersion for injection or infusion (1); Dispersion for infusion (1); prolonged-release dispersion for injection (1)
Pharmaceutical_form,powder; capsule,9,"Inhalation powder, hard capsule (4); inhalation powder, hard capsules (3); powder for concentrate for solution for infusion; hard capsules (1); Inhalation powder, hard capsules (1)"
Pharmaceutical_form,tablet; powder; solvent,1,"Coated tablet, Powder for solution for injection, Powder and solvent for solution for injection (1)"
Pharmaceutical_form,concentrate; solvent,3,concentrate and solvent for solution for infusion (2); concentrate and solvent for solution for injection (1)
Pharmaceutical_form,capsule; powder,3,Hard capsules; Powder for oral suspension (1); hard capsule and powder for oral use (1); capsule; powder for oral solution (1)
Pharmaceutical_form,Powder; solvent,2,Powder and solvent for suspension for subcutaneous injection (2)
Pharmaceutical_form,capsule; solution,6,hard capsules; oral solution (5); Soft capsules; Oral solution (1)
Pharmaceutical_form,tablet; solution,8,tablet; oral solution (3); film-coated tablets; oral solution (3); tablet; solution for infusion (1); film-coated tablet; oral solution (1)
Pharmaceutical_form,solution; concentrate,2,solution for injection; concentrate for solution for infusion (1); Solution for injection; Concentrate for solution for infusion (1)
Pharmaceutical_form,emulsion,3,emulsion for injection (3)
Pharmaceutical_form,tablet; concentrate,2,film-coated tablet; concentrate for solution for infusion (1); film-coated tablets; concentrate for solution for infusion (1)
Pharmaceutical_form,tablet; capsule,4,film coated tablet and capsule (1); Film-coated tablet and hard capsules (1); film-coated tablet; hard capsule (1); film-coated tablets; hard capsules (1)
Pharmaceutical_form,powder; suspension,2,powder and suspension for suspension for injection (1); Powder and suspension for suspension for injection (1)
Pharmaceutical_form,formulation,2,Prolonged release oral formulation (1); prolonged release formulation (1)
Pharmaceutical_form,concentrate; solution,5,Concentrate for solution for infusion; Solution for injection (4); concentrate for solution for infusion; solution for infusion (1)
Pharmaceutical_form,gas,1,Gas for inhalation (1)
Pharmaceutical_form,kit for radiopharmaceutical preparation,1,kit for radiopharmaceutical preparation for intravenous use (1)
Pharmaceutical_form,liquid,6,"oral liquid (2); liquid concentrate for injection (1); liquid concentrate for intravenous infusion (1); liquid concentrate for intravenous (IV) administration (1); sterile, preservative-free, liquid dosage form (1)"
Pharmaceutical_form,Lyophilized powder,2,Lyophilized powder for solution for injection (1); Lyophilized powder for reconstitution (1)
Pharmaceutical_form,kit for implantation,1,kit for implant (1)
Pharmaceutical_form,Solution,2,Solution for injection in pre-filled syringe (2)
Pharmaceutical_form,capsule; tablet; powder; powder,1,capsules; tablets; powder for oral suspension; powder for concentrate for solution for infusion (1)
Pharmaceutical_form,implant,6,intravitreal implant (1); Implants (1); Implantation suspension (1); subcutaneous implant (1); intraocular implant (1); intracameral implant (1)
Pharmaceutical_form,pessary,1,vaginal pessaries (1)
Pharmaceutical_form,Tablet; tablet,1,Tablet; Orodispersible tablet (1)
Pharmaceutical_form,powder; tablet,3,Powder for concentrate for solution for infusion; Tablets (1); Powder for concentrate for solution for infusion; Film-coated tablets (1); Powder for oral solution; Soluble tablet (1)
Pharmaceutical_form,solution; emulsion,1,solution and emulsion for injection (1)
Pharmaceutical_form,sheet,1,transparent circular sheet (1)
Pharmaceutical_form,cartridge; pre-filled syringe,1,cartridges and pre-filled syringes (1)
Pharmaceutical_form,suspension; gel,1,suspension and gel (1)
Pharmaceutical_form,granules,9,Granules for oral suspension (4); granules for oral suspension (3); prolonged-release granules (2)
Pharmaceutical_form,tablet; solution; Syrup,1,Film-coated tablet; Solution for infusion; Syrup (1)
Pharmaceutical_form,solution; tablet,2,solution for injection; film-coated tablets (1); Oral solution; Coated tablets (1)
Pharmaceutical_form,capsule; solution; tablet,1,hard capsules; oral solution; film-coated tablets (1)
Pharmaceutical_form,lyophilisate,4,lyophilisate for dispersion in water for injection (1); oral lyophilisate (1); Lyophilisate for solution for injection (1); lyophilisate for suspension for injection (1)
Pharmaceutical_form,tablet; lyophilisate; syrup,1,film-coated tablet; oral lyophilisate; syrup (1)
Pharmaceutical_form,tablet; powder,5,film-coated tablets; powder for concentrate for solution for infusion (1); tablet; oral powder (1); Film-coated tablet; Powder for oral suspension (1); film-coated tablets; powder for solution for infusion (1); film-coated tablets; powder for oral suspension (1)
Pharmaceutical_form,inhaler,4,pressurised inhalation (2); metered dose inhaler (1); pressurised metered dose inhaler (1)
Pharmaceutical_form,liposome,1,liposome for injection (1)
Pharmaceutical_form,suspension; emulsion,1,suspension and emulsion for injection (1)
Pharmaceutical_form,tablet; granules,2,tablets and granules (1); film coated tablets and granules (1)
Pharmaceutical_form,concentrate; solvent; tablet,1,Concentrate and solvent for solution for infusion; Film-coated tablet (1)
Pharmaceutical_form,concentrate; diluent,1,concentrate and diluent for solution for infusion (1)
Pharmaceutical_form,aqueous formulation,1,sterile preserved aqueous formulation for topical ophthalmic application (1)
Pharmaceutical_form,tablet; solution; solution,2,film-coated tablets; oral solution; solution for injection/infusion (1); film-coated tablets; oral solution; solution for infusion (1)
Pharmaceutical_form,solution; suspension,2,solution for injection or suspension for injection (1); solution or suspension for parenteral administration (1)
Pharmaceutical_form,granules; capsule,1,granules in capsules for opening (1)
Pharmaceutical_form,pre-filled syringe,1,single dose prefilled syringe (1)
Pharmaceutical_form,capsule; tablet,2,hard capsules and orodispersible tablets (1); hard capsules; film-coated tablets (1)
Pharmaceutical_form,preparation,1,"Sterile, freeze-dried preparation (1)"
Pharmaceutical_form,Suspension,1,Suspension for endotracheopulmonary instillation (1)
Pharmaceutical_form,lyophilized cake,1,lyophilised cake (1)
Pharmaceutical_form,tablet; suspension,1,film-coated tablet; oral suspension (1)
