Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
Oral,16.01.2018,2018,authorised,approved,06.06.2018,2018,Neoplasms; Diseases of the skin,auspar-trametinib-dabrafenib-181108.pdf,Small molecule,Mekinist and Tafinlar,"Adjuvant treatment of patients with Stage III melanoma with a BRAF V600 mutation, following complete resection.",<Melanoma>,yes,"Adjuvant treatment of patients with Stage III melanoma with a BRAF V600 mutation, following complete resection.",<Melanoma>,Novartis Pharmaceuticals Australia Pty Limited,Novartis,"205919, 205917 and 200922, 200936",Trametinib and Dabrafenib,yes,no,Film-coated tablet (Mekinist) and Hard capsules (Tafinlar),PM-2017-04434-1-4 and PM-2017-04435-1-4,Not reported
Oral,Not reported,Not reported,authorised,approved,09.04.2014,2014,Infectious and parasitic diseases,auspar-emtricitabine-140612.pdf,Small molecule,Emtriva,"Treatment of HIV in combination with other antiretroviral agents in infected adults and paediatric patients 12 years of age and older, weighing more than 33 kg.",<HIV Infections>,yes,Treatment of HIV infected adults and paediatric patients 12 years of age and older in combination with other antiretroviral agents.,<HIV Infections>,Gilead Sciences Pty Ltd,Gilead,"96426, 96427",Emtricitabine,yes,yes,Capsules,PM-2012-02513-3-2,Not reported
Subcutaneous,10.04.2007,2007,authorised,approved,24.01.2012,2012,Diseases of the blood and blood-forming organs,auspar-normal-immunoglobulin-human-120507.pdf,Biologics,Evogam,Replacement therapy in primary immunodeficiency disease and symptomatic hypogammaglobulinaemia secondary to underlying disease or treatment.,<Immunologic Deficiency Syndromes>; <Hypogammaglobulinemia>,no,Replacement therapy in primary immunodeficiency disease and symptomatic hypogammaglobulinaemia secondary to underlying disease or treatment.,<Immunologic Deficiency Syndromes>; <Hypogammaglobulinemia>,CSL Ltd,CSL,"173315, 173323, 173324",Normal (Human) Immunoglobulin,yes,no,Solution for Injection,PM-2010-01887-3-2,Not reported
Intravenous,Not reported,Not reported,authorised,approved,04.10.2013,2013,Diseases of the musculoskeletal system and connective tissue,auspar-tocilizumab-140206.pdf,Biologics,Actemra,Treatment of moderate to severe active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older who have had an inadequate response to or intolerance to methotrexate.,"<Arthritis, Juvenile>",yes,Treatment of moderate to severe active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older who have had an inadequate response to or intolerance to methotrexate.,"<Arthritis, Juvenile>",Roche Products Pty Ltd,Roche,"149402, 149403, 149404",Tocilizumab,yes,no,Injection concentrated,PM-2012-01905-3-3,Not reported
Topical,Not reported,Not reported,authorised,approved,01.08.2014,2014,Diseases of the skin,auspar-brimonidine-as-tartrate-150123.pdf,Small molecule,Mirvaso,For the treatment of facial erythema of rosacea in adult patients,<Rosacea>,no,For the treatment of facial erythema of rosacea in adult patients,<Rosacea>,Galderma Australia Pty Ltd,Galderma,212325,Brimonidine,yes,no,Gel,PM-2013-01459-1-5,Not reported
Intravenous,06.01.2015,2015,authorised,approved,25.11.2016,2016,"Injury, poisoning and certain other consequences of external causes",auspar-fomepizole-170817.pdf,Small molecule,Antizol,Treatment of ethylene glycol or methanol poisoning,<Poisoning>,no,Antidote for ethylene glycol or methanol poisoning,<Poisoning>,AFT Pharmaceuticals,AFT,263913,Fomepizole,yes,yes,Concentrated injection,PM-2015-02803-1-3,Not reported
Oral,Not reported,Not reported,withdrawn,withdrawn,23.02.2016,2016,"Endocrine, nutritional, and metabolic diseases",auspar-gliclazide-160719.pdf,Small molecule,Gliclazide Gppl MR 30; Gliclazide Gxp MR 60; Gliclazide Genpar MR 60,NA,Not Reported,no,Type II Diabetes in association with dietary measures when dietary measures alone are inadequate to control blood glucose.,<Type 2 Diabetes Mellitus>,Generic Partners Pty Ltd,Generic Partners,Not reported,Gliclazide,yes,no,Modified release tablet,PM-2015-00426-1-5,NA
Intravenous,20.01.2021,2021,authorised (under additional monitoring),approved,08.12.2021,2021,Neoplasms,auspar-lutetium-177lu-chloride-20220916.pdf,Other,Lutetium (177Lu) chloride,For the treatment of non resectable or metastatic neuroendocrine tumours (NETS) expressing somatostatin subtype 2 receptors when coupled with a suitable carrier molecule.,<Neuroendocrine Tumors>,no,For the treatment of non resectable or metastatic neuroendocrine tumours (NETS) expressing somatostatin subtype 2 receptors when coupled with a suitable carrier molecule.,<Neuroendocrine Tumors>,Australian Nuclear Science and Technology Organisation (ANSTO),Not Reported,352151,Lutetium (177Lu) chloride,yes,yes,Radiochemical solution,PM-2020-06691-1-4,Not reported
Oral,Not reported,Not reported,authorised,approved,10.09.2013,2013,"Endocrine, nutritional, and metabolic diseases",auspar-alogliptin-benzoate-140109.pdf,Small molecule,"Nesina, Vipidia","To improve glycaemic control in adult patients with type 2 diabetes mellitus when diet and exercise do not provide adequate glycaemic control, as add on to metformin, a sulphonylurea, a thiazolidinedione, insulin (with or without metformin), or in combination with metformin and a thiazolidinedione when dual therapy does not provide adequate glycaemic control.","<Diabetes Mellitus, Type 2>",no,To improve glycaemic control in adult patients with type 2 diabetes mellitus when diet and exercise do not provide adequate glycaemic control.,<Type 2 Diabetes Mellitus>,Takeda Pharmaceuticals Australia Pty Ltd,Takeda,"199538, 199539, 199540, 199541, 199542, 199543",Alogliptin,no,no,Film-coated tablet,PM-2012-01949-3-5,NA
Intravenous,Not reported,Not reported,authorised,approved,26.06.2014,2014,Neoplasms; Diseases of the blood and blood-forming organs,auspar-bendamustine-150106.pdf,Small molecule,Ribomustin,"First-line treatment of chronic lymphocytic leukaemia (Binet stage B or C); Previously untreated indolent CD20-positive, stage III-IV Non-Hodgkin's lymphoma, in combination with rituximab; Previously untreated CD20-positive, stage I/II-IV Mantle Cell Lymphoma in combination with rituximab, in patients ineligible for autologous stem cell transplantation; Relapsed/Refractory indolent Non-Hodgkin's lymphoma.","<Leukemia, Lymphocytic, Chronic, B-Cell>; <Non-Hodgkin Lymphoma>; <Lymphoma, Mantle-Cell>",no,"First-line treatment of chronic lymphocytic leukaemia (Binet stage B or C); Previously untreated indolent CD20-positive, stage III-IV Non-Hodgkin's lymphoma, in combination with rituximab; Previously untreated CD20-positive, stage I/II-IV Mantle Cell Lymphoma in combination with rituximab, in patients ineligible for autologous stem cell transplantation; Relapsed/Refractory indolent Non-Hodgkin's lymphoma.","<Leukemia, Lymphocytic, Chronic, B-Cell>; <Lymphoma, Non-Hodgkin>; <Lymphoma, Mantle-Cell>",Janssen-Cilag Pty Ltd,Janssen-Cilag,211684 and 211685,Bendamustine hydrochloride,yes,no,Powder for concentrated injection,PM-2013-01517-1-4,Not reported
Oral,30.06.2020,2020,authorised (under additional monitoring),approved,24.09.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,auspar-venetoclax-220426.pdf,Small molecule,Venclexta,Acute Myeloid Leukaemia,"<Leukemia, Myeloid, Acute>",no,Acute Myeloid Leukaemia,"<Leukemia, Myeloid, Acute>",AbbVie Pty Ltd,AbbVie,"267441, 267442, 267443, 267444 and 267445",Venetoclax,yes,yes,Film coated tablet,PM-2020-02543-1-6,Not reported
Oral,Not reported,Not reported,authorised,approved,14.07.2011,2011,Diseases of the musculoskeletal system and connective tissue; Diseases of the circulatory system,auspar-eliquis.pdf,Small molecule,Eliquis,For the prevention of venous thromboembolic events (VTE) in adult patients who have undergone elective total hip or total knee replacement surgery.,<Thromboembolism>,no,Prevention of venous thromboembolic events (VTE) in adult patients who have undergone elective hip or knee replacement surgery.,<Thromboembolism>,Bristol-Myers Squibb Australia Pty Ltd,Bristol-Myers Squibb,172244,Apixaban,no,no,Film coated tablet,PM-2010-01492-3-3,NA
Nasal,Not reported,Not reported,withdrawn,withdrawn,03.03.2014,2014,Neoplasms; Diseases of the nervous system,auspar-fentanyl-140520.pdf,Small molecule,Pecfent,NA,Not Reported,yes,Management of breakthrough pain in adults with cancer who are already receiving maintenance opioid therapy for chronic pain.,<Cancer>,AstraZeneca Pty Ltd,AstraZeneca,"185934, 185935",Fentanyl,yes,no,Nasal spray solution,PM-2013-01123-1-1,Not reported
Intramuscular,Not reported,Not reported,authorised,approved,21.08.2013,2013,Infectious and parasitic diseases,auspar-influenza-virus-140206.pdf,Vaccine,Fluarix Tetra,Active immunisation of adults and children from 3 years of age for the prevention of influenza disease caused by the influenza virus types A and B contained in the vaccine.,<Influenza>,no,Active immunisation of adults and children from 3 years of age for the prevention of influenza disease caused by the influenza virus types A and B contained in the vaccine.,<Influenza>,GlaxoSmithKline Australia Pty Ltd,GlaxoSmithKline,200674 and 210806,Influenza virus haemagglutinin,no,no,Suspension for Injection,PM-2012-02287-3-2,NA
Intravenous,03.06.2022,2022,authorised (under additional monitoring),approved,31.05.2023,2023,Diseases of the blood and blood-forming organs,auspar-esperoct-231024.pdf,Biologics,Esperoct,Routine prophylactic treatment to prevent or reduce the frequency of bleeding episodes; On-demand treatment and control of bleeding episodes; Peri-operative management of bleeding (surgical prophylaxis),<Not Reported>,no,For the treatment and prophylaxis of bleeding in previously treated patients with haemophilia A (congenital factor VIII deficiency).,<Hemophilia A>,Novo Nordisk Pharmaceuticals Pty Ltd,Novo Nordisk,"389597,389598,389600,389599,389596",Turoctocog alfa pegol,no,no,Powder for injection,PM-2022-01578-1-6,NA
Subcutaneous,Not reported,Not reported,authorised,approved,23.12.2015,2015,"Endocrine, nutritional, and metabolic diseases",auspar-liraglutide-160323.pdf,Peptides and proteins,Saxenda,"Chronic weight management in adult patients with an initial Body Mass Index (BMI) of greater than or equal to 30 kg/m2 (obese); or greater than or equal to 27 kg/m2 to less than 30 kg/m2 (overweight) in the presence of at least one weight related comorbidity, such as dysglycaemia (pre-diabetes and type 2 diabetes mellitus), hypertension, dyslipidaemia, or obstructive sleep apnoea.","<Obesity>; <Overweight>; <Prediabetic State>; <Diabetes Mellitus, Type 2>; <Hypertension>; <Dyslipidemias>; <Sleep Apnea, Obstructive>",yes,"Chronic weight management in adult patients with an initial Body Mass Index (BMI) of greater than or equal to 30 kg/m2 (obese); or greater than or equal to 27 kg/m2 to less than 30 kg/m2 (overweight) in the presence of at least one weight related comorbidity, such as dysglycaemia (pre-diabetes and type 2 diabetes mellitus), hypertension, dyslipidaemia, or obstructive sleep apnoea.","<Obesity>; <Overweight>; <Prediabetic State>; <Diabetes Mellitus, Type 2>; <Hypertension>; <Dyslipidemias>; <Sleep Apnea, Obstructive>",Novo Nordisk Pharmaceuticals Pty Ltd,Novo Nordisk,225804,Liraglutide,no,no,Solution for injection,PM-2014-01472-1-5,NA
Oral,Not reported,Not reported,authorised,approved,07.09.2012,2012,Diseases of the circulatory system,auspar-olmesartan-medoxomil-130226.pdf,Small molecule,Olmetec,for the treatment of hypertension,<Hypertension>,yes,for the treatment of hypertension,<Hypertension>,Merck Sharp & Dohme (Australia) Pty Ltd,Merck Sharp & Dohme,"AUST R 102134, AUST R 102138, AUST R 102139",Olmesartan medoxomil,yes,no,Tablet,PM-2011-01941-3-3,Not reported
Subcutaneous,Not reported,Not reported,authorised,approved,16.10.2013,2013,"Endocrine, nutritional, and metabolic diseases",auspar-insulin-detemir-rys-140328.pdf,Peptides and proteins,Levemir,Treatment of diabetes mellitus,<Diabetes Mellitus>,no,Treatment of diabetes mellitus,<Diabetes Mellitus>,Novo Nordisk Pharmaceuticals,Novo Nordisk,172213; 172234; 172235,insulin detemir,yes,no,Solution for injection,PM-2012-02256-3-5,Not reported
Intravenous,30.07.2019,2019,authorised (under additional monitoring),approved,29.04.2020,2020,Neoplasms; Diseases of the blood and blood-forming organs,auspar-isatuximab-201102.pdf,Biologics,Sarclisa,"Sarclisa is indicated in combination with pomalidomide and dexamethasone, for the treatment of patients with multiple myeloma (MM) who have received at least two prior therapies including lenalidomide and a proteasome inhibitor (PI).",<Multiple Myeloma>,no,"Sarclisa is indicated in combination with pomalidomide and dexamethasone, for the treatment of patients with multiple myeloma (MM) who have received at least two prior therapies including lenalidomide and a proteasome inhibitor (PI).",<Multiple Myeloma>,Sanofi-Aventis Australia Pty Ltd,Sanofi-Aventis,"319085, 319086",Isatuximab,no,yes,Concentrated injection,PM-2019-02568-1-6,NA
Intravenous,31.07.2023,2023,authorised,approved,19.01.2024,2024,Diseases of the nervous system,auspar-ultomiris-240708.pdf,Biologics,ULTOMIRIS,treatment of adult patients with Neuromyelitis Optica Spectrum Disorder (NMOSD) who are anti-aquaporin 4 (AQP4) antibody-positive,<Neuromyelitis Optica Spectrum Disorder>,yes,treatment of adult patients with Neuromyelitis Optica Spectrum Disorder (NMOSD) who are anti-aquaporin 4 (AQP4) antibody-positive,<Neuromyelitis Optica Spectrum Disorder>,Alexion Pharmaceuticals Australasia Pty Ltd,Alexion,"311926, 330566, 336710",ravulizumab,yes,no,Solution for intravenous infusion,PM-2023-02695-1-1,Not reported
Oral,Not reported,Not reported,authorised,approved,10.11.2015,2015,Diseases of the genitourinary system,auspar-avanafil-161027.pdf,Small molecule,Spedra,Treatment of erectile dysfunction in adult males.,<Impotence>,no,Treatment of erectile dysfunction in men.,<Impotence>,A.Menarini Australia Pty Ltd,Menarini,"228476, 228475, 228474",Avanafil,no,no,Uncoated tablets,PM-2014-02782-1-3,NA
Subcutaneous,31.10.2016,2016,authorised,approved,24.11.2017,2017,"Endocrine, nutritional, and metabolic diseases",auspar-ryzodeg-180522.pdf,Peptides and proteins,Ryzodeg 70/30 FlexTouch; Ryzodeg 70/30 Penfill,To improve glycaemic control in adult patients with diabetes mellitus requiring basal and prandial insulin.,<Diabetes Mellitus>,no,To improve glycaemic control in adult patients with diabetes mellitus requiring basal and prandial insulin.,<Diabetes Mellitus>,Novo Nordisk Pharmaceuticals Pty Ltd,Novo Nordisk,280432; 280433,insulin degludec; insulin aspart,yes,no,Solution for injection,PM-2016-02723-1-5,Not reported
Subcutaneous,31.08.2018,2018,authorised,approved,29.10.2019,2019,"Diseases of the circulatory system; Endocrine, nutritional, and metabolic diseases",auspar-alirocumab-rch-191209.pdf,Biologics,Praluent,Primary hypercholesterolaemia; Prevention of cardiovascular events,<Hypercholesterolemia>; <Cardiovascular Diseases>,yes,Primary hypercholesterolaemia and mixed dyslipidaemia,<Hypercholesterolemia>; <Dyslipidemias>,Sanofi-Aventis Australia Pty Ltd,Sanofi-Aventis,"238285, 238299, 238304, 238305",Alirocumab,yes,no,Solution for injection,PM-2018-02973-1-3,Not reported
Oral,Not reported,Not reported,authorised,approved,18.06.2015,2015,Neoplasms,auspar-propranolol-hydrochloride-150819.pdf,Small molecule,Hemangiol,Treatment of proliferating infantile hemangioma requiring systemic therapy,<Infantile Hemangioma>,yes,Treatment of proliferating infantile hemangioma requiring systemic therapy,<Infantile Hemangioma>,Pierre Fabre Medicament Australia Pty Limited,Pierre Fabre,212274,Propranolol hydrochloride,yes,yes,Oral solution,PM-2013-01250-1-4,Not reported
intramuscular,02.08.2024,2024,authorised,approved,10.10.2024,2024,Infectious and parasitic diseases,auspar-comirnaty-jn-1-covid-19-vaccine-250318.pdf,Vaccine,Comirnaty JN.1 COVID-19 Vaccine,"Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2, in individuals 6 months of age and older.",<Coronavirus Infections>,no,"Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2, in individuals 6 months of age and older.",<Coronavirus Disease 2019>,Pfizer Australia Pty Ltd,Pfizer,"457685, 457688, 457690, 457677, 457680, 457686, 459385, 457679, 459366",bretovameran,yes,no,suspension for injection,PM-2024-02578 1-1-2,Not reported
Subcutaneous,31.01.2020,2020,authorised (under additional monitoring),approved,17.12.2020,2020,"Endocrine, nutritional, and metabolic diseases",auspar-insulin-degludec-liraglutide-210322.pdf,Peptides and proteins,Xultophy,"Treatment of adults with type 2 diabetes mellitus to improve glycaemic control in combination with metformin, with or without other oral glucose-lowering medicinal products.","<Diabetes Mellitus, Type 2>",no,Treatment of adults with type 2 diabetes mellitus to improve glycaemic control in combination with one or more oral glucose-lowering medicinal products.,<Type 2 Diabetes Mellitus>,Novo Nordisk Pharmaceuticals Pty Ltd,Novo Nordisk,328580,insulin degludec/liraglutide,no,no,Solution for injection,PM-2019-05122-1-5,NA
Oral inhalation,Not reported,Not reported,authorised,approved,18.03.2014,2014,Diseases of the respiratory system,auspar-aclidinium-bromide-140908.pdf,Small molecule,Bretaris Genuair,Long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,<Chronic Obstructive Pulmonary Disease>,no,Long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,<Chronic Obstructive Pulmonary Disease>,A Menarini Australia Pty Ltd,Menarini,206071,Aclidinium bromide,no,no,Powder for inhalation,PM-2012-04170-1-5,NA
Intramuscular,03.03.2022,2022,authorised,approved,09.06.2022,2022,Infectious and parasitic diseases,auspar-nuvaxovid-homologous-booster-220614.pdf,Vaccine,Nuvaxovid,Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 18 years of age and older.,<Coronavirus Infections>,yes,Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 18 years of age and older.,<Coronavirus Disease 2019>,Biocelect Pty Ltd,Biocelect,351139,SARS-CoV-2 rS vaccine,no,no,Suspension for injection,PM-2022-00638-1-2,NA
Intravenous,Not reported,Not reported,authorised,approved,30.08.2012,2012,Neoplasms,auspar-eribulin-mesilate-130517-01.pdf,Small molecule,Halaven,Treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapeutic regimens for advanced disease.,<Breast Neoplasms>,no,Treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapeutic regimens for advanced disease.,<Breast Neoplasms>,Eisai Australia Pty Ltd,Eisai,187136,Eribulin mesilate,no,no,Solution for injection,PM-2011-01624-3-4,NA
Oral,Not reported,Not reported,authorised,approved,07.09.2012,2012,Diseases of the genitourinary system,auspar-mycophenolate-sodium-130517.pdf,Small molecule,Myfortic,"Induction and maintenance treatment of adult patients with WHO Class III, IV or V lupus nephritis",<Lupus Nephritis>,yes,Induction and maintenance treatment of lupus nephritis,<Lupus Nephritis>,Novartis Pharmaceuticals Australia Pty Limited,Novartis,"91939, 91940",Mycophenolate sodium,yes,yes,Enteric coated tablet,PM-2010-01235-3-2,Not reported
Oral,Not reported,Not reported,authorised,approved,29.04.2010,2010,Infectious and parasitic diseases,auspar-hepsera.pdf,Small molecule,Hepsera,Treatment of chronic hepatitis B in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases or histologically active disease.,<Chronic Hepatitis B>,yes,Treatment of chronic hepatitis B in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases or histologically active disease.,<Chronic Hepatitis B>,Gilead Sciences Pty Ltd,Gilead,96916,Adefovir dipivoxil,yes,no,Tablet,PM-2009-00296-3-2,Not reported
Subcutaneous,Not reported,Not reported,authorised,approved,19.01.2016,2016,Diseases of the musculoskeletal system and connective tissue,auspar-tocilizumab-rch-160929.pdf,Biologics,Actemra,Treatment of moderate to severe active rheumatoid arthritis in adult patients,<Rheumatoid Arthritis>,no,Treatment of moderate to severe active rheumatoid arthritis in adult patients,<Rheumatoid Arthritis>,Roche Products Pty Ltd,Roche,234034,Tocilizumab,no,no,Solution for injection,PM-2014-04309-1-3,NA
Intramuscular,Not reported,Not reported,authorised,approved,16.03.2010,2010,Infectious and parasitic diseases,auspar-prevenar13.pdf,Vaccine,Prevenar 13,"Active immunisation for the prevention of disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, and 23F (including invasive disease, pneumonia and acute otitis media) in infants and children from 6 weeks up to 5 years of age.",<Streptococcal Infections>; <Pneumonia>; <Otitis Media>,no,"Active immunisation for the prevention of disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, and 23F in infants and children from 6 weeks to 5 years of age.",<Streptococcal Infections>,Wyeth Australia Pty Ltd,Wyeth,Not reported,Pneumococcal Polysaccharide Conjugate Vaccine,no,no,Suspension for Injection,Not reported,NA
Intravenous,02.01.2019,2019,authorised (under additional monitoring),approved,08.10.2019,2019,Diseases of the blood and blood-forming organs,auspar-ravulizumab-191113.pdf,Biologics,Ultomiris,treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH),<Paroxysmal Nocturnal Hemoglobinuria>,no,treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH),<Paroxysmal Nocturnal Hemoglobinuria>,Alexion Pharmaceuticals Australasia Pty Ltd,Alexion,311926,Ravulizumab,yes,yes,"Injection, intravenous solution",PM-2018-05023-1-6,Not reported
Oral,01.08.2022,2022,authorised (under additional monitoring),approved,04.04.2023,2023,Neoplasms; Diseases of the digestive system,auspar-tibsovo-231003.pdf,Small molecule,Tibsovo,Treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an isocitrate dehydrogenase-1 (IDH1) R132 mutation after at least one prior line of systemic therapy.,<Cholangiocarcinoma>,no,"Treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an isocitrate dehydrogenase-1 (IDH1) mutation, who were previously treated by at least one prior line of systemic therapy.",<Cholangiocarcinoma>,Servier Laboratories (Aust) Pty Ltd,Servier,391874,Ivosidenib,no,yes,Film-coated tablet,PM-2022-02134-1-4,NA
