Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,08.09.2023,2023,authorised,approved,27.06.2024,2024,Neoplasms; Diseases of the genitourinary system,balversa-epar-public-assessment-report_en.pdf,Small molecule,Balversa,"treatment of adult patients with unresectable or metastatic urothelial carcinoma (UC), harboring susceptible FGFR3 genetic alterations who have previously received at least one line of therapy containing a PD-1 or PD-L1 inhibitor in the unresectable or metastatic treatment setting",<Urothelial Carcinoma>,no,"treatment of adult patients with locally advanced unresectable or metastatic urothelial carcinoma (UC), harboring susceptible FGFR3 genetic alterations with disease progression during or following at least one line of therapy containing a PD-1 or PD-L1 inhibitor in the locally advanced unresectable or metastatic treatment setting",<Urothelial Carcinoma>,Janssen-Cilag International N.V.,Janssen-Cilag,EMA/336561/2024,erdafitinib,no,no,film-coated tablet,EMEA/H/C/006050/0000,
Subcutaneous,14.01.2022,2022,authorised (under additional monitoring),approved,22.12.2022,2022,"Endocrine, nutritional, and metabolic diseases",auspar-mounjaro-231113.pdf,Peptides and proteins,Mounjaro,Treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise,"<Diabetes Mellitus, Type 2>",no,Treatment of adults with type 2 diabetes mellitus as an adjunct to diet and exercise,<Type 2 Diabetes Mellitus>,Eli Lilly Australia Pty Ltd,Eli Lilly,"379330, 379331, 379332, 379333, 379334 and 382625",Tirzepatide,no,no,Solution for injection,PM-2021-05212-1-5,
intramuscular,Not reported,Not reported,,refused,15.12.2022,2022,Infectious and parasitic diseases,skycovion-epar-withdrawal-assessment-report_en.pdf,Vaccine,SKYCovion,,Not Reported,no,active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 18 years of age and older,<COVID-19>,Not reported,Not Reported,EMA/417990/2023,gbp510,no,no,suspension,EMEA/H/C/005998/0000,
Oral,09.03.2020,2020,authorised,approved,25.02.2021,2021,Diseases of the blood and blood-forming organs,orladeyo-epar-public-assessment-report_en.pdf,Small molecule,Orladeyo,Routine prevention of recurrent attacks of hereditary angioedema (HAE) in adult and adolescent patients aged 12 years and older,"<Angioedema, Hereditary>",no,Routine prevention of recurrent attacks of hereditary angioedema (HAE) in patients aged 12 years and older,"<Angioedema, Hereditary>",BioCryst Ireland Limited,BioCryst,EMA/153239/2021,berotralstat,no,yes,"Capsule, hard",EMEA/H/C/005138/0000,
Oral,Not reported,Not reported,authorised,approved,Not reported,Not reported,Diseases of the circulatory system,micardis-epar-scientific-discussion_en.pdf,Small molecule,Micardis,Treatment of essential arterial hypertension,<Hypertension>,no,Treatment of essential arterial hypertension,<Hypertension>,Not reported,Not Reported,Not reported,Telmisartan,no,no,Tablet,Not reported,
oral,Not reported,Not reported,withdrawn,withdrawn,30.03.2023,2023,Congenital malformations and chromosomal abnormalities; Other,withdrawal-assessment-report-vijoice_en.pdf,Small molecule,Vijoice,,Not Reported,no,treatment of adult and paediatric patients aged 2 years and older with severe manifestations of PIK3CA-related overgrowth spectrum (PROS),<PIK3CA-Related Overgrowth Spectrum>,Not reported,Not Reported,EMA/506300/2023,alpelisib,no,yes,film-coated tablet,EMEA/H/C/5468/0000,
Oral,04.01.2021,2021,authorised (under additional monitoring),approved,02.11.2021,2021,Neoplasms; Diseases of the digestive system,auspar-truseltiq-221208.pdf,Small molecule,Truseltiq,"Treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement.",<Cholangiocarcinoma>,no,"Treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement.",<Cholangiocarcinoma>,Adjutor Healthcare Pty Ltd,Adjutor,"348760, 348761, 348762, 348763",Infigratinib,no,yes,Hard capsule,PM-2020-06031-1-4,
oral,07.09.2007,2007,authorised,approved,29.05.2009,2009,"Endocrine, nutritional, and metabolic diseases",vedrop-epar-public-assessment-report_en.pdf,Vitamins,Vedrop,Vitamin E deficiency due to digestive malabsorption in paediatric patients suffering from congenital chronic cholestasis or hereditary chronic cholestasis.,<Cholestasis>,no,"Vitamin E deficiency due to digestive malabsorption in paediatric patients suffering from cystic fibrosis, congenital chronic cholestasis or hereditary chronic cholestasis.","<Cystic Fibrosis>; <Cholestasis, Chronic>",Orphan Europe S.A.R.L.,Orphan Europe,EMA/485798/2009,tocofersolan,no,yes,oral solution,EMEA/H/C/000920,
Oral,08.08.2006,2006,authorised,approved,27.08.2008,2008,Neoplasms; Diseases of the blood and blood-forming organs,000153348.pdf,Small molecule,Thaled,Relapsed or refractory multiple myeloma,<Multiple Myeloma>,no,Multiple myeloma (to be used only when conventional treatment is not sufficiently effective),<Multiple Myeloma>,Fujimoto Pharmaceutical Corporation,Fujimoto,Not reported,Thalidomide,yes,yes,Capsule,Not reported,Not reported
oral,16.06.2020,2020,authorised (under additional monitoring),approved,23.03.2021,2021,Diseases of the musculoskeletal system and connective tissue,swisspar_rinvoq_psor_arthr_final.pdf,Small molecule,Rinvoq,"RINVOQ is indicated for the treatment of active psoriatic arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more DMARDs. RINVOQ may be used as monotherapy or in combination with non-biologic DMARDs.","<Arthritis, Psoriatic>",yes,"RINVOQ is used to treat adults with active psoriatic arthritis who have responded poorly to, or cannot tolerate, treatment with one or more disease-modifying anti-rheumatic drugs (DMARDs). RINVOQ may be used as monotherapy or in combination with non-biological DMARDs. RINVOQ inhibits the progression of structural damage and improves physical functions.","<Arthritis, Psoriatic>",AbbVie AG,AbbVie,67257,upadacitinib,yes,no,prolonged-release tablet,Not reported,
Oral,02.03.2020,2020,authorised,approved,04.03.2021,2021,Neoplasms; Diseases of the digestive system,auspar-olaparib-210415.pdf,Small molecule,Lynparza,"maintenance treatment of adult patients with advanced epithelial ovarian, fallopian tube or primary peritoneal cancer in response to first-line platinum-based chemotherapy and metastatic pancreatic adenocarcinoma",<Ovarian Neoplasms>; <Fallopian Tube Neoplasms>; <Peritoneal Neoplasms>; <Pancreatic Neoplasms>,yes,"maintenance treatment of adult patients with advanced epithelial ovarian, fallopian tube or primary peritoneal cancer in response to first-line platinum-based chemotherapy and metastatic pancreatic adenocarcinoma",<Ovarian Neoplasms>; <Fallopian Tube Neoplasms>; <Peritoneal Neoplasms>; <Pancreatic Neoplasms>,AstraZeneca Pty Ltd,AstraZeneca,"288613, 288614",Olaparib,yes,no,Film coated tablet,PM-2020-00161-1-4,Not reported
Intravenous,Not reported,Not reported,authorised,approved,08.01.2010,2010,Neoplasms; Diseases of the blood and blood-forming organs,auspar-rituximab.pdf,Biologics,MabThera,treatment of patients with CD20 positive chronic lymphocytic leukaemia (CLL) in combination with chemotherapy,"<Leukemia, Lymphocytic, Chronic, B-Cell>",yes,treatment of patients with relapsed/refractory chronic lymphocytic leukaemia (CLL),"<Leukemia, Lymphocytic, Chronic, B-Cell>",Roche Products Pty Ltd,Roche,Not reported,Rituximab,yes,no,Intravenous solution,Not reported,Not reported
oral,Not reported,Not reported,authorised,approved,Not reported,Not reported,"Endocrine, nutritional, and metabolic diseases",zavesca-epar-scientific-discussion_en.pdf,Small molecule,Zavesca,oral treatment of mild to moderate type 1 Gaucher disease,<Gaucher Disease>,no,oral treatment of mild to moderate type 1 Gaucher disease,<Gaucher Disease>,Not reported,Not Reported,Not reported,miglustat,no,Not reported,hard capsules,Not reported,
oral,18.11.2010,2010,authorised,approved,20.10.2011,2011,"Endocrine, nutritional, and metabolic diseases",repaglinide-accord-epar-public-assessment-report_en.pdf,Small molecule,Repaglinide Accord,"Repaglinide is indicated in patients with type 2 diabetes (Non Insulin-Dependent Diabetes Mellitus (NIDDM)) whose hyperglycaemia can no longer be controlled satisfactorily by diet, weight reduction and exercise. Repaglinide is also indicated in combination with metformin in type 2 diabetes patients who are not satisfactorily controlled on metformin alone.","<Diabetes Mellitus, Type 2>",no,"Repaglinide is indicated in patients with type 2 diabetes (Non Insulin-Dependent Diabetes Mellitus (NIDDM)) whose hyperglycaemia can no longer be controlled satisfactorily by diet, weight reduction and exercise. Repaglinide is also indicated in combination with metformin in type 2 diabetes patients who are not satisfactorily controlled on metformin alone.","<Diabetes Mellitus, Type 2>",Accord Healthcare Limited,Accord,EMA/9712/2012,Repaglinide,yes,no,tablet,EMEA/H/C/002318,CHMP
Infusion,31.03.2022,2022,authorised,approved,17.02.2023,2023,Neoplasms; Diseases of the respiratory system,auspar-opdivo-240903.pdf,Biologics,Opdivo,Neoadjuvant treatment of patients with resectable non-small cell lung cancer (NSCLC),<Lung Neoplasms>,yes,Neoadjuvant treatment of patients with resectable non-small cell lung cancer (NSCLC),<Non-Small Cell Lung Carcinoma>,Bristol-Myers Squibb Australia Pty Ltd,Bristol-Myers Squibb,"231867, 231868, 318057",Nivolumab,yes,no,Concentrate for solution for infusion,PM-2022-00374-1-4,Not reported
subcutaneous,09.03.2012,2012,authorised,approved,30.11.2012,2012,"Endocrine, nutritional, and metabolic diseases",000153726.pdf,Peptides and proteins,Ryzodeg,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,no,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Insulin Degludec/Insulin Aspart,no,no,solution for injection,Not reported,
oral,31.07.2015,2015,authorised,approved,10.11.2016,2016,Infectious and parasitic diseases,darunavir-mylan-epar-public-assessment-report_en.pdf,Small molecule,Darunavir Mylan,Treatment of patients with human immunodeficiency virus (HIV-1) infection,<Human Immunodeficiency Virus>,no,Treatment of patients with human immunodeficiency virus (HIV-1) infection,<Human Immunodeficiency Virus>,MYLAN S.A.S.,Mylan,EMA/851324/2016,darunavir,yes,no,film-coated tablet,EMEA/H/C/004068/0000,Not reported
oral,03.02.2011,2011,authorised,approved,20.09.2011,2011,Diseases of the respiratory system; Diseases of the skin,desloratadine-krka-withdrawal-assessment-report_en.pdf,Small molecule,Desloratadine Krka,relief of symptoms associated with allergic rhinitis and urticaria,<Allergic Rhinitis>; <Urticaria>,no,to relieve allergy symptoms,<Allergy>,"Krka, d.d., Novo mesto",Krka,EMA/32973/2012,desloratadine,yes,no,film-coated tablet,EMEA/H/C/002461,
oral,10.08.2016,2016,authorised (under additional monitoring),approved,23.02.2017,2017,Diseases of the circulatory system,roteas-epar-public-assessment-report_en.pdf,Small molecule,Roteas,"Prevention of stroke and systemic embolism in adult patients with nonvalvular atrial fibrillation (NVAF) with one or more risk factors; Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and prevention of recurrent DVT and PE in adults",<Stroke>; <Embolism>; <Atrial Fibrillation>; <Venous Thromboembolism>; <Pulmonary Embolism>,yes,"Prevention of stroke and systemic embolism in adult patients with nonvalvular atrial fibrillation (NVAF) with one or more risk factors; Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and prevention of recurrent DVT and PE in adults",<Stroke>; <Embolism>; <Atrial Fibrillation>; <Venous Thrombosis>; <Pulmonary Embolism>,Daiichi Sankyo Europe GmbH,Daiichi Sankyo,EMA/158410/2017,edoxaban,yes,no,film-coated tablets,EMEA/H/C/004339/0000,
IV infusion,Not reported,Not reported,authorised,approved,04.03.2010,2010,Diseases of the musculoskeletal system and connective tissue,auspar-orencia.pdf,Biologics,Orencia,Treatment of moderate to severe active rheumatoid arthritis in adult patients and reducing signs and symptoms in paediatric patients 6 years of age and older with moderately to severely active polyarticular juvenile idiopathic arthritis.,<Rheumatoid Arthritis>; <Juvenile Idiopathic Arthritis>,yes,Reducing signs and symptoms in paediatric patients 6 years of age and older with moderately to severely active polyarticular juvenile idiopathic arthritis.,"<Arthritis, Juvenile>",Bristol-Myers Squibb Australia Pty Ltd,Bristol-Myers Squibb,Not reported,Abatacept,no,no,Powder for IV infusion,PM-2008-03683-3-3,
"Subcutaneous, intramuscular",Not reported,Not reported,authorised,approved,18.08.2015,2015,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,auspar-methotrexate-170607.pdf,Small molecule,TREXJECT & TREXJECT IN,Psoriasis therapy; Rheumatoid arthritis therapy,"<Psoriasis>; <Arthritis, Rheumatoid>",yes,"Symptomatic control of severe, recalcitrant, disabling psoriasis in adults which is not adequately responsive to other forms of treatment; Management of severe, recalcitrant, active rheumatoid arthritis in adults not responding to, or intolerant of, an adequate trial of NSAIDs and one or more disease modifying drugs.","<Psoriasis>; <Arthritis, Rheumatoid>",Link Medical Products Pty Ltd T/A Link Pharmaceuticals,Link,"224969, 224970, 224974, 224975, 224976, 224977, 224978, 224979, 233714, 233715, 233716, 233717, 233718, 233719, 233720, 233721",Methotrexate,yes,no,Solution for injection,PM-2014-01050-1-3,Not reported
subcutaneous,Not reported,Not reported,authorised,approved,30.11.1995,1995,Diseases of the nervous system,betaferon-epar-scientific-discussion_en.pdf,Biologics,Betaferon,Reduction of frequency and severity of clinical relapses in relapsing-remitting multiple sclerosis; slowing progression of disease and reduction of frequency of clinical relapses in secondary progressive multiple sclerosis,"<Multiple Sclerosis, Relapsing-Remitting>; <Multiple Sclerosis, Secondary Progressive>",yes,Reduction of frequency and severity of clinical relapses in relapsing-remitting multiple sclerosis,"<Multiple Sclerosis, Relapsing-Remitting>",Schering AG,Schering,Not reported,interferon beta-1b,no,no,sterile lyophilised powder,Not reported,
intramuscular,25.11.2016,2016,authorised,approved,09.11.2017,2017,Neoplasms,fulvestrant-mylan-epar-public-assessment-report_en.pdf,Small molecule,Fulvestrant Mylan,"Fulvestrant is indicated for the treatment of estrogen receptor positive, locally advanced or metastatic breast cancer in postmenopausal women: not previously treated with endocrine therapy, or with disease relapse on or after adjuvant anti-estrogen therapy, or disease progression on antiestrogen therapy.",<Breast Neoplasms>,no,"Fulvestrant is indicated for the treatment of postmenopausal women with estrogen receptor positive, locally advanced or metastatic breast cancer for disease relapse on or after adjuvant anti-estrogen therapy, or disease progression on therapy with an anti-estrogen.",<Breast Neoplasms>,Mylan S.A.S,Mylan,EMA/810299/2017,fulvestrant,yes,no,solution for injection,EMEA/H/C/004649/0000,Not reported
intramuscular,Not reported,Not reported,authorised,approved,22.05.1996,1996,Infectious and parasitic diseases,twinrix-adult-epar-scientific-discussion_en.pdf,Vaccine,TWINRIX Adult,For use in non immune adults and adolescents of 16 years of age and above who are at risk of both hepatitis A and hepatitis B infection.,<Hepatitis A>; <Hepatitis B>,no,For use in non immune adults and adolescents of 16 years of age and above who are at risk of both hepatitis A and hepatitis B infection.,<Hepatitis A>; <Hepatitis B>,Not reported,Not Reported,Not reported,Not reported,yes,no,solution for injection,Not reported,CPMP
Subcutaneous,30.11.2017,2017,authorised,approved,21.03.2019,2019,Diseases of the circulatory system,auspar-fondaparinux-200511.pdf,Small molecule,Arixtra,Treatment of unstable angina or non-ST segment elevation myocardial infarction (UA/NSTEMI) in patients for whom urgent (< 120 min) invasive management (PCI) is not indicated; Treatment of ST segment elevation myocardial infarction (STEMI) in patients who are managed with thrombolytics or who initially are to receive no other form of reperfusion therapy,"<Angina, Unstable>; <Myocardial Infarction>",yes,Treatment of unstable angina or non-ST segment elevation myocardial infarction (UA/NSTEMI) and ST segment elevation myocardial infarction (STEMI),"<Angina, Unstable>; <Myocardial Infarction>",Aspen Pharmacare Australia Pty Ltd,Aspen,"97800, 97799, 97798, 80279",Fondaparinux,yes,no,Solution for Injection,PM-2017-03032-1-3,Not reported
Intravenous,02.12.2013,2013,authorised,approved,25.06.2015,2015,Diseases of the respiratory system,respreeza-epar-public-assessment-report_en.pdf,Biologics,Respreeza,"Maintenance treatment, to slow the progression of emphysema in adults with documented severe alpha 1-proteinase inhibitor deficiency.",<Emphysema>,no,Maintenance treatment to slow the underlying destruction of lung tissue leading to emphysema in adults with alpha 1-proteinase inhibitor deficiency with clinically evident lung disease.,<Emphysema>,CSL Behring GmbH,CSL Behring,EMA/CHMP/76739/2015,Human Alpha1-Proteinase Inhibitor,no,no,Powder and solvent for solution for infusion,EMEA/H/C/002739/0000,
Inhalation,05.03.2014,2014,withdrawn,withdrawn,25.09.2014,2014,Diseases of the respiratory system,budesonideformoterol-teva-epar-public-assessment-report_en.pdf,Small molecule,Budesonide/Formoterol Teva,,Not Reported,no,Asthma and COPD treatment,"<Asthma>; <Pulmonary Disease, Chronic Obstructive>",Teva Pharma B.V.,Teva,EMA/CHMP/707207/2014,budesonide / formoterol,yes,no,Inhalation powder,EMEA/H/C/003951,
oral,Not reported,Not reported,authorised,approved,Not reported,Not reported,"Diseases of the circulatory system; Endocrine, nutritional, and metabolic diseases",karvea-epar-scientific-discussion_en.pdf,Small molecule,AprovelKarvea,Treatment of essential hypertension and renal disease in patients with hypertension and type II diabetes mellitus,"<Hypertension>; <Renal Diseases>; <Diabetes Mellitus, Type 2>",yes,Treatment of essential hypertension and renal disease in patients with hypertension and type II diabetes mellitus,"<Hypertension>; <Renal Disease>; <Diabetes Mellitus, Type 2>",Not reported,Not Reported,Not reported,irbesartan,no,no,tablet,Not reported,
intravenous,30.10.2014,2014,authorised,approved,03.08.2015,2015,Diseases of the musculoskeletal system and connective tissue; Diseases of the eye and adnexa; Diseases of the skin; Diseases of the digestive system; Diseases of the circulatory system,000213562.pdf,Biologics,Remicade,"Treatment of the following diseases in patients who had an inadequate response to conventional therapies: Rheumatoid arthritis, Refractory uveoretinitis associated with Behcet's disease, Plaque psoriasis, psoriatic arthritis, pustular psoriasis, erythrodermic psoriasis, Ankylosing spondylitis, Intestinal-Behcet's disease, neuro-Behcet's disease, vasculo-Behcet's disease, Treatment and maintenance therapy of Crohn's disease, Treatment of moderate to severe ulcerative colitis",<Rheumatoid Arthritis>; <Uveitis>; <Behcet Syndrome>; <Psoriasis>; <Psoriatic Arthritis>; <Ankylosing Spondylitis>; <Crohn Disease>; <Ulcerative Colitis>,yes,"Treatment of the following diseases in patients who had an inadequate response to conventional therapies: Rheumatoid arthritis, Refractory uveoretinitis associated with Behcet's disease, Plaque psoriasis, psoriatic arthritis, pustular psoriasis, erythrodermic psoriasis, Ankylosing spondylitis, Intestinal-Behcet's disease, neuro-Behcet's disease, vasculo-Behcet's disease, Treatment and maintenance therapy of Crohn's disease, Treatment of moderate to severe ulcerative colitis",<Rheumatoid Arthritis>; <Uveitis>; <Behcet Syndrome>; <Psoriasis>; <Psoriatic Arthritis>; <Ankylosing Spondylitis>; <Crohn Disease>; <Ulcerative Colitis>,Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,Not reported,Infliximab,yes,yes,Powder for solution for infusion,Not reported,Not reported
sublingual,26.01.2015,2015,authorised,approved,31.08.2015,2015,Diseases of the respiratory system,000214453.pdf,Other,Miticure,Desensitization therapy for allergic rhinitis induced by mite allergens,"<Rhinitis, Allergic>",no,Desensitization therapy for allergic rhinitis induced by mite allergens,"<Rhinitis, Allergic>","Torii Pharmaceutical Co., Ltd.",Torii,Not reported,,yes,no,sublingual tablet,Not reported,Not reported
Buccal,Not reported,Not reported,authorised,approved,05.02.2015,2015,Neoplasms,auspar-fentanyl-citrate-150422.pdf,Small molecule,Fentora,The treatment of breakthrough pain (BTP) in adults with cancer who are already receiving maintenance opioid therapy for chronic cancer pain.,<Cancer>,no,The treatment of breakthrough pain (BTP) in adults with cancer who are already receiving maintenance opioid therapy for chronic cancer pain.,<Cancer>,Orphan Australia Pty Ltd,Orphan,"218433, 218434, 218435, 218436 and 218437",Fentanyl citrate,yes,yes,Orally Disintegrating Tablets,PM-2013-03632-1-1,Not reported
oral,Not reported,Not reported,withdrawn,withdrawn,Not reported,Not reported,Infectious and parasitic diseases,zerit-epar-scientific-discussion_en.pdf,Small molecule,Zerit,,Not Reported,no,treatment of HIV infected patients in whom zidovudine is not or is no longer appropriate,<HIV Infections>,Not reported,Not Reported,Not reported,stavudine,yes,no,capsule; powder for oral solution,Not reported,
intravenous,19.01.2021,2021,authorised,approved,30.08.2021,2021,"Endocrine, nutritional, and metabolic diseases",000270056.pdf,Biologics,Nexviazyme,Pompe disease,<Pompe Disease>,yes,Pompe disease,<Pompe Disease>,Sanofi K.K.,Sanofi,Not reported,Avalglucosidase Alfa,no,yes,Lyophilized powder for injection,Not reported,
Intravenous infusion,30.11.2016,2016,authorised,approved,16.11.2017,2017,Neoplasms; Diseases of the blood and blood-forming organs,auspar-obinutuzumab-180502.pdf,Biologics,Gazyva,Gazyva in combination with chemotherapy followed by Gazyva maintenance is indicated for the treatment of patients with previously untreated advanced follicular lymphoma.,<Follicular Lymphoma>,yes,Gazyva in combination with chemotherapy followed by Gazyva maintenance is indicated for the treatment of patients with previously untreated follicular lymphoma.,<Follicular Lymphoma>,Roche Products Pty Ltd,Roche,210562,Obinutuzumab,yes,no,"Injection, concentrated",PM-2016-03149-1-4,Not reported
oral,23.05.2017,2017,authorised,approved,22.03.2018,2018,Infectious and parasitic diseases,juluca-epar-public-assessment-report_en.pdf,Small molecule,Juluca,Treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA <50 copies/mL) without known or suspected resistance to either antiretroviral component,<Human Immunodeficiency Virus>,no,Treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA <50 copies/mL) without known or suspected resistance to either antiretroviral component,<Human Immunodeficiency Virus>,ViiV Healthcare UK Limited,ViiV,EMA/243517/2018,dolutegravir / rilpivirine,no,no,film-coated tablet,EMEA/H/C/004427/0000,
oral,04.02.2015,2015,authorised,approved,09.11.2015,2015,"Endocrine, nutritional, and metabolic diseases",000218646.pdf,Small molecule,Suiny,Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,yes,Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,"Sanwa Kagaku Kenkyusho Co., Ltd.",Sanwa Kagaku Kenkyusho,Not reported,Anagliptin,yes,no,tablet,Not reported,Not reported
subcutaneous,30.05.2013,2013,authorised,approved,22.05.2014,2014,Diseases of the nervous system,plegridy-epar-public-assessment-report_en.pdf,Biologics,Plegridy,treatment of relapsing-remitting multiple sclerosis,"<Multiple Sclerosis, Relapsing-Remitting>",no,treatment of relapsing multiple sclerosis in adult patients to slow the progression of disability and decrease the frequency of relapses,"<Multiple Sclerosis, Relapsing-Remitting>",Biogen Idec Ltd,Biogen,EMA/339024/2014,peginterferon beta-1a,no,no,solution for subcutaneous injection,EMEA/H/C/002827/0000,
oral,Not reported,Not reported,authorised,approved,Not reported,Not reported,Neoplasms; Diseases of the respiratory system,tarceva-epar-scientific-discussion_en.pdf,Small molecule,Tarceva,treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of at least one prior chemotherapy regimen,<Lung Neoplasms>,no,treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of at least one prior chemotherapy regimen,<Non-Small-Cell Lung Carcinoma>,Not reported,Not Reported,Not reported,erlotinib,no,no,film coated tablet,EMEA/H/C/000618,
Oral,Not reported,Not reported,authorised,approved,Not reported,Not reported,Diseases of the genitourinary system,levitra-epar-scientific-discussion_en.pdf,Small molecule,Levitra,Treatment of erectile dysfunction,<Impotence>,no,Treatment of erectile dysfunction,<Impotence>,Not reported,Not Reported,Not reported,Vardenafil,no,no,Film coated tablets,Not reported,
Intravenous,Not reported,Not reported,authorised,approved,05.11.2014,2014,Diseases of the blood and blood-forming organs,auspar-simoctocog-alfa-rhu-160607.pdf,Biologics,Nuwiq,Treatment and prophylaxis of bleeding (also during and after surgery) in previously treated paediatric (≥ 2 years) and adult patients with haemophilia A (congenital FVIII deficiency).,<Hemophilia A>,no,Treatment and prophylaxis of bleeding (also during and after surgery) in patients with haemophilia A (congenital FVIII deficiency).,<Hemophilia A>,Octapharma Australia Pty Ltd,Octapharma,"213938, 213939, 213940 and 213941",Simoctocog alfa,yes,no,Powder for Injection,PM-2013-02226-1-4,Not reported
intravitreal,23.08.2023,2023,authorised,approved,19.09.2024,2024,Diseases of the eye and adnexa,afqlir-epar-public-assessment-report_en.pdf,Biologics,Afqlir,neovascular (wet) age-related macular degeneration (AMD); visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); visual impairment due to diabetic macular oedema (DME); visual impairment due to myopic choroidal neovascularisation (myopic CNV),<Macular Degeneration>; <Retinal Vein Occlusion>; <Diabetic Macular Edema>; <Myopia>,no,neovascular (wet) age-related macular degeneration (AMD); visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); visual impairment due to diabetic macular oedema (DME); visual impairment due to myopic choroidal neovascularisation (myopic CNV),<Macular Degeneration>; <Retinal Vein Occlusion>; <Diabetic Macular Edema>; <Myopic Choroidal Neovascularization>,Sandoz GmbH,Sandoz,EMA/466863/2024,aflibercept,no,no,solution for injection,EMEA/H/C/006150/0000,
intravenous,02.12.2014,2014,withdrawn,withdrawn,17.12.2015,2015,Diseases of the blood and blood-forming organs,iblias-epar-public-assessment-report_en.pdf,Biologics,Iblias,,Not Reported,no,Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital factor VIII deficiency). Iblias can be used for all age groups.,<Hemophilia A>,Bayer Pharma AG,Bayer,EMA/CHMP/71742/2016,octocog alfa,no,no,powder and solvent for solution for injection,EMEA/H/C/004147/0000,
inhalation,Not reported,Not reported,withdrawn,withdrawn,Not reported,Not reported,Diseases of the respiratory system,zenhale-withdrawal-assessment-report_en.pdf,Other,Zenhale,,Not Reported,no,"maintenance treatment of asthma, including reduction of asthma exacerbations, in adults and adolescents 12 years of age and older",<Asthma>,Not reported,Not Reported,EMA/25158/2011,Mometasone Furoate / Formoterol Fumarate,no,no,metered dose inhaler,EMEA/H/C/001217,
oral,27.04.2015,2015,authorised,approved,01.02.2016,2016,Neoplasms; Diseases of the skin,000233741.pdf,Small molecule,Mekinist,Unresectable malignant melanoma with BRAF mutations,<Melanoma>,no,Malignant melanoma with BRAF V600 mutations,<Melanoma>,Novartis Pharma K.K.,Novartis,Not reported,Trametinib,no,yes,tablet,Not reported,
intravenous,30.03.2016,2016,authorised,approved,09.02.2017,2017,Diseases of the digestive system,000227668.pdf,Biologics,Stelara,Induction therapy for moderately to severely active Crohn’s disease (only in patients who have had an inadequate response to conventional therapy),<Crohn Disease>,yes,Induction therapy for moderately to severely active Crohn’s disease (only in patients who have had an inadequate response to conventional therapy),<Crohn Disease>,Janssen Pharmaceutical K.K.,Janssen,Not reported,Ustekinumab,yes,no,solution for infusion,Not reported,Not reported
Subcutaneous,02.12.2019,2019,authorised (under additional monitoring),approved,13.11.2020,2020,Diseases of the nervous system,auspar-satralizumab-210714.pdf,Biologics,Enspryng,Treatment of adults with neuromyelitis optica spectrum disorders (NMOSD) who have an anti-aquaporin 4 antibody (AQP4)-IgG positive status.,<Neuromyelitis Optica Spectrum Disorder>,no,Treatment of adult and adolescent patients from 12 years of age with neuromyelitis optica spectrum disorders (NMOSD).,<Neuromyelitis Optica Spectrum Disorder>,Roche Products Pty Ltd,Roche,326047,Satralizumab,no,yes,Solution for injection,PM-2019-04752-1-1,
