Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_year_human,Application_year_llm,Application_year_verdict_human,Current_status_human,Current_status_llm,Current_status_verdict_human,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_human,Decision_llm,Decision_verdict_human,Decision_year_human,Decision_year_llm,Decision_year_verdict_human,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Document_name_human,Document_name_llm,Document_name_verdict_human,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_name_human,Drug_name_llm,Drug_name_verdict_human,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_extended_human,Indication_extended_llm,Indication_extended_verdict_human,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Marketing_authorisation_holder_human,Marketing_authorisation_holder_llm,Marketing_authorisation_holder_verdict_human,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Nonclinical_abridged_human,Nonclinical_abridged_llm,Nonclinical_abridged_verdict_human,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Referral_body_human,Referral_body_llm,Referral_body_verdict_human
intratumoural,intratumoural,match,not reported,not reported,match,not reported,not reported,match,withdrawn,withdrawn,match,not reported,not reported,no_match,withdrawn,withdrawn,match,2008.0,not reported,no_match,"neoplasms, congenital malformations and chomosomal abnormalities",neoplasms,partial_0.5,advexin-withdrawal-assessment-report_en.pdf,advexin-withdrawal-assessment-report_en.pdf,match,cell and gene therapy,cell and gene therapy,match,advexin,advexin,match,,na,match,no,no,match,li-fraumeni cancer patients,treatment of li-fraumeni cancer patients,match,gendux molecular limited,gendux molecular ltd,match,emea/692328/2008,not reported,no_match,contusugene ladenovec,contusugene ladenovec,match,no,no,match,yes,yes,match,suspension for injection,sterile suspension for injection,match,,na,
intravenous,intravenous,match,01.03.2016,01.03.2016,match,2016,2016,match,authorised,authorised,match,09.11.2017,09.11.2017,match,approved,approved,match,2017.0,2017,match,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,partial_0.5,adynovi-epar-public-assessment-report_en.pdf,adynovi-epar-public-assessment-report_en.pdf,match,peptides and proteins,biologics,no_match,adynovi,adynovi,match,patients 12 years and above with haemophilia a (congenital factor viii deficiency),treatment and prophylaxis of bleeding in patients 12 years and above with haemophilia a (congenital factor viii deficiency).,match,no,no,match,bleeding in patients with haemophilia a (congenital factor viii deficiency),treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency).,match,baxalta innovations gmbh,baxalta innovations gmbh,match,ema/chmp/782768/2017,ema/chmp/782768/2017,match,rurioctocog alfa pegol,rurioctocog alfa pegol,match,yes,no,no_match,no,no,match,"solvent for solution for injection, powder for solution for injection",powder and solvent for solution for injection,match,ema,na,
intravenous,intravenous,match,17.04.2023,17.04.2023,match,2023,2023,match,authorised (under additional monitoring),authorised,match,30.05.2024,30.05.2024,match,approved,approved,match,2024.0,2024,match,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,partial_0.5,adzynma-epar-public-assessment-report_en.pdf,adzynma-epar-public-assessment-report_en.pdf,match,peptides and proteins,biologics,no_match,adzynma,adzynma,match,enzyme replacement therapy (ert) indicated for the treatment of adamts13 deficiency in children and adult patients with congenital thrombotic thrombocytopenic purpura (cttp),enzyme replacement therapy (ert) in patients with congenital thrombotic thrombocytopenic purpura (cttp) due to adamts13 deficiency,match,no,no,match,enzyme replacement therapy (ert) in patients with congenital thrombotic thrombocytopenic purpura (cttp) due to adamts13 deficiency,enzyme replacement therapy (ert) in patients with congenital thrombotic thrombocytopenic purpura (cttp) due to adamts13 deficiency,match,takeda manufacturing austria ag,takeda manufacturing austria ag,match,ema/352066/2024,ema/352066/2024,match,radamts13,radamts13,match,no,no,match,yes,yes,match,"solvent for solution for injection, powder for solution for injection",lyophilized powder for reconstitution for intravenous injection,partial_0.5,,na,
oral,oral,match,not reported,not reported,match,not reported,not reported,match,authorised,authorised,match,not reported,not reported,match,approved,approved,match,not reported,not reported,match,"other, diseases of the respiratory system",diseases of the respiratory system,match,aerinaze-epar-scientific-discussion_en.pdf,aerinaze-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,aerinaze,aerinaze,match,adults and adolescents 12 years and older for the symptomatic treatment of seasonal allergic rhinitis when accompanied by nasal congestion,symptomatic treatment of seasonal allergic rhinitis when accompanied by nasal congestion in patients 12 years and over,match,no,yes,no_match,symptomatic treatment of SAR when accompanied by nasal congestion in patients 12 years and over,symptomatic treatment of seasonal allergic rhinitis when accompanied by nasal congestion in patients 12 years and over,match,not reported,not reported,match,not reported,not reported,match,desloratadine / pseudoephedrine,desloratadine/pseudoephedrine sulphate,match,yes,yes,match,no,no,match,modified-release tablets,prolonged release tablet,match,ema,chmp,
oral,oral,match,not reported,not reported,match,not reported,not reported,match,authorised,authorised,match,not reported,not reported,match,approved,approved,match,not reported,2004,match,"other, diseases of the respiratory system, diseases of the skin",diseases of the respiratory system; diseases of the skin,match,aerius-epar-scientific-discussion_en.pdf,aerius-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,aerius,aerius,match,adults and adolescents aged 12 years and older for the relief of symptoms associated with allergic rhinitis and/ or urticaria,allergic rhinitis; chronic idiopathic urticaria,match,yes,yes,match,"relief of symptoms associated with seasonal allergic rhinitis, chronic idiopathic urticaria (ciu)",relief of symptoms associated with seasonal allergic rhinitis,partial_0.5,not reported,not reported,match,not reported,not reported,match,desloratadine,desloratadine,match,no,no,match,no,no,match,tablet,film-coated tablet; oral lyophilisate; syrup,match,,na,
inhalation,inhalation,match,05.06.2015,05.06.2015,match,2015,2015,match,withdrawn,withdrawn,match,23.06.2016,23.06.2016,match,approved,approved,match,2016.0,2016,match,diseases of the respiratory system,diseases of the respiratory system,match,aerivio-spiromax-epar-public-assessment-report_en.pdf,aerivio-spiromax-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,aerivio spiromax,aerivio spiromax,match,same,regular treatment of severe asthma and symptomatic treatment of copd in adults aged 18 years and older,match,no,no,match,"asthma: aerivio spiromax is indicated for the regular treatment of patients with severe asthma where use of a combination product (inhaled corticosteroid and long-acting β2 agonist) is appropriate: patients not adequately controlled on a lower strength corticosteroid combination product or patients already controlled on a high dose inhaled corticosteroid and long-acting β2 agonist., chronic obstructive pulmonary disease (copd): aerivio spiromax is indicated for the symptomatic treatment of patients with copd, with a fev1 <60% predicted normal (pre-bronchodilator) and a history of repeated exacerbations, who have significant symptoms despite regular bronchodilator therapy.",asthma and copd in adults aged 18 years and older,match,teva b.v.,teva b.v.,match,ema/486136/2016,ema/486136/2016,match,salmeterol / fluticasone propionate,salmeterol / fluticasone propionate,match,no,yes,no_match,no,no,match,inhalation powder,inhalation powder,match,,not reported,
oral,oral,match,01.07.2008,01.07.2008,match,2008,2008,match,authorised,authorised,match,29.05.2009,29.05.2009,match,approved,approved,match,2009.0,2009,match,"neoplasms, ""endocrine, nutritional, and metabolic diseases""",neoplasms; diseases of the genitourinary system,partial_0.5,afinitor-epar-public-assessment-report_en.pdf,afinitor-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,afinitor,afinitor,match,"hormone receptor-positive advanced breast cancer: afinitor is indicated for the treatment of hormone receptor-positive, her2/neu negative advanced breast cancer, in combination with exemestane, in postmenopausal women without symptomatic visceral disease after recurrence or progression following a non-steroidal aromatase inhibitor. neuroendocrine tumours of pancreatic origin: afinitor is indicated for the treatment of unresectable or metastatic, well- or moderately-differentiated neuroendocrine tumours of pancreatic origin in adults with progressive disease. neuroendocrine tumours of gastrointestinal or lung origin: afinitor is indicated for the treatment of unresectable or metastatic, well-differentiated (grade 1 or grade 2) non-functional neuroendocrine tumours of gastrointestinal or lung origin in adults with progressive disease (see sections 4.4 and 5.1). renal cell carcinoma: afinitor is indicated for the treatment of patients with advanced renal cell carcinoma, whose disease has progressed on or after treatment with vegf-targeted therapy.","treatment of patients with advanced renal cell carcinoma, whose disease has progressed on or after treatment with vegf-targeted therapy",partial_0.3,no,no,match,"treatment of patients with advanced renal cell carcinoma, whose disease has progressed on or after treatment with vegf-targeted therapy","treatment of patients with advanced renal cell carcinoma, whose disease has progressed on or after treatment with vegf-targeted therapy",match,novartis europharm limited,novartis europharm ltd.,match,emea/533232/2009,ema/533232/2009,match,everolimus,everolimus,match,no,no,match,yes,yes,match,tablet,tablet,match,,na,
intramuscular,intramuscular,match,02.12.2009,02.12.2009,match,2009,2009,match,authorised,authorised,match,23.09.2010,23.09.2010,match,approved,approved,match,2010.0,2010,match,infectious and parasitic diseases,infectious and parasitic diseases,match,aflunov-epar-public-assessment-report_en.pdf,aflunov-epar-public-assessment-report_en.pdf,match,vaccine,vaccine,match,aflunov,aflunov,match,active immunisation against h5n1 subtype of influenza a virus in individuals 6 months of age and above.,active immunisation against h5n1 subtype of influenza a virus.,match,no,no,match,active immunisation against h5n1 subtype of influenza a virus. this indication is based on immunogenicity data from healthy subjects from the age of 18 years onwards following administration of two doses of the vaccine containing a/vietnam/1194/2004 (h5n1)-like strain,active immunisation against h5n1 subtype of influenza a virus.,match,novartis vaccines and diagnostics s.r.l.,novartis vaccines and diagnostics s.r.l.,match,ema/639703/2010,ema/639703/2010,match,"zoonotic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted)","prepandemic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted)",match,yes,no,no_match,no,no,match,suspension for injection in pre-filled syringe,suspension for injection,match,ema,na,
intravitreal,intravitreal,match,23.08.2023,23.08.2023,match,2023,2023,match,authorised,authorised,match,19.09.2024,19.09.2024,match,approved,approved,match,2024.0,2024,match,"diseases of the eye and adnexa, ""endocrine, nutritional, and metabolic diseases"", diseases of the circulatory system",diseases of the eye and adnexa,partial_0.3,afqlir-epar-public-assessment-report_en.pdf,afqlir-epar-public-assessment-report_en.pdf,match,biologics,biologics,match,afqlir,afqlir,match,same,neovascular (wet) age-related macular degeneration (amd); visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo); visual impairment due to diabetic macular oedema (dme); visual impairment due to myopic choroidal neovascularisation (myopic cnv),match,no,no,match,"adults for the treatment of neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)",neovascular (wet) age-related macular degeneration (amd); visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo); visual impairment due to diabetic macular oedema (dme); visual impairment due to myopic choroidal neovascularisation (myopic cnv),match,sandoz gmbh,sandoz gmbh,match,ema/466863/2024,ema/466863/2024,match,aflibercept,aflibercept,match,yes,no,no_match,yes,no,no_match,solution for injection in pre-filled syringe,solution for injection,match,ema,na,
intravenous,intravenous,match,04.12.2015,04.12.2015,match,2015,2015,match,authorised,authorised,match,10.11.2016,10.11.2016,match,approved,approved,match,2016.0,2016,match,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,partial_0.5,afstyla-epar-public-assessment-report_en.pdf,afstyla-epar-public-assessment-report_en.pdf,match,biologics,biologics,match,afstyla,afstyla,match,same,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency).,match,no,no,match,treatment and prophylaxis of bleeding in patients with haemophilia a in all age groups,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency).,match,csl behring gmbh,csl behring gmbh,match,ema/795172/2016,ema/795172/2016,match,lonoctocog alfa,lonoctocog alfa,match,no,no,match,no,no,match,"solvent for solution for injection, powder for solution for injection",lyophilized powder for solution for injection,partial_0.5,,na,
oral,oral,match,29.09.2022,29.09.2022,match,2022,2022,match,authorised (under additional monitoring),authorised,match,12.10.2023,12.10.2023,match,approved,approved,match,2023.0,2023,match,"congenital malformations and chomosomal abnormalities, diseases of the musculoskeletal system and connective tissue, diseases of the nervous system",diseases of the nervous system; diseases of the musculoskeletal system and connective tissue,partial_0.7,agamree-epar-public-assessment-report_en.pdf,agamree-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,agamree,agamree,match,same,treatment of duchenne muscular dystrophy (dmd) in patients aged 4 years and older,match,no,no,match,duchenne muscular dystrophy (dmd) in patients aged 4 years and older,treatment of duchenne muscular dystrophy (dmd) in patients aged 2 years and older,match,santhera pharmaceuticals,santhera pharmaceuticals (deutschland) gmbh,match,ema/chmp/487504/2023,ema/chmp/487504/2023,match,vamorolone,vamorolone,match,no,no,match,yes,yes,match,oral suspension,oral suspension,match,,na,
oral,oral,match,not reported,not reported,match,not reported,not reported,match,withdrawn,withdrawn,match,not reported,not reported,match,approved,approved,match,not reported,not reported,match,infectious and parasitic diseases,infectious and parasitic diseases,match,agenerase-epar-scientific-discussion_en.pdf,agenerase-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,agenerase,agenerase,match,protease inhibitor (pi) experienced hiv-1 infected adults and children above the age of 4 years,"treatment of protease inhibitor experienced hiv-1 infected adults and children above the age of 4 years, in combination with other antiretroviral agents",match,no,no,match,not reported,"treatment of protease inhibitor experienced hiv-1 infected adults and children above the age of 4 years, in combination with other antiretroviral agents",no_match,not reported,not reported,match,not reported,not reported,match,amprenavir,amprenavir,match,no,no,match,no,no,match,soft capsules,soft capsules; oral solution,match,,na,
intravenous,intravenous,match,24.06.2022,24.06.2022,match,2022,2022,match,authorised,authorised,match,21.03.2024,21.03.2024,match,approved,approved,match,2024.0,2024,match,"""endocrine, nutritional, and metabolic diseases""",diseases of the musculoskeletal system and connective tissue,no_match,agilus-epar-public-assessment-report_en.pdf,agilus-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,agilus,agilus,match,same,"in combination with adequate support measures, agilus is indicated for the treatment of malignant hyperthermia in adults and children of all ages.",match,no,no,match,treatment of malignant hyperthermia in adults and children of all ages,"in combination with adequate support measures, agilus is indicated for the treatment of malignant hyperthermia (including suspected cases) in adults and children of all ages.",match,norgine b.v.,norgine b.v.,match,ema/150697/2024,ema/150697/2024,match,"dantrolene sodium, hemiheptahydrate","dantrolene sodium, hemiheptahydrate",match,no,no,match,yes,yes,match,powder for solution for injection,powder for solution for injection,match,,na,
intravitreal,intravitreal,match,25.04.2024,25.04.2024,match,2024,2024,match,authorised (under additional monitoring),authorised,match,14.11.2024,14.11.2024,match,approved,approved,match,2024.0,2024,match,"diseases of the eye and adnexa, diseases of the circulatory system",diseases of the eye and adnexa,partial_0.5,ahzantive-epar-public-assessment-report_en.pdf,ahzantive-epar-public-assessment-report_en.pdf,match,biologics,biologics,match,ahzantive,ahzantive,match,same,neovascular (wet) age-related macular degeneration (amd); visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo); visual impairment due to diabetic macular oedema (dme); visual impairment due to myopic choroidal neovascularisation (myopic cnv),match,no,no,match,"neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)",neovascular (wet) age-related macular degeneration (amd); visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo); visual impairment due to diabetic macular oedema (dme); visual impairment due to myopic choroidal neovascularisation (myopic cnv),match,klinge biopharma gmbh,klinge biopharma gmbh,match,ema/chmp/565845/2024,ema/565845/2024,no_match,aflibercept,aflibercept,match,yes,no,no_match,no,no,match,solution for injection,solution for injection,match,ema,na,
subcutaneous,subcutaneous,match,23.05.2017,23.05.2017,match,2017,2017,match,authorised,authorised,match,31.05.2018,31.05.2018,match,approved,approved,match,2018.0,2018,match,"diseases of the nervous system, diseases of the circulatory system",diseases of the nervous system,partial_0.5,aimovig-epar-public-assessment-report_en.pdf,aimovig-epar-public-assessment-report_en.pdf,match,biologics,biologics,match,aimovig,aimovig,match,prophylaxis of migraine in adults who have at least 4 migraine days per month,prophylaxis of migraine in adults who have at least 4 migraine days per month,match,no,no,match,prophylaxis of migraine in adults who have at least 4 migraine days per month when initiating treatment with aimovig,prophylaxis of migraine in adults who have at least 4 migraine days per month,match,novartis europharm limited,novartis europharm ltd,match,ema/chmp/413393/2018,ema/chmp/413393/2018,match,erenumab,erenumab,match,no,no,match,no,no,match,solution for injection in pre-filled syringe,solution for subcutaneous injection,match,,na,
inhalation,inhalation,match,05.06.2015,05.06.2015,match,2015,2015,match,withdrawn,withdrawn,match,23.06.2016,23.06.2016,match,approved,approved,match,2016.0,2016,match,diseases of the respiratory system,diseases of the respiratory system,match,airexar-spiromax-epar-public-assessment-report_en.pdf,airexar-spiromax-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,airexar spiromax,airexar spiromax,match,same,airexar spiromax is indicated for the regular treatment of patients with severe asthma and symptomatic treatment of patients with copd.,partial_0.7,no,no,match,"asthma: airexar spiromax is indicated for the regular treatment of patients with severe asthma where use of a combination product (inhaled corticosteroid and long-acting β2 agonist) is appropriate: patients not adequately controlled on a lower strength corticosteroid combination product or patients already controlled on a high dose inhaled corticosteroid and long-acting β2 agonist; chronic obstructive pulmonary disease (copd): airexar spiromax is indicated for the symptomatic treatment of patients with copd, with a fev1 <60% predicted normal (pre-bronchodilator) and a history of repeated exacerbations, who have significant symptoms despite regular bronchodilator therapy.",airexar spiromax is indicated in adults aged 18 years and older for the regular treatment of asthma and symptomatic treatment of copd.,match,teva b.v.,teva b.v.,match,ema/486131/2016,ema/486131/2016,match,salmeterol xinafoate / fluticasone propionate,salmeterol / fluticasone propionate,match,no,yes,no_match,no,no,match,inhalation powder,inhalation powder,match,,not reported,
subcutaneous,subcutaneous,match,12.01.2018,12.01.2018,match,2018,2018,match,authorised,authorised,match,31.01.2019,31.01.2019,match,approved,approved,match,2019.0,2019,match,"diseases of the nervous system, diseases of the circulatory system",diseases of the nervous system,partial_0.5,ajovy-epar-public-assessment-report_en.pdf,ajovy-epar-public-assessment-report_en.pdf,match,biologics,biologics,match,ajovy,ajovy,match,prophylaxis of migraine in adults who have at least 4 migraine days per month,treatment of episodic and chronic migraine in adults,match,no,no,match,treatment of episodic and chronic migraine in adults,treatment of episodic and chronic migraine in adults,match,teva b.v.,teva gmbh,match,ema/118499/2019,ema/118499/2019,match,fremanezumab,fremanezumab,match,no,no,match,no,no,match,"solution for injection in pre-filled syringe, solution for injection in pre-filled pen",solution for injection,match,,na,
ocular,ocular,match,02.05.2022,02.05.2022,match,2022,2022,match,authorised,authorised,match,30.05.2024,30.05.2024,match,approved,approved,match,2024.0,2024,match,"diseases of the eye and adnexa, infectious and parasitic diseases",diseases of the eye and adnexa; infectious and parasitic diseases,match,akantior-epar-public-assessment-report_en.pdf,akantior-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,akantior,akantior,match,same,treatment of acanthamoeba keratitis in adults and children from 12 years of age,match,yes,no,no_match,acanthamoeba keratitis in adults and children from 12 years of age,treatment of acanthamoeba keratitis in adults and children from 12 years of age,match,sifi spa,sifi spa,match,ema/286425/2024,ema/286425/2024,match,polihexanide,polihexanide,match,no,no,match,yes,yes,match,solution in single-dose container (eye drops),"eye drops, solution",match,,na,
oral,oral,match,28.04.2022,28.04.2022,match,2022,2022,match,authorised,authorised,match,23.02.2023,23.02.2023,match,approved,approved,match,2023.0,2023,match,"neoplasms, diseases of the genitourinary system",neoplasms; diseases of the genitourinary system,match,akeega-epar-public-assessment-report_en.pdf,akeega-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,akeega,akeega,match,adult patients with metastatic castration-resistant prostate cancer (mcrpc) and brca 1/2 mutations (germline and/or somatic) in whom chemotherapy is not clinically indicated,treatment of adult patients with metastatic castration-resistant prostate cancer (mcrpc) and brca1/2 mutations in whom chemotherapy is not clinically indicated,match,no,no,match,adult patients with metastatic castration-resistant prostate cancer (mcrpc) who are positive for homologous recombination repair (hrr) gene alterations (germline and/or somatic),treatment of adult patients with metastatic castration-resistant prostate cancer (mcrpc) who are positive for homologous recombination repair (hrr) gene alterations,match,janssen-cilag international n.v.,janssen-cilag international n.v.,match,ema/126335/2023,ema/126335/2023,match,niraparib / abiraterone acetate,niraparib / abiraterone acetate,match,yes,no,no_match,no,no,match,tablet,film-coated tablets,match,ema,na,
oral,oral,match,13.12.2013,13.12.2013,match,2013,2013,match,authorised,authorised,match,26.03.2015,26.03.2015,match,approved,approved,match,2015.0,2015,match,"other, neoplasms",neoplasms,match,akynzeo-epar-public-assessment-report_en.pdf,akynzeo-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,akynzeo,akynzeo,match,same,prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy; prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy.,match,no,no,match,adults for the prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy. prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy.,prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy; prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy.,match,helsinn birex pharmaceuticals ltd.,helsinn birex pharmaceuticals ltd.,match,ema/236963/2015,ema/236963/2015,match,netupitant / palonosetron,netupitant / palonosetron,match,no,no,match,no,no,match,tablet,"capsule, hard",match,,na,
oral,oral,match,02.01.2022,02.01.2022,match,2022,2022,match,,na,match,22.06.2023,12.10.2023,no_match,refused,refused,match,2023.0,2023,match,diseases of the nervous system,diseases of the nervous system,match,albrioza-epar-refusal-public-assessment-report_en.pdf,albrioza-epar-refusal-public-assessment-report_en.pdf,match,small molecule,small molecule,match,albrioza,albrioza,match,,na,match,no,no,match,treatment of als,for the treatment of amyotrophic lateral sclerosis (als),match,amylyx pharmaceuticals emea b.v.,amylyx pharmaceuticals emea b.v.,match,ema/chmp/487533/2023,ema/chmp/487533/2023,match,sodium phenylbutyrate / ursodoxicoltaurine,sodium phenylbutyrate / ursodoxicoltaurine,match,no,no,match,yes,yes,match,powder for oral suspension,powder for oral suspension,match,,na,
intravenous,intravenous,match,12.07.2010,12.07.2010,match,2010,2010,match,authorised,authorised,match,21.10.2010,21.10.2010,match,approved,approved,match,2010.0,2010,match,"neoplasms, diseases of the respiratory system, diseases of the genitourinary system",neoplasms; diseases of the respiratory system,partial_0.7,potactasol-epar-public-assessment-report_en.pdf,potactasol-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,potactasol,potactasol,match,topotecan monotherapy is indicated for the treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy and patients with relapsed small cell lung cancer (sclc) for whom re-treatment with the first-line regimen is not considered appropriate. topotecan in combination with cisplatin is indicated for patients with carcinoma of the cervix recurrent after radiotherapy and for patients with stage ivb disease. patients with prior exposure to cisplatin require a sustained treatment free interval to justify treatment with the combination.,treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy; treatment of patients with relapsed small cell lung cancer for whom re-treatment with the first-line regimen is not considered appropriate; in combination with cisplatin for patients with carcinoma of the cervix recurrent after radiotherapy and for patients with stage ivb disease,match,no,yes,no_match,topotecan monotherapy is indicated for the treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy.,treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy,match,actavis group ptc ehf,actavis group ptc ehf,match,ema/792855/2010,ema/792855/2010,match,topotecan,topotecan,match,yes,yes,match,no,no,match,powder for concentrate for solution for infusion,powder for concentrate for solution for infusion,match,,na,
"intravenous, oral",oral; intravenous,match,11.12.2009,11.12.2009,match,2009,2009,match,authorised,authorised,match,21.10.2010,21.10.2010,match,approved,approved,match,2011.0,2010,match,"neoplasms, diseases of the musculoskeletal system and connective tissue, ""endocrine, nutritional, and metabolic diseases""","neoplasms; endocrine, nutritional, and metabolic diseases",partial_0.7,iasibon-epar-public-assessment-report_en.pdf,iasibon-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,iasibon,iasibon,match,same,prevention of skeletal events in patients with breast cancer and bone metastases; treatment of tumour-induced hypercalcaemia with or without metastases,match,no,no,match,"prevention of skeletal events in patients with breast cancer and bone metastases, treatment of tumour-induced hypercalcaemia",prevention of skeletal events in patients with breast cancer and bone metastases; treatment of tumour-induced hypercalcaemia with or without metastases,match,pharmathen s.a.,pharmathen s.a.,match,ema/801304/2010,ema/801304/2010,match,ibandronic acid,ibandronic acid,match,yes,yes,match,no,no,match,concentrate for solution for infusion,film-coated tablets; concentrate for solution for infusion,partial_0.5,ema,not reported,
subcutaneous,subcutaneous,match,29.04.1994,not reported,no_match,1994,not reported,no_match,authorised,authorised,match,??.04.1995,not reported,no_match,approved,approved,match,1995.0,not reported,no_match,"pregnancy and childbirth, endocrine, nutritional, and metabolic diseases, diseases of the genitourinary system","endocrine, nutritional, and metabolic diseases; diseases of the genitourinary system",partial_0.7,gonal-f-epar-scientific-discussion_en.pdf,gonal-f-epar-scientific-discussion_en.pdf,match,biologics,biologics,match,gonal-f,gonal-f,match,stimulation of multifollicular development in patients undergoing assisted reproductive treatment (art); anovulation in women who have been unresponsive to treatment with clomiphene citrate; stimulation of follicular development in women with severe lh and fsh deficiency; male hypogonadotropic hypogonadism.,stimulation of multifollicular development in patients undergoing assisted reproductive treatment (art); anovulation in women who have been unresponsive to treatment with clomiphene citrate; stimulation of follicular development in women with severe lh and fsh deficiency; male hypogonadotropic hypogonadism,match,yes,yes,match,"include fsh and lh deficient females “gonal-f in association with a luteinising hormone (lh) preparation is recommended for the stimulation of follicular development in women with severe lh and fsh deficiency, in clinical trials these patients were defined by an endogenous serum lh level <1.2 iu<i",stimulation of multifollicular development in patients undergoing assisted reproductive treatment (art); anovulation in women who have been unresponsive to treatment with clomiphene citrate; stimulation of follicular development in women with severe lh and fsh deficiency; male hypogonadotropic hypogonadism,partial_0.3,not reported,not reported,match,not reported,not reported,match,follitropin alfa,follitropin alfa,match,no,no,match,no,no,match,"solvent for solution for injection, powder for solution for injection",solution for injection,match,,na,
intravesical,intravesical,match,not reported,not reported,match,not reported,not reported,match,withdrawn,withdrawn,match,22.07.2021,22.07.2021,match,withdrawn,withdrawn,match,2021.0,2021,match,"neoplasms, diseases of the genitourinary system",neoplasms; diseases of the genitourinary system,match,oportuzumab-monatox-dlrc-pharma-services-withdrawal-assessment-report_en.pdf,oportuzumab-monatox-dlrc-pharma-services-withdrawal-assessment-report_en.pdf,match,biologics,biologics,match,oportuzumab monatox dlrc pharma services,oportuzumab monatox,match,,na,match,no,no,match,the treatment and prevention of recurrence of carcinoma-in-situ (cis) of the urinary bladder following transurethral resection in bcg-unresponsive patients. the prevention of recurrence of high grade ta and/or t1 papillary tumours following transurethral resection in bcg-unresponsive patients.,treatment and prevention of recurrence of carcinoma-in-situ (cis) of the urinary bladder following transurethral resection in bcg-unresponsive patients; prevention of recurrence of high grade ta and/or t1 papillary tumours following transurethral resection in bcg-unresponsive patients,match,dlrc pharma services ltd,dlrc pharma services,match,ema/chmp/576523/2021,ema/chmp/576523/2021,match,oportuzumab monatox,oportuzumab monatox,match,no,no,match,no,no,match,concentrate and solvent for intravesical solution,concentrate for intravesical solution,match,,na,
