Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
oral,28.11.2006,2006,authorised,japan,approved,27.10.2008,2008,diseases of the skin; diseases of the genitourinary system,<pruritus>,000153525.pdf,small molecule,remitch,improvement of pruritus in hemodialysis patients (for use only when conventional treatments are not sufficiently effective),no,improvement of intractable pruritus in hemodialysis patients,<pruritus>,"toray industries, inc.",toray,000153525,nalfurafine hydrochloride,no,no,capsule,,na,PMDA
intravenous,20.12.2007,2007,authorised,japan,approved,21.10.2009,2009,other,not reported,000153538.pdf,small molecule,bridion,reversal of neuromuscular blockade induced by rocuronium bromide or vecuronium bromide,no,reversal of neuromuscular blockade induced by rocuronium bromide or vecuronium bromide,<neuromuscular blockade>,schering-plough k.k.,schering-plough,000153538,sugammadex sodium,no,no,solution,,na,PMDA
oral,13.12.2011,2011,authorised,japan,approved,06.09.2012,2012,neoplasms,<soft tissue neoplasms>,000153553.pdf,small molecule,votrient,soft tissue sarcoma,yes,advanced soft tissue sarcoma,<soft tissue neoplasms>,glaxosmithkline k.k.,glaxosmithkline,000153553,pazopanib hydrochloride,no,yes,tablet,,na,PMDA
oral,26.08.2011,2011,authorised,japan,approved,27.04.2012,2012,"endocrine, nutritional, and metabolic diseases",<type 2 diabetes mellitus>,000153594.pdf,small molecule,tenelia,type 2 diabetes mellitus,no,type 2 diabetes mellitus,<type 2 diabetes mellitus>,mitsubishi tanabe pharma corporation,mitsubishi tanabe,000153594,teneligliptin hydrobromide hydrate,no,no,tablet,,na,PMDA
oral,01.12.2011,2011,authorised,japan,approved,13.03.2013,2013,diseases of the musculoskeletal system and connective tissue,<rheumatoid arthritis>,000153609.pdf,small molecule,xeljanz,rheumatoid arthritis in patients who have not adequately responded to conventional treatments,no,rheumatoid arthritis in patients who have not adequately responded to conventional treatments,<rheumatoid arthritis>,pfizer japan inc.,pfizer,000153609,tofacitinib citrate,no,no,tablet,,na,PMDA
oral,26.06.2012,2012,authorised,japan,approved,26.04.2013,2013,"endocrine, nutritional, and metabolic diseases",<gout>; <hyperuricemia>,000153624.pdf,small molecule,topiloric,"gout, hyperuricaemia",no,"gout, hyperuricaemia",<gout>; <hyperuricemia>,"fujiyakuhin co., ltd.; sanwa kagaku kenkyusho co., ltd.",fujiyakuhin; sanwa kagaku kenkyusho,000153624,topiroxostat,no,no,tablet,,na,PMDA
intravenous,30.10.2009,2009,authorised,japan,approved,26.12.2009,2009,infectious and parasitic diseases,<influenza>,000153628.pdf,small molecule,rapiacta,influenza a or b virus infection,no,influenza a or b virus infection,<influenza>,"shionogi & co., ltd.",shionogi,000153628,peramivir,no,no,solution,,na,PMDA
oral,21.12.2007,2007,authorised,japan,approved,27.02.2009,2009,mental and behavioural disorders,<schizophrenia>,000153638.pdf,small molecule,clozaril,treatment-resistant schizophrenia,no,treatment-resistant schizophrenia,<schizophrenia>,novartis pharma k.k.,novartis,000153638,clozapine,yes,no,tablet,,,PMDA
intramuscular; subcutaneous,30.01.2007,2007,authorised,japan,approved,31.08.2007,2007,infectious and parasitic diseases; diseases of the respiratory system,<influenza>,000153640.pdf,vaccine,adsorbed influenza vaccine,prophylaxis of pandemic influenza (h5n1),no,prophylaxis of pandemic influenza (h5n1),<influenza>,the research foundation for microbial diseases of osaka university,osaka university,000153640,adsorbed influenza vaccine,yes,yes,suspension,,,PMDA
subcutaneous,22.12.2011,2011,authorised,japan,approved,31.08.2012,2012,"endocrine, nutritional, and metabolic diseases",<diabetes mellitus>,000153683.pdf,peptides and proteins,tresiba,diabetes mellitus where treatment with insulin is required,no,diabetes mellitus where treatment with insulin is required,<diabetes mellitus>,novo nordisk pharma ltd.,novo nordisk,000153683,insulin degludec,no,no,solution,,na,PMDA
oral,12.03.2007,2007,authorised,japan,approved,29.08.2008,2008,diseases of the respiratory system,<idiopathic pulmonary fibrosis>,000153687.pdf,small molecule,pirespa,idiopathic pulmonary fibrosis,no,idiopathic pulmonary fibrosis,<idiopathic pulmonary fibrosis>,"shionogi & co., ltd.",shionogi,000153687,pirfenidone,no,yes,tablet,,na,PMDA
oral,12.03.2008,2008,authorised,japan,approved,30.04.2008,2008,infectious and parasitic diseases,<hiv infections>,000153689.pdf,small molecule,isentress,hiv infection,no,hiv-1 infection,<human immunodeficiency virus>,"banyu pharmaceutical co., ltd.",banyu,000153689,raltegravir potassium,no,yes,tablet,,na,PMDA
intravenous,28.04.2006,2006,authorised,japan,approved,30.01.2008,2008,diseases of the musculoskeletal system and connective tissue; neoplasms,"<rheumatoid arthritis>; <arthritis, juvenile>; <castleman disease>",000153709.pdf,biologics,actemra,rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis; castleman's disease,yes,rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis,"<rheumatoid arthritis>; <arthritis, juvenile>","chugai pharmaceutical co., ltd.",chugai,000153709,tocilizumab,no,no,concentrate,,na,PMDA
subcutaneous,09.03.2012,2012,authorised,japan,approved,30.11.2012,2012,"endocrine, nutritional, and metabolic diseases",<diabetes mellitus>,000153726.pdf,peptides and proteins,ryzodeg,diabetes mellitus where treatment with insulin is required,no,diabetes mellitus where treatment with insulin is required,<diabetes mellitus>,novo nordisk pharma ltd.,novo nordisk,000153726,insulin degludec/insulin aspart,no,no,solution,,na,PMDA
intravenous,29.01.2013,2013,authorised,japan,approved,26.08.2013,2013,neoplasms,<breast neoplasms>,000153735.pdf,biologics,kadcyla,her2-positive inoperable or recurrent breast cancer,no,her2-positive inoperable or recurrent breast cancer,<breast neoplasms>,"chugai pharmaceutical co., ltd.",chugai,000153735,trastuzumab emtansine,no,no,lyophilisate,,na,PMDA
subcutaneous,21.01.2010,2010,authorised,japan,approved,29.11.2010,2010,diseases of the skin; diseases of the musculoskeletal system and connective tissue,"<psoriasis>; <arthritis, psoriatic>",000153747.pdf,biologics,stelara,psoriasis vulgaris and psoriatic arthritis in patients who have had an inadequate response to conventional therapy,no,moderate to severe psoriasis vulgaris; psoriatic arthritis with moderate to severe plaque psoriasis,"<psoriasis>; <arthritis, psoriatic>",janssen pharmaceutical k.k.,janssen,000153747,ustekinumab,no,no,solution,,na,PMDA
oral,13.02.2013,2013,authorised,japan,approved,22.08.2013,2013,diseases of the nervous system,<polyneuropathies>,000153750.pdf,small molecule,vyndaqel,delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy,no,delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy,<polyneuropathies>,pfizer japan inc.,pfizer,000153750,tafamidis meglumine,no,yes,capsule,,na,PMDA
intramuscular; subcutaneous,30.01.2007,2007,authorised,japan,approved,31.08.2007,2007,infectious and parasitic diseases,<influenza>,000153773.pdf,vaccine,adsorbed influenza vaccine (h5n1) “hokken”,prophylaxis of pandemic influenza (h5n1),no,prophylaxis of pandemic influenza (h5n1),<influenza>,the kitasato institute,kitasato,000153773,adsorbed influenza vaccine (h5n1),yes,yes,suspension,,,PMDA
oral,29.02.2008,2008,authorised,japan,approved,29.05.2009,2009,diseases of the circulatory system,<hypertension>,000153807.pdf,small molecule,rasilez,hypertension,no,hypertension,<hypertension>,novartis pharma k.k.,novartis,000153807,aliskiren,no,no,tablet,,na,PMDA
oral,30.03.2012,2012,authorised,japan,approved,08.03.2013,2013,diseases of the nervous system,<parkinson disease>,000153870.pdf,small molecule,nouriast,improvement of the “wearing-off” phenomenon in patients with parkinson’s disease on levodopa-containing preparations,no,patients with parkinson’s disease on levodopa-containing preparations with motor complications,<parkinson disease>,"kyowa hakko kirin co., ltd.",kyowa hakko kirin,000153870,istradefylline,no,no,tablet,,na,PMDA
subcutaneous,11.06.2012,2012,authorised,japan,approved,24.05.2013,2013,"endocrine, nutritional, and metabolic diseases",<type 2 diabetes mellitus>,000153885.pdf,peptides and proteins,lyxumia,type 2 diabetes mellitus,no,type 2 diabetes mellitus,<type 2 diabetes mellitus>,sanofi k.k.,sanofi,000153885,lixisenatide,no,no,solution,,na,PMDA
inhalation,25.11.2011,2011,authorised,japan,approved,06.09.2012,2012,diseases of the respiratory system,<chronic obstructive pulmonary disease>,000153897.pdf,small molecule,seebri,relief of symptoms of airway obstruction in patients with chronic obstructive pulmonary disease (chronic bronchitis and emphysema),no,relief of symptoms of airway obstruction in patients with chronic obstructive pulmonary disease (chronic bronchitis and emphysema),<chronic obstructive pulmonary disease>,novartis pharma k.k.,novartis,000153897,glycopyrronium bromide,no,no,capsule,,na,PMDA
subcutaneous,31.05.2006,2006,authorised,japan,approved,27.10.2008,2008,diseases of the respiratory system,<bronchial asthma>,000153931.pdf,biologics,xolair,bronchial asthma (only for refractory patients whose asthma symptoms are not controlled by conventional therapies),no,bronchial asthma (only for patients who respond inadequately to conventional therapies),<bronchial asthma>,novartis pharma k.k.,novartis,000153931,omalizumab,no,no,lyophilisate,,na,PMDA
oral,31.03.2011,2011,authorised,japan,approved,29.02.2012,2012,neoplasms; diseases of the respiratory system,<non-small-cell lung carcinoma>,000153949.pdf,small molecule,xalkori,"alk-positive, unresectable, advanced or relapsed non-small-cell lung cancer",no,alk-positive advanced non-small-cell lung cancer,<lung neoplasms>,pfizer japan inc.,pfizer,000153949,crizotinib,no,yes,capsule,,na,PMDA
ocular,30.05.2008,2008,authorised,japan,approved,26.02.2010,2010,diseases of the eye and adnexa,<dry eye syndromes>,000153954.pdf,small molecule,moistear,dry eye,no,corneal and conjunctival epithelial damage associated with dry eye (including sjogren’s syndrome and stevens-johnson syndrome),<corneal diseases>; <conjunctival diseases>; <dry eye syndromes>; <sjögren's syndrome>; <stevens-johnson syndrome>,"santen pharmaceutical co., ltd.",santen,000153954,diquafosol sodium,no,no,solution,,na,PMDA
intravenous,27.12.2012,2012,authorised,japan,approved,18.11.2013,2013,diseases of the blood and blood-forming organs,<blood coagulation disorders>,000203945.pdf,biologics,novoeight,control of bleeding tendency in patients with blood coagulation factor viii deficiency,no,control of bleeding tendency in patients with haemophilia a (congenital blood coagulation factor viii deficiency),<hemophilia a>,novo nordisk pharma ltd.,novo nordisk,000203945,turoctocog alfa,no,no,lyophilisate,,na,PMDA
oral,18.06.2010,2010,authorised,japan,approved,01.06.2011,2011,diseases of the genitourinary system,<overactive bladder>,000204240.pdf,small molecule,betanis,"urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",no,"urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",<overactive urinary bladder>,astellas pharma inc.,astellas,000204240,mirabegron,no,no,tablet,,na,PMDA
sublingual,25.12.2012,2012,authorised,japan,approved,18.11.2013,2013,diseases of the respiratory system,<allergic rhinitis>,000204241.pdf,other,cedartolen,japanese cedar pollinosis (hyposensitization therapy),no,japanese cedar pollinosis (allergen immunotherapy),<allergic rhinitis>,"torii pharmaceutical co., ltd.",torii,000204241,none,yes,no,sublingual drop,,,PMDA
oral,06.12.2012,2012,authorised,japan,approved,13.03.2013,2013,infectious and parasitic diseases,<acquired immunodeficiency syndrome>,000205730.pdf,small molecule,stribild,hiv-1 infection,no,hiv-1 infection,<hiv infections>,japan tobacco inc.,japan tobacco,000205730,elvitegravir/cobicistat/emtricitabine/tenofovir disoproxil fumarate,no,yes,tablet,,na,PMDA
oral,13.03.2013,2013,authorised,japan,approved,29.11.2013,2013,"endocrine, nutritional, and metabolic diseases",<type 2 diabetes mellitus>,000206796.pdf,small molecule,suglat,type 2 diabetes mellitus,no,type 2 diabetes mellitus,<type 2 diabetes mellitus>,astellas pharma inc.,astellas,000206796,ipragliflozin,no,no,tablet,,na,PMDA
oral,17.05.2013,2013,authorised,japan,approved,29.11.2013,2013,diseases of the circulatory system,"<hypertension, pulmonary>",000207309.pdf,small molecule,adempas,inoperable chronic thromboembolic pulmonary hypertension (cteph) or postoperative persistent or recurrent cteph,no,inoperable chronic thromboembolic pulmonary hypertension (cteph) or postoperative persistent or recurrent cteph,"<hypertension, pulmonary>","bayer yakuhin, ltd.",bayer,000207309,riociguat,no,yes,tablet,,na,PMDA
oral,04.03.2010,2010,authorised,japan,approved,24.11.2010,2010,diseases of the circulatory system,<ischemic stroke>; <embolism>,000207341.pdf,small molecule,pradaxa,reduction in the risk of ischaemic stroke and systemic embolism in patients with non-valvular atrial fibrillation,no,reduction in the risk of stroke and systemic embolism in patients with atrial fibrillation,<stroke>; <embolism>; <atrial fibrillation>,"nippon boehringer ingelheim co., ltd.",boehringer ingelheim,000207341,dabigatran etexilate methanesulfonate,no,no,capsule,,na,PMDA
oral,05.02.2010,2010,authorised,japan,approved,24.11.2010,2010,diseases of the nervous system,<alzheimer disease>,000207435.pdf,small molecule,memary,control of the progression of dementia symptoms in patients with moderate to severe alzheimer’s disease,no,control of the progression of dementia symptoms in moderate to severe alzheimer’s disease,<alzheimer disease>,"daiichi sankyo company, limited",daiichi sankyo,000207435,memantine hydrochloride,no,no,tablet,,na,PMDA
subcutaneous,28.04.2009,2009,authorised,japan,approved,23.04.2010,2010,diseases of the musculoskeletal system and connective tissue,<osteoporosis>,000207926.pdf,peptides and proteins,forteo,treatment of patients with osteoporosis at high risk for fracture,no,treatment of patients with osteoporosis at high risk for fracture,<osteoporosis>,eli lilly japan k.k.,eli lilly,000207926,teriparatide,no,no,solution,,na,PMDA
oral,26.02.2013,2013,authorised,japan,approved,03.02.2014,2014,neoplasms; diseases of the digestive system,<colorectal neoplasms>,000207987.pdf,small molecule,lonsurf,unresectable advanced or recurrent colorectal cancer,no,unresectable advanced or recurrent colorectal cancer,<colorectal neoplasms>,"taiho pharmaceutical co., ltd.",taiho,000207987,trifluridine and tipiracil hydrochloride,no,no,tablet,,na,PMDA
oral,30.05.2013,2013,authorised,japan,approved,24.02.2014,2014,diseases of the genitourinary system,<polycystic kidney diseases>,000208511.pdf,small molecule,samsca,slowing of the progression of autosomal dominant polycystic kidney disease,yes,slowing of the progression of autosomal dominant polycystic kidney disease,<polycystic kidney diseases>,"otsuka pharmaceutical co., ltd.",otsuka,000208511,tolvaptan,yes,yes,tablet,,,PMDA
oral,30.09.2009,2009,authorised,japan,approved,26.08.2010,2010,diseases of the blood and blood-forming organs,"<thrombocytopenic purpura, idiopathic>",000208512.pdf,small molecule,revolade,chronic idiopathic thrombocytopenic purpura,no,idiopathic thrombocytopenic purpura,"<thrombocytopenic purpura, idiopathic>",glaxosmithkline k.k.,glaxosmithkline,000208512,eltrombopag,no,yes,tablet,,na,PMDA
oral,21.12.2011,2011,authorised,japan,approved,30.11.2012,2012,diseases of the circulatory system,<ischemic stroke>; <embolism>; <atrial fibrillation>,000208682.pdf,small molecule,eliquis,reduction of the risk of ischemic stroke and systemic embolism in patients with nonvalvular atrial fibrillation,no,reduction of the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation,<stroke>; <embolism>; <atrial fibrillation>,bristol-myers k.k.,bristol-myers,000208682,apixaban,no,no,tablet,,na,PMDA
oral,07.10.2013,2013,authorised,japan,approved,26.05.2014,2014,neoplasms; diseases of the respiratory system,<non-small cell lung cancer>,000208811.pdf,small molecule,alecensa,"alk fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer",no,"alk fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer",<non-small cell lung carcinoma>,"chugai pharmaceutical co., ltd.",chugai,000208811,alectinib hydrochloride,no,yes,capsule,,na,PMDA
oral,27.03.2013,2013,authorised,japan,approved,10.01.2014,2014,diseases of the circulatory system; diseases of the digestive system,<thrombosis>; <embolism>; <gastric ulcer>; <duodenal ulcer>; <angina pectoris>; <myocardial infarction>; <ischemic cerebrovascular disorders>,000208812.pdf,small molecule,takelda,"reduction of the risk of thrombosis and embolism in patients with a history of gastric or duodenal ulcers who have angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent cabg or ptca",yes,"reduction of the risk of thrombosis and embolism and prevention of recurrent gastric or duodenal ulcers associated with low-dose aspirin in patients with angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent cabg or ptca",<thrombosis>; <embolism>; <gastric ulcer>; <duodenal ulcer>; <angina pectoris>; <myocardial infarction>; <ischemic cerebrovascular disorders>,takeda pharmaceutical company limited,takeda,000208812,aspirin/lansoprazole,yes,no,tablet,,,PMDA
inhalation,22.04.2013,2013,authorised,japan,approved,30.04.2014,2014,diseases of the respiratory system,<chronic obstructive pulmonary disease>,000208866.pdf,small molecule,anoro ellipta,relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),no,relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),<chronic obstructive pulmonary disease>,glaxosmithkline k.k.,glaxosmithkline,000208866,umeclidinium bromide/ vilanterol trifenatate,no,no,powder,,na,PMDA
oral,29.10.2013,2013,authorised,japan,approved,26.06.2014,2014,infectious and parasitic diseases,<chronic hepatitis c>; <cirrhosis>,000209021.pdf,small molecule,daklinza,improvement of viraemia in patients with chronic hepatitis c serogroup 1 or with compensated cirrhosis,no,improvement of viraemia in patients with chronic hepatitis c serogroup 1 or with compensated cirrhosis,<chronic hepatitis c>; <cirrhosis>,bristol-myers k.k.,bristol-myers,000209021,daclatasvir,no,no,tablet,,na,PMDA
oral,29.10.2013,2013,authorised,japan,approved,26.06.2014,2014,infectious and parasitic diseases,<chronic hepatitis c>; <cirrhosis>,000209023.pdf,small molecule,sunvepra,"improvement of viraemia in patients with chronic hepatitis c serogroup 1 (genotype 1), or chronic hepatitis c serogroup 1 with compensated cirrhosis",no,"improvement of viraemia in patients with chronic hepatitis c serogroup 1 (genotype 1), or chronic hepatitis c serogroup 1 with compensated cirrhosis",<chronic hepatitis c>; <liver cirrhosis>,bristol-myers k.k.,bristol-myers,000209023,asunaprevir,no,no,capsule,,na,PMDA
