Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,,,authorised,TGA,approved,05.08.2011,2011,diseases of the circulatory system,<pulmonary hypertension>; <collagen diseases>,auspar-adcirca.pdf,small molecule,adcirca,"adcirca is indicated in adults for the treatment of pulmonary arterial hypertension (pah) classified as who functional class ii and iii, to improve exercise capacity. efficacy has been shown in idiopathic pah (ipah) and in pah related to collagen vascular disease.",yes,adcirca is indicated for the treatment of pulmonary arterial hypertension (pah) classified as who functional class ii and iii to improve exercise capacity. efficacy has been shown in idiopathic pah (ipah) and in pah related to collagen vascular disease.,<pulmonary hypertension>; <collagen diseases>,eli lilly australia pty ltd,eli lilly,172882,tadalafil,yes,yes,tablet,pm-2010-01829-3-3,
subcutaneous,31.01.2020,2020,authorised (under additional monitoring),TGA,approved,22.10.2020,2020,diseases of the blood and blood-forming organs; diseases of the skin,<erythropoietic protoporphyria>,auspar-afamelanotide-210311.pdf,peptides and proteins,scenesse,prevention of phototoxicity in adult patients with erythropoietic protoporphyria (epp),no,prevention of phototoxicity in adult patients with erythropoietic protoporphyria (epp),<erythropoietic protoporphyria>,clinuvel pharmaceuticals ltd,clinuvel,327947,afamelanotide,no,yes,implant,pm-2019-05977-1-6,na
oral,,2012,authorised,TGA,approved,01.11.2013,2013,neoplasms; diseases of the respiratory system,<lung neoplasms>,auspar-afatinib-dimaleate-140414.pdf,small molecule,giotrif,"as monotherapy for the treatment of patients with advanced or metastatic non-squamous non-small cell carcinoma of the lung, either as first line therapy or after failure of cytotoxic chemotherapy. tumours must have epidermal growth factor receptor (egfr) exon 19 deletions or l858r substitution mutations.",no,for the treatment of patients with locally advanced or metastatic non-small cell lung cancer (nsclc) with epidermal growth factor receptor (egfr) mutation(s).,<lung neoplasms>,boehringer ingelheim pty ltd,boehringer ingelheim,"201314 (20 mg), 201318 (30 mg), 201315 (40 mg), 201320 (50 mg)",afatinib,no,no,tablet,pm-2012-02708-3-4,na
intravitreal,,,authorised,TGA,approved,17.02.2012,2012,diseases of the eye and adnexa,<macular degeneration>,auspar-aflibercept-120730.pdf,biologics,eylea,treatment of neovascular (wet) age-related macular degeneration (amd),no,treatment of neovascular (wet) age-related macular degeneration (amd),<macular degeneration>,bayer australia limited,bayer,aust r 180859 and aust r 180860,aflibercept,no,no,solution,pm-2010-03802-3-5,na
intravitreal,,,authorised,TGA,approved,02.02.2015,2015,"diseases of the eye and adnexa; endocrine, nutritional, and metabolic diseases",<diabetic macular edema>,auspar-aflibercept-150721.pdf,biologics,eylea,diabetic macular oedema (dme),yes,diabetic macular oedema (dme),<macular edema>,bayer australia ltd,bayer,180859 and 180860,aflibercept,yes,no,solution,pm-2013-04198-1-1,
intravenous,,,authorised,TGA,approved,05.03.2013,2013,neoplasms; diseases of the digestive system,<colorectal neoplasms>,auspar-aflibercept-rch-130729.pdf,biologics,"zaltrap, aflitiv, lidaveg",zaltrap/alfitiv/lidaveg in combination with irinotecan-fluoropyrimidine-based chemotherapy is indicated in adults with metastatic colorectal cancer previously treated with an oxaliplatin-containing regimen.,no,aflibercept in combination with irinotecan-fluoropyrimidine-based chemotherapy is indicated in adults with metastatic colorectal cancer previously treated with an oxaliplatin-containing regimen.,<colorectal neoplasms>,sanofi-aventis australia pty ltd,sanofi-aventis,"195234, 195939, 195970, 195974,195975, 195976",aflibercept,no,no,concentrate,pm-2011-04301-3-4,na
intravitreal,,,authorised,TGA,approved,07.11.2013,2013,diseases of the eye and adnexa,<macular edema>; <retinal vein occlusion>,auspar-aflibercept-rch-140804.pdf,biologics,eylea,treatment of visual impairment due to macular oedema secondary to central retinal vein occlusion (crvo),yes,treatment of visual impairment due to macular oedema secondary to central retinal vein occlusion (crvo),<macular edema>; <retinal vein occlusion>,bayer australia ltd,bayer,180859 and 180860,aflibercept,no,no,solution,pm-2012-03146-1-5,na
intramuscular;deep subcutaneous,,,authorised,TGA,approved,16.03.2011,2011,infectious and parasitic diseases,<influenza>,auspar-aflunov.pdf,vaccine,aflunov/prepandemic h5n1 adjuvanted influenza vaccine,active immunisation against a/vietnam/1194 2004 (h5n1) like strain (nibrg-14) subtype of influenza a virus,no,active immunisation against h5n1 subtype of influenza a virus,<influenza>,novartis vaccines and diagnostics,novartis,167943 and 167949,influenza virus haemagglutinin h5n1,yes,no,solution,pm-2009-03929-3-2,
intravenous,31.01.2019,2019,withdrawn,TGA,withdrawn,16.01.2020,2020,"endocrine, nutritional, and metabolic diseases",not reported,auspar-alanylglutamine-201202.pdf,peptides and proteins,dipeptiven,na,no,dipeptiven is indicated as part of a clinical nutrition regimen in patients in hypercatabolic and/or hypermetabolic states. it should be given together with parenteral nutrition.,not reported,fresenius kabi australia pty ltd,fresenius,,alanylglutamine,no,no,solution,pm-2018-04790-1-1,na
intravenous,,,withdrawn,TGA,withdrawn,14.06.2011,2011,diseases of the circulatory system,not reported,auspar-albumex-110920.pdf,biologics,albumex 20/albumex 5/albumex 4,na,yes,extension of indications for albumex 4 to include first line use in hypovolaemia/shock,<shock>,csl ltd,csl,"31820, 46283, 50595, 50620, 59154, 59155, 72895, 72896",albumin (human),yes,no,solution,pm-2010-02082-3-5,
intravenous,,,authorised,TGA,approved,15.07.2015,2015,diseases of the circulatory system,not reported,auspar-albumin-human-170502.pdf,biologics,"albunate 5, albunate 20 and albunate 25",restoration and maintenance of circulating blood volume where volume deficiency has been demonstrated and use of a colloid is appropriate,no,restoration and maintenance of circulating blood volume where volume deficiency has been demonstrated and use of a colloid is appropriate,not reported,csl limited,csl,"223744, 223741, 223739, 223743, 223740, 223742",albumin,yes,no,solution,pm-2014-01051-1-5,
intravenous,,,authorised,TGA,approved,14.09.2016,2016,diseases of the blood and blood-forming organs,<not reported>,auspar-albutrepenonacog-alfa-rch-170926.pdf,biologics,idelvion,routine prophylaxis to prevent or reduce the frequency of bleeding episodes; control and prevention of bleeding episodes; control and prevention of bleeding in the perioperative setting,no,routine prophylaxis to prevent or reduce the frequency of bleeding episodes; control and prevention of bleeding episodes; control and prevention of bleeding in the perioperative setting,not reported,csl behring,csl,"255552, 259938, 259939, 259940",albutrepenonacog alfa,no,yes,powder; solvent,pm-2015-01850-1-4,na
oral,,,authorised,TGA,approved,30.01.2018,2018,neoplasms; diseases of the respiratory system,<non-small cell lung carcinoma>,auspar-alectinib-180305_0.pdf,small molecule,alecensa,"treatment of patients with anaplastic lymphoma kinase (alk)-positive, locally advanced or metastatic non-small cell lung cancer (nsclc).",yes,"treatment of patients with anaplastic lymphoma kinase (alk)-positive, locally advanced or metastatic non-small cell lung cancer (nsclc).",<non-small cell lung carcinoma>,roche australia pty ltd,roche,272115,alectinib,yes,no,capsule,pm-2017-03224-1-4,
oral,,,authorised,TGA,approved,10.03.2017,2017,neoplasms; diseases of the respiratory system,<non-small cell lung carcinoma>,auspar-alectinib-hydrochloride-171127.pdf,small molecule,alecensa,"treatment of patients with anaplastic lymphoma kinase (alk)-positive, locally advanced or metastatic non-small cell lung cancer (nsclc) who have progressed on or are intolerant to crizotinib.",no,"treatment of patients with anaplastic lymphoma kinase (alk)-positive, locally advanced or metastatic non-small cell lung cancer (nsclc) who have progressed on or are intolerant to crizotinib.",<non-small cell lung carcinoma>,roche products pty limited,roche,272115,alectinib hydrochloride,no,no,capsule,pm-2015-04677-1-4,na
intravenous,,,authorised,TGA,approved,11.12.2013,2013,diseases of the nervous system,<multiple sclerosis>,auspar-alemtuzumab-140204.pdf,biologics,"lemtrada, remniq",treatment of relapsing forms of multiple sclerosis (ms) for patients with active disease defined by clinical or imaging features to slow the accumulation of physical disability and reduce the frequency of clinical relapses.,yes,treatment of patients with relapsing forms of multiple sclerosis (ms) to slow the accumulation of physical disability and reduce the frequency of clinical relapses.,<multiple sclerosis>,sanofi-aventis australia pty ltd,sanofi-aventis,200941 and 200948,alemtuzumab,no,no,solution,pm-2012-02297-3-1,na
oral,,,authorised,TGA,approved,20.09.2010,2010,diseases of the musculoskeletal system and connective tissue,<osteoporosis>,auspar-alendraccord.pdf,small molecule,"alendraccord, alendrocor, pharmacor alendronate",for the treatment of osteoporosis and prevention of glucocorticoid-induced osteoporosis in postmenopausal women not receiving oestrogen and who are on long-term corticosteroid therapy.,no,for the treatment of osteoporosis and prevention of glucocorticoid-induced osteoporosis in postmenopausal women not receiving oestrogen and who are on long-term corticosteroid therapy.,<osteoporosis>,accord healthcare pty ltd,accord,"161444, 161445 and 161448",alendronic acid,yes,no,tablet,pm-2009-01135-3-5,
subcutaneous,23.09.2022,2022,authorised (under additional monitoring),TGA,approved,03.07.2023,2023,diseases of the blood and blood-forming organs,<hemophilia b>,auspar-alhemo-240308.pdf,biologics,alhemo,prophylaxis to prevent or reduce the frequency of bleeding in patients at least 12 years of age who have haemophilia b (congenital factor ix deficiency) with fix inhibitors.,no,routine prophylaxis to prevent or reduce the frequency of bleeding in patients ≥ 12 years of age with haemophilia b (congenital factor ix deficiency) with fix inhibitors.,<hemophilia b>,novo nordisk pharmaceuticals pty ltd,novo nordisk,"394065, 394067, 394068 and 394066",concizumab,no,yes,solution,pm-2022-03458-1-6,na
subcutaneous,31.08.2016,2016,authorised,TGA,approved,12.09.2017,2017,"endocrine, nutritional, and metabolic diseases; diseases of the circulatory system",<heterozygous familial hypercholesterolemia>; <atherosclerotic cardiovascular disease>; <hypercholesterolemia>,auspar-alirocumab-180918.pdf,biologics,praluent,"praluent is indicated as an adjunct to diet and exercise to reduce ldl-c in adults with one or more of: heterozygous familial hypercholesterolaemia, clinical atherosclerotic cardiovascular disease, or hypercholesterolemia with high or very high cardiovascular risk.",yes,praluent is indicated as an adjunct to diet and exercise in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia.,<hypercholesterolemia>,sanofi aventis australia pty ltd,sanofi,"238299, 238204, 238305, and 238285",alirocumab,yes,no,solution,pm-2016-01950-1-3,
