Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Administration_route_verdict_llm,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_date_verdict_llm,Current_status_human,Current_status_llm,Current_status_verdict_human,Current_status_verdict_llm,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_date_verdict_llm,Decision_human,Decision_llm,Decision_verdict_human,Decision_verdict_llm,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Disease_class(es)_verdict_llm,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_class_verdict_llm,Drug_human,Drug_llm,Drug_verdict_human,Drug_verdict_llm,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_approved_verdict_llm,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Indication_requested_verdict_llm,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Marketing_authorisation_number_verdict_llm,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Non_proprietary_name_verdict_llm,Nonclinical_pharmacokinetics_model_human,Nonclinical_pharmacokinetics_model_llm,Nonclinical_pharmacokinetics_model_verdict_human,Nonclinical_pharmacokinetics_model_verdict_llm,Nonclinical_pharmacokinetics_species_human,Nonclinical_pharmacokinetics_species_llm,Nonclinical_pharmacokinetics_species_verdict_human,Nonclinical_pharmacokinetics_species_verdict_llm,Nonclinical_pharmacokinetics_strain_human,Nonclinical_pharmacokinetics_strain_llm,Nonclinical_pharmacokinetics_strain_verdict_human,Nonclinical_pharmacokinetics_strain_verdict_llm,Nonclinical_pharmacology_model_human,Nonclinical_pharmacology_model_llm,Nonclinical_pharmacology_model_verdict_human,Nonclinical_pharmacology_model_verdict_llm,Nonclinical_pharmacology_species_human,Nonclinical_pharmacology_species_llm,Nonclinical_pharmacology_species_verdict_human,Nonclinical_pharmacology_species_verdict_llm,Nonclinical_pharmacology_strain_human,Nonclinical_pharmacology_strain_llm,Nonclinical_pharmacology_strain_verdict_human,Nonclinical_pharmacology_strain_verdict_llm,Nonclinical_toxicology_model_human,Nonclinical_toxicology_model_llm,Nonclinical_toxicology_model_verdict_human,Nonclinical_toxicology_model_verdict_llm,Nonclinical_toxicology_species_human,Nonclinical_toxicology_species_llm,Nonclinical_toxicology_species_verdict_human,Nonclinical_toxicology_species_verdict_llm,Nonclinical_toxicology_strain_human,Nonclinical_toxicology_strain_llm,Nonclinical_toxicology_strain_verdict_human,Nonclinical_toxicology_strain_verdict_llm,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Orphan_drug_status_verdict_llm,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Pharmaceutical_form_verdict_llm
intravenous infusion,intravenous,,,25.04.2023,25.04.2023,,,authorised (under additional monitoring),authorised,,,25.07.2024,25.07.2024,,,approved,approved,,,"neoplasms, diseases of the skin, other",neoplasms,,,biologics,biologics,,,ituxredi,ituxredi,,,same,non-hodgkin’s lymphoma (nhl),,,"non-hodgkin’s lymphoma (nhl), chronic lymphocytic leukaemia (cll), rheumatoid arthritis, granulomatosis with polyangiitis and microscopic polyangiitis, pemphigus vulgaris",non-hodgkin’s lymphoma (nhl),,,ema/565284/2024,ema/565284/2024,,,rituximab,rituximab,,,not reported,not reported,,,monkeys,monkey,,,cynomolgus monkeys,cynomolgus monkey,,,not reported,not reported,,,???,monkey,,,not reported,cynomolgus monkey,,,not reported,not reported,,,monkeys,monkey,,,cynomolgus monkeys,cynomolgus monkey,,,no,no,,,concentrate for solution for infusion,concentrate for solution for infusion,,
epicutaneous,epicutaneous,,,not reported,n/a,,,withdrawn,withdrawn,,,17.12.2021,17.12.2020,,,withdrawn,withdrawn,,,other,allergic disorders,,,peptides and proteins,biologics,,,abylqis,abylqis,,,,immunotherapy for the treatment of children diagnosed with peanut allergy,,,epicutaneous allergen immunotherapy (epit) of peanut allergy in children 4 to 11 years old with a diagnosed ige-mediated peanut allergy,epicutaneous allergen immunotherapy (epit) for peanut allergy in children 4 to 11 years old,,,ema/772201/2021,ema/772201/2021,,,arachis hypogaea extract,arachis hypogaea extract,,,not reported,not reported,,,mice,mouse,,,not reported,not reported,,,peanut-sensitized mice and minipigs,not reported,,,"mice, minipigs","mouse, minipig, guinea pig",,,not reported,not reported,,,"rodent model of peanut allergy, model of peanut sensitized guinea pigs",not reported,,,"guinea pigs, mice, rats, rabbits","guinea pig, mouse, rat, rabbit",,,not reported,not reported,,,no,no,,,cutaneous patch,cutaneous patch,,
oral,oral,,,20.06.2022,20.06.2022,,,authorised,authorised,,,15.09.2022,15.09.2022,,,approved,approved,,,mental and behavioural disorders,mental and behavioural disorders,,,small molecule,small molecule,,,melatonin neurim,melatonin neurim,,,same,monotherapy for the short-term treatment of primary insomnia characterised by poor quality of sleep in patients who are aged 55 or over,,,melatonin neurim is indicated as monotherapy for the short-term treatment of primary insomnia characterised by poor quality of sleep in patients who are aged 55 or over.,short-term treatment of primary insomnia characterised by poor quality of sleep in patients aged 55 or over,,,ema/847216/2022,ema/847216/2022,,,melatonin,melatonin,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,no,no,,,prolonged-release tablets,prolonged-release tablets,,
intravitreal injection,intravitreal,,,not reported,n/a,,,withdrawn,withdrawn,,,20.05.2016,15.09.2016,,,withdrawn,withdrawn,,,diseases of the eye and adnexa,diseases of the eye and adnexa,,,small molecule,biologics,,,opsiria,opsiria,,,,not applicable,,,"treatment of non-infectious uveitis (inflammation of the uvea, the middle layer of the eye) in adults. the inflammation may cause discomfort, pain, blurring of vision, and may lead to partial or complete blindness.",chronic non-infectious uveitis affecting the posterior segment of the eye,,,ema/433651/2016,ema/433651/2016,,,sirolimus,sirolimus,,,not reported,not reported,,,"rabbits, monkeys, rats","rabbit, monkey",,,not reported,not reported,,,"rat experimental autoimmune uveitis (eau) model, rabbit model of endotoxin-induced uveitis",not reported,,,"rats, rabbits","rat, rabbit, monkey",,,not reported,not reported,,,not reported,not reported,,,"rats, rabbits, monkeys","rat, rabbit, monkey",,,not reported,not reported,,,no,yes,,,solution for injection,sterile solution for intravitreal injection,,
intravenous infusion,intravenous,,,02.09.2015,02.09.2015,,,authorised,authorised,,,15.09.2016,15.09.2016,,,approved,approved,,,"""endocrine, nutritional, and metabolic diseases"", diseases of the genitourinary system","endocrine, nutritional, and metabolic diseases",,,other,peptides and proteins,,,parsabiv,parsabiv,,,parsabiv is indicated for the treatment of secondary hyperparathyroidism (shpt) in adult patients with chronic kidney disease (ckd) on haemodialysis therapy.,treatment of secondary hyperparathyroidism in adult patients with chronic kidney disease on haemodialysis therapy,,,"parsabiv is indicated for the treatment of secondary hyperparathyroidism (shpt) in adult patients with chronic kidney disease (ckd) on haemodialysis therapy. parsabiv may be used as part of a therapeutic regimen including phosphate binders and/or vitamin d sterols, as appropriate.",treatment of secondary hyperparathyroidism in adult patients with chronic kidney disease on haemodialysis therapy,,,ema/664198/2016,ema/664198/2016,,,etelcalcetide,etelcalcetide,,,not reported,not reported,,,"rats, dogs, rabbits","rat, dog",,,long evans rats,"sprague dawley rat, beagle dog",,,"rat model of acute renal insufficiency, 5/6 nephrectomy rats, uremic rat","1k1c rat, 5/6 nephrectomy rat",,,"dogs, rats","dog, rat",,,not reported,"sprague dawley rat, beagle dog",,,tg.rash2 mice,not reported,,,"rats, dogs, mice, rabbits","rat, dog",,,not reported,"sprague dawley rat, beagle dog",,,no,no,,,solution for injection,solution for injection,,
subcutaneous injection,subcutaneous,,,11.09.2020,11.09.2020,,,authorised (under additional monitoring),authorised,,,16.09.2021,16.09.2021,,,approved,approved,,,"diseases of the eye and adnexa, diseases of the musculoskeletal system and connective tissue, diseases of the skin, diseases of the digestive system",diseases of the immune system,,,biologics,biologics,,,hukyndra,hukyndra,,,"polyarticular juvenile idiopathic arthritis, enthesitis-related arthritis, paediatric plaque psoriasis, paediatric crohn's disease, paediatric uveitis","rheumatoid arthritis, juvenile idiopathic arthritis, enthesitis-related arthritis, axial spondyloarthritis, psoriatic arthritis, psoriasis, hidradenitis suppurativa, crohn’s disease, ulcerative colitis, uveitis",,,"rheumatoid arthritis, juvenile idiopathic arthritis, axial spondyloarthritis, psoriatic arthritis, psoriasis, paediatric plaque psoriasis, hidradenitis suppurativa (hs), crohn’s disease, paediatric crohn's disease, ulcerative colitis, paediatric ulcerative colitis, uveitis, paediatric uveitis","rheumatoid arthritis, juvenile idiopathic arthritis, enthesitis-related arthritis, axial spondyloarthritis, psoriatic arthritis, psoriasis, hidradenitis suppurativa, crohn’s disease, ulcerative colitis, uveitis",,,ema/555939/2021,ema/555939/2021,,,adalimumab,adalimumab,,,not reported,not reported,,,monkeys,monkey,,,cynomolgus monkeys,cynomolgus monkey,,,,not reported,,,,monkey,,,,cynomolgus monkey,,,not reported,not reported,,,monkeys,not reported,,,cynomolgus monkeys,not reported,,,no,no,,,solution for injection in pre-filled syringe,solution for injection,,
subcutaneous injection,subcutaneous use,,,06.03.2018,06.03.2018,,,authorised,authorised,,,28.02.2019,28.02.2019,,,approved,approved,,,"congenital malformations and chomosomal abnormalities, ""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",,,peptides and proteins,biologics,,,palynziq,palynziq,,,same,treatment of patients with phenylketonuria (pku) aged 16 years and older who have inadequate blood phenylalanine control despite prior management with available treatment options.,,,palynziq is indicated for the treatment of patients with phenylketonuria (pku) aged 16 years and older who have inadequate blood phenylalanine control (blood phenylalanine levels greater than 600 micromol/l) despite prior management with available treatment options.,treatment of adults with phenylketonuria (pku) who have inadequate blood phenylalanine control despite prior management with available treatment options.,,,ema/chmp/181920/2019,ema/chmp/181920/2019,,,pegvaliase,pegvaliase,,,btbrpahenu2 (enu2) mice,not reported,,,"rats, mice, monkeys","mouse, rat, monkey",,,"sprague dawley rats, cynomolgus monkeys",not reported,,,btbrpahenu2 (enu2) mice,not reported,,,"rats, mice, monkeys","mouse, rat, monkey",,,cynomolgus monkeys,enu2 mouse,,,not reported,not reported,,,"rats, monkeys, rabbits, mice","rat, monkey",,,cynomolgus monkeys,not reported,,,yes,yes,,,solution for injection in pre-filled syringe,solution for injection,,
intramuscular injection,intramuscular,,,05.01.2023,05.01.2023,,,authorised,authorised,,,25.01.2024,25.01.2024,,,approved,approved,,,mental and behavioural disorders,mental and behavioural disorders,,,small molecule,small molecule,,,niapelf,niapelf,,,same,maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone,,,"niapelf is indicated for maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone. in selected adult patients with schizophrenia and previous responsiveness to oral paliperidone or risperidone, niapelf may be used without prior stabilisation with oral treatment if psychotic symptoms are mild to moderate and a long-acting injectable treatment is needed.",maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone,,,ema/100717/2024,ema/100717/2024,,,paliperidone,paliperidone,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,no,no,,,prolonged-release suspension for injection,prolonged release suspension for injection,,
intravenous infusion,intravenous,,,21.11.2017,21.11.2017,,,authorised (under additional monitoring),authorised,,,28.02.2019,28.02.2019,,,approved,approved,,,infectious and parasitic diseases,diseases of the respiratory system,,,small molecule,small molecule,,,dectova,dectova,,,"dectova is indicated for the treatment of complicated and potentially life-threatening influenza a or b virus infection in adult and paediatric patients (aged ≥6 months) when: the patient’s influenza virus is known or suspected to be resistant to anti-influenza medicinal products other than zanamivir, and/or other anti-viral medicinal products for treatment of influenza, including inhaled zanamivir, are not suitable for the individual patient. dectova should be used in accordance with official guidance.","treatment of complicated and potentially life-threatening influenza a or b virus infection in adult and paediatric patients (aged ≥6 months) when the patient’s influenza virus is known or suspected to be resistant to anti-influenza medicinal products other than zanamivir, and/or other anti-viral medicinal products for treatment of influenza, including inhaled zanamivir, are not suitable for the individual patient.",,,"dectova is indicated for the treatment of influenza a or b virus infection in hospitalised adult and paediatric patients (≥6 months): when circulating influenza virus is resistant to other approved anti-influenza medications, or resistance develops while on anti-influenza treatment, and/or who cannot take anti-influenza medications via other routes of administration",treatment of influenza a or b virus infection in hospitalised adult and paediatric patients (≥6 months),,,ema/chmp/851480/2018,ema/chmp/851480/2018,,,zanamivir,zanamivir,,,not reported,not reported,,,"rats, mice, dogs, rabbits, monkeys",not reported,,,not reported,not reported,,,mouse and ferret models of influenza,not reported,,,"mice, ferrets, chickens, monkeys, dogs, cats, rats","ferret, mouse, monkey",,,rhesus macaque monkeys,not reported,,,not reported,not reported,,,"mice, rats, dogs, rabbits",not reported,,,not reported,not reported,,,no,no,,,solution for infusion,solution for infusion,,
oral,oral,,,02.01.2022,02.01.2022,,,,na,,,05.01.2024,12.10.2023,,,refused,refused,,,diseases of the nervous system,diseases of the nervous system,,,small molecule,small molecule,,,albrioza,albrioza,,,,for the treatment of als,,,treatment of als,for the treatment of als,,,ema/chmp/487533/2023,ema/chmp/487533/2023,,,sodium phenylbutyrate / ursodoxicoltaurine,sodium phenylbutyrate / ursodoxicoltaurine,,,not reported,not reported,,,"rats, minipigs","rat, minipig",,,not reported,not reported,,,"transgenic sod1 g93a mice, model of familial als, alzheimer's disease model",not reported,,,"mice, minipigs, rats","rat, mouse",,,not reported,not reported,,,not reported,not reported,,,"rats, dogs, minipigs","rat, dog, minipig",,,not reported,not reported,,,yes,yes,,,powder for oral suspension,powder for oral suspension,,
oral,oral use,,,03.05.2012,03.05.2012,,,authorised,authorised,,,17.01.2013,17.01.2013,,,approved,approved,,,diseases of the circulatory system,"endocrine, nutritional, and metabolic diseases",,,small molecule,small molecule,,,actelsar hct,actelsar hct,,,adults whose blood pressure is not adequately controlled on telmisartan alone,treatment of essential hypertension.,,,"essential hypertension, adults whose blood pressure is not adequately controlled on telmisartan alone, adults whose blood pressure is not adequately controlled on actelsar hct 80 mg/12.5 mg (80 mg telmisartan/12.5 mg hydrochlorothiazide) or adults who have been previously stabilised on telmisartan and hydrochlorothiazide given separately",treatment of essential hypertension.,,,ema/163479/2013,ema/163479/2013,,,telmisartan / hydrochlorothiazide,telmisartan / hydrochlorothiazide,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,no,no,,,tablet,tablets,,
intravenous infusion,intravenous,,,26.04.2016,26.04.2016,,,authorised,authorised,,,20.06.2017,20.07.2017,,,approved,approved,,,"neoplasms, ""endocrine, nutritional, and metabolic diseases"", diseases of the digestive system",neoplasms,,,peptides and proteins,peptides and proteins,,,lutathera,lutathera,,,same,"treatment of unresectable or metastatic, progressive, well differentiated (g1 and g2), somatostatin receptor positive gastroenteropancreatic neuroendocrine tumours (gep nets) in adults.",,,"lutathera is indicated for the treatment of unresectable or metastatic, progressive, well-differentiated (g1 and g2), somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumours (gep-nets) in adults.","treatment of unresectable or metastatic, somatostatin receptor positive gastro-enteropancreatic neuroendocrine tumours (gep-nets) including foregut, midgut and hindgut in adults.",,,ema/506460/2017,ema/506460/2017,,,lutetium (177lu) oxodotreotide,lutetium (177lu) oxodotreotide,,,ca20948 and ar42j tumour implanted lewis rats,not reported,,,rats,"rat, mouse, monkey",,,"sprague dawley rats, lewis rats",not reported,,,ca20948 tumour-bearing male lewis rats,not reported,,,"rats, dogs","mouse, monkey",,,"lewis rats, wistar rats, beagle dogs",not reported,,,not reported,not reported,,,"rats, dogs","rat, dog",,,"sprague dawley rats, beagle dogs",not reported,,,yes,yes,,,solution for infusion,solution for infusion,,
intravenous injection,intravenous infusion,,,01.03.2016,01.03.2016,,,authorised,authorised,,,08.01.2018,09.11.2017,,,approved,approved,,,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,,,peptides and proteins,biologics,,,adynovi,adynovi,,,patients 12 years and above with haemophilia a (congenital factor viii deficiency),treatment and prophylaxis of bleeding in patients 12 years and above with haemophilia a (congenital factor viii deficiency),,,bleeding in patients with haemophilia a (congenital factor viii deficiency),treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency),,,ema/chmp/782768/2017,ema/chmp/782768/2017,,,rurioctocog alfa pegol,rurioctocog alfa pegol,,,"e17 fviii ko mice,  cd(sd) rats",not reported,,,"rats, mice, monkeys","rat, monkey",,,"cynomolgus monkeys, sprague dawley rats","sprague dawley rat, cynomolgus monkey",,,e17 fviii ko mice,not reported,,,"mice, monkeys, rabbits","rat, monkey",,,cynomolgus monkeys,"e17 fviii ko mouse, cynomolgus monkey",,,peg2ru20kcooh (toxicological relevant unbound 20kd peg model),not reported,,,"mice, rats, monkeys, rabbits","rat, monkey",,,cynomolgus monkeys,cynomolgus monkey,,,no,no,,,"solvent for solution for injection, powder for solution for injection",powder and solvent for solution for injection,,
subcutaneous injection,subcutaneous,,,03.06.2013,03.06.2013,,,authorised,authorised,,,26.06.2014,26.06.2014,,,approved,approved,,,"""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",,,peptides and proteins,biologics,,,abasaglar (previously abasria),abasria,,,same,"treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",,,adults and children over the age of two for the treatment of diabetes,"treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",,,ema/chmp/340840/2014,ema/chmp/340840/2014,,,insulin glargine,insulin glargine,,,,not reported,,,,rat,,,,not reported,,,,not reported,,,,"rat, mouse",,,,not reported,,,not reported,not reported,,,,rat,,,not reported,not reported,,,no,no,,,solution for injection,solution for injection,,
intravenous infusion,intravenous,,,07.10.2020,07.10.2020,,,authorised,withdrawn,,,20.04.2022 (company withdrew application on this date),16.12.2021,,,withdrawn,withdrawn,,,diseases of the nervous system,mental and behavioural disorders,,,biologics,biologics,,,aduhelm,aduhelm,,,,na,,,adult patients with alzheimer’s disease at the mild cognitive impairment (mci) or mild dementia stage. presence of amyloid beta pathology should be confirmed as part of diagnosis,disease modifying treatment in adult patients with alzheimer’s disease at the mild cognitive impairment (mci) or mild dementia stage.,,,ema/chmp/557556/2022,ema/chmp/557556/2022,,,aducanumab,aducanumab,,,"aged tg2576 transgenic mouse model, wild-type mice",not reported,,,"mice, monkeys, rats","mouse, rat, monkey",,,"cynomolgus monkeys, sprague dawley rats",not reported,,,"tg2576 mice,",not reported,,,mice,mouse,,,not reported,tg2576 mouse,,,tg2576 mice,not reported,,,"mice, monkeys, rats","mouse, monkey",,,"cynomolgus monkeys, sprague dawley rats",tg2576 mouse,,,no,no,,,concentrate for solution for infusion,100 mg/ml concentrate for solution for infusion,,
oral,oral use,,,25.05.2012,25.05.2012,,,authorised,authorised,,,27.07.2013,27.06.2013,,,approved,approved,,,diseases of the digestive system,diseases of the digestive system,,,small molecule,small molecule,,,nexium control,nexium control,,,nexium control is indicated for the short-term treatment of reflux symptoms (e.g. heartburn and acid regurgitation) in adults.,short-term treatment of reflux symptoms (e.g. heartburn and acid regurgitation) in adults,,,short-term treatment of reflux symptoms (e.g. heartburn and acid regurgitation in adults),short-term treatment of reflux symptoms (e.g. heartburn and acid regurgitation) in adults,,,ema/498929/2013,ema/498929/2013,,,esomeprazole,esomeprazole,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,no,no,,,hard gastro-resistant capsules,gastro-resistant tablet,,
oral,oral,,,01.06.2011,01.06.2011,,,,withdrawn,,,18.10.2012,18.10.2012,,,refused,refused,,,"mental and behavioural disorders, diseases of the nervous system",mental and behavioural disorders,,,small molecule,small molecule,,,acrescent,acrescent,,,,n/a,,,moderate to moderately severe alzheimer’s disease who are already on a stable daily dose of 20 mg memantine and 10 mg donepezil,treatment of patients with moderate to moderately severe alzheimer’s disease who are already on a stable daily dose of 20 mg memantine and 10 mg donepezil,,,ema/111381/2013,ema/111381/2013,,,memantine hydrochloride / donepezil hydrochloride,memantine hydrochloride / donepezil hydrochloride,,,,not reported,,,,not reported,,,,not reported,,,not reported,not reported,,,rats,rat,,,not reported,not reported,,,not reported,not reported,,,rats,rat,,,not reported,not reported,,,no,no,,,tablet,film-coated tablets,,
ocular use,ocular,,,02.05.2022,02.05.2022,,,authorised,authorised,,,30.05.2024,25.07.2024,,,approved,approved,,,diseases of the eye and adnexa,infectious and parasitic diseases,,,small molecule,biologics,,,akantior,akantior,,,same,treatment of acanthamoeba keratitis,,,acanthamoeba keratitis in adults and children from 12 years of age,treatment of acanthamoeba keratitis,,,ema/286425/2024,ema/286425/2024,,,polihexanide,polihexanide,,,not reported,not reported,,,"rabbits, rats",not reported,,,not reported,not reported,,,rat model of acanthamoeba keratitis,not reported,,,rats,rat,,,not reported,not reported,,,not reported,not reported,,,rabbits,not reported,,,new zealand white rabbits,not reported,,,yes,yes,,,solution in single-dose container (eye drops),"eye drops, solution",,
intravenous infusion,intravenous infusion,,,03.12.2014,03.12.2014,,,withdrawn,authorised,,,23.07.2015,23.07.2015,,,approved,approved,,,"neoplasms, diseases of the respiratory system",neoplasms,,,small molecule,small molecule,,,pemetrexed lilly,pemetrexed lilly,,,same,"malignant pleural mesothelioma, non-small cell lung cancer",,,malignant pleural mesothelioma: pemetrexed lilly in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma. non-small cell lung cancer: pemetrexed lilly in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. pemetrexed lilly is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. pemetrexed lilly is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.,"malignant pleural mesothelioma, non-small cell lung cancer",,,ema/chmp/448343/2015,ema/chmp/448343/2015,,,pemetrexed,pemetrexed,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,no,no,,,powder for concentrate for solution for infusion,powder for concentrate for solution for infusion,,
oral,oral use,,,13.12.2013,13.12.2013,,,authorised,authorised,,,26.03.2015,26.03.2015,,,approved,approved,,,"other, neoplasms, ""endocrine, nutritional, and metabolic diseases""",infectious and parasitic diseases,,,small molecule,small molecule,,,akynzeo,akynzeo,,,same,prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy.,,,adults for the prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy. prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy.,prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy.,,,ema/236963/2015,ema/236963/2015,,,netupitant / palonosetron,netupitant / palonosetron,,,not reported,not reported,,,"rats, dogs, monkeys",not reported,,,"cynomolgus monkeys, gerbil rats",not reported,,,acute-induced and delayed models of emesis,not reported,,,"ferrets, rats, mice, guinea pigs, rabbits",not reported,,,"gerbil rats, suncus murinuse, wistar rats",not reported,,,not reported,not reported,,,"mice, rats, dogs",not reported,,,"wistar rats, beagle dogs",not reported,,,no,no,,,tablet,"capsule, hard",,
nasal,intranasal,,,28.09.2012,28.09.2012,,,authorised,authorised,,,19.09.2013,19.09.2013,,,approved,approved,,,infectious and parasitic diseases,infectious and parasitic diseases,,,vaccine,vaccine,,,fluenz tetra,fluenz tetra,,,same,prophylaxis of influenza in individuals 24 months to less than 18 years of age.,,,fluenz tetra is a vaccine used to protect children from 2 to less than 18 years of age against influenza (flu).,prophylaxis of influenza in individuals 24 months to less than 18 years of age.,,,ema/586629/2013,ema/586629/2013,,,"influenza vaccine (live attenuated, nasal)","influenza vaccine (live attenuated, nasal)",,,,not reported,,,,not reported,,,,not reported,,,not reported,not reported,,,"ferrets, rats, mice","ferret, rat",,,not reported,not reported,,,not reported,not reported,,,"rats, ferrets, hamster, guinea pigs","ferret, rat",,,not reported,not reported,,,no,no,,,"""nasal spray, suspension""",nasal spray,,
subcutaneous injection,subcutaneous,,,27.04.2020,27.04.2020,,,authorised,authorised,,,22.04.2021,22.04.2021,,,approved,approved,,,diseases of the skin,diseases of the skin,,,biologics,biologics,,,adtralza,adtralza,,,moderate-to-severe atopic dermatitis in adult and adolescent patients 12 years and older who are candidates for systemic therapy,for the treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,,,moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,for the treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,,,ema/266138/2021,ema/266138/2021,,,tralokinumab,tralokinumab,,,not reported,not reported,,,monkeys,monkey,,,cynomolgus monkeys,cynomolgus monkey,,,"models of type 2 immune responses mediated through signalling via il-13, air pouch inflammation model in mice, lung inflammation mouse model",not reported,,,"mice, monkeys","mouse, monkey",,,cynomolgus monkeys,cynomolgus monkey,,,not reported,not reported,,,"monkeys, rabbits",monkey,,,cynomolgus monkeys,cynomolgus monkey,,,no,no,,,suspension and emulsion for emulsion for injection,solution for injection,,
oral,oral use,,,13.09.2019,13.09.2019,,,authorised,authorised,,,15.10.2020,15.10.2020,,,approved,approved,,,"neoplasms, diseases of the blood and blood-forming organs",neoplasms,,,small molecule,small molecule,,,lenalidomide mylan,lenalidomide mylan,,,same,"multiple myeloma, follicular lymphoma",,,"multiple myeloma, myelodysplastic syndromes, mantle cell lymphoma, follicular lymphoma","multiple myeloma, follicular lymphoma",,,ema/chmp/583241/2020,ema/chmp/583241/2020,,,lenalidomide,lenalidomide,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,,not reported,,,no,no,,,hard capsules,"capsule, hard",,
oral,oral,,,24.08.2012,24.08.2012,,,authorised,authorised,,,24.10.2013,24.10.2013,,,approved,approved,,,mental and behavioural disorders,mental and behavioural disorders,,,small molecule,small molecule,,,brintellix,brintellix,,,same,treatment of major depressive episodes in adults,,,brintellix is indicated for the treatment of major depressive episodes in adults.,treatment of major depressive episodes in adults,,,ema/699150/2013,ema/699150/2013,,,vortioxetine,vortioxetine,,,not reported,not reported,,,"mice, rats, dogs, rabbits, monkeys, guinea pigs","mouse, rat, dog",,,"cynomolgus monkeys, wistar rats, lister hooded rats",not reported,,,"mouse formalin model, rat chronic constriction nerve injury model,",not reported,,,"rats, mice, dogs, guinea pigs","mouse, rat, dog, rabbit",,,"cd-1 mice, wistar rats, beagle dogs",not reported,,,not reported,not reported,,,"rats, dogs, mice, rabbits","mouse, rat, dog, rabbit",,,not reported,not reported,,,no,no,,,film-coated tablets,"film-coated tablets, oral drops",,
