 Origin,Document_name,Marketing_authorisation_number,EMA_product_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Decisions_number,Nonclinical_abridged,Referral_body,Referral,Nonclinical_pharmacology_invitro,Nonclinical_pharmacology_species,Nonclinical_pharmacology_strain,Nonclinical_pharmacology_model,Nonclinical_pharmacology_sex,Nonclinical_pharmacology_outcomes,Nonclinical_pharmacology_adverse_findings,Nonclinical_pharmacokinetics_species,Nonclinical_pharmacokinetics_strain,Nonclinical_pharmacokinetics_model,Nonclinical_pharmacokinetics_sex,Nonclinical_pharmacokinetics_findings,Nonclinical_pharmacokinetics_outcomes,Nonclinical_toxicology_species,Nonclinical_toxicology_strain,Nonclinical_toxicology_model,Nonclinical_toxicology_sex,Nonclinical_toxicology_outcomes,Nonclinical_toxicology_outcomes,Nonclinical_toxicology_adverse_events,Sex_reported_allgemein,Sex,Comment,
Swissmedic,2024-09-26_final_SwissPAR_Tecartus_rrALL_FI engl.pdf,67884,NA,Tecartus,brexucaptagene autoleucel,Gilead Sciences Switzerland Sàrl,Biologics,dispersion for infusion,"autologous, intravenous",approved,authorised,12.01.2023,yes,yes,relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL),relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL) after 2 or more systemic therapies ,"Diseases of the blood and blood-forming organs, Neoplasms",03.12.2021,2,no,???,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Was schreiben bei Extension of therapeutic indication,
Swissmedic,2024-10-08_SwissPAR_Qdenga_Art 13_final_FI engl.pdf,69403,NA,Qdenga,"live, attenuated Dengue virus serotype 1; live, attenuated Dengue virus serotype 2; live, attenuated Dengue virus serotype 3; live, attenuated Dengue virus serotype 4",Takeda Pharma AG,Vaccine,"powder for solution for injection, solvent for solution for injection",subcutaneous,approved,authorised,29.07.2024,no ,no,dengue disease in patients aged 4 years or older,Same,"Infectious and parasitic diseases, Diseases of the circulatory system",14.04.2023,2,yes,EMA,EMA/862552/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,2024-11-22_final_SwissPAR_Casgevy_art 13_FI engl_corr.pdf,68978,NA,Casgevy,exagamglogene autotemcel,Vertex Pharmaceuticals (CH) GmbH,Cell and gene therapy,dispersion for infusion,intravenous,approved,authorised,06.09.2024,yes,no,"β-thalassemia, Sickle cell disease",Same,"Diseases of the blood and blood-forming organs, Congenital malformations and chomosomal abnormalities",20.12.2023,2,yes,EMA,EMA/56648/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wie genau soll hier die Indikation sein?,
Swissmedic,2024-12-10_final_swisspar_ervebo_ie_kinder_ab_1j_fi_engl.pdf,68358,NA,"Ervebo, solution for injection","rVSVdeltaG-ZEBOV-GP, live, attenuated",MSD Merck Sharp & Dohme AG,Vaccine,solution for injection,intramuscular,approved,authorised,29.07.2024,no ,yes,Ebola virus disease (EVD) >1 year age,Same,Infectious and parasitic diseases,20.11.2023,1,yes,EMA,EMA/372877/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,2024-12-13_hemgenix_swisspar_final_fi_engl.pdf,68780,NA,Hemgenix®,etranacogene dezaparvovec,CSL Behring AG,Cell and gene therapy,concentrate for solution for infusion,intravenous,approved,authorised,07.12.2023,yes,no,Adults with Haemophilia B  and with a preexisting neutralising adeno-associated viral vector serotype 5 (AAV5) antibody titre below 1:900,Male adults with severe/moderately severe Haemophilia B  and with a preexisting neutralising adeno-associated viral vector serotype 5 (AAV5) antibody titre below 1:900,"Diseases of the blood and blood-forming organs, Congenital malformations and chomosomal abnormalities",15.03.2023,2,no,NA,NA,yes,"mouse, monkey","rhesus monkey, cynomolgus monkey","wild-type (wt) C57Bl/6 mouse, haemophilia B mouse",male,"protein (hFIX) levels, clotting activity, protein expression, protein (FIX) activity",Two  h-animals in a high-dose group experienced a significant drop in protein levels that might be due to the development of anti-hFIX antibodies,"mouse, monkey",not reported,Not reported,both,"DNA in plasma was highest 1 day after treatment and thereafter decreased steadily, plasma hFIX protein levels were dose dependent and followed a biphasic pattern, reaching maximum levels 4-5 weeks after treatment, followed by a subsequent fall-off and stabilisation, biodistribution of the vector DNA depends on the capsid proteins, Vector DNA was found in the testis, epididymis, and seminal vesicles, pointing to a risk of inadvertent germline transmission (mouse), Biodistribution analysis showed that vector DNA dose-dependently distributed systemically throughout all organs, with highest levels in the liver and adrenal glands, followed by spinal cord and spleen (monkey), The analysed organs include liver, adrenal glands, brain, heart, kidneys, lungs, lymph nodes, muscle, pancreas, salivary glands, spleen, thymus, thyroid, testes, epididymis, seminal vesicles, and prostate, with respect to excretion/shedding, plasma/serum, urine, saliva, and semen were evaluated","bioavailability, tissue distribution, metabolism, excretion","mouse, monkey",not reported,Not reported,both,"thrombogenicity, immunogenicity","haematology/clotting and cytokine analyses, thrombin/antithrombin III (TAT) complex and D-dimer levels were measured, hFIX expression and activity, haematology/clotting and cytokine analyses, thrombin/antithrombin III (TAT) complex and D-dimer levels were measured, ","Increase in spleen weight, pulmonary thrombus formation, high levels of AMT-060 were detected in male gonadal tissues (no adverse effects from this), elevations of the liver enzymes AST and ALT, viral vector DNA was found in the central nervous system, including brains and spinal cord, dorsal root ganglia (DRG). ",Yes,Male,,
Swissmedic,66792-cablivi-01-swisspar-20191108.pdf,66792,NA,Cablivi,caplacizumabum,Sanofi-Aventis (Suisse) SA,Biologics,"solvent for solution for injection, powder for solution for injection",subcutaneous,approved,authorised,01.10.2019,yes,no,"Adults with thrombotic thrombocytopenic purpura (aTTP),  in combination with plasmapheresis and immunosuppression",Same,Diseases of the blood and blood-forming organs,03.01.2019,2,yes,EMA,EMEA/H/C/004426/0000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,67304-Onpattro-01-SwissPAR-20191113.pdf,67304,NA,ONPATTRO,Patisiran,Alnylam Switzerland GmbH,Cell and gene therapy,concentrate for solution for infusion,intravenous,approved,authorised,23.09.2019,yes,no,hereditary transthyretin-mediated amyloidosis (hATTR amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,Same,"Diseases of the nervous system, Diseases of the circulatory system, Congenital malformations and chomosomal abnormalities",03.01.2019,2,yes,EMA,EMA/554262/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,20200602_SwissPAR Tukysa.pdf,67798,NA,Tukysa,tucatinibum,SFL Regulatory Affairs & Scientific Communication GmbH,Small molecule,tablet,oral,approved,authorised,07.05.2020,no ,no,"in combination with trastuzumab and capecitabine for the treatment of patients with locally advanced unresectable or metastatic HER2-positive breast cancer, including patients with brain metastases, who have received at least 2 prior anti-HER2 treatment regimens","in combination with trastuzumab and capecitabine is indicated for the treatment of patients with metastatic HER2-positive breast cancer, who have previously received 2 or more anti-HER2 regimens in any setting, including trastuzumab, pertuzumab and trastuzumab-emtansine",Neoplasms,06.01.2020,2,no,NA,NA,yes,"rat, mouse, monkey",cynomolgus monkey,"subcutaneous or intracranial allo-or xenograft tumour models (including breast carcinoma), Murine mouse",not reported,"blocked HER2 phosphorylation, blocked the signal transduction cascade of the MAP and PI3K kinases, Tumor growth inhibition, reduced levels of phosphorylated HER2, partial tumor regression, prolonged survival",Side effects due to inhibition of HER2,"monkey, rat","cynomolgus monkey, pigmented rat",Not reported,both,"No distribution across blood-brain barrier, fast absorption after oral administration, Plasma protein binding overall was > 93%, rapid and wide tissue distribution, ","absorption, bioavailability, tissue distribution, metabolism, excretion","rat, rabbit, monkey",cynomolgus monkey,Not reported ,both,"???, genotoxicity, reproduction toxicity, developmental toxicity","Dose-limitation, cause of death, hepatotoxicity, nephrotoxicity, reproductive organs (male and female), ECG, troponin T, ophthalmology, urinanalysis, coagulation, safety margins, genotoxicity, embryo-foetal toxicity","typical signs of discomfort, such as hunched posture, decreased activity, and reduced food consumption, gastrointestinal (GI) erosion/ ulceration, weight gain, hepatotoxicity, uterusatrophy, decreased number of corpora luthea, vaginal epithelial atrophy and mucification, mammary gland atrophy (female), male: prostate weight was reduced, nephrotoxicity, hair loss, placental, foetus: head malformations, reduction in total number of foetus, increased number of early resorptions",Yes,Both,,
Swissmedic,20200827_SwissPAR_Enspryng_final.pdf,67617,NA,Enspryng,satralizumabum,Roche Pharma (Schweiz) AG,Biologics,solution for injection,subcutaneous,approved,authorised,13.07.2020,yes,no,adult and adolescent patients with neuromyelitis optica spectrum disorders (NMOSD),adult and adolescent patients with neuromyelitis optica spectrum disorders (NMOSD) witch aquaporin-4 IgG antibodies ,"Diseases of the eye and adnexa, Diseases of the nervous system",25.10.2019,2,no,NA,NA,yes,monkey,cynomolgus monkey,Not reported,not reported,"Protein levels, significant inhibition of IL-6-dependent production of C-reactive protein (CRP) for 28 days, ",Not reported,monkey,cynomolgus monkey,Not reported,both,"The mean plasma half-lives following SC administration ranged from 2.2 days to 22.7 days, Peak concentrations were reached after 3-4 days, and apparent bioavailability was between 62 and 78%, indicating slow but good absorption from the injection site, limited tissue distribution potential, crossed placental barrier, was excreted in milk, immunogenic in monkey, Accumulation of exposure, immunogenicity","absorption, bioavailability, tissue distribution, metabolism, excretion",monkey,cynomolgus monkey,Not reported,male,"repeat dose toxicity, reproduction toxicity, carcinogenicity","carcinogenicity, fertility, repeated dose toxicity","Consistent decrease in neutrophil count, Neutropenia, ",Yes,Both,,
Swissmedic,20210430_SwissPAR Comirnaty.pdf,68225,NA,Comirnaty,tozinameranum,"Pfizer AG, Zurich",Vaccine,concentrate for dispersion for injection,intramuscular,approved,authorised,19.12.2020,no ,no,COVID-19 disease in individuals aged 16 years or older,Same,Infectious and parasitic diseases,16.10.2020,2,no,NA,NA,yes,"mouse, monkey",rhesus macaque monkey,USA-WA1/2020 macaques,not reported,"Humoral immune response, neutralising immunoglobulins, cytokines, T-cell response, B-cell response, immunogenicity, cytokine formation, increase and activation of Tfh cells, IgG humoral response, neutralising antibody titres, viral load in bronchoalveolar lavage (BAL), nasal and oropharyngeal (OP) swabs was reduced",Not reported,"rat, mouse",not reported,Not reported,not reported,"Rapidly decreasing ALC-0315 and ALC-0159 (lipid compounds) plasma concentration, transient induction of IL-6, MCP-1 and IP-10, ALC-0315 and ALC-0159 were stable for two hours in liver microsomes, ALC-0315 was hydrolysed by de-esterification, estimated percent of dose distributed to the liver was ~60% for ALC-0315 and ~20% for ALC-0159, The percent of dose excreted unchanged in faeces was ~1% for ALC-0315 and ~50% for ALC-0159, low levels of radioactivity were detected in most tissues, with the highest levels in the liver","bioavailability, tissue distribution, metabolism, excretion",rat,not reported,Not reported,female,???,"Weight, food intake, no systemic changes in behaviour, no changes in external appearance, no changes in consistency of faeces, ophthalmology, auditory alterations, local reactions, microscopic analysis, haematology, lymph nodes","reversible erythema and oedema, inflammation of the perineural tissue of the sciatic nerve, local inflammatory reaction, vacuolation of periportal hepatocytes, increased liver enzymes, enlargement of draining lymph nodes, enlarged spleen, increased haematopoiesis, increased cellularity of germinal centres and increased plasma cells in the draining lymph nodes, increased cellularity of haematopoietic cells and germinal centres of the spleen, increased cellularity of hematopoietic cells in the bone marrow, transient reduction in reticulocytes, minimal decreases in RBC, HGB, HCT, sporadic small-magnitude decreases in platelets, increases in white blood cells (neutrophils, eosinophils, basophils, monocytes and large unstained cells) and changes in acute phase markers, no adverse effects on mating performance or fertility",Yes,Both,,
Swissmedic,20211203_SwissPAR-Spikevax.pdf,68267,NA,Spikevax,CX-024414,Moderna Switzerland GmbH,Vaccine,dispersion for injection,intramuscular,temporary authorisation,authorised,12.01.2021,no ,no,COVID-19 disease  in individuals 18 years of age and older,Same,Infectious and parasitic diseases,12.11.2020,2,no,NA,NA,yes,"hamster, mouse, monkey",not reported,Not reported,not reported,"Humoral immune response, neutralising immunoglobulins, cytokines, T-cell response, B-cell response, challenging studies",Not reported,rat,not reported,Not reported,not reported,"mRNA-LNP particles are primarily taken up by professional phagocytes such as dendritic cells and macrophages, mRNAs are expected to be degraded within hours in cells, and antigen expression peaks two days post-injection, excretion in urine and faeces primarily, cleared from body within 1 week, small fraction of mRNA-1647 distributed to distant tissues, highest mRNA-1647 concentrations were observed at the injection site, followed by the proximal and distal lymph nodes and spleen","excretion, tissue distribution, absorption",rat,Sprague Dawley rat,Not reported,female,"???,  local tolerance, immunogenicity, reproduction toxicity, developmental toxicity","Injection site reactions, effects on lymph nodes and spleen, effects on cytokine levels and elevated body temperatures, haematology changes, effects on liver cells, injection site, cell counts, protein levels, developmental and reproductive toxicity","swelling, oedema and erythema, enlarged lymph nodes, ",Yes,Both,,
Swissmedic,Assessment Report SwissPAR Nuvaxovid G102682544.pdf,68473,NA,Nuvaxovid,SARS CoV-2 recombinant spike protein (rS NVX-CoV2373),,Vaccine,dispersion for injection,intramuscular,temporary authorisation,authorised,02.09.2022,no ,yes,COVID-19 disease in individuals 12 years of age and older,Same,Infectious and parasitic diseases,01.07.2022,2,no,???,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,SwissPAR Trodelvy HR_HER2- Brustkrebs.pdf,68179,NA,Trodelvy,sacituzumab govitecan,Future Health Pharma GmbH,Biologics,powder for concentrate for solution for infusion,intravenous,approved,authorised,09.09.2021,no ,yes,unresectable locally advanced or metastatic triple-negative breast cancer (mTNBC) who have received at least two prior therapies,"unresectable locally advanced or metastatic triple-negative breast cancer (mTNBC) who have received at least two prior therapies, at least one of them for metastatic disease",Neoplasms,25.01.2021,2,yes,FDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,assessment_report_swisspar_mictonorm_final.pdf,67514,NA,Mictonorm,"propiverinum, propiverini hydrochloridum",Labatec Pharma SA,Small molecule,not reported,oral,approved,authorised,13.08.2020,no ,no,Overactive bladder,Same,Diseases of the genitourinary system,08.04.2019,2,no,Swissmedic,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gleicher Wirkstoff, gleiche Indikation aber neue Verpackung (""modified release capsule"")",
Swissmedic,Assessment_Report_SwissPAR_Spravato_G102620850.pdf,67103,NA,Spravato,esketamine hydrochloride,Janssen-Cilag AG,Peptides and proteins,"""nasal spray, solution""",nasal,approved,authorised,27.08.2021,no ,yes,Depression when urgent symptom control is necessary,depression in adult patients with a severe episode of major depression (without psychotic symptoms) when the symptoms are classified as a psychiatric emergency according to clinical evaluation,Mental and behavioural disorders,03.06.2020,2,no,Swissmedic,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,Assessment_Report_SwissPAR_Vaborem_Final.pdf,67797,NA,Vaborem,"meropenem trihydrate, vaborbactam",A. Menarini AG,Small molecule,powder for concentrate for solution for infusion,intravenous,approved,authorised,01.07.2021,no ,no,"bacteraemia associated with Complicated urinary tract infection (cUTI), including pyelonephritis or Complicated intra-abdominal infection (cIAI) or Hospital-acquired pneumonia (HAP), including ventilator-associated pneumonia (VAP), infections due to aerobic Gram-negative organisms (in adults with limited treatment options)",Same,Infectious and parasitic diseases,04.12.2019,2,yes,EMA,EMA/CHMP/785079/201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,swiss_public_assessment_report__milgamma.pdf,68695,NA,milgamma,benfotiamine,Maras AG,Small molecule,film-coated tablets,oral,approved,authorised,06.04.2023,no ,yes,"conditions that are responsive to vitamin B1 administration: vitamin B1 deficiency, neurological disorders, cardiovascular disorders ",Same,"""Endocrine, nutritional, and metabolic diseases"", Diseases of the nervous system, Diseases of the circulatory system",04.10.2021,2,no,???,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,SwissPAR -Vyndaqel -Final.pdf,"67083 (20 mg), 67518 (61 mg)",NA,Vyndaqel,"tafamidis meglumine (20 mg), tafamidis (61 mg)",Pfizer AG,Small molecule,soft capsules,oral,approved,authorised,05.03.2020,yes,no,transthyretin amyloidosis with wild-type or hereditary cardiomyopathy ,Same,"""Endocrine, nutritional, and metabolic diseases"", Congenital malformations and chomosomal abnormalities, Diseases of the circulatory system",15.03.2019,2,yes,EMA,EMA/729083/2011,yes,"hamster, dog",not reported,disease model of transthyretin amyloid cardiomyopathy (ATTR-CM) or transthyretin familial amyloid polyneuropathy (ATTR-PN),not reported,"Protein activity, central nervous system function, hERG current, cardiovascular system, respiratory system, "," binding to the δ2-opioid receptor, QRS prolongation, QTc shortening ","rat, dog, mouse, rabbit",not reported,Not reported,not reported,"Wide distribution throughout the body, transfer into milk, excretion in faeces, brolucizumab was taken up from the vitreous humour in the retina and RPE choroid, brolucizumab cleared via the aqueous humour to the systemic circulation","bioavailability, tissue distribution, metabolism, excretion","rat, dog, mouse",not reported,Not reported,both,"???, genotoxicity, reproduction toxicity, developmental toxicity","Mortality-dose, CNS-related clinical signs, hepatotoxicity, gastrointestinal tract, nephrotoxicity, mutations, chromosomal aberration, carcinogenicity, fertility, embryonal development, maternal toxicity, teratogenicity, water-maze test for learning and memory, T-cell dependent antibody response, phototoxicity, ","increases in liver weight, increases in transaminases and bilirubin, centrilobular hypertrophy, centrilobular single cell necrosis, maternal toxicity, embryo-foetal toxicity, decreased foetal weights, impaired performance in water-maze test for learning and memory, ",Yes,Both,Nonclinical abriged but still animal data in PAR,
