Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_year_human,Application_year_llm,Application_year_verdict_human,Current_status_human,Current_status_llm,Current_status_verdict_human,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_human,Decision_llm,Decision_verdict_human,Decision_year_human,Decision_year_llm,Decision_year_verdict_human,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Document_name_human,Document_name_llm,Document_name_verdict_human,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_name_human,Drug_name_llm,Drug_name_verdict_human,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_extended_human,Indication_extended_llm,Indication_extended_verdict_human,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Marketing_authorisation_holder_human,Marketing_authorisation_holder_llm,Marketing_authorisation_holder_verdict_human,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Nonclinical_abridged_human,Nonclinical_abridged_llm,Nonclinical_abridged_verdict_human,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Referral_body_human,Referral_body_llm,Referral_body_verdict_human
not reported,intravenous; subcutaneous,,??,not reported,,not reported,not reported,match,authorised,authorised,match,18.06.2009,not reported,,approved,approved,match,2009.0,not reported,,diseases of the blood and blood-forming organs,diseases of the blood and blood-forming organs; neoplasms,,abseamed-epar-scientific-discussion_en.pdf,abseamed-epar-scientific-discussion_en.pdf,match,peptides and proteins,biologics,,abseamed,hx575,,symptomatic anaemia associated with chronic renal failure in adults and children aged 1 to 18 years on haemodialysis and adult patients on peritoneal dialysis and in adults with renal insufficiency not yet undergoing dialysis for the treatment of severe anaemia of renal origin accompanied by clinical symptoms in patients,"anaemia associated with chronic renal failure; anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours, malignant lymphoma or multiple myeloma; reduction of exposure to allogenic blood transfusions in adult non-iron deficient patients prior to major elective orthopaedic surgery",,no,no,match,not reported,"anaemia associated with chronic renal failure; anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours, malignant lymphoma or multiple myeloma; reduction of exposure to allogenic blood transfusions in adult non-iron deficient patients prior to major elective orthopaedic surgery",,medice arzneimittel pütter gmbh co. kg,not reported,,not reported,not reported,match,epoetin alfa,epoetin alfa,match,yes,yes,match,no,no,match,solution for injection in pre-filled syringe,solution in a single-dose pre-filled syringe,,???,not reported,
intravenous,subcutaneous,,05.04.2024,05.04.2024,match,2024,2024,match,authorised,authorised,match,17.10.2024,17.10.2024,match,approved,approved,match,2024.0,2024,,diseases of the digestive system,diseases of the skin; diseases of the musculoskeletal system and connective tissue; diseases of the digestive system,,absimky-epar-public-assessment-report_en.pdf,absimky-epar-public-assessment-report_en.pdf,match,biologics,biologics,match,absimky,absimky,match,"adult patients with moderately to severely active crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a tnfα antagonist or have medical contraindications to such therapies, adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic or have medical contraindications to such therapies",plaque psoriasis; paediatric plaque psoriasis; psoriatic arthritis; crohn’s disease; ulcerative colitis,,no,yes,,not reported,plaque psoriasis; paediatric plaque psoriasis; psoriatic arthritis; crohn’s disease; ulcerative colitis,,accord healthcare s.l.u.,accord healthcare s.l.u.,match,ema/511029/2024,ema/511029/2024,match,ustekinumab,ustekinumab,match,yes,yes,match,no,no,match,concentrate for solution for infusion,solution for injection,,???,not reported,
epicutaneous,epicutaneous,match,not reported,not reported,match,not reported,not reported,match,withdrawn,withdrawn,match,17.12.2021,not reported,,withdrawn,withdrawn,match,2021.0,not reported,,other,diseases of the immune system; diseases of the respiratory system; diseases of the skin,,abylqis-withdrawal-assessment-report_en.pdf,abylqis-withdrawal-assessment-report_en.pdf,match,peptides and proteins,biologics,,abylqis,abylqis,match,,na,,no,no,match,epicutaneous allergen immunotherapy (epit) of peanut allergy in children 4 to 11 years old with a diagnosed ige-mediated peanut allergy,epicutaneous allergen immunotherapy (epit) of peanut allergy in children 4 to 11 years old with a diagnosed ige-mediated peanut allergy,match,dbv technologies,not reported,,ema/772201/2021,ema/772201/2021,match,arachis hypogaea extract,arachis hypogaea extract,match,no,no,match,no,no,match,cutaneous patch,cutaneous patch,match,,na,
not reported,intravenous; subcutaneous,,24.03.2014,24.03.2014,match,2014,2014,match,authorised,authorised,match,24.06.2014,24.07.2014,,approved,approved,match,2014.0,2014,,"neoplasms, diseases of the blood and blood-forming organs",neoplasms; diseases of the blood and blood-forming organs; infectious and parasitic diseases,,accofil-epar-public-assessment-report_en.pdf,accofil-epar-public-assessment-report_en.pdf,match,peptides and proteins,biologics,,accofil,accofil,match,reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation considered to be at increased risk of prolonged severe neutropenia,"for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation considered to be at increased risk of prolonged severe neutropenia; for the mobilisation of peripheral blood progenitor cells (pbpcs); in patients, children or adults with severe congenital, cyclic, or idiopathic neutropenia with an absolute neutrophil count (anc) of ≤ 0.5 x 109/l, and a history of severe or recurrent infections, long term administration of accofil is indicated to increase neutrophil counts and to reduce the incidence and duration of infection-related events; for the treatment of persistent neutropenia (anc less than or equal to 1.0 x 109/l) in patients with advanced hiv infection, in order to reduce the risk of bacterial infections when other options to manage neutropenia are inappropriate.",,no,no,match,not reported,"for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation considered to be at increased risk of prolonged severe neutropenia; for the mobilisation of peripheral blood progenitor cells (pbpcs); in patients, children or adults with severe congenital, cyclic, or idiopathic neutropenia with an absolute neutrophil count (anc) of ≤ 0.5 x 109/l, and a history of severe or recurrent infections, long term administration of accofil is indicated to increase neutrophil counts and to reduce the incidence and duration of infection-related events; for the treatment of persistent neutropenia (anc less than or equal to 1.0 x 109/l) in patients with advanced hiv infection, in order to reduce the risk of bacterial infections when other options to manage neutropenia are inappropriate.",,accord healthcare s.l.u.,accord healthcare ltd,,ema/chmp/603430/2014,ema/chmp/603430/2014,match,filgrastim,filgrastim,match,yes,no,,no,no,match,"solution for injection in pre-filled syringe, solution for infusion in pre-filled syringe",solution for injection,,???,na,
intravenous,intravenous,match,28.04.2004,not reported,,2004,not reported,,authorised,authorised,match,15.04.2005,not reported,,approved,approved,match,2005.0,not reported,,"diseases of the musculoskeletal system and connective tissue, ""endocrine, nutritional, and metabolic diseases""",diseases of the musculoskeletal system and connective tissue,,aclasta-epar-scientific-discussion_en.pdf,aclasta-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,aclasta,aclasta,match,"osteoporosis in post-menopausal women and in adult men at increased risk of fracture, including those with a recent low-trauma hip fracture. treatment of osteoporosis associated with long-term systemic glucocorticoid therapy in post-menopausal women and in adult men at increased risk of fracture. treatment of paget’s disease of the bone in adults.",treatment of paget’s disease of the bone,,no,yes,,not reported,treatment of paget’s disease of the bone,,sandoz pharmaceuticals d.d.,novartis europharm ltd,,not reported,not reported,match,zoledronic acid,zoledronic acid,match,no,no,match,no,no,match,dispersion for infusion,solution for infusion,,,na,
oral,oral,match,25.04.2005,not reported,,2005,not reported,,withdrawn,withdrawn,match,19.06.2006,not reported,,approved,withdrawn,,2006.0,not reported,,"""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases; diseases of the circulatory system; mental and behavioural disorders",,acomplia-epar-scientific-discussion_en.pdf,acomplia-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,acomplia,acomplia,match,"obese patients (bmi ≥ 30 kg/m2), or overweight patients (bmi > 27 kg/m2) with associated risk factor(s), such as type 2 diabetes or dyslipidaemia",na,,no,no,match,not reported,"management of multiple cardiovascular risk factors, weight management, type 2 diabetes, dyslipidaemia, smoking cessation and maintenance of abstinence",,sanofi-aventis,not reported,,not reported,not reported,match,rimonabant,rimonabant,match,no,no,match,no,no,match,tablet,film-coated tablet,,,na,
oral,oral,match,01.06.2011,01.06.2011,match,2011,2011,match,,na,,18.10.2012,18.10.2012,match,refused,refused,match,2012.0,2012,,"mental and behavioural disorders, diseases of the nervous system",diseases of the nervous system,,acrescent-epar-refusal-public-assessment-report_en.pdf,acrescent-epar-refusal-public-assessment-report_en.pdf,match,small molecule,small molecule,match,acrescent,acrescent,match,,na,,no,no,match,moderate to moderately severe alzheimer’s disease who are already on a stable daily dose of 20 mg memantine and 10 mg donepezil,treatment of patients with moderate to moderately severe alzheimer’s disease who are already on a stable daily dose of 20 mg memantine and 10 mg donepezil,,h. lundbeck a/s,h. lundbeck a/s,match,ema/111381/2013,ema/111381/2013,match,memantine hydrochloride / donepezil hydrochloride,memantine hydrochloride / donepezil hydrochloride,match,no,yes,,no,no,match,tablet,film-coated tablets,,,not reported,
oral,oral,match,03.05.2012,03.05.2012,match,2012,2012,match,authorised,authorised,match,17.01.2013,17.01.2013,match,approved,approved,match,2013.0,2013,,diseases of the circulatory system,diseases of the circulatory system,match,actelsar-hct-epar-public-assessment-report_en.pdf,actelsar-hct-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,actelsar hct,actelsar hct,match,adults whose blood pressure is not adequately controlled on telmisartan alone,treatment of essential hypertension.,,no,no,match,"essential hypertension, adults whose blood pressure is not adequately controlled on telmisartan alone, adults whose blood pressure is not adequately controlled on actelsar hct 80 mg/12.5 mg (80 mg telmisartan/12.5 mg hydrochlorothiazide) or adults who have been previously stabilised on telmisartan and hydrochlorothiazide given separately",treatment of essential hypertension.,,actavis group hf,actavis group hf,match,ema/163479/2013,ema/163479/2013,match,telmisartan / hydrochlorothiazide,telmisartan / hydrochlorothiazide,match,yes,yes,match,no,no,match,tablet,tablets,,"???, ema",not reported,
oral,oral,match,??,not reported,,not reported,not reported,match,authorised,authorised,match,13.10.2000,not reported,,approved,approved,match,2000.0,not reported,,"""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",,actos-epar-scientific-discussion_en.pdf,actos-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,actos,actos,match,"second or third line treatment of type 2 diabetes mellitus, combination with insulin in type 2 diabetes mellitus adult patients with insufficient glycaemic control on insulin for whom metformin is inappropriate because of contraindications or intolerance","type 2 diabetes mellitus, particularly in overweight patients inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance.",,no,no,match,not reported,"type 2 diabetes mellitus, particularly in overweight patients inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance.",,cheplapharm arzneimittel gmbh,not reported,,not reported,not reported,match,pioglitazone,pioglitazone,match,no,no,match,no,no,match,tablet,tablet,match,,na,
subcutaneous,subcutaneous,match,19.06.2001 (procedure started),not reported,,2001,not reported,,authorised,authorised,match,25.04.2002,not reported,,approved,approved,match,2002.0,not reported,,"""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",,actraphane-epar-scientific-discussion_en.pdf,actraphane-epar-scientific-discussion_en.pdf,match,peptides and proteins,peptides and proteins,match,actraphane,actraphane,match,diabetes mellitus,treatment of diabetes mellitus,,no,no,match,not reported,treatment of diabetes mellitus,,novo nordisk a/s,not reported,,not reported,not reported,match,insulin human (rdna),insulin human,,no,no,match,no,no,match,dispersion for injection,suspension for injection,,,na,
subcutaneous,subcutaneous,match,01.06.2001,not reported,,2001,not reported,,authorised,authorised,match,07.10.2002,not reported,,approved,approved,match,2002.0,not reported,,"""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",,actrapid-epar-scientific-discussion_en.pdf,actrapid-epar-scientific-discussion_en.pdf,match,peptides and proteins,peptides and proteins,match,actrapid,actrapid,match,diabetes mellitus,treatment of diabetes mellitus,,no,no,match,not reported,treatment of diabetes mellitus,,novo nordisk a/s,not reported,,not reported,not reported,match,human insulin (rdna),human insulin,,no,no,match,no,no,match,solution for injection,solution for injection,match,,na,
intravenous,intravenous,match,29.05.2019,29.05.2019,match,2019,2019,match,withdrawn,withdrawn,match,23.07.2020,23.07.2020,match,approved,approved,match,2020.0,2020,,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,,adakveo-epar-public-assessment-report_en.pdf,adakveo-epar-public-assessment-report_en.pdf,match,biologics,biologics,match,adakveo,adakveo,match,prevention of recurrent vaso-occlusive crises (vocs) in sickle cell disease patients aged 16 years and older,prevention of recurrent vaso-occlusive crises (vocs) in sickle cell disease patients aged 16 years and older,match,no,no,match,prevention of vaso-occlusive crises in sickle cell disease patients aged 16 years and over,prevention of vaso-occlusive crises in sickle cell disease patients aged 16 years and over,match,novartis europharm limited,novartis europharm limited,match,ema/427120/2020,ema/427120/2020,match,crizanlizumab,crizanlizumab,match,no,no,match,no,yes,,concentrate for solution for infusion,concentrate for solution for infusion,match,,na,
inhalation,oral inhalation,,26.10.2011,26.10.2011,match,2011,2011,match,authorised,authorised,match,13.12.2012,13.12.2012,match,approved,approved,match,2012.0,2012,,mental and behavioural disorders,mental and behavioural disorders,match,adasuve-epar-public-assessment-report_en.pdf,adasuve-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,adasuve,adasuve,match,rapid control of mild-to-moderate agitation in adult patients with schizophrenia or bipolar disorder,adasuve is indicated for the rapid control of mild-to-moderate agitation in adult patients with schizophrenia or bipolar disorder.,,no,no,match,rapid control of agitation in adult patients with schizophrenia or bipolar disorde,adasuve inhalation powder is indicated for the rapid control of agitation in adult patients with schizophrenia or bipolar disorder.,,ferrer internacional s.a.,alexza uk ltd.,,ema/91055/2013,ema/91055/2013,match,loxapine,loxapine,match,no,no,match,no,no,match,inhalation powder,inhalation powder,match,,na,
