Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_year_human,Application_year_llm,Application_year_verdict_human,Current_status_human,Current_status_llm,Current_status_verdict_human,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_human,Decision_llm,Decision_verdict_human,Decision_year_human,Decision_year_llm,Decision_year_verdict_human,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Document_name_human,Document_name_llm,Document_name_verdict_human,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_name_human,Drug_name_llm,Drug_name_verdict_human,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_extended_human,Indication_extended_llm,Indication_extended_verdict_human,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Marketing_authorisation_holder_human,Marketing_authorisation_holder_llm,Marketing_authorisation_holder_verdict_human,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Nonclinical_abridged_human,Nonclinical_abridged_llm,Nonclinical_abridged_verdict_human,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Referral_body_human,Referral_body_llm,Referral_body_verdict_human
subcutaneous,subcutaneous,match,14.04.2023,14.04.2023,match,2023,2023,match,authorised,authorised (under additional monitoring),,29.07.2024,29.07.2024,match,approved,approved,match,2024.0,2024,,"infectious and parasitic diseases, diseases of the circulatory system",infectious and parasitic diseases,,2024-10-08_swisspar_qdenga_art_13_final_fi_engl.pdf,2024-10-08_swisspar_qdenga_art_13_final_fi_engl.pdf,match,vaccine,vaccine,match,qdenga,qdenga,match,same,qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age.,,no,no,match,dengue disease in patients aged 4 years or older,qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age.,,takeda pharma ag,takeda pharma ag,match,69403,69403,match,"live, attenuated dengue virus serotype 1; live, attenuated dengue virus serotype 2; live, attenuated dengue virus serotype 3; live, attenuated dengue virus serotype 4","live, attenuated dengue virus serotype 1; live, attenuated dengue virus serotype 2; live, attenuated dengue virus serotype 3; live, attenuated dengue virus serotype 4",match,yes,yes,match,no,no,match,"powder for solution for injection, solvent for solution for injection",powder and solvent for solution for injection,,ema,ema,match
intravenous,intravenous,match,20.12.2023,20.12.2023,match,2023,2023,match,authorised,authorised (under additional monitoring),,06.09.2024,06.09.2024,match,approved,temporary authorisation,,2024.0,2024,,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,,2024-11-22_final_swisspar_casgevy_art_13_fi_engl_corr.pdf,2024-11-22_final_swisspar_casgevy_art_13_fi_engl_corr.pdf,match,cell and gene therapy,cell and gene therapy,match,casgevy,casgevy,match,same,β-thalassemia; sickle cell disease,,no,no,match,"β-thalassemia, sickle cell disease",β-thalassemia; sickle cell disease,,vertex pharmaceuticals (ch) gmbh,vertex pharmaceuticals (ch) gmbh,match,68978,68978,match,exagamglogene autotemcel,exagamglogene autotemcel,match,yes,yes,match,yes,yes,match,dispersion for infusion,dispersion for infusion,match,ema,ema,match
intramuscular,intramuscular,match,20.11.2023,20.11.2023,match,2023,2023,match,authorised,authorised (under additional monitoring),,29.07.2024,29.07.2024,match,approved,approved,match,2024.0,2024,,infectious and parasitic diseases,infectious and parasitic diseases,match,2024-12-10_final_swisspar_ervebo_ie_kinder_ab_1j_fi_engl.pdf,2024-12-10_final_swisspar_ervebo_ie_kinder_ab_1j_fi_engl.pdf,match,vaccine,vaccine,match,"ervebo, solution for injection",ervebo,,same,ervebo is indicated for active immunisation of individuals 1 year of age or older to protect against ebola virus disease (evd) caused by zaire ebola virus,,yes,yes,match,ebola virus disease (evd) >1 year age,ervebo is indicated for active immunisation of individuals 1 year of age or older to protect against ebola virus disease (evd) caused by zaire ebola virus,,msd merck sharp & dohme ag,msd merck sharp & dohme ag,match,68358,68358,match,"rvsvdeltag-zebov-gp, live, attenuated","rvsvdeltag-zebov-gp, live, attenuated",match,yes,yes,match,no,not reported,,solution for injection,solution for injection,match,ema,ema,match
intravenous,intravenous,match,15.03.2023,15.03.2023,match,2023,2023,match,authorised,authorised,match,07.12.2023,07.12.2023,match,approved,approved,match,2023.0,2023,,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,,2024-12-13_hemgenix_swisspar_final_fi_engl.pdf,2024-12-13_hemgenix_swisspar_final_fi_engl.pdf,match,cell and gene therapy,cell and gene therapy,match,hemgenix®,hemgenix,,male adults with severe/moderately severe haemophilia b  and with a preexisting neutralising adeno-associated viral vector serotype 5 (aav5) antibody titre below 1:900,treatment of male adults with severe/moderately severe haemophilia b (congenital factor ix deficiency) with a preexisting neutralising adeno-associated viral vector serotype 5 (aav5) antibody titre below 1:900 to reduce the frequency of bleeding episodes and the need for factor ix replacement therapy,,no,no,match,adults with haemophilia b  and with a preexisting neutralising adeno-associated viral vector serotype 5 (aav5) antibody titre below 1:900,treatment of adults with haemophilia b (congenital factor ix deficiency) with a preexisting neutralising adeno-associated viral vector serotype 5 (aav5) antibody titre below 1:900 to reduce the frequency of bleeding episodes and the need for factor ix replacement therapy,,csl behring ag,csl behring ag,match,68780,68780,match,etranacogene dezaparvovec,etranacogene dezaparvovec,match,no,no,match,yes,yes,match,concentrate for solution for infusion,concentrate for solution for infusion,match,,na,
subcutaneous,subcutaneous; intravenous,,03.01.2019,03.01.2019,match,2019,2019,match,authorised,authorised (under additional monitoring),,01.10.2019,01.10.2019,match,approved,approved,match,2019.0,2019,,diseases of the blood and blood-forming organs,diseases of the blood and blood-forming organs,match,66792-cablivi-01-swisspar-20191108.pdf,66792-cablivi-01-swisspar-20191108.pdf,match,biologics,biologics,match,cablivi,cablivi,match,same,"treatment of adults suffering from an episode of acquired thrombotic thrombocytopenic purpura (attp), in combination with plasmapheresis and immunosuppression.",,no,no,match,"adults with thrombotic thrombocytopenic purpura (attp),  in combination with plasmapheresis and immunosuppression","treatment of adults suffering from an episode of acquired thrombotic thrombocytopenic purpura (attp), in combination with plasmapheresis and immunosuppression.",,sanofi-aventis (suisse) sa,sanofi-aventis (suisse) sa,match,66792,66792,match,caplacizumabum,caplacizumabum,match,yes,yes,match,yes,yes,match,"solvent for solution for injection, powder for solution for injection",powder and solvent for solution for injection,,ema,european medicines agency ema,
intravenous,intravenous,match,03.01.2019,03.01.2019,match,2019,2019,match,authorised,authorised (under additional monitoring),,23.09.2019,23.09.2019,match,approved,approved,match,2019.0,2019,,"diseases of the nervous system, diseases of the circulatory system, congenital malformations and chomosomal abnormalities","endocrine, nutritional, and metabolic diseases; diseases of the nervous system",,67304-onpattro-01-swisspar-20191113.pdf,67304-onpattro-01-swisspar-20191113.pdf,match,cell and gene therapy,small molecule,,onpattro,onpattro,match,same,onpattro is indicated for the treatment of hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy.,,no,no,match,hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,onpattro is indicated for the treatment of hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy.,,alnylam switzerland gmbh,alnylam switzerland gmbh,match,67304,67304,match,patisiran,patisiran,match,yes,yes,match,yes,yes,match,concentrate for solution for infusion,concentrate for solution for infusion,match,ema,european medicines agency (ema),
oral,oral,match,06.01.2020,06.01.2020,match,2020,2020,match,authorised,authorised,match,07.05.2020,07.05.2020,match,approved,approved,match,2020.0,2020,,neoplasms,neoplasms,match,20200602_swisspar_tukysa.pdf,20200602_swisspar_tukysa.pdf,match,small molecule,small molecule,match,tukysa,tukysa,match,"in combination with trastuzumab and capecitabine is indicated for the treatment of patients with metastatic her2-positive breast cancer, who have previously received 2 or more anti-her2 regimens in any setting, including trastuzumab, pertuzumab and trastuzumab-emtansine","tukysa in combination with trastuzumab and capecitabine is indicated for the treatment of patients with metastatic her2-positive breast cancer, who have previously received 2 or more anti-her2 regimens in any setting, including trastuzumab, pertuzumab and trastuzumab-emtansine (t–dm1).",,no,no,match,"in combination with trastuzumab and capecitabine for the treatment of patients with locally advanced unresectable or metastatic her2-positive breast cancer, including patients with brain metastases, who have received at least 2 prior anti-her2 treatment regimens","tukysa is indicated in combination with trastuzumab and capecitabine for the treatment of patients with locally advanced unresectable or metastatic her2-positive breast cancer, including patients with brain metastases, who have received at least 2 prior anti-her2 treatment regimens.",,sfl regulatory affairs & scientific communication gmbh,sfl regulatory affairs & scientific communication gmbh,match,67798,67798,match,tucatinibum,tucatinibum,match,no,no,match,no,no,match,tablet,tablet,match,,na,
subcutaneous,subcutaneous,match,25.10.2019,25.10.2019,match,2019,2019,match,authorised,authorised (under additional monitoring),,13.07.2020,13.07.2020,match,approved,approved,match,2020.0,2020,,"diseases of the eye and adnexa, diseases of the nervous system",diseases of the nervous system,,20200827_swisspar_enspryng_final.pdf,20200827_swisspar_enspryng_final.pdf,match,biologics,biologics,match,enspryng,enspryng,match,adult and adolescent patients with neuromyelitis optica spectrum disorders (nmosd) witch aquaporin-4 igg antibodies,enspryng is used as a monotherapy or in combination with immunosuppressive therapy (ist) for the treatment of neuromyelitis optica spectrum disorders (nmosd) in adult and adolescents in whom aquaporin-4 igg antibodies are detected (i.e. who are aqp4 igg seropositive).,,no,no,match,adult and adolescent patients with neuromyelitis optica spectrum disorders (nmosd),enspryng is indicated as monotherapy or in combination with immunosuppressive therapy (ist) for the treatment of adult and adolescent patients with neuromyelitis optica spectrum disorders (nmosd).,,roche pharma (schweiz) ag,roche pharma (schweiz) ag,match,67617,67617,match,satralizumabum,satralizumabum,match,no,no,match,yes,yes,match,solution for injection,solution for injection,match,,na,
intramuscular,intramuscular,match,16.10.2020,16.10.2020,match,2020,2020,match,authorised,authorised (under additional monitoring),,19.12.2020,19.12.2020,match,approved,approved,match,2020.0,2020,,infectious and parasitic diseases,infectious and parasitic diseases,match,20210430_swisspar_comirnaty.pdf,20210430_swisspar_comirnaty.pdf,match,vaccine,vaccine,match,comirnaty,comirnaty,match,same,"comirnaty is indicated for active immunisation to prevent covid-19 caused by sars-cov-2 virus, in individuals 16 years of age and older.",,no,no,match,covid-19 disease in individuals aged 16 years or older,"active immunisation to prevent covid-19 disease caused by sars-cov-2 virus, in individuals 16 years of age and older.",,"pfizer ag, zurich","pfizer ag, zurich",match,68225,68225,match,tozinameranum,tozinameranum,match,no,yes,,no,no,match,concentrate for dispersion for injection,concentrate for dispersion for injection,match,,na,
intramuscular,intramuscular,match,12.11.2020,12.11.2020,match,2020,2020,match,authorised,authorised,match,12.01.2021,12.01.2021,match,temporary authorisation,approved,,2021.0,2021,,infectious and parasitic diseases,infectious and parasitic diseases,match,20211203_swisspar-spikevax.pdf,20211203_swisspar-spikevax.pdf,match,vaccine,vaccine,match,spikevax,spikevax,match,same,covid-19 vaccine moderna is indicated for active immunisation to prevent coronavirus disease 2019 (covid-19) caused by the sars-cov-2 virus in individuals 18 years of age and older.,,no,no,match,covid-19 disease  in individuals 18 years of age and older,covid-19 vaccine moderna is indicated for active immunisation to prevent coronavirus disease 2019 (covid-19) caused by the sars-cov-2 virus in individuals 18 years of age and older.,,moderna switzerland gmbh,moderna switzerland gmbh,match,68267,68267,match,cx-024414,cx-024414,match,no,yes,,no,no,match,dispersion for injection,dispersion for injection,match,,na,
intramuscular,intramuscular,match,01.07.2022,01.07.2022,match,2022,2022,match,authorised,authorised (under additional monitoring),,02.09.2022,02.09.2022,match,temporary authorisation,temporary authorisation,match,2022.0,2022,,infectious and parasitic diseases,infectious and parasitic diseases,match,assessment_report_swisspar_nuvaxovid_g102682544.pdf,assessment_report_swisspar_nuvaxovid_g102682544.pdf,match,vaccine,vaccine,match,nuvaxovid,nuvaxovid,match,same,nuvaxovid is indicated for active immunisation to prevent covid-19 caused by sars-cov-2 in individuals 12 years of age and older.,,yes,yes,match,covid-19 disease in individuals 12 years of age and older,nuvaxovid is indicated for active immunisation to prevent covid-19 caused by sars-cov-2 in individuals 12 years of age and older.,,,future health pharma gmbh,,68473,68473,match,sars cov-2 recombinant spike protein (rs nvx-cov2373),sars cov-2 recombinant spike protein (rs nvx-cov2373),match,no,yes,,no,no,match,dispersion for injection,dispersion for injection,match,???,na,
intravenous,intravenous,match,25.01.2021,31.01.2023,,2021,2023,,authorised,authorised (under additional monitoring),,09.09.2021,18.08.2023,,approved,approved,match,2021.0,2023,,neoplasms,neoplasms,match,swisspar_trodelvy_hr_her2-_brustkrebs.pdf,swisspar_trodelvy_hr_her2-_brustkrebs.pdf,match,biologics,biologics,match,trodelvy,trodelvy,match,"unresectable locally advanced or metastatic triple-negative breast cancer (mtnbc) who have received at least two prior therapies, at least one of them for metastatic disease",hr+/her2- breast cancer,,yes,yes,match,unresectable locally advanced or metastatic triple-negative breast cancer (mtnbc) who have received at least two prior therapies,"trodelvy is indicated for the treatment of adult patients with unresectable locally advanced or metastatic hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative breast cancer who have received endocrine-based therapy and at least two additional systemic therapies in the metastatic setting.",,future health pharma gmbh,gilead sciences switzerland sàrl,,68179,68179,match,sacituzumab govitecan,sacituzumab govitecan,match,yes,no,,no,no,match,powder for concentrate for solution for infusion,powder for concentrate for infusion,,fda,na,
oral,oral,match,08.04.2019,08.04.2019,match,2019,2019,match,authorised,authorised,match,13.08.2020,13.08.2020,match,approved,approved,match,2020.0,2020,,diseases of the genitourinary system,diseases of the genitourinary system,match,assessment_report_swisspar_mictonorm_final.pdf,assessment_report_swisspar_mictonorm_final.pdf,match,small molecule,small molecule,match,mictonorm,mictonorm,match,same,symptomatic treatment of urinary incontinence and/or increased urinary frequency and urgency as may occur in patients with overactive bladder.,,no,no,match,overactive bladder,symptomatic treatment of aconuresis and/or higher frequency of micturition and imperative urge to urinate in patients with overactive bladder.,,labatec pharma sa,labatec pharma sa,match,67514,67514,match,"propiverinum, propiverini hydrochloridum","propiverinum, propiverini hydrochloridum",match,no,yes,,no,no,match,not reported,modified-release capsule,,swissmedic,na,
nasal,nasal,match,03.06.2020,03.07.2020,,2020,2020,match,authorised,authorised (under additional monitoring),,27.08.2021,27.08.2021,match,approved,approved,match,2021.0,2021,,mental and behavioural disorders,mental and behavioural disorders,match,assessment_report_swisspar_spravato_g102620850.pdf,assessment_report_swisspar_spravato_g102620850.pdf,match,peptides and proteins,small molecule,,spravato,spravato,match,depression in adult patients with a severe episode of major depression (without psychotic symptoms) when the symptoms are classified as a psychiatric emergency according to clinical evaluation,spravato in combination with an oral antidepressant therapy is indicated as acute short-term treatment for the rapid reduction of depressive symptoms in adult patients with a severe episode of major depression (without psychotic symptoms) when the symptoms are classified as a psychiatric emergency according to clinical evaluation.,,yes,yes,match,depression when urgent symptom control is necessary,"spravato is indicated, in conjunction with oral antidepressant therapy, for the rapid reduction of depressive symptoms in adult patients with severe major depressive disorder for whom urgent symptom control is necessary.",,janssen-cilag ag,janssen-cilag ag,match,67103,67103,match,esketamine hydrochloride,esketamine as esketamine hydrochloride,,no,yes,,no,no,match,"""nasal spray, solution""","nasal spray, solution",,swissmedic,na,
