Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Administration_route_verdict_llm,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_date_verdict_llm,Current_status_human,Current_status_llm,Current_status_verdict_human,Current_status_verdict_llm,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_date_verdict_llm,Decision_human,Decision_llm,Decision_verdict_human,Decision_verdict_llm,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Disease_class(es)_verdict_llm,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_class_verdict_llm,Drug_human,Drug_llm,Drug_verdict_human,Drug_verdict_llm,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_approved_verdict_llm,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Indication_requested_verdict_llm,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Marketing_authorisation_number_verdict_llm,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Non_proprietary_name_verdict_llm,Nonclinical_pharmacokinetics_model_human,Nonclinical_pharmacokinetics_model_llm,Nonclinical_pharmacokinetics_model_verdict_human,Nonclinical_pharmacokinetics_model_verdict_llm,Nonclinical_pharmacokinetics_species_human,Nonclinical_pharmacokinetics_species_llm,Nonclinical_pharmacokinetics_species_verdict_human,Nonclinical_pharmacokinetics_species_verdict_llm,Nonclinical_pharmacokinetics_strain_human,Nonclinical_pharmacokinetics_strain_llm,Nonclinical_pharmacokinetics_strain_verdict_human,Nonclinical_pharmacokinetics_strain_verdict_llm,Nonclinical_pharmacology_model_human,Nonclinical_pharmacology_model_llm,Nonclinical_pharmacology_model_verdict_human,Nonclinical_pharmacology_model_verdict_llm,Nonclinical_pharmacology_species_human,Nonclinical_pharmacology_species_llm,Nonclinical_pharmacology_species_verdict_human,Nonclinical_pharmacology_species_verdict_llm,Nonclinical_pharmacology_strain_human,Nonclinical_pharmacology_strain_llm,Nonclinical_pharmacology_strain_verdict_human,Nonclinical_pharmacology_strain_verdict_llm,Nonclinical_toxicology_model_human,Nonclinical_toxicology_model_llm,Nonclinical_toxicology_model_verdict_human,Nonclinical_toxicology_model_verdict_llm,Nonclinical_toxicology_species_human,Nonclinical_toxicology_species_llm,Nonclinical_toxicology_species_verdict_human,Nonclinical_toxicology_species_verdict_llm,Nonclinical_toxicology_strain_human,Nonclinical_toxicology_strain_llm,Nonclinical_toxicology_strain_verdict_human,Nonclinical_toxicology_strain_verdict_llm,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Orphan_drug_status_verdict_llm,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Pharmaceutical_form_verdict_llm
intravenous infusion,intravenous,False,,25.04.2023,25.04.2023,True,,authorised (under additional monitoring),authorised,False,,25.07.2024,25.07.2024,True,,approved,approved,True,,"neoplasms, diseases of the skin, other",neoplasms,False,,biologics,biologics,True,,ituxredi,ituxredi,True,,same,non-hodgkin’s lymphoma (nhl),False,,"non-hodgkin’s lymphoma (nhl), chronic lymphocytic leukaemia (cll), rheumatoid arthritis, granulomatosis with polyangiitis and microscopic polyangiitis, pemphigus vulgaris",non-hodgkin’s lymphoma (nhl),False,,ema/565284/2024,ema/565284/2024,True,,rituximab,rituximab,True,,not reported,not reported,True,,monkeys,monkey,False,,cynomolgus monkeys,cynomolgus monkey,False,,not reported,not reported,True,,???,monkey,False,,not reported,cynomolgus monkey,False,,not reported,not reported,True,,monkeys,monkey,False,,cynomolgus monkeys,cynomolgus monkey,False,,no,no,True,,concentrate for solution for infusion,concentrate for solution for infusion,True,
epicutaneous,epicutaneous,True,,not reported,n/a,False,,withdrawn,withdrawn,True,,17.12.2021,17.12.2020,False,,withdrawn,withdrawn,True,,other,allergic disorders,False,,peptides and proteins,biologics,False,,abylqis,abylqis,True,,,immunotherapy for the treatment of children diagnosed with peanut allergy,False,,epicutaneous allergen immunotherapy (epit) of peanut allergy in children 4 to 11 years old with a diagnosed ige-mediated peanut allergy,epicutaneous allergen immunotherapy (epit) for peanut allergy in children 4 to 11 years old,False,,ema/772201/2021,ema/772201/2021,True,,arachis hypogaea extract,arachis hypogaea extract,True,,not reported,not reported,True,,mice,mouse,False,,not reported,not reported,True,,peanut-sensitized mice and minipigs,not reported,False,,"mice, minipigs","mouse, minipig, guinea pig",False,,not reported,not reported,True,,"rodent model of peanut allergy, model of peanut sensitized guinea pigs",not reported,False,,"guinea pigs, mice, rats, rabbits","guinea pig, mouse, rat, rabbit",False,,not reported,not reported,True,,no,no,True,,cutaneous patch,cutaneous patch,True,
oral,oral,True,,20.06.2022,20.06.2022,True,,authorised,authorised,True,,15.09.2022,15.09.2022,True,,approved,approved,True,,mental and behavioural disorders,mental and behavioural disorders,True,,small molecule,small molecule,True,,melatonin neurim,melatonin neurim,True,,same,monotherapy for the short-term treatment of primary insomnia characterised by poor quality of sleep in patients who are aged 55 or over,False,,melatonin neurim is indicated as monotherapy for the short-term treatment of primary insomnia characterised by poor quality of sleep in patients who are aged 55 or over.,short-term treatment of primary insomnia characterised by poor quality of sleep in patients aged 55 or over,False,,ema/847216/2022,ema/847216/2022,True,,melatonin,melatonin,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,prolonged-release tablets,prolonged-release tablets,True,
intravitreal injection,intravitreal,False,,not reported,n/a,False,,withdrawn,withdrawn,True,,20.05.2016,15.09.2016,False,,withdrawn,withdrawn,True,,diseases of the eye and adnexa,diseases of the eye and adnexa,True,,small molecule,biologics,False,,opsiria,opsiria,True,,,not applicable,False,,"treatment of non-infectious uveitis (inflammation of the uvea, the middle layer of the eye) in adults. the inflammation may cause discomfort, pain, blurring of vision, and may lead to partial or complete blindness.",chronic non-infectious uveitis affecting the posterior segment of the eye,False,,ema/433651/2016,ema/433651/2016,True,,sirolimus,sirolimus,True,,not reported,not reported,True,,"rabbits, monkeys, rats","rabbit, monkey",False,,not reported,not reported,True,,"rat experimental autoimmune uveitis (eau) model, rabbit model of endotoxin-induced uveitis",not reported,False,,"rats, rabbits","rat, rabbit, monkey",False,,not reported,not reported,True,,not reported,not reported,True,,"rats, rabbits, monkeys","rat, rabbit, monkey",False,,not reported,not reported,True,,no,yes,False,,solution for injection,sterile solution for intravitreal injection,False,
intravenous infusion,intravenous,False,,02.09.2015,02.09.2015,True,,authorised,authorised,True,,15.09.2016,15.09.2016,True,,approved,approved,True,,"""endocrine, nutritional, and metabolic diseases"", diseases of the genitourinary system","endocrine, nutritional, and metabolic diseases",False,,other,peptides and proteins,False,,parsabiv,parsabiv,True,,parsabiv is indicated for the treatment of secondary hyperparathyroidism (shpt) in adult patients with chronic kidney disease (ckd) on haemodialysis therapy.,treatment of secondary hyperparathyroidism in adult patients with chronic kidney disease on haemodialysis therapy,False,,"parsabiv is indicated for the treatment of secondary hyperparathyroidism (shpt) in adult patients with chronic kidney disease (ckd) on haemodialysis therapy. parsabiv may be used as part of a therapeutic regimen including phosphate binders and/or vitamin d sterols, as appropriate.",treatment of secondary hyperparathyroidism in adult patients with chronic kidney disease on haemodialysis therapy,False,,ema/664198/2016,ema/664198/2016,True,,etelcalcetide,etelcalcetide,True,,not reported,not reported,True,,"rats, dogs, rabbits","rat, dog",False,,long evans rats,"sprague dawley rat, beagle dog",False,,"rat model of acute renal insufficiency, 5/6 nephrectomy rats, uremic rat","1k1c rat, 5/6 nephrectomy rat",False,,"dogs, rats","dog, rat",False,,not reported,"sprague dawley rat, beagle dog",False,,tg.rash2 mice,not reported,False,,"rats, dogs, mice, rabbits","rat, dog",False,,not reported,"sprague dawley rat, beagle dog",False,,no,no,True,,solution for injection,solution for injection,True,
subcutaneous injection,subcutaneous,False,,11.09.2020,11.09.2020,True,,authorised (under additional monitoring),authorised,False,,16.09.2021,16.09.2021,True,,approved,approved,True,,"diseases of the eye and adnexa, diseases of the musculoskeletal system and connective tissue, diseases of the skin, diseases of the digestive system",diseases of the immune system,False,,biologics,biologics,True,,hukyndra,hukyndra,True,,"polyarticular juvenile idiopathic arthritis, enthesitis-related arthritis, paediatric plaque psoriasis, paediatric crohn's disease, paediatric uveitis","rheumatoid arthritis, juvenile idiopathic arthritis, enthesitis-related arthritis, axial spondyloarthritis, psoriatic arthritis, psoriasis, hidradenitis suppurativa, crohn’s disease, ulcerative colitis, uveitis",False,,"rheumatoid arthritis, juvenile idiopathic arthritis, axial spondyloarthritis, psoriatic arthritis, psoriasis, paediatric plaque psoriasis, hidradenitis suppurativa (hs), crohn’s disease, paediatric crohn's disease, ulcerative colitis, paediatric ulcerative colitis, uveitis, paediatric uveitis","rheumatoid arthritis, juvenile idiopathic arthritis, enthesitis-related arthritis, axial spondyloarthritis, psoriatic arthritis, psoriasis, hidradenitis suppurativa, crohn’s disease, ulcerative colitis, uveitis",False,,ema/555939/2021,ema/555939/2021,True,,adalimumab,adalimumab,True,,not reported,not reported,True,,monkeys,monkey,False,,cynomolgus monkeys,cynomolgus monkey,False,,,not reported,False,,,monkey,False,,,cynomolgus monkey,False,,not reported,not reported,True,,monkeys,not reported,False,,cynomolgus monkeys,not reported,False,,no,no,True,,solution for injection in pre-filled syringe,solution for injection,False,
subcutaneous injection,subcutaneous use,False,,06.03.2018,06.03.2018,True,,authorised,authorised,True,,28.02.2019,28.02.2019,True,,approved,approved,True,,"congenital malformations and chomosomal abnormalities, ""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",False,,peptides and proteins,biologics,False,,palynziq,palynziq,True,,same,treatment of patients with phenylketonuria (pku) aged 16 years and older who have inadequate blood phenylalanine control despite prior management with available treatment options.,False,,palynziq is indicated for the treatment of patients with phenylketonuria (pku) aged 16 years and older who have inadequate blood phenylalanine control (blood phenylalanine levels greater than 600 micromol/l) despite prior management with available treatment options.,treatment of adults with phenylketonuria (pku) who have inadequate blood phenylalanine control despite prior management with available treatment options.,False,,ema/chmp/181920/2019,ema/chmp/181920/2019,True,,pegvaliase,pegvaliase,True,,btbrpahenu2 (enu2) mice,not reported,False,,"rats, mice, monkeys","mouse, rat, monkey",False,,"sprague dawley rats, cynomolgus monkeys",not reported,False,,btbrpahenu2 (enu2) mice,not reported,False,,"rats, mice, monkeys","mouse, rat, monkey",False,,cynomolgus monkeys,enu2 mouse,False,,not reported,not reported,True,,"rats, monkeys, rabbits, mice","rat, monkey",False,,cynomolgus monkeys,not reported,False,,yes,yes,True,,solution for injection in pre-filled syringe,solution for injection,False,
intramuscular injection,intramuscular,False,,05.01.2023,05.01.2023,True,,authorised,authorised,True,,25.01.2024,25.01.2024,True,,approved,approved,True,,mental and behavioural disorders,mental and behavioural disorders,True,,small molecule,small molecule,True,,niapelf,niapelf,True,,same,maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone,False,,"niapelf is indicated for maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone. in selected adult patients with schizophrenia and previous responsiveness to oral paliperidone or risperidone, niapelf may be used without prior stabilisation with oral treatment if psychotic symptoms are mild to moderate and a long-acting injectable treatment is needed.",maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone,False,,ema/100717/2024,ema/100717/2024,True,,paliperidone,paliperidone,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,prolonged-release suspension for injection,prolonged release suspension for injection,False,
intravenous infusion,intravenous,False,,21.11.2017,21.11.2017,True,,authorised (under additional monitoring),authorised,False,,28.02.2019,28.02.2019,True,,approved,approved,True,,infectious and parasitic diseases,diseases of the respiratory system,False,,small molecule,small molecule,True,,dectova,dectova,True,,"dectova is indicated for the treatment of complicated and potentially life-threatening influenza a or b virus infection in adult and paediatric patients (aged ≥6 months) when: the patient’s influenza virus is known or suspected to be resistant to anti-influenza medicinal products other than zanamivir, and/or other anti-viral medicinal products for treatment of influenza, including inhaled zanamivir, are not suitable for the individual patient. dectova should be used in accordance with official guidance.","treatment of complicated and potentially life-threatening influenza a or b virus infection in adult and paediatric patients (aged ≥6 months) when the patient’s influenza virus is known or suspected to be resistant to anti-influenza medicinal products other than zanamivir, and/or other anti-viral medicinal products for treatment of influenza, including inhaled zanamivir, are not suitable for the individual patient.",False,,"dectova is indicated for the treatment of influenza a or b virus infection in hospitalised adult and paediatric patients (≥6 months): when circulating influenza virus is resistant to other approved anti-influenza medications, or resistance develops while on anti-influenza treatment, and/or who cannot take anti-influenza medications via other routes of administration",treatment of influenza a or b virus infection in hospitalised adult and paediatric patients (≥6 months),False,,ema/chmp/851480/2018,ema/chmp/851480/2018,True,,zanamivir,zanamivir,True,,not reported,not reported,True,,"rats, mice, dogs, rabbits, monkeys",not reported,False,,not reported,not reported,True,,mouse and ferret models of influenza,not reported,False,,"mice, ferrets, chickens, monkeys, dogs, cats, rats","ferret, mouse, monkey",False,,rhesus macaque monkeys,not reported,False,,not reported,not reported,True,,"mice, rats, dogs, rabbits",not reported,False,,not reported,not reported,True,,no,no,True,,solution for infusion,solution for infusion,True,
oral,oral,True,,02.01.2022,02.01.2022,True,,,na,False,,05.01.2024,12.10.2023,False,,refused,refused,True,,diseases of the nervous system,diseases of the nervous system,True,,small molecule,small molecule,True,,albrioza,albrioza,True,,,for the treatment of als,False,,treatment of als,for the treatment of als,False,,ema/chmp/487533/2023,ema/chmp/487533/2023,True,,sodium phenylbutyrate / ursodoxicoltaurine,sodium phenylbutyrate / ursodoxicoltaurine,True,,not reported,not reported,True,,"rats, minipigs","rat, minipig",False,,not reported,not reported,True,,"transgenic sod1 g93a mice, model of familial als, alzheimer's disease model",not reported,False,,"mice, minipigs, rats","rat, mouse",False,,not reported,not reported,True,,not reported,not reported,True,,"rats, dogs, minipigs","rat, dog, minipig",False,,not reported,not reported,True,,yes,yes,True,,powder for oral suspension,powder for oral suspension,True,
oral,oral use,False,,03.05.2012,03.05.2012,True,,authorised,authorised,True,,17.01.2013,17.01.2013,True,,approved,approved,True,,diseases of the circulatory system,"endocrine, nutritional, and metabolic diseases",False,,small molecule,small molecule,True,,actelsar hct,actelsar hct,True,,adults whose blood pressure is not adequately controlled on telmisartan alone,treatment of essential hypertension.,False,,"essential hypertension, adults whose blood pressure is not adequately controlled on telmisartan alone, adults whose blood pressure is not adequately controlled on actelsar hct 80 mg/12.5 mg (80 mg telmisartan/12.5 mg hydrochlorothiazide) or adults who have been previously stabilised on telmisartan and hydrochlorothiazide given separately",treatment of essential hypertension.,False,,ema/163479/2013,ema/163479/2013,True,,telmisartan / hydrochlorothiazide,telmisartan / hydrochlorothiazide,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,tablet,tablets,False,
intravenous infusion,intravenous,False,,26.04.2016,26.04.2016,True,,authorised,authorised,True,,20.06.2017,20.07.2017,False,,approved,approved,True,,"neoplasms, ""endocrine, nutritional, and metabolic diseases"", diseases of the digestive system",neoplasms,False,,peptides and proteins,peptides and proteins,True,,lutathera,lutathera,True,,same,"treatment of unresectable or metastatic, progressive, well differentiated (g1 and g2), somatostatin receptor positive gastroenteropancreatic neuroendocrine tumours (gep nets) in adults.",False,,"lutathera is indicated for the treatment of unresectable or metastatic, progressive, well-differentiated (g1 and g2), somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumours (gep-nets) in adults.","treatment of unresectable or metastatic, somatostatin receptor positive gastro-enteropancreatic neuroendocrine tumours (gep-nets) including foregut, midgut and hindgut in adults.",False,,ema/506460/2017,ema/506460/2017,True,,lutetium (177lu) oxodotreotide,lutetium (177lu) oxodotreotide,True,,ca20948 and ar42j tumour implanted lewis rats,not reported,False,,rats,"rat, mouse, monkey",False,,"sprague dawley rats, lewis rats",not reported,False,,ca20948 tumour-bearing male lewis rats,not reported,False,,"rats, dogs","mouse, monkey",False,,"lewis rats, wistar rats, beagle dogs",not reported,False,,not reported,not reported,True,,"rats, dogs","rat, dog",False,,"sprague dawley rats, beagle dogs",not reported,False,,yes,yes,True,,solution for infusion,solution for infusion,True,
intravenous injection,intravenous infusion,False,,01.03.2016,01.03.2016,True,,authorised,authorised,True,,08.01.2018,09.11.2017,False,,approved,approved,True,,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,False,,peptides and proteins,biologics,False,,adynovi,adynovi,True,,patients 12 years and above with haemophilia a (congenital factor viii deficiency),treatment and prophylaxis of bleeding in patients 12 years and above with haemophilia a (congenital factor viii deficiency),False,,bleeding in patients with haemophilia a (congenital factor viii deficiency),treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency),False,,ema/chmp/782768/2017,ema/chmp/782768/2017,True,,rurioctocog alfa pegol,rurioctocog alfa pegol,True,,"e17 fviii ko mice,  cd(sd) rats",not reported,False,,"rats, mice, monkeys","rat, monkey",False,,"cynomolgus monkeys, sprague dawley rats","sprague dawley rat, cynomolgus monkey",False,,e17 fviii ko mice,not reported,False,,"mice, monkeys, rabbits","rat, monkey",False,,cynomolgus monkeys,"e17 fviii ko mouse, cynomolgus monkey",False,,peg2ru20kcooh (toxicological relevant unbound 20kd peg model),not reported,False,,"mice, rats, monkeys, rabbits","rat, monkey",False,,cynomolgus monkeys,cynomolgus monkey,False,,no,no,True,,"solvent for solution for injection, powder for solution for injection",powder and solvent for solution for injection,False,
subcutaneous injection,subcutaneous,False,,03.06.2013,03.06.2013,True,,authorised,authorised,True,,26.06.2014,26.06.2014,True,,approved,approved,True,,"""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",False,,peptides and proteins,biologics,False,,abasaglar (previously abasria),abasria,False,,same,"treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",False,,adults and children over the age of two for the treatment of diabetes,"treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",False,,ema/chmp/340840/2014,ema/chmp/340840/2014,True,,insulin glargine,insulin glargine,True,,,not reported,False,,,rat,False,,,not reported,False,,,not reported,False,,,"rat, mouse",False,,,not reported,False,,not reported,not reported,True,,,rat,False,,not reported,not reported,True,,no,no,True,,solution for injection,solution for injection,True,
intravenous infusion,intravenous,False,,07.10.2020,07.10.2020,True,,authorised,withdrawn,False,,20.04.2022 (company withdrew application on this date),16.12.2021,False,,withdrawn,withdrawn,True,,diseases of the nervous system,mental and behavioural disorders,False,,biologics,biologics,True,,aduhelm,aduhelm,True,,,na,False,,adult patients with alzheimer’s disease at the mild cognitive impairment (mci) or mild dementia stage. presence of amyloid beta pathology should be confirmed as part of diagnosis,disease modifying treatment in adult patients with alzheimer’s disease at the mild cognitive impairment (mci) or mild dementia stage.,False,,ema/chmp/557556/2022,ema/chmp/557556/2022,True,,aducanumab,aducanumab,True,,"aged tg2576 transgenic mouse model, wild-type mice",not reported,False,,"mice, monkeys, rats","mouse, rat, monkey",False,,"cynomolgus monkeys, sprague dawley rats",not reported,False,,"tg2576 mice,",not reported,False,,mice,mouse,False,,not reported,tg2576 mouse,False,,tg2576 mice,not reported,False,,"mice, monkeys, rats","mouse, monkey",False,,"cynomolgus monkeys, sprague dawley rats",tg2576 mouse,False,,no,no,True,,concentrate for solution for infusion,100 mg/ml concentrate for solution for infusion,False,
oral,oral use,False,,25.05.2012,25.05.2012,True,,authorised,authorised,True,,27.07.2013,27.06.2013,False,,approved,approved,True,,diseases of the digestive system,diseases of the digestive system,True,,small molecule,small molecule,True,,nexium control,nexium control,True,,nexium control is indicated for the short-term treatment of reflux symptoms (e.g. heartburn and acid regurgitation) in adults.,short-term treatment of reflux symptoms (e.g. heartburn and acid regurgitation) in adults,False,,short-term treatment of reflux symptoms (e.g. heartburn and acid regurgitation in adults),short-term treatment of reflux symptoms (e.g. heartburn and acid regurgitation) in adults,False,,ema/498929/2013,ema/498929/2013,True,,esomeprazole,esomeprazole,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,hard gastro-resistant capsules,gastro-resistant tablet,False,
oral,oral,True,,01.06.2011,01.06.2011,True,,,withdrawn,False,,18.10.2012,18.10.2012,True,,refused,refused,True,,"mental and behavioural disorders, diseases of the nervous system",mental and behavioural disorders,False,,small molecule,small molecule,True,,acrescent,acrescent,True,,,n/a,False,,moderate to moderately severe alzheimer’s disease who are already on a stable daily dose of 20 mg memantine and 10 mg donepezil,treatment of patients with moderate to moderately severe alzheimer’s disease who are already on a stable daily dose of 20 mg memantine and 10 mg donepezil,False,,ema/111381/2013,ema/111381/2013,True,,memantine hydrochloride / donepezil hydrochloride,memantine hydrochloride / donepezil hydrochloride,True,,,not reported,False,,,not reported,False,,,not reported,False,,not reported,not reported,True,,rats,rat,False,,not reported,not reported,True,,not reported,not reported,True,,rats,rat,False,,not reported,not reported,True,,no,no,True,,tablet,film-coated tablets,False,
ocular use,ocular,False,,02.05.2022,02.05.2022,True,,authorised,authorised,True,,30.05.2024,25.07.2024,False,,approved,approved,True,,diseases of the eye and adnexa,infectious and parasitic diseases,False,,small molecule,biologics,False,,akantior,akantior,True,,same,treatment of acanthamoeba keratitis,False,,acanthamoeba keratitis in adults and children from 12 years of age,treatment of acanthamoeba keratitis,False,,ema/286425/2024,ema/286425/2024,True,,polihexanide,polihexanide,True,,not reported,not reported,True,,"rabbits, rats",not reported,False,,not reported,not reported,True,,rat model of acanthamoeba keratitis,not reported,False,,rats,rat,False,,not reported,not reported,True,,not reported,not reported,True,,rabbits,not reported,False,,new zealand white rabbits,not reported,False,,yes,yes,True,,solution in single-dose container (eye drops),"eye drops, solution",False,
intravenous infusion,intravenous infusion,True,,03.12.2014,03.12.2014,True,,withdrawn,authorised,False,,23.07.2015,23.07.2015,True,,approved,approved,True,,"neoplasms, diseases of the respiratory system",neoplasms,False,,small molecule,small molecule,True,,pemetrexed lilly,pemetrexed lilly,True,,same,"malignant pleural mesothelioma, non-small cell lung cancer",False,,malignant pleural mesothelioma: pemetrexed lilly in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma. non-small cell lung cancer: pemetrexed lilly in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. pemetrexed lilly is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. pemetrexed lilly is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.,"malignant pleural mesothelioma, non-small cell lung cancer",False,,ema/chmp/448343/2015,ema/chmp/448343/2015,True,,pemetrexed,pemetrexed,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,powder for concentrate for solution for infusion,powder for concentrate for solution for infusion,True,
oral,oral use,False,,13.12.2013,13.12.2013,True,,authorised,authorised,True,,26.03.2015,26.03.2015,True,,approved,approved,True,,"other, neoplasms, ""endocrine, nutritional, and metabolic diseases""",infectious and parasitic diseases,False,,small molecule,small molecule,True,,akynzeo,akynzeo,True,,same,prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy.,False,,adults for the prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy. prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy.,prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy.,False,,ema/236963/2015,ema/236963/2015,True,,netupitant / palonosetron,netupitant / palonosetron,True,,not reported,not reported,True,,"rats, dogs, monkeys",not reported,False,,"cynomolgus monkeys, gerbil rats",not reported,False,,acute-induced and delayed models of emesis,not reported,False,,"ferrets, rats, mice, guinea pigs, rabbits",not reported,False,,"gerbil rats, suncus murinuse, wistar rats",not reported,False,,not reported,not reported,True,,"mice, rats, dogs",not reported,False,,"wistar rats, beagle dogs",not reported,False,,no,no,True,,tablet,"capsule, hard",False,
nasal,intranasal,False,,28.09.2012,28.09.2012,True,,authorised,authorised,True,,19.09.2013,19.09.2013,True,,approved,approved,True,,infectious and parasitic diseases,infectious and parasitic diseases,True,,vaccine,vaccine,True,,fluenz tetra,fluenz tetra,True,,same,prophylaxis of influenza in individuals 24 months to less than 18 years of age.,False,,fluenz tetra is a vaccine used to protect children from 2 to less than 18 years of age against influenza (flu).,prophylaxis of influenza in individuals 24 months to less than 18 years of age.,False,,ema/586629/2013,ema/586629/2013,True,,"influenza vaccine (live attenuated, nasal)","influenza vaccine (live attenuated, nasal)",True,,,not reported,False,,,not reported,False,,,not reported,False,,not reported,not reported,True,,"ferrets, rats, mice","ferret, rat",False,,not reported,not reported,True,,not reported,not reported,True,,"rats, ferrets, hamster, guinea pigs","ferret, rat",False,,not reported,not reported,True,,no,no,True,,"""nasal spray, suspension""",nasal spray,False,
subcutaneous injection,subcutaneous,False,,27.04.2020,27.04.2020,True,,authorised,authorised,True,,22.04.2021,22.04.2021,True,,approved,approved,True,,diseases of the skin,diseases of the skin,True,,biologics,biologics,True,,adtralza,adtralza,True,,moderate-to-severe atopic dermatitis in adult and adolescent patients 12 years and older who are candidates for systemic therapy,for the treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,False,,moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,for the treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,False,,ema/266138/2021,ema/266138/2021,True,,tralokinumab,tralokinumab,True,,not reported,not reported,True,,monkeys,monkey,False,,cynomolgus monkeys,cynomolgus monkey,False,,"models of type 2 immune responses mediated through signalling via il-13, air pouch inflammation model in mice, lung inflammation mouse model",not reported,False,,"mice, monkeys","mouse, monkey",False,,cynomolgus monkeys,cynomolgus monkey,False,,not reported,not reported,True,,"monkeys, rabbits",monkey,False,,cynomolgus monkeys,cynomolgus monkey,False,,no,no,True,,suspension and emulsion for emulsion for injection,solution for injection,False,
oral,oral use,False,,13.09.2019,13.09.2019,True,,authorised,authorised,True,,15.10.2020,15.10.2020,True,,approved,approved,True,,"neoplasms, diseases of the blood and blood-forming organs",neoplasms,False,,small molecule,small molecule,True,,lenalidomide mylan,lenalidomide mylan,True,,same,"multiple myeloma, follicular lymphoma",False,,"multiple myeloma, myelodysplastic syndromes, mantle cell lymphoma, follicular lymphoma","multiple myeloma, follicular lymphoma",False,,ema/chmp/583241/2020,ema/chmp/583241/2020,True,,lenalidomide,lenalidomide,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,hard capsules,"capsule, hard",False,
