Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,04.02.2015,2015,authorised,approved,09.11.2015,2015,"Endocrine, nutritional, and metabolic diseases",000218646.pdf,Small molecule,Suiny,Type 2 diabetes mellitus,yes,Type 2 diabetes mellitus,"Sanwa Kagaku Kenkyusho Co., Ltd.",Sanwa Kagaku Kenkyusho,Not reported,Anagliptin,yes,no,tablet,Not reported,Not reported
oral,02.11.2018,2018,authorised,approved,21.02.2019,2019,Diseases of the circulatory system,000237869.pdf,Small molecule,Vyndaqel,Delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy; Transthyretin amyloid cardiomyopathy (wild-type or variant),yes,Delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy; Reductions in all-cause mortality and the frequency of cardiovascular-related hospitalizations in patients with transthyretin amyloid cardiomyopathy (wild-type or variant),Pfizer Japan Inc.,Pfizer,Not reported,Tafamidis Meglumine,yes,yes,Capsule,Not reported,Not reported
oral,30.05.2014,2014,authorised,approved,24.04.2015,2015,Diseases of the respiratory system; Diseases of the skin,000216694.pdf,Small molecule,Talion,"Allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)",yes,"Allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)",Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,Not reported,Bepotastine Besilate,yes,no,tablet,Not reported,Not reported
subcutaneous,21.07.2017,2017,authorised,approved,02.03.2018,2018,Diseases of the blood and blood-forming organs,000236236.pdf,Biologics,Hemlibra,Reduction in bleeding tendency in patients with congenital blood coagulation factor VIII deficiency with blood coagulation factor VIII inhibitors,no,Reduction in bleeding tendency in patients with congenital blood coagulation factor VIII deficiency with blood coagulation factor VIII inhibitors,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Emicizumab,no,yes,injection,Not reported,NA
intravenous,29.11.2018,2018,authorised,approved,05.08.2019,2019,Diseases of the musculoskeletal system and connective tissue,000235893.pdf,Biologics,Benlysta,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,yes,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Belimumab,yes,no,Powder,Not reported,Not reported
intravenous,27.12.2016,2016,authorised,approved,22.08.2017,2017,Neoplasms; Diseases of the digestive system,000223203.pdf,Biologics,Opdivo,Treatment of unresectable advanced or recurrent gastric cancer that has progressed after cancer chemotherapy,yes,Treatment of unresectable advanced or recurrent gastric cancer,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,no,Injection,Not reported,Not reported
oral,11.03.2016,2016,authorised,approved,30.05.2017,2017,Diseases of the musculoskeletal system and connective tissue,000242825.pdf,Small molecule,Olumiant,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments,no,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Baricitinib,no,no,tablet,Not reported,NA
oral,30.03.2016,2016,authorised,approved,09.02.2017,2017,Diseases of the digestive system,000222647.pdf,Small molecule,Symproic,Opioid-induced constipation,no,Opioid-induced constipation,"Shionogi & Co., Ltd.",Shionogi,Not reported,Naldemedine Tosilate,no,no,tablet,Not reported,NA
oral,29.02.2008,2008,authorised,approved,29.01.2010,2010,Mental and behavioural disorders,000153012.pdf,Small molecule,Rozerem,Improvement of sleep-onset insomnia,no,Insomnia,Takeda Pharmaceutical Company Limited,Takeda,Not reported,Ramelteon,no,no,tablet,Not reported,NA
subcutaneous,20.04.2017,2017,authorised,approved,02.03.2018,2018,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000234741.pdf,Biologics,Tremfya,"Treatment of plaque psoriasis, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",no,"Treatment of plaque psoriasis, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",Janssen Pharmaceutical K.K.,Janssen,Not reported,Guselkumab,no,no,solution,Not reported,NA
oral,25.11.2014,2014,authorised,approved,28.08.2015,2015,Diseases of the skin,000245812.pdf,Small molecule,Zagallo,Androgenetic alopecia in men,yes,"Hair growth, hair restoration, and prevention of the progression of hair loss in men with androgenetic alopecia",GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Dutasteride,yes,no,capsule,Not reported,Not reported
intravenous,27.07.2016,2016,authorised,approved,Not reported,2017,Neoplasms,000223201.pdf,Biologics,Opdivo,Treatment of recurrent or distant metastatic head and neck cancer,yes,Treatment of recurrent or distant metastatic head and neck cancer,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,no,Injection,Not reported,Not reported
intravenous,13.12.2021,2021,authorised,approved,07.01.2022,2022,Infectious and parasitic diseases; Diseases of the respiratory system,000246328.pdf,Biologics,Actemra,Pneumonia caused by SARS-CoV-2 infection (COVID-19) (limited to patients requiring supplemental oxygen),yes,Pneumonia caused by SARS-CoV-2 infection (COVID-19) (limited to patients requiring supplemental oxygen),"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Tocilizumab,yes,no,concentrate,Not reported,Not reported
intravenous,26.04.2021,2021,authorised,approved,09.02.2022,2022,Neoplasms; Diseases of the digestive system,000263433.pdf,Biologics,Herceptin,HER2-overexpressing breast cancer; Unresectable advanced or recurrent HER2-overexpressing gastric cancer; Unresectable advanced or recurrent HER2-positive salivary gland carcinoma; Unresectable advanced or recurrent HER2-positive colorectal cancer that has progressed after cancer chemotherapy,yes,HER2-overexpressing breast cancer; Unresectable advanced or recurrent HER2-overexpressing gastric cancer; Unresectable advanced or recurrent HER2-overexpressing colorectal cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Trastuzumab,yes,no,Lyophilized powder,Not reported,Not reported
oral,31.10.2003,2003,authorised,approved,31.01.2007,2007,"Endocrine, nutritional, and metabolic diseases",000153400.pdf,Small molecule,Zetia,"Hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",no,"Hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",Schering-Plough K.K.,Schering-Plough,Not reported,Ezetimibe,no,no,tablet,Not reported,NA
oral,28.09.2005,2005,authorised,approved,28.11.2008,2008,Diseases of the nervous system,000235932.pdf,Small molecule,Trerief,Parkinson’s disease (for patients who did not respond adequately to a combination of levodopa-containing drugs with other antiparkinsonian drugs),yes,Parkinson’s disease (for patients who have not responded adequately to a combination of levodopa-containing drugs with other antiparkinsonian drugs),"Dainippon Sumitomo Pharma Co., Ltd.",Dainippon Sumitomo,Not reported,Zonisamide,no,no,tablet,Not reported,NA
oral,15.03.2013,2013,authorised,approved,24.01.2014,2014,"Endocrine, nutritional, and metabolic diseases",000210230.pdf,Small molecule,Forxiga,Type 2 diabetes mellitus,no,Type 2 diabetes mellitus,Bristol-Myers K.K.,Bristol-Myers,Not reported,Dapagliflozin,no,no,tablet,Not reported,NA
oral,21.12.2015,2015,authorised,approved,11.11.2016,2016,Infectious and parasitic diseases,000226231.pdf,Small molecule,Ximency,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients without cirrhosis or with compensated cirrhosis,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients without cirrhosis or with compensated cirrhosis,Bristol-Myers Squibb K.K.,Bristol-Myers Squibb,Not reported,Daclatasvir Hydrochloride/Asunaprevir/Beclabuvir Hydrochloride,no,no,tablet,Not reported,NA
intravenous,05.01.2015,2015,authorised,approved,31.08.2015,2015,Neoplasms,000216480.pdf,Small molecule,Yondelis,Soft tissue sarcomas,no,"Soft tissue sarcomas of the following histological subtypes: myxoid/round cell liposarcoma, synovial sarcoma, alveolar rhabdomyosarcoma, extra-osseous Ewing’s sarcoma/primitive neuroectodermal tumor, dermatofibrosarcoma protuberans, low-grade fibromyxoid sarcoma, alveolar soft part sarcoma, clear cell sarcoma, angiomatoid fibrous histiocytoma, desmoplastic small round cell tumor, extraskeletal myxoid chondrosarcoma, mesenchymal chondrosarcoma, giant cell fibroblastoma, and endometrial stromal sarcoma.","Taiho Pharmaceutical Co., Ltd.",Taiho,Not reported,Trabectedin,no,yes,Lyophilized powder,Not reported,NA
Inhalation,22.04.2013,2013,authorised,approved,30.04.2014,2014,Diseases of the respiratory system,000208866.pdf,Small molecule,Anoro Ellipta,Relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),no,Relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Umeclidinium Bromide/ Vilanterol Trifenatate,no,no,powder,Not reported,NA
oral,21.12.2011,2011,authorised,approved,30.11.2012,2012,Diseases of the circulatory system,000208682.pdf,Small molecule,Eliquis,Reduction of the risk of ischemic stroke and systemic embolism in patients with nonvalvular atrial fibrillation,no,Reduction of the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation,Bristol-Myers K.K.,Bristol-Myers,Not reported,Apixaban,no,no,tablet,Not reported,NA
oral,28.08.2019,2019,authorised,approved,26.02.2020,2020,Neoplasms; Diseases of the nervous system,000237315.pdf,Small molecule,Velexbru,Recurrent or refractory primary central nervous system lymphoma,no,Recurrent or refractory primary central nervous system lymphoma,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Tirabrutinib Hydrochloride,no,yes,tablet,Not reported,NA
oral,14.02.2017,2017,authorised,approved,08.09.2017,2017,Infectious and parasitic diseases,000230308.pdf,Small molecule,Maviret,Improvement of viremia in patients with chronic hepatitis C or compensated cirrhosis type C,no,Improvement of viremia in patients with chronic hepatitis C or compensated cirrhosis type C,AbbVie GK,AbbVie,Not reported,Glecaprevir Hydrate/Pibrentasvir,no,no,tablet,Not reported,NA
oral,27.06.2014,2014,authorised,approved,05.03.2015,2015,Infectious and parasitic diseases,000210796.pdf,Small molecule,Sovaldi,Suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis C patients with or without compensated cirrhosis,no,Suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis C patients with or without compensated cirrhosis,Gilead Sciences K.K.,Gilead,Not reported,Sofosbuvir,no,no,tablet,Not reported,NA
intravenous,08.11.2019,2019,authorised,approved,07.07.2020,2020,Neoplasms; Diseases of the digestive system,000245967.pdf,Biologics,Keytruda,"Radically unresectable, advanced or recurrent PD-L1 positive esophageal squamous cell carcinoma that has progressed after cancer chemotherapy",yes,"Unresectable, advanced or recurrent esophageal cancer",MSD K.K.,MSD,Not reported,Pembrolizumab,yes,no,Injection,Not reported,Not reported
subcutaneous,29.07.2020,2020,authorised,approved,03.03.2022,2022,Diseases of the skin,000252994.pdf,Biologics,Mitchga,Treatment of pruritus associated with atopic dermatitis (only for patients who are inadequately controlled by conventional treatments),no,Treatment of pruritus associated with atopic dermatitis (only for patients who are inadequately controlled by conventional treatments),"Maruho Co., Ltd.",Maruho,Not reported,Nemolizumab,no,no,solution,Not reported,NA
oral,30.08.2017,2017,authorised,approved,08.06.2018,2018,Diseases of the nervous system,000235933.pdf,Small molecule,Trerief,Parkinsonism in dementia with Lewy bodies,yes,Parkinsonism in dementia with Lewy bodies,"Sumitomo Dainippon Pharma Co., Ltd.",Sumitomo Dainippon,Not reported,Zonisamide,yes,no,tablet,Not reported,Not reported
cutaneous,23.10.2012,2012,authorised,approved,30.04.2014,2014,Infectious and parasitic diseases; Diseases of the skin,000211073.pdf,Small molecule,Clenafin,Tinea unguium,no,Onychomycosis,"Kaken Pharmaceutical Co., Ltd.",Kaken,Not reported,Efinaconazole,no,no,solution,Not reported,NA
oral,14.02.2022,2022,authorised,approved,Not reported,2022,Neoplasms,000267330.pdf,Small molecule,TS-1,"Adjuvant therapy for hormone receptor-positive, HER2-negative breast cancer with a high risk of recurrence",yes,"Adjuvant therapy for hormone receptor-positive, HER2-negative breast cancer with a high risk of recurrence","Taiho Pharmaceutical Co., Ltd.",Taiho,Not reported,Tegafur/Gimeracil/Oteracil Potassium,yes,no,capsule,Not reported,Not reported
intravenous,18.03.2016,2016,authorised,approved,11.11.2016,2016,Neoplasms; Diseases of the blood and blood-forming organs,000223200.pdf,Biologics,Opdivo,Treatment of relapsed or refractory classical Hodgkin lymphoma,yes,Treatment of relapsed or refractory classical Hodgkin lymphoma,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,yes,injection,Not reported,Not reported
subcutaneous,29.10.2015,2015,authorised,approved,09.09.2016,2016,Diseases of the eye and adnexa,000224547.pdf,Biologics,Humira,"Non-infectious intermediate uveitis, posterior uveitis, or panuveitis",yes,"Non-infectious intermediate uveitis, posterior uveitis, or panuveitis",AbbVie GK,AbbVie,Not reported,Adalimumab,yes,no,solution,Not reported,Not reported
oral,24.04.2015,2015,authorised,approved,05.02.2016,2016,Mental and behavioural disorders; Diseases of the nervous system,000220043.pdf,Small molecule,Risperdal,Schizophrenia; Irritability associated with autism spectrum disorder in pediatric patients,yes,Schizophrenia; Irritability associated with autistic disorder in pediatric patients,Janssen Pharmaceutical K.K.,Janssen,Not reported,Risperidone,no,no,tablet,Not reported,NA
intramuscular; subcutaneous,30.01.2007,2007,authorised,approved,31.08.2007,2007,Infectious and parasitic diseases,000153773.pdf,Vaccine,Adsorbed Influenza Vaccine (H5N1) “HOKKEN”,Prophylaxis of pandemic influenza (H5N1),no,Prophylaxis of pandemic influenza (H5N1),The Kitasato Institute,Kitasato,Not reported,Adsorbed Influenza Vaccine (H5N1),yes,yes,suspension,Not reported,Not reported
intramuscular,13.10.2022,2022,authorised,approved,07.02.2023,2023,Infectious and parasitic diseases,000253046.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Pfizer Japan Inc.,Pfizer,Not reported,Coronavirus Modified Uridine RNA Vaccine,yes,no,injection,Not reported,Not reported
ocular,30.05.2008,2008,authorised,approved,26.02.2010,2010,Diseases of the eye and adnexa,000153954.pdf,Small molecule,Moistear,Dry eye,no,Corneal and conjunctival epithelial damage associated with dry eye (including Sjogren’s syndrome and Stevens-Johnson syndrome),"Santen Pharmaceutical Co., Ltd.",Santen,Not reported,Diquafosol Sodium,no,no,solution,Not reported,NA
oral,14.01.2022,2022,authorised,approved,10.02.2022,2022,Infectious and parasitic diseases,000246305.pdf,Small molecule,Paxlovid,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),no,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),Pfizer Japan Inc.,Pfizer,Not reported,Nirmatrelvir and Ritonavir,yes,no,tablet,Not reported,Not reported
intravenous,13.12.2016,2016,authorised,approved,08.09.2017,2017,Diseases of the musculoskeletal system and connective tissue,000235894.pdf,Biologics,Benlysta,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,no,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Belimumab,no,no,solution,Not reported,NA
oral,07.06.2016,2016,authorised,approved,03.03.2017,2017,Neoplasms; Diseases of the blood and blood-forming organs,000226817.pdf,Small molecule,Mundesine,Relapsed or refractory peripheral T-cell lymphoma,no,Relapsed or refractory peripheral T-cell lymphoma,Mundipharma K.K.,Mundipharma,Not reported,Forodesine Hydrochloride,no,yes,capsule,Not reported,NA
subcutaneous,03.03.2015,2015,authorised,approved,12.11.2015,2015,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000216877.pdf,Biologics,Cosentyx,"Treatment of psoriasis vulgaris, psoriatic arthritis, and pustular psoriasis (generalized) in patients who have had an inadequate response to conventional therapy",yes,"Treatment of psoriasis vulgaris, psoriatic arthritis, and pustular psoriasis (generalized) in patients who have had an inadequate response to conventional therapy",Novartis Pharma K.K.,Novartis,Not reported,Secukinumab,yes,no,solution,Not reported,Not reported
oral,12.02.2015,2015,authorised,approved,31.08.2015,2015,Infectious and parasitic diseases,000216650.pdf,Small molecule,Viekirax,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,no,"Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients, including those with compensated cirrhosis",AbbVie GK,AbbVie,Not reported,Ombitasvir Hydrate/Paritaprevir Hydrate/Ritonavir,no,no,tablet,Not reported,NA
oral,18.06.2010,2010,authorised,approved,01.06.2011,2011,Diseases of the genitourinary system,000204240.pdf,Small molecule,Betanis,"Urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",no,"Urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",Astellas Pharma Inc.,Astellas,Not reported,Mirabegron,no,no,tablet,Not reported,NA
intravenous,12.11.2019,2019,authorised,approved,15.07.2020,2020,Neoplasms; Diseases of the digestive system,000244664.pdf,Biologics,Opdivo,"Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy",yes,"Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy","Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,no,Injection,Not reported,Not reported
Intravenous,21.04.2006,2006,authorised,approved,22.02.2007,2007,Neoplasms; Diseases of the digestive system,000224437.pdf,Biologics,Avastin,Unresectable advanced or recurrent colorectal cancer,no,Unresectable advanced or recurrent colorectal cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Bevacizumab,no,no,Injection,Not reported,NA
intramuscular,09.02.2023,2023,authorised,approved,15.06.2023,2023,Infectious and parasitic diseases,000269293.pdf,Vaccine,Spikevax,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),"Moderna Japan Co., Ltd.",Moderna,Not reported,Coronavirus (SARS-CoV-2) RNA Vaccine,yes,no,suspension,Not reported,Not reported
intravenous,17.09.2015,2015,authorised,approved,25.04.2016,2016,Neoplasms; Diseases of the genitourinary system,000224436.pdf,Biologics,Avastin,Advanced or recurrent cervical cancer,yes,Advanced or recurrent cervical cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Bevacizumab,yes,yes,Injection,Not reported,Not reported
oral,10.12.2007,2007,authorised,approved,24.07.2009,2009,"Endocrine, nutritional, and metabolic diseases",000153174.pdf,Small molecule,Januvia,Type 2 diabetes mellitus,no,Improvement of post-prandial hyperglycemia in type 2 diabetes mellitus,"Banyu Pharmaceutical Co., Ltd.; Ono Pharmaceutical Co., Ltd.",Banyu; Ono,Not reported,Sitagliptin,no,no,tablet,Not reported,NA
intravenous,12.11.2019,2019,authorised,approved,26.08.2020,2020,Neoplasms; Diseases of the digestive system,000244665.pdf,Biologics,Yervoy,"Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy",yes,"Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy",Bristol-Myers Squibb K.K.,Bristol-Myers Squibb,Not reported,Ipilimumab,yes,no,Injection,Not reported,Not reported
sublingual,25.12.2012,2012,authorised,approved,18.11.2013,2013,Diseases of the respiratory system,000204241.pdf,Other,Cedartolen,Japanese cedar pollinosis (hyposensitization therapy),no,Japanese cedar pollinosis (allergen immunotherapy),"Torii Pharmaceutical Co., Ltd.",Torii,Not reported,None,yes,no,sublingual drop,Not reported,Not reported
subcutaneous,26.12.2013,2013,authorised,approved,28.11.2014,2014,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000216876.pdf,Biologics,Cosentyx,Treatment of psoriasis vulgaris and psoriatic arthritis in patients who have had an inadequate response to conventional therapy,no,Treatment of psoriasis vulgaris and psoriatic arthritis in patients who have had an inadequate response to conventional therapy,Novartis Pharma K.K.,Novartis,Not reported,Secukinumab,no,no,solution,Not reported,NA
oral,08.06.2023,2023,authorised,approved,04.03.2024,2024,Infectious and parasitic diseases,000273156.pdf,Small molecule,Xocova,Disease caused by SARS-CoV-2 infection (COVID-19),no,Disease caused by SARS-CoV-2 infection (COVID-19),"Shionogi & Co., Ltd.",Shionogi,Not reported,Ensitrelvir Fumaric Acid,no,no,tablet,Not reported,NA
inhalation,29.01.2010,2010,authorised,approved,29.07.2010,2010,Infectious and parasitic diseases,000211260.pdf,Small molecule,Inavir,Treatment of influenza A or B virus infection,no,Treatment of influenza A or B virus infection,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Laninamivir Octanoate Hydrate,no,no,powder,Not reported,NA
oral,30.11.2016,2016,authorised,approved,01.08.2017,2017,Diseases of the blood and blood-forming organs,000233994.pdf,Small molecule,Revolade,Chronic idiopathic thrombocytopenic purpura; Aplastic anemia,yes,Chronic idiopathic thrombocytopenic purpura; Aplastic anemia,Novartis Pharma K.K.,Novartis,Not reported,Eltrombopag Olamine,yes,yes,tablet,Not reported,Not reported
intravenous,23.08.2019,2019,authorised,approved,28.05.2020,2020,Neoplasms; Diseases of the blood and blood-forming organs,000242148.pdf,Biologics,Sarclisa,Relapsed or refractory multiple myeloma,no,Relapsed or refractory multiple myeloma,Sanofi K.K.,Sanofi,Not reported,Isatuximab,no,no,injection,Not reported,NA
subcutaneous,29.08.2022,2022,authorised,approved,31.07.2023,2023,Diseases of the blood and blood-forming organs,000268789.pdf,Biologics,Alhemo,Control of bleeding tendency in patients with congenital hemophilia with coagulation factor VIII or IX inhibitors,no,Control of bleeding tendency in patients with congenital hemophilia with coagulation factor VIII or IX inhibitors,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Concizumab,no,yes,solution,Not reported,NA
intravenous,30.03.2010,2010,authorised,approved,20.01.2011,2011,Neoplasms,000219170.pdf,Small molecule,Halaven,Inoperable or recurrent breast cancer,no,Inoperable or recurrent breast cancer,"Eisai Co., Ltd.",Eisai,Not reported,Eribulin Mesilate,no,no,solution,Not reported,NA
intravenous,25.05.2012,2012,authorised,approved,25.04.2013,2013,Neoplasms,000263435.pdf,Biologics,Perjeta,HER2-positive inoperable or recurrent breast cancer,no,HER2-positive inoperable or recurrent breast cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Pertuzumab,no,no,solution,Not reported,NA
