Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
subcutaneous,27.01.2012,2012,authorised,japan,approved,20.07.2012,2012,infectious and parasitic diseases,000153291.pdf,vaccine,quattrovac,"prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<pertussis>; <diphtheria>; <tetanus>; <poliomyelitis>,no,"prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<pertussis>; <diphtheria>; <tetanus>; <poliomyelitis>,the chemo-sero-therapeutic research institute (kaketsuken),kaketsuken,,adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (sabin strain) combined vaccine,yes,no,suspension,,,PMDA
intravenous,18.09.2008,2008,authorised,japan,approved,23.04.2010,2010,diseases of the musculoskeletal system and connective tissue,000153322.pdf,biologics,orencia,rheumatoid arthritis (for use only in patients who have not adequately responded to conventional treatments),<rheumatoid arthritis>,no,rheumatoid arthritis (for use only in patients who have not adequately responded to conventional treatments),<rheumatoid arthritis>,bristol-myers k.k.,bristol-myers,,abatacept,no,no,lyophilisate,,na,PMDA
intravenous,30.06.2006,2006,authorised,japan,approved,31.01.2007,2007,"endocrine, nutritional, and metabolic diseases",000153325.pdf,biologics,myozyme,type ii glycogen storage disease,<glycogen storage disease type ii>,no,type ii glycogen storage disease,<glycogen storage disease type ii>,genzyme japan k.k.,genzyme,,alglucosidase alfa,no,yes,formulation,,na,PMDA
subcutaneous,27.07.2012,2012,authorised,japan,approved,08.03.2013,2013,"endocrine, nutritional, and metabolic diseases",000153334.pdf,peptides and proteins,metreleptin,lipodystrophy,<adiposity>,no,improvement of hyperglycemia and hypertriglyceridemia in lipodystrophy,<hyperglycemia>; <hypertriglyceridemia>; <lipodystrophy>,"shionogi & co., ltd.",shionogi,,metreleptin,yes,yes,solution,,,PMDA
subcutaneous,27.12.2011,2011,authorised,japan,approved,20.07.2012,2012,infectious and parasitic diseases,000153343.pdf,vaccine,tetrabik,"prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<pertussis>; <diphtheria>; <tetanus>; <poliomyelitis>,no,"prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<pertussis>; <diphtheria>; <tetanus>; <poliomyelitis>,the research foundation for microbial diseases of osaka university,osaka university,,adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (sabin strain) combined vaccine,yes,no,suspension,,,PMDA
oral,08.08.2006,2006,authorised,japan,approved,27.08.2008,2008,neoplasms; diseases of the blood and blood-forming organs,000153348.pdf,small molecule,thaled,relapsed or refractory multiple myeloma,<multiple myeloma>,no,multiple myeloma (to be used only when conventional treatment is not sufficiently effective),<multiple myeloma>,fujimoto pharmaceutical corporation,fujimoto,,thalidomide,yes,yes,capsule,,,PMDA
oral,31.07.2012,2012,authorised,japan,approved,13.03.2013,2013,neoplasms; diseases of the digestive system,000153351.pdf,small molecule,stivarga,"incurable, unresectable, advanced/recurrent colorectal cancer",<colorectal neoplasms>,no,"incurable, unresectable, advanced/recurrent colorectal cancer",<colorectal neoplasms>,"bayer yakuhin, ltd.",bayer,,regorafenib,no,no,tablet,,na,PMDA
oral,31.10.2003,2003,authorised,japan,approved,31.01.2007,2007,"endocrine, nutritional, and metabolic diseases",000153400.pdf,small molecule,zetia,"hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",<hypercholesterolemia>; <sitosterolemia>,no,"hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",<hypercholesterolemia>; <sitosterolemia>,schering-plough k.k.,schering-plough,,ezetimibe,no,no,tablet,,na,PMDA
oral,29.09.2010,2010,authorised,japan,approved,07.02.2013,2013,diseases of the digestive system,000153467.pdf,small molecule,acofide,"postprandial fullness, upper abdominal bloating, and early satiation in patients with functional dyspepsia",<functional dyspepsia>,no,"functional dyspepsia (gastrointestinal symptoms such as postprandial fullness, upper abdominal bloating, and early satiation)",<functional dyspepsia>,"zeria pharmaceutical co., ltd.",zeria,,acotiamide,no,no,tablet,,na,PMDA
oral,05.07.2012,2012,authorised,japan,approved,13.03.2013,2013,neoplasms; diseases of the nervous system,000153482.pdf,small molecule,alabel,visualization of malignant tissue during surgical resection of malignant glioma,<glioma>,no,visualization of malignant tissue during surgical resection of malignant glioma,<glioma>,"nobelpharma co., ltd.; sbi pharmaceuticals co., ltd.","nobel  
sbi",,aminolevulinic acid hydrochloride,yes,yes,lyophilized preparation,,,PMDA
oral,28.11.2006,2006,authorised,japan,approved,27.10.2008,2008,diseases of the skin; diseases of the genitourinary system,000153525.pdf,small molecule,remitch,improvement of pruritus in hemodialysis patients (for use only when conventional treatments are not sufficiently effective),<pruritus>,no,improvement of intractable pruritus in hemodialysis patients,<pruritus>,"toray industries, inc.",toray,,nalfurafine hydrochloride,no,no,capsule,,na,PMDA
intravenous,20.12.2007,2007,authorised,japan,approved,21.10.2009,2009,other,000153538.pdf,small molecule,bridion,reversal of neuromuscular blockade induced by rocuronium bromide or vecuronium bromide,not reported,no,reversal of neuromuscular blockade induced by rocuronium bromide or vecuronium bromide,<neuromuscular blockade>,schering-plough k.k.,schering-plough,,sugammadex sodium,no,no,solution,,na,PMDA
oral,13.12.2011,2011,authorised,japan,approved,06.09.2012,2012,neoplasms,000153553.pdf,small molecule,votrient,soft tissue sarcoma,<soft tissue neoplasms>,yes,advanced soft tissue sarcoma,<soft tissue neoplasms>,glaxosmithkline k.k.,glaxosmithkline,,pazopanib hydrochloride,no,yes,tablet,,na,PMDA
oral,26.08.2011,2011,authorised,japan,approved,27.04.2012,2012,"endocrine, nutritional, and metabolic diseases",000153594.pdf,small molecule,tenelia,type 2 diabetes mellitus,<type 2 diabetes mellitus>,no,type 2 diabetes mellitus,<type 2 diabetes mellitus>,mitsubishi tanabe pharma corporation,mitsubishi tanabe,,teneligliptin hydrobromide hydrate,no,no,tablet,,na,PMDA
oral,01.12.2011,2011,authorised,japan,approved,13.03.2013,2013,diseases of the musculoskeletal system and connective tissue,000153609.pdf,small molecule,xeljanz,rheumatoid arthritis in patients who have not adequately responded to conventional treatments,<rheumatoid arthritis>,no,rheumatoid arthritis in patients who have not adequately responded to conventional treatments,<rheumatoid arthritis>,pfizer japan inc.,pfizer,,tofacitinib citrate,no,no,tablet,,na,PMDA
oral,26.06.2012,2012,authorised,japan,approved,26.04.2013,2013,"endocrine, nutritional, and metabolic diseases",000153624.pdf,small molecule,topiloric,"gout, hyperuricaemia",<gout>; <hyperuricemia>,no,"gout, hyperuricaemia",<gout>; <hyperuricemia>,"fujiyakuhin co., ltd.; sanwa kagaku kenkyusho co., ltd.",fujiyakuhin; sanwa kagaku kenkyusho,,topiroxostat,no,no,tablet,,na,PMDA
intravenous,30.10.2009,2009,authorised,japan,approved,26.12.2009,2009,infectious and parasitic diseases,000153628.pdf,small molecule,rapiacta,influenza a or b virus infection,<influenza>,no,influenza a or b virus infection,<influenza>,"shionogi & co., ltd.",shionogi,,peramivir,no,no,solution,,na,PMDA
oral,21.12.2007,2007,authorised,japan,approved,27.02.2009,2009,mental and behavioural disorders,000153638.pdf,small molecule,clozaril,treatment-resistant schizophrenia,<schizophrenia>,no,treatment-resistant schizophrenia,<schizophrenia>,novartis pharma k.k.,novartis,,clozapine,yes,no,tablet,,,PMDA
intramuscular; subcutaneous,30.01.2007,2007,authorised,japan,approved,31.08.2007,2007,infectious and parasitic diseases; diseases of the respiratory system,000153640.pdf,vaccine,adsorbed influenza vaccine,prophylaxis of pandemic influenza (h5n1),<influenza>,no,prophylaxis of pandemic influenza (h5n1),<influenza>,the research foundation for microbial diseases of osaka university,osaka university,,adsorbed influenza vaccine,yes,yes,suspension,,,PMDA
subcutaneous,22.12.2011,2011,authorised,japan,approved,31.08.2012,2012,"endocrine, nutritional, and metabolic diseases",000153683.pdf,peptides and proteins,tresiba,diabetes mellitus where treatment with insulin is required,<diabetes mellitus>,no,diabetes mellitus where treatment with insulin is required,<diabetes mellitus>,novo nordisk pharma ltd.,novo nordisk,,insulin degludec,no,no,solution,,na,PMDA
oral,12.03.2007,2007,authorised,japan,approved,29.08.2008,2008,diseases of the respiratory system,000153687.pdf,small molecule,pirespa,idiopathic pulmonary fibrosis,<idiopathic pulmonary fibrosis>,no,idiopathic pulmonary fibrosis,<idiopathic pulmonary fibrosis>,"shionogi & co., ltd.",shionogi,,pirfenidone,no,yes,tablet,,na,PMDA
oral,12.03.2008,2008,authorised,japan,approved,30.04.2008,2008,infectious and parasitic diseases,000153689.pdf,small molecule,isentress,hiv infection,<hiv infections>,no,hiv-1 infection,<human immunodeficiency virus>,"banyu pharmaceutical co., ltd.",banyu,,raltegravir potassium,no,yes,tablet,,na,PMDA
intravenous,28.04.2006,2006,authorised,japan,approved,30.01.2008,2008,diseases of the musculoskeletal system and connective tissue; neoplasms,000153709.pdf,biologics,actemra,rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis; castleman's disease,"<rheumatoid arthritis>; <arthritis, juvenile>; <castleman disease>",yes,rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis,"<rheumatoid arthritis>; <arthritis, juvenile>","chugai pharmaceutical co., ltd.",chugai,,tocilizumab,no,no,concentrate,,na,PMDA
subcutaneous,09.03.2012,2012,authorised,japan,approved,30.11.2012,2012,"endocrine, nutritional, and metabolic diseases",000153726.pdf,peptides and proteins,ryzodeg,diabetes mellitus where treatment with insulin is required,<diabetes mellitus>,no,diabetes mellitus where treatment with insulin is required,<diabetes mellitus>,novo nordisk pharma ltd.,novo nordisk,,insulin degludec/insulin aspart,no,no,solution,,na,PMDA
intravenous,29.01.2013,2013,authorised,japan,approved,26.08.2013,2013,neoplasms,000153735.pdf,biologics,kadcyla,her2-positive inoperable or recurrent breast cancer,<breast neoplasms>,no,her2-positive inoperable or recurrent breast cancer,<breast neoplasms>,"chugai pharmaceutical co., ltd.",chugai,,trastuzumab emtansine,no,no,lyophilisate,,na,PMDA
subcutaneous,21.01.2010,2010,authorised,japan,approved,29.11.2010,2010,diseases of the skin; diseases of the musculoskeletal system and connective tissue,000153747.pdf,biologics,stelara,psoriasis vulgaris and psoriatic arthritis in patients who have had an inadequate response to conventional therapy,"<psoriasis>; <arthritis, psoriatic>",no,moderate to severe psoriasis vulgaris; psoriatic arthritis with moderate to severe plaque psoriasis,"<psoriasis>; <arthritis, psoriatic>",janssen pharmaceutical k.k.,janssen,,ustekinumab,no,no,solution,,na,PMDA
oral,13.02.2013,2013,authorised,japan,approved,22.08.2013,2013,diseases of the nervous system,000153750.pdf,small molecule,vyndaqel,delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy,<polyneuropathies>,no,delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy,<polyneuropathies>,pfizer japan inc.,pfizer,,tafamidis meglumine,no,yes,capsule,,na,PMDA
intramuscular; subcutaneous,30.01.2007,2007,authorised,japan,approved,31.08.2007,2007,infectious and parasitic diseases,000153773.pdf,vaccine,adsorbed influenza vaccine (h5n1) “hokken”,prophylaxis of pandemic influenza (h5n1),<influenza>,no,prophylaxis of pandemic influenza (h5n1),<influenza>,the kitasato institute,kitasato,,adsorbed influenza vaccine (h5n1),yes,yes,suspension,,,PMDA
oral,29.02.2008,2008,authorised,japan,approved,29.05.2009,2009,diseases of the circulatory system,000153807.pdf,small molecule,rasilez,hypertension,<hypertension>,no,hypertension,<hypertension>,novartis pharma k.k.,novartis,,aliskiren,no,no,tablet,,na,PMDA
oral,30.03.2012,2012,authorised,japan,approved,08.03.2013,2013,diseases of the nervous system,000153870.pdf,small molecule,nouriast,improvement of the “wearing-off” phenomenon in patients with parkinson’s disease on levodopa-containing preparations,<parkinson disease>,no,patients with parkinson’s disease on levodopa-containing preparations with motor complications,<parkinson disease>,"kyowa hakko kirin co., ltd.",kyowa hakko kirin,,istradefylline,no,no,tablet,,na,PMDA
subcutaneous,11.06.2012,2012,authorised,japan,approved,24.05.2013,2013,"endocrine, nutritional, and metabolic diseases",000153885.pdf,peptides and proteins,lyxumia,type 2 diabetes mellitus,<type 2 diabetes mellitus>,no,type 2 diabetes mellitus,<type 2 diabetes mellitus>,sanofi k.k.,sanofi,,lixisenatide,no,no,solution,,na,PMDA
inhalation,25.11.2011,2011,authorised,japan,approved,06.09.2012,2012,diseases of the respiratory system,000153897.pdf,small molecule,seebri,relief of symptoms of airway obstruction in patients with chronic obstructive pulmonary disease (chronic bronchitis and emphysema),<chronic obstructive pulmonary disease>,no,relief of symptoms of airway obstruction in patients with chronic obstructive pulmonary disease (chronic bronchitis and emphysema),<chronic obstructive pulmonary disease>,novartis pharma k.k.,novartis,,glycopyrronium bromide,no,no,capsule,,na,PMDA
subcutaneous,31.05.2006,2006,authorised,japan,approved,27.10.2008,2008,diseases of the respiratory system,000153931.pdf,biologics,xolair,bronchial asthma (only for refractory patients whose asthma symptoms are not controlled by conventional therapies),<bronchial asthma>,no,bronchial asthma (only for patients who respond inadequately to conventional therapies),<bronchial asthma>,novartis pharma k.k.,novartis,,omalizumab,no,no,lyophilisate,,na,PMDA
oral,31.03.2011,2011,authorised,japan,approved,29.02.2012,2012,neoplasms; diseases of the respiratory system,000153949.pdf,small molecule,xalkori,"alk-positive, unresectable, advanced or relapsed non-small-cell lung cancer",<non-small-cell lung carcinoma>,no,alk-positive advanced non-small-cell lung cancer,<lung neoplasms>,pfizer japan inc.,pfizer,,crizotinib,no,yes,capsule,,na,PMDA
ocular,30.05.2008,2008,authorised,japan,approved,26.02.2010,2010,diseases of the eye and adnexa,000153954.pdf,small molecule,moistear,dry eye,<dry eye syndromes>,no,corneal and conjunctival epithelial damage associated with dry eye (including sjogren’s syndrome and stevens-johnson syndrome),<corneal diseases>; <conjunctival diseases>; <dry eye syndromes>; <sjögren's syndrome>; <stevens-johnson syndrome>,"santen pharmaceutical co., ltd.",santen,,diquafosol sodium,no,no,solution,,na,PMDA
intravenous,27.12.2012,2012,authorised,japan,approved,18.11.2013,2013,diseases of the blood and blood-forming organs,000203945.pdf,biologics,novoeight,control of bleeding tendency in patients with blood coagulation factor viii deficiency,<blood coagulation disorders>,no,control of bleeding tendency in patients with haemophilia a (congenital blood coagulation factor viii deficiency),<hemophilia a>,novo nordisk pharma ltd.,novo nordisk,,turoctocog alfa,no,no,lyophilisate,,na,PMDA
oral,18.06.2010,2010,authorised,japan,approved,01.06.2011,2011,diseases of the genitourinary system,000204240.pdf,small molecule,betanis,"urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",<overactive bladder>,no,"urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",<overactive urinary bladder>,astellas pharma inc.,astellas,,mirabegron,no,no,tablet,,na,PMDA
sublingual,25.12.2012,2012,authorised,japan,approved,18.11.2013,2013,diseases of the respiratory system,000204241.pdf,other,cedartolen,japanese cedar pollinosis (hyposensitization therapy),<allergic rhinitis>,no,japanese cedar pollinosis (allergen immunotherapy),<allergic rhinitis>,"torii pharmaceutical co., ltd.",torii,,none,yes,no,sublingual drop,,,PMDA
oral,06.12.2012,2012,authorised,japan,approved,13.03.2013,2013,infectious and parasitic diseases,000205730.pdf,small molecule,stribild,hiv-1 infection,<acquired immunodeficiency syndrome>,no,hiv-1 infection,<hiv infections>,japan tobacco inc.,japan tobacco,,elvitegravir/cobicistat/emtricitabine/tenofovir disoproxil fumarate,no,yes,tablet,,na,PMDA
oral,13.03.2013,2013,authorised,japan,approved,29.11.2013,2013,"endocrine, nutritional, and metabolic diseases",000206796.pdf,small molecule,suglat,type 2 diabetes mellitus,<type 2 diabetes mellitus>,no,type 2 diabetes mellitus,<type 2 diabetes mellitus>,astellas pharma inc.,astellas,,ipragliflozin,no,no,tablet,,na,PMDA
oral,17.05.2013,2013,authorised,japan,approved,29.11.2013,2013,diseases of the circulatory system,000207309.pdf,small molecule,adempas,inoperable chronic thromboembolic pulmonary hypertension (cteph) or postoperative persistent or recurrent cteph,"<hypertension, pulmonary>",no,inoperable chronic thromboembolic pulmonary hypertension (cteph) or postoperative persistent or recurrent cteph,"<hypertension, pulmonary>","bayer yakuhin, ltd.",bayer,,riociguat,no,yes,tablet,,na,PMDA
oral,04.03.2010,2010,authorised,japan,approved,24.11.2010,2010,diseases of the circulatory system,000207341.pdf,small molecule,pradaxa,reduction in the risk of ischaemic stroke and systemic embolism in patients with non-valvular atrial fibrillation,<ischemic stroke>; <embolism>,no,reduction in the risk of stroke and systemic embolism in patients with atrial fibrillation,<stroke>; <embolism>; <atrial fibrillation>,"nippon boehringer ingelheim co., ltd.",boehringer ingelheim,,dabigatran etexilate methanesulfonate,no,no,capsule,,na,PMDA
oral,05.02.2010,2010,authorised,japan,approved,24.11.2010,2010,diseases of the nervous system,000207435.pdf,small molecule,memary,control of the progression of dementia symptoms in patients with moderate to severe alzheimer’s disease,<alzheimer disease>,no,control of the progression of dementia symptoms in moderate to severe alzheimer’s disease,<alzheimer disease>,"daiichi sankyo company, limited",daiichi sankyo,,memantine hydrochloride,no,no,tablet,,na,PMDA
subcutaneous,28.04.2009,2009,authorised,japan,approved,23.04.2010,2010,diseases of the musculoskeletal system and connective tissue,000207926.pdf,peptides and proteins,forteo,treatment of patients with osteoporosis at high risk for fracture,<osteoporosis>,no,treatment of patients with osteoporosis at high risk for fracture,<osteoporosis>,eli lilly japan k.k.,eli lilly,,teriparatide,no,no,solution,,na,PMDA
oral,26.02.2013,2013,authorised,japan,approved,03.02.2014,2014,neoplasms; diseases of the digestive system,000207987.pdf,small molecule,lonsurf,unresectable advanced or recurrent colorectal cancer,<colorectal neoplasms>,no,unresectable advanced or recurrent colorectal cancer,<colorectal neoplasms>,"taiho pharmaceutical co., ltd.",taiho,,trifluridine and tipiracil hydrochloride,no,no,tablet,,na,PMDA
oral,30.05.2013,2013,authorised,japan,approved,24.02.2014,2014,diseases of the genitourinary system,000208511.pdf,small molecule,samsca,slowing of the progression of autosomal dominant polycystic kidney disease,<polycystic kidney diseases>,yes,slowing of the progression of autosomal dominant polycystic kidney disease,<polycystic kidney diseases>,"otsuka pharmaceutical co., ltd.",otsuka,,tolvaptan,yes,yes,tablet,,,PMDA
oral,30.09.2009,2009,authorised,japan,approved,26.08.2010,2010,diseases of the blood and blood-forming organs,000208512.pdf,small molecule,revolade,chronic idiopathic thrombocytopenic purpura,"<thrombocytopenic purpura, idiopathic>",no,idiopathic thrombocytopenic purpura,"<thrombocytopenic purpura, idiopathic>",glaxosmithkline k.k.,glaxosmithkline,,eltrombopag,no,yes,tablet,,na,PMDA
oral,21.12.2011,2011,authorised,japan,approved,30.11.2012,2012,diseases of the circulatory system,000208682.pdf,small molecule,eliquis,reduction of the risk of ischemic stroke and systemic embolism in patients with nonvalvular atrial fibrillation,<ischemic stroke>; <embolism>; <atrial fibrillation>,no,reduction of the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation,<stroke>; <embolism>; <atrial fibrillation>,bristol-myers k.k.,bristol-myers,,apixaban,no,no,tablet,,na,PMDA
oral,07.10.2013,2013,authorised,japan,approved,26.05.2014,2014,neoplasms; diseases of the respiratory system,000208811.pdf,small molecule,alecensa,"alk fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer",<non-small cell lung cancer>,no,"alk fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer",<non-small cell lung carcinoma>,"chugai pharmaceutical co., ltd.",chugai,,alectinib hydrochloride,no,yes,capsule,,na,PMDA
oral,27.03.2013,2013,authorised,japan,approved,10.01.2014,2014,diseases of the circulatory system; diseases of the digestive system,000208812.pdf,small molecule,takelda,"reduction of the risk of thrombosis and embolism in patients with a history of gastric or duodenal ulcers who have angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent cabg or ptca",<thrombosis>; <embolism>; <gastric ulcer>; <duodenal ulcer>; <angina pectoris>; <myocardial infarction>; <ischemic cerebrovascular disorders>,yes,"reduction of the risk of thrombosis and embolism and prevention of recurrent gastric or duodenal ulcers associated with low-dose aspirin in patients with angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent cabg or ptca",<thrombosis>; <embolism>; <gastric ulcer>; <duodenal ulcer>; <angina pectoris>; <myocardial infarction>; <ischemic cerebrovascular disorders>,takeda pharmaceutical company limited,takeda,,aspirin/lansoprazole,yes,no,tablet,,,PMDA
inhalation,22.04.2013,2013,authorised,japan,approved,30.04.2014,2014,diseases of the respiratory system,000208866.pdf,small molecule,anoro ellipta,relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),<chronic obstructive pulmonary disease>,no,relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),<chronic obstructive pulmonary disease>,glaxosmithkline k.k.,glaxosmithkline,,umeclidinium bromide/ vilanterol trifenatate,no,no,powder,,na,PMDA
oral,29.10.2013,2013,authorised,japan,approved,26.06.2014,2014,infectious and parasitic diseases,000209021.pdf,small molecule,daklinza,improvement of viraemia in patients with chronic hepatitis c serogroup 1 or with compensated cirrhosis,<chronic hepatitis c>; <cirrhosis>,no,improvement of viraemia in patients with chronic hepatitis c serogroup 1 or with compensated cirrhosis,<chronic hepatitis c>; <cirrhosis>,bristol-myers k.k.,bristol-myers,,daclatasvir,no,no,tablet,,na,PMDA
oral,29.10.2013,2013,authorised,japan,approved,26.06.2014,2014,infectious and parasitic diseases,000209023.pdf,small molecule,sunvepra,"improvement of viraemia in patients with chronic hepatitis c serogroup 1 (genotype 1), or chronic hepatitis c serogroup 1 with compensated cirrhosis",<chronic hepatitis c>; <cirrhosis>,no,"improvement of viraemia in patients with chronic hepatitis c serogroup 1 (genotype 1), or chronic hepatitis c serogroup 1 with compensated cirrhosis",<chronic hepatitis c>; <liver cirrhosis>,bristol-myers k.k.,bristol-myers,,asunaprevir,no,no,capsule,,na,PMDA
oral,27.03.2013,2013,authorised,japan,approved,30.04.2014,2014,infectious and parasitic diseases,000209024.pdf,small molecule,deltyba,multidrug-resistant pulmonary tuberculosis,<pulmonary tuberculosis>,no,multidrug-resistant pulmonary tuberculosis,<pulmonary tuberculosis>,"otsuka pharmaceutical co., ltd.",otsuka,,delamanid,no,yes,tablet,,na,PMDA
