Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency,DRUG_CODE
intravenous,,,approved,healthcanada,approved,2006-06-29,2006,diseases of the musculoskeletal system and connective tissue; diseases of the blood and blood-forming organs,,,biologics,orencia,"indications adult rheumatoid arthritis (ra) orencia (abatacept) is indicated in the treatment of rheumatoid arthritis for: 1. reducing signs and symptoms 2. inducing clinical responses orencia may be also used long -term, to inhibit the progression of structural damage, and improve physical function in adu lt patients with moderately to severely active rheumatoid arthritis who have had an inadequate response to one or more dmards or to tnf antagonists or to both. orencia may be administered by intravenous (iv) or subcutaneous (sc) route (see 4 dosage and administration ). it is expected, based on pharmacokinetic information, that the sc route of administration for orencia will be beneficial in the long -term (see 10 clinical pharmacology ). orencia may be used as monotherapy or in combination with dmard therapy. when used as first -line treatment in recently diagnosed patients who have not been previously treated with methotrexate (mtx), orencia should be given in combination with mtx. juvenile idiop athic arthritis (jia) /juvenile rheumatoid arthritis (jra) orencia administered by intravenous (iv) infusion is indicated for reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis/juvenile rheumatoid arthri tis in pediatric patients 6 years of age and older who have had an inadequate response to one or more dmards, such as mtx. orencia administered by intravenous (iv) infusion has not been studied in children less than 6 years of age. no data for the sc injection in children are available to health canada; therefore, health canada has not authorized an indication for sc pediatric use. adult psoriatic arthritis (psa) orencia is indicated for the treatment of adult patients with active psoriatic arthritis (psa) when the response to previous disease -modifying anti -rheumatic drug (dmard) therapy has been inadequate. orencia can be used with or without non -biologic dmards. prophylaxis for acute graft versus host disease orencia is indicated for the p rophylaxis of moderate to severe acute graft versus host disease (agvhd) , in combination with a calcineurin inhibitor and methotrexate, in adults and pediatric patients 6 years of age and older undergoing hematopoietic stem cell transplantation (hsct) from a matched or 1 allele - mismatched unrelated donor. orencia (abatacept) page 6 of 77 1.1 pediatrics (6 years of age and older) based on the data submitted and reviewed by health canada, the safety and efficacy of orencia in pediatric patients has been established. th erefore, health canada has authorized an indication for pediatric use (see 1 indications ). orencia is indicated for the treatment of pediatric patients with: • juvenile idiopathic arthritis/juvenile rheumatoid arthritis • prophylaxis of moderate to severe acute graft versus host disease (agvhd) in unrelated -dono r hematopoietic stem cell transplantation (hsct) 1.2 geriatrics eviden ce fr om clinical studies and experience suggests that use in the geriatric population is associated with differences in safety. 2",,,<rheumatoid arthritis>; <juvenile idiopathic arthritis>; <juvenile rheumatoid arthritis>; <psoriatic arthritis>; <graft vs host disease>,bristol-myers squibb canada,bristol-myers squibb,02282097,abatacept,,,powder,,,HealthCanada,76776.0
oral,,,authorised,fda,approved,2017-09-28,2017,neoplasms,<breast neoplasms>,,small molecule,verzenio,"1 indications and usage verzenio ® is a kinase inhibitor indicated: in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node-positive, early breast cancer at high risk of recurrence. ( 1.1 , 14.1 ) in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer. ( 1.2 ) in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. ( 1.2 ) as monotherapy for the treatment of adult patients with hr-positive, her2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting. ( 1.2 ) 1.1 early breast cancer verzenio ® (abemaciclib) is indicated: in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node-positive, early breast cancer at high risk of recurrence [see clinical studies ( 14.1 )]. 1.2 advanced or metastatic breast cancer verzenio (abemaciclib) is indicated: in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer. in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. as monotherapy for the treatment of adult patients with hr-positive, her2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting.",,,,eli lilly and co,eli lilly,nda208716,abemaciclib,no,no,tablet,,yes,FDA,
oral,,,approved,healthcanada,approved,2019-04-05,2019,neoplasms,,,small molecule,verzenio,"indications early breast cancer verzenio® (abemaciclib tablets ) is indicated in combination with endocrine therapy for the adjuvant treatment of adult patients with hormone receptor (hr) -positive, human epidermal growth factor receptor 2 (her2) -negative, node -positive, early breast cancer at high risk of disease recurrence based on clinicopathological features . advanced or metastatic breast cancer verzenio (abemaciclib tablets ) is indicated for the treatment of hormone receptor (hr) - positive, human epidermal growth factor receptor 2 (her2) -negative advanced or metastatic breast cancer. • in combination with an aromatase inhibitor in postmenopausal women as initial endocrine - based therapy. • in combination with fulvestrant in women with disease progression following endocrine therapy. pre - or perimenopausal women must also be treated with a gonadotropin -releasing hormone (gnrh) agonist. • as a single agent in women with disease progression following endocrine therapy and at least 2 prior chemotherapy regimens. at least one chemotherapy regimen should have been administered in the metastatic setting, and at least one should have contained a taxane. clinical effectiveness of verzenio in combination with an aromatase inhibitor is based on the benefit observed in patients treated with verzenio in combination with letrozole or anastrozole for the treatment of postmenopausal women with advanced breast can cer. 1.1 pediatrics pediatrics (<18 years of age): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics ( ≥65 years of age): overall, no differences in safety or effectiveness of verzenio were observed between patients ≥65 years of age and younger patients with early breast cancer or metastatic breast cancer. 2",,,<breast neoplasms>,eli lilly canada inc,eli lilly,02487098,abemaciclib,,,tablet,,,HealthCanada,97723.0
oral,,,authorised,fda,approved,2011-04-28,2011,neoplasms; diseases of the genitourinary system,<prostatic neoplasms>,,small molecule,zytiga,1 indications and usage zytiga is indicated in combination with prednisone for the treatment of patients with metastatic castration-resistant prostate cancer (crpc) metastatic high-risk castration-sensitive prostate cancer (cspc) zytiga is a cyp17 inhibitor indicated in combination with prednisone for the treatment of patients with metastatic castration-resistant prostate cancer (crpc). ( 1 ) metastatic high-risk castration-sensitive prostate cancer (cspc). ( 1 ),,,,janssen biotech,janssen,nda202379,abiraterone acetate,no,no,tablet,,yes,FDA,
oral,,,approved,healthcanada,approved,2011-07-27,2011,neoplasms; diseases of the genitourinary system,,,small molecule,zytiga,"indications zytiga® (abiraterone acetate) is indicated in combination with prednisone for:  the treatment of metastatic prostate cancer (castration -resistant prostate cancer, mcrpc) in patients who: o are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy o have received prior chemotherapy containing docetaxel after failure of androgen deprivation therapy zytiga® is also indicated in combination with prednisone and androgen deprivation therapy (adt) for:  the treatment of patients with newly diagnosed hormone -sensitive high -risk metastatic prostate cancer who may have received up to 3 months of prior adt. 1.1 pediatrics zytiga®® has not been studied in children. pediatrics ( ≤ 18 years ): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics : evidence from clinical studies and experience suggests that the use in the geriatric population is not associated with differences in safety o r effectiveness. 2 contraindicatio ns  patients who are hypersensitive to this drug or to any ingredient in the formulation or component of the container (see 7 warnings and precautions / hypersensitivity/anaphylactic reaction ). for a complete listing, see section 6 dosage forms, strengths, composition and packaging of the product monograph.  zytiga® is",,,<prostatic neoplasms>,janssen inc,janssen,02371065,abiraterone acetate,,,tablet,,,HealthCanada,85626.0
oral,,,approved,healthcanada,approved,2023-06-12,2023,neoplasms; diseases of the genitourinary system,,,small molecule,akeega,"indications prakeega ® (niraparib and abiraterone acetate) is indicated with prednisone or prednisolone for : the treatment of adult patients with deleterious or suspected deleterious brca mutated (germline and/or somatic) metastatic castration resistant prostate cancer (mcrpc) , who are asymptomatic/mildly symptomatic, and in whom chemotherapy is not clinically indicated . patients must have confirmation of brca mutation before akeega treatment is initiated. the efficacy of akeega in patients with visceral metastases is uncertain (see 14 clinical trials ). 1.1 pediatrics (<18 years of age) no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics (≥65 years of age) no overall differences in safety and efficacy of niraparib and abiraterone acetate combination therapy were observed between these patients and younger patients, however, greater sensitivity of some older individuals cannot be ruled out (see 7 warnings and precautions ). 2",,,<prostatic neoplasms>,janssen inc,janssen,02538555,abiraterone acetate; niraparib (niraparib tosylate),,,tablet,,,HealthCanada,102726.0
injection,,,authorised,fda,approved,2009-04-29,2009,,,,biologics,dysport,,,,,ipsen biopharm ltd,ipsen,bla125274,abobotulinumtoxina,no,no,injection,,no,FDA,
intramuscular,,,approved,healthcanada,approved,2012-06-12,2012,diseases of the skin; diseases of the eye and adnexa,,,biologics,dysport aesthetic,"indications dysport aesthetic (abobotulinumtoxina) is indicated for: • the temporary improvement in the appearance of • moderate to severe glabellar lines and/or • moderate to severe lateral canthal lines (crow’s feet) in adult patients < 65 years of age 1.1 pediatrics pediatrics (< 18 years of age): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years of age): no data are available to health canada; therefore, health canada has not authorized an indication for geriatric use. 2
---
indications and not reflected elsewhere in the product monograph include the following: table 5: adverse reactions reported during post -marketing without distinction of indication system organ class adverse drug reaction ear and labyrinth disorders vertigo eye disorders diplopia, dry eye gastrointestinal disorders dysphagia, nausea general disorders asthenia, malaise immune system disorders hypersensitivity investigations neutralizing antibodies dysport aesthetic® (abobotulinumtoxina) page 14 of 26 musculoskeletal and connective tissue disorders muscle atrophy nervous system disorders amyotrophy, burning sensation, dizziness, dysarthria hypoesthesia renal and urinary disorders urinary incontinence respiratory, thoracic and mediastinal disorders dysphonia, dyspnea skin and subcutaneous tissue disorders erythema, excessive granulation tissue, urticaria antibody formation to botulinum toxin has been noted in patients receiving dysport aesthetic . clinically, neutralizing antibodies might be suspected by a substantial deterioration in response to therapy and/or the need for consistent use of increased doses (see 7 warnings and precautions -immune ). adverse effects resulting from distribution of the effects of the toxin to sites remote from the site of injection have been very rarely reported. 9 drug interactions 9.2 drug interactions overview no specific interactions have been reported. no formal drug interaction studies have been conducted with dysport aesthetic . patients treated concomitantly with botulinum toxins and aminoglycosides or other agents interfering with neuromuscular transmission (e.g., curare -like agents) should be observed closely because the effect of the botulinum toxin may be potentiated. use of anticholinergic drugs after administration of dysport aesthetic may potentiate systemic anticholinergic effects such as blurred vision. the effect of administering different botulinum neurotoxin products at the same time or within several months of each other is unknown. excessive weakness may be exacerbated by another administration of botulinum toxin prior to the resolution of the effect s of a previously administered botulinum toxin. excessive weakness may also be exaggerated by administration of a muscle relaxant before or after administration of dysport aesthetic . 9.4 drug -drug interactions the drugs listed in this table are based on either drug interaction case reports or studies, or potential interactions due to the expected magnitude and seriousness of the interaction (i.e., those identified as",,,<glabellar lines>; <lateral canthal lines>,ipsen biopharmaceuticals canada inc,ipsen,02387735,abobotulinumtoxina,,,powder,,,HealthCanada,87332.0
oral,,,authorised,fda,approved,2022-01-14,2022,,,,small molecule,cibinqo,,,,,pfizer,pfizer,nda213871,abrocitinib,no,no,tablet,,yes,FDA,
oral,,,approved,healthcanada,approved,2022-06-29,2022,diseases of the skin,,,small molecule,cibinqo,"indications cibinqo (abrocitinib) is indicated for the treatment of patients 12 years and older with refractory moderate to severe atopic dermatitis, including the relief of pruritus, who have had an inadequate response to other systemic drugs (e.g. steroid or biologi c), or for whom these treatments are not advisable. cibinqo can be used with or without medicated topical therapies for atopic dermatitis. limitations of use: use of cibinqo in combination with other jak inhibitors, biologic immunomodulators, or potent immunosuppressants such as methotrexate and cyclosporine has not been studied and is not recommended (see 7 warnings and precautions, immune ). 1.1 pediatrics pediatrics (12 -17 years of age) : based on the data submitted and reviewed by health canada, the safety and efficacy of cibinqo in pediatric patients 12-17 years of age has been established for treatment of moderate to severe atopic dermatitis. pediatrics under 12 years of age : the safety and efficacy of cibinqo in pediatric patients under 12 years of age have not yet been established. therefore, health canada has not authorized an indication for pediatric use in pediatric patients under 12 years of age. 1.2 geriatrics geriatrics ≥65 years of age: caution should be used when treating geriatric patients with cibinqo. there are limited data in patients 75 years of age and older. clinical study results indicated that elderly patients were at increased risk for specific serious adverse events. (see 4.2 recommended dose and dosage adjustment , and 7.1.4 geriatrics ). 2",,,<atopic dermatitis>,pfizer canada ulc,pfizer,02528363,abrocitinib,,,tablet,,,HealthCanada,101760.0
oral,,,authorised,fda,approved,2017-10-31,2017,,,,small molecule,calquence,,,,,astrazeneca,astrazeneca,nda210259,acalabrutinib,no,yes,capsule,,yes,FDA,
oral,,,approved,healthcanada,approved,2019-08-23,2019,neoplasms; diseases of the blood and blood-forming organs,,,small molecule,calquence,"indications calquence (acalabrutinib ) is indicated :  in combination with obinutuzumab or as monotherapy for the treatment of patients with previously untreated chronic lymphocytic leukemia (cll)  as monotherapy for the treatment of patients with cll who have received at least one prior therapy  for the treatment of patients with mantle cell lymphoma (mcl) who have received at least one prior therapy. 1.1 pediatrics pediatrics (<18 years of age): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years of age): no clinically relevant differences in safety or efficacy were observed between patients ≥65 years and those younger than 65 years . see warnings and precautions, special populations. 2",,,<chronic lymphocytic leukemia>; <mantle cell lymphoma>,astrazeneca canada inc,astrazeneca,02491788,acalabrutinib,,,capsule,,,HealthCanada,98179.0
oral,,,approved,healthcanada,approved,2023-02-27,2023,neoplasms; diseases of the blood and blood-forming organs,,,small molecule,calquence,"indications chronic lympho cytic leukemia (cll) calquence® (acalabrutinib tablets) is indicated: • in combination with obinutuzumab or as monotherapy for the treatment of patients with previously untreated cll . • as monotherapy for the treatment of patients with cll who have received at least one prior therapy . mantle cell lymphoma (mcl) calquence is indicated: • in combination with bendamustine and rituximab for the treatment of adult patients with previously untreated mcl who are ineligible for autologous stem cell transplant . • as monotherapy for the treatment of patients with mcl who have received at least one prior therapy. 1.1. pediatrics pediatrics (<18 years of age) : no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2. geriatrics geriatrics (≥65 years of age) : no clinically relevant differences in safety or efficacy were observed between patients ≥65 years and those younger than 65 years. see 7.1 special populations . 2.",,,"<leukemia, lymphocytic, chronic, b-cell>; <lymphoma, mantle-cell>",astrazeneca canada inc,astrazeneca,02535696,acalabrutinib (acalabrutinib maleate),,,tablet,,,HealthCanada,102453.0
oral,,,authorised,fda,approved,2022-08-03,2022,neoplasms; diseases of the blood and blood-forming organs,<mantle cell lymphoma>; <chronic lymphocytic leukemia>; <small lymphocytic lymphoma>,,small molecule,calquence,1 indications and usage calquence is a kinase inhibitor indicated: • in combination with bendamustine and rituximab for the treatment of adult patients with previously untreated mantle cell lymphoma (mcl) who are ineligible for autologous hematopoietic stem cell transplantation (hsct). ( 1.1 ) • for the treatment of adult patients with mcl who have received at least one prior therapy. ( 1.2 ) • for the treatment of adult patients with chronic lymphocytic leukemia (cll) or small lymphocytic lymphoma (sll). ( 1.3 ) 1.1 previously untreated mantle cell lymphoma calquence in combination with bendamustine and rituximab is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma (mcl) who are ineligible for autologous hematopoietic stem cell transplantation (hsct). 1.2 previously treated mantle cell lymphoma calquence is indicated for the treatment of adult patients with mcl who have received at least one prior therapy. 1.3 chronic lymphocytic leukemia or small lymphocytic lymphoma calquence is indicated for the treatment of adult patients with chronic lymphocytic leukemia (cll) or small lymphocytic lymphoma (sll).,,,,astrazeneca,astrazeneca,nda216387,acalabrutinib maleate,no,yes,tablet,,yes,FDA,
oral,,,discontinued,fda,approved,2004-07-29,2004,,,,small molecule,campral,,,,,forest labs,forest,nda021431,acamprosate calcium,no,no,tablet,,yes,FDA,
oral,,,approved,healthcanada,approved,2007-03-16,2007,mental and behavioural disorders,,,small molecule,campral,"indications and clinical use adults campral® (acamprosate calcium) is indicated for the maintenance of abstinence from alcohol in patients with alcohol dependence w ho are abstinent at treatment initiation. treatment with campral® should be part of a comprehensive management program that includes counselling. the efficacy of campral ® in promoting abstinence has not been demonstrated in subjects who have not undergone detoxification and not ach ieved alcohol abstinen ce prior to beginning campral® treatment. the efficacy of campral® in promoting abstinence from alcohol in polysubstance abusers has not been adequately assessed. geriatrics (> 65 years of age): forty-one of the 4234 patients in double-blind, pl acebo-controlled, clinical trials of campral were 65 years of age or older. there were too few patients in th is age group to evaluate any differences in safety or efficacy in geriatric patients compared to younger patients. however, since renal function diminishes in elderly patients and acamprosate is excreted unchanged in urine, acamprosate plasma concentr ations are likely to be higher in the elderly population compared to younger adults. (see warnings and precautions , special populations , geriatrics .) product monograph - campral page 4 of 22 pediatrics (< 18 years of age): the safety and efficacy of campral have not been established in the pediatric population.",,,<alcohol-related disorders>,mylan pharmaceuticals ulc,mylan,02293269,acamprosate calcium,,,tablet,,,HealthCanada,77863.0
oral,,,discontinued,fda,approved,1995-09-06,1995,,,,small molecule,precose,,,,,bayer hlthcare,bayer,nda020482,acarbose,no,no,tablet,,yes,FDA,
oral,,,approved,healthcanada,approved,2019-11-08,2019,"endocrine, nutritional, and metabolic diseases",,,small molecule,mint-acarbose,"indications and clinical use • mint -acarbose (acarbose), as monotherapy, is indicated as an adjunct to prescribed diet for the management of blood glucose levels in patients with type 2 diabetes mellitus who are inadequately controlled by diet alone. • mint -acarbose may also be used in combination with either a sulfonylurea, metformin or insulin to improve glycemic control in patients with type 2 diabetes mellitus, who are inadequately controlled on diet, exercise and either a sulfonylurea, metformin or insulin alone. the effect of mint -acarbose in enhancing glycemic control is additive to that of sulfonylureas, metformin or insulin when used in combination, because of its different mechanism of action. in initiating treatment for type 2 diabetes mellitus, diet should be emphasized as the primary form of treatment. caloric restriction and weight loss are essential in the obese diabetic patient. proper dietary management alone may be effective in controlling blood glucose and symptoms of hyperglycemia. the importance of regular physical activity when appropriate should also be stressed. if this treatment program fails to result in adequate glycemic control, the use of mint - acarbose should be considered. the use of mint -acarbose must be viewed by both the physician and patient as a treatment in addition to diet, and not as a substitute for diet or as a convenient mechanism for avoiding dietary restraint. mint -acarbose should be considered as complementary to dietary therapy and physical exercise before resorting to other forms of treatment, such as oral hypoglycemics. pediatrics (<18 years of age) page 4 of 26 safety and effectiveness of acarbose in patients <18 years of age have not been established. geriatrics elderly patients receiving mint -acarbose may require more intensive supervision and follow - up.",,,<type 2 diabetes mellitus>,mint pharmaceuticals inc,mint,02493780,acarbose,,,tablet,,,HealthCanada,98378.0
oral,,,approved,healthcanada,marketed,1995-12-31,1995,diseases of the circulatory system,,,small molecule,apo-acebutolol,"indications and clinical use apo-acebutolol is indicated for the following:  treatment of mild to moderate hypertension.  long-term management of patients with angina pectoris due to ischemic heart disease. treatment of mild to moderate hypertension: apo-acebutolol is usually used in combinati on with other drugs, particularly a thiazide diuretic. however, it may be tried alone as an initial agent in those patients in whom, in the judgment of the physician, treatment should be started with a β-blocker rather than a diuretic. in patients with severe hypertension a β-adrenergic blocking agent may be used as part of a multiple drug regimen which would normally incl ude a diuretic and a vasodilator. the combination of acebutolol wi th a diuretic or peripheral va sodilator has been found to be compatible and generally more effective than acebutolol alone. limite d experience with other antihypertensive agents has not sh own evidence of incompatibility. apo-acebutolol is not indicated in the em ergency treatment of hypertensive crises. geriatrics: acebutolol has been used in the elderl y without specific adjustment of dosage. apo-acebutolol product monograph page 4 of 34 however, this patient population may require lowe r maintenance doses because the bioavailability of both acebutolol hydrochloride and its metabol ite are approximately doubled in this age group. this increased bioavailability is probably due to decreases in first-pass metabolism and renal function in the elderly (see warnings and precautions, special populations). pediatrics: there is no experience with acebutolol in the treatment of pediatric age groups and therefore use in children is not recomme nded (see warnings and precautions, special populations).",,,<hypertension>; <angina pectoris>; <ischemic heart disease>,apotex inc,apotex,02147602,acebutolol (acebutolol hydrochloride),,,tablet,,,HealthCanada,17826.0
oral,,,discontinued,fda,approved,1995-04-24,1995,,,,small molecule,acebutolol hydrochloride,,,,,norvium bioscience,norvium,anda074288,acebutolol hydrochloride,yes,no,capsule,,no,FDA,
oral,,,discontinued,fda,approved,1995-06-01,1995,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,mallinckrodt,mallinckrodt,anda040084,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,approved,healthcanada,marketed,1995-12-31,1995,,,,small molecule,acetaminophen caplets 325 mg,,,,,laboratoires trianon inc.,trianon,01977415,acetaminophen,,,tablet,,,HealthCanada,19418.0
oral; oral,,,authorised,fda,approved,2003-08-21,2003,,,,small molecule,"butalbital, acetaminophen, caffeine and codeine phosphate; butalbital; acetaminophen; caffeine; codeine",,,,,able,not reported,anda076528,acetaminophen; butalbital,yes,no,capsule; capsule,,no,FDA,
oral,,,approved,healthcanada,approved,2024-01-17,2024,,,,small molecule,extra strength tylenol daytime relief,,,,,mcneil consumer healthcare division of johnson & johnson inc,johnson & johnson,02544687,acetaminophen; caffeine,,,tablet,,,HealthCanada,103325.0
oral,,,approved,healthcanada,marketed,2006-06-22,2006,,,,small molecule,midol complete,,,,,bayer inc,bayer,02275201,acetaminophen; caffeine; pyrilamine maleate,,,tablet,,,HealthCanada,76086.0
oral,,,approved,healthcanada,marketed,2008-09-01,2008,,,,small molecule,benylin for children all-in-one cold & fever,,,,,mcneil consumer healthcare division of johnson & johnson inc,johnson & johnson,02305496,acetaminophen; chlorpheniramine maleate; dextromethorphan hydrobromide; pseudoephedrine hydrochloride,,,suspension,,,HealthCanada,79105.0
