MA_Number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Non-clinical_abridged,Referral,Orphan_drug_status
ANDA076222,"1 INDICATIONS AND USAGE Ganciclovir for Injection, USP is a deoxynucleoside analogue cytomegalovirus (CMV) DNA polymerase inhibitor indicated for the: treatment of CMV retinitis in immunocompromised adult patients, including patients with acquired immunodeficiency syndrome (AIDS). ( 1.1 ) prevention of CMV disease in adult transplant recipients at risk for CMV disease. ( 1.2 ) 1.1 Treatment of CMV Retinitis Ganciclovir for Injection, USP is indicated for the treatment of cytomegalovirus (CMV) retinitis in immunocompromised adult patients, including patients with acquired immunodeficiency syndrome (AIDS) [see Clinical Studies ( 14.1 )] . 1.2 Prevention of CMV Disease in Transplant Recipients Ganciclovir for Injection, USP is indicated for the prevention of CMV disease in adult transplant recipients at risk for CMV disease [see Clinical Studies ( 14.2 )].",FDA,GANCICLOVIR SODIUM,GANCICLOVIR SODIUM,HIKMA,INJECTABLE,INJECTION,Approved,16.07.2003,2003,authorised,yes,No,No
ANDA076223,,FDA,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,SANDOZ,"TABLET, EXTENDED RELEASE",ORAL,Approved,14.12.2004,2004,Discontinued,yes,No,No
ANDA076224,,FDA,FLUTAMIDE,FLUTAMIDE,NORVIUM BIOSCIENCE,CAPSULE,ORAL,Approved,09.05.2003,2003,Discontinued,yes,No,No
ANDA076225,"INDICATIONS AND USAGE 1. Indications Progestin-only oral contraceptives are indicated for the prevention of pregnancy. 2. Efficacy If used perfectly, the first-year failure rate for progestin-only oral contraceptives is 0.3%. However, the typical failure rate is estimated to be closer to 9%, due to late or omitted pills. Table 1 lists the pregnancy rates for users of all major methods of contraception. Table 1: Percentage of Women Experiencing an Unintended Pregnancy During the First Year of Typical Use and the First Year of Perfect Use of Contraception and the Percentage Continuing Use at the End of the First Year. United States. % of Women Experiencing an Unintended Pregnancy within the First Year of Use % of Women Continuing Use at One Year Among couples attempting to avoid pregnancy, the percentage who continue to use a method for 1 year. Method (1) Typical Use Among typical couples who initiate use of a method (not necessarily for the first time), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. Estimates of the probability of pregnancy during the first year of typical use for spermicides, withdrawal, fertility awareness-based methods, the diaphragm, the male condom, the oral contraceptive pill, and Depo-Provera are taken from the 1995 National Survey of Family Growth corrected for underreporting of abortion; see the text for the derivation of estimates for the other methods. (2) Perfect Use Among couples who initiate use of a method (not necessarily for the first time) and who use it perfectly (both consistently and correctly), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. See the text for the derivation of the estimate for each method. (3) (4) Emergency Contraception: Emergency contraceptive pills or insertion of a copper intrauterine contraceptive after unprotected intercourse substantially reduces the risk of pregnancy. ella, Plan B One-Step and Next Choice are the only dedicated products specifically marketed for emergency contraception. The label for Plan B One-Step (one dose is 1 white pill) says to take the pill within 72 hours after unprotected intercourse. Research has shown that all of the brands listed here are effective when used within 120 hours after unprotected sex. The label for Next Choice (one dose is 1 peach pill) says to take 1 pill within 72 hours after unprotected intercourse and another pill 12 hours later. Research has shown that both pills can be taken at the same time with no decrease in efficacy or increase in side effects and that they are effective when used within 120 hours after unprotected sex. The FDA has in addition declared the following 19 brands of oral contraceptives to be safe and effective for emergency contraception: Ogestrel (1 dose is 2 white pills), Nordette (1 dose is 4 light-orange pills), Cryselle, Levora, Low-Ogestrel, Lo/Ovral, or Quasence (1 dose is 4 white pills), Jolessa, Portia, Seasonale or Trivora (1 dose is 4 pink pills), Seasonique (1 dose is 4 light-blue-green pills), Enpresse (one dose is 4 orange pills), Lessina (1 dose is 5 pink pills), Aviane or LoSeasonique (one dose is 5 orange pills), Lutera or Sronyx (one dose is 5 white pills), and Lybrel (one dose is 6 yellow pills). (See Chapter 6). Lactational Amenorrhea Method: LAM is highly effective, temporary method of contraception. However, to maintain effective protection against pregnancy, another method of contraception must be used as soon as menstruation resumes, the frequency or duration of breastfeeds is reduced, bottle feeds are introduced, or the baby reaches 6 months of age. (See Chapter 18). Source: Trussell J, Contraceptive Efficacy. In Hatcher RA, Trussell J, Nelson AL, Cates W, Kowal D, Policar M. Contraceptive Technology: Twentieth Revised Edition. New York NY: Ardent Media, 2011. Notes: No Method The percentages becoming pregnant in columns (2) and (3) are based on data from populations where contraception is not used and from women who cease using contraception in order to become pregnant. Among such populations, about 89% become pregnant within 1 year. This estimate was lowered slightly (to 85%) to represent the percentage who would become pregnant within 1 year among women now relying on reversible methods of contraception if they abandoned contraception altogether. 85 85 Spermicides Foams, creams, gels, vaginal suppositories, and vaginal film. 28 18 42 Fertility awareness-based methods 24 47 Standard Days method The Ovulation and TwoDay methods are based on evaluation of cervical mucus. The Standard Days method avoids intercourse on cycle days 8 through 19. The Symptothermal method is a double-check method based on evaluation of cervical mucus to determine the first fertile day and evaluation of cervical mucus and temperature to determine the last fertile day. 5 Two Day Method 4 Ovulation method 3 Symptothermal method 0.4 Withdrawal 22 4 46 Sponge 36 Parous Women 24 20 Nulliparous Women 12 9 Condom Without spermicides. Female (fc) 21 5 41 Male 18 2 43 Diaphragm With spermicidal cream or jelly. 12 6 57 Combined pill and progestin-only pill 9 0.3 67 norelgestromin and ethinyl estradiol patch 9 0.3 67 NuvaRing 9 0.3 67 Depo-Provera 6 0.2 56 Intrauterine contraceptives ParaGard(copper T) 0.8 0.6 78 Mirena (LNg) 0.2 0.2 80 Implanon 0.05 0.05 84 Female Sterilization 0.5 0.5 100 Male Sterilization 0.15 0.10 100 Errin ® Tablets have not been studied for and are not indicated for use in emergency contraception.",FDA,ERRIN,NORETHINDRONE,DR REDDYS LABS SA,TABLET,ORAL-28,Approved,21.10.2002,2002,authorised,yes,No,No
ANDA076226,,FDA,TORSEMIDE,TORSEMIDE,STRIDES PHARMA,TABLET,ORAL,Approved,27.05.2003,2003,authorised,yes,No,No
ANDA076228,,FDA,RISPERIDONE,RISPERIDONE,HERITAGE PHARMA AVET,TABLET,ORAL,Approved,30.06.2008,2008,Discontinued,yes,No,No
ANDA076229,INDICATIONS AND USAGE Topical corticosteroids are indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.,FDA,AMCINONIDE,AMCINONIDE,TARO PHARM INDS,CREAM,TOPICAL,Approved,31.05.2002,2002,authorised,yes,No,No
ANDA076230,,FDA,LISINOPRIL AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,PRINSTON INC,TABLET,ORAL,Approved,01.07.2002,2002,authorised,yes,No,No
ANDA076231,,FDA,OFLOXACIN,OFLOXACIN,SANDOZ,SOLUTION/DROPS,OPHTHALMIC,Approved,14.05.2004,2004,Discontinued,yes,No,No
ANDA076232,,FDA,AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE,EPIC PHARMA LLC,INJECTABLE,INJECTION,Approved,05.07.2006,2006,Discontinued,yes,No,No
ANDA076233,,FDA,PACLITAXEL,PACLITAXEL,HOSPIRA,INJECTABLE,INJECTION,Approved,01.08.2002,2002,Discontinued,yes,No,No
ANDA076234,,FDA,FLAVOXATE HYDROCHLORIDE,FLAVOXATE HYDROCHLORIDE,IMPAX PHARMS,TABLET,ORAL,Approved,28.08.2003,2003,Discontinued,yes,No,No
ANDA076235,,FDA,CARBOPLATIN,CARBOPLATIN,FRESENIUS KABI USA,INJECTABLE,INJECTION,Approved,14.10.2004,2004,Discontinued,yes,No,No
ANDA076236,,FDA,FEXOFENADINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,BARR,"TABLET, EXTENDED RELEASE",ORAL,Approved,14.04.2005,2005,Discontinued,yes,No,No
ANDA076237,,FDA,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,BARR,"CAPSULE, DELAYED REL PELLETS",ORAL,Approved,24.03.2010,2010,Discontinued,yes,No,No
ANDA076238,,FDA,BALZIVA-28,ETHINYL ESTRADIOL,BARR,TABLET,ORAL-28,Approved,22.04.2004,2004,authorised,yes,No,No
ANDA076239,,FDA,THEROXIDIL,MINOXIDIL,PURE SOURCE,SOLUTION,TOPICAL,Approved,24.08.2004,2004,authorised,yes,No,No
ANDA076240,,FDA,QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE,APOTEX INC,TABLET,ORAL,Approved,26.01.2006,2006,Discontinued,yes,No,No
ANDA076241,,FDA,MIRTAZAPINE,MIRTAZAPINE,ACTAVIS ELIZABETH,TABLET,ORAL,Approved,25.06.2003,2003,Discontinued,yes,No,No
ANDA076242,,FDA,CALCITRIOL,CALCITRIOL,HIKMA,SOLUTION,ORAL,Approved,18.07.2003,2003,authorised,yes,No,No
ANDA076243,,FDA,LITHIUM CARBONATE,LITHIUM CARBONATE,NORVIUM BIOSCIENCE,CAPSULE,ORAL,Approved,27.06.2002,2002,Discontinued,yes,No,No
ANDA076244,,FDA,MIRTAZAPINE,MIRTAZAPINE,IVAX SUB TEVA PHARMS,TABLET,ORAL,Approved,22.12.2003,2003,Discontinued,yes,No,No
ANDA076246,,FDA,FLUCONAZOLE,FLUCONAZOLE,HIKMA,FOR SUSPENSION,ORAL,Approved,29.07.2004,2004,Discontinued,yes,No,No
ANDA076249,,FDA,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,IMPAX LABS,"TABLET, EXTENDED RELEASE",ORAL,Approved,30.07.2004,2004,Discontinued,yes,No,No
ANDA076250,,FDA,NIACIN,NIACIN,BARR,"TABLET, EXTENDED RELEASE",ORAL,Approved,14.04.2005,2005,authorised,yes,No,No
ANDA076251,,FDA,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,BARR,CAPSULE,ORAL,Approved,18.05.2005,2005,Discontinued,yes,No,No
ANDA076252,,FDA,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,TEVA,TABLET,ORAL,Approved,25.06.2007,2007,Discontinued,yes,No,No
ANDA076254,"1 INDICATIONS AND USAGE Brimonidine tartrate ophthalmic solution, 0.2% is indicated for lowering intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension. The IOP lowering efficacy of brimonidine tartrate ophthalmic solution diminishes over time in some patients. This loss of effect appears with a variable time of onset in each patient and should be closely monitored. Brimonidine tartrate ophthalmic solution, 0.2% is an alpha adrenergic agonist indicated for lowering intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension. ( 1 )",FDA,BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,SANDOZ,SOLUTION/DROPS,OPHTHALMIC,Approved,16.09.2003,2003,authorised,yes,No,No
ANDA076255,,FDA,OLANZAPINE,OLANZAPINE,DR REDDYS LABS LTD,TABLET,ORAL,Approved,23.04.2012,2012,authorised,yes,No,No
ANDA076256,,FDA,FLUMAZENIL,FLUMAZENIL,HIKMA,INJECTABLE,INJECTION,Approved,12.10.2004,2004,authorised,yes,No,No
ANDA076257,,FDA,GLYBURIDE,GLYBURIDE,EPIC PHARMA LLC,TABLET,ORAL,Approved,27.06.2002,2002,authorised,yes,No,No
ANDA076258,"1 INDICATIONS AND USAGE Fentanyl transdermal system is indicated for the management of severe and persistent pain in opioid tolerant patients, that requires an extended treatment period with a daily opioid analgesic and for which alternative treatment options are inadequate. Patients considered opioid-tolerant are those who are taking, for one week or longer, at least 60 mg morphine per day, 25 mcg transdermal fentanyl per hour, 30 mg oral oxycodone per day, 8 mg oral hydromorphone per day, 25 mg oral oxymorphone per day, 60 mg oral hydrocodone per day, or an equianalgesic dose of another opioid. Limitations of Use: • Because of the risks of addiction, abuse, and misuse with opioids, which can occur at any dosage or duration, and because of the greater risks of overdose and death with extended-release/long-acting opioid formulations [see Warnings and Precautions (5.1) ] , reserve fentanyl transdermal system for use in patients for whom alternative treatment options (e.g., non-opioid analgesics or immediate-release opioids) are ineffective, not tolerated or would be otherwise inadequate to provide sufficient management of pain. • Fentanyl transdermal system is not indicated as an as-needed (prn) analgesic. Fentanyl transdermal system contains fentanyl, an opioid agonist, and is indicated for the management of severe and persistent pain in opioid tolerant patients, that requires an extended treatment period with a daily opioid analgesic and for which alternative treatment options are inadequate. ( 1 ) Patients considered opioid-tolerant are those taking, for one week or longer, at least 60 mg oral morphine per day, 25 mcg transdermal fentanyl per hour, 30 mg oral oxycodone per day, 8 mg oral hydromorphone per day, 25 mg oral oxymorphone per day, 60 mg oral hydrocodone per day, or an equianalgesic dose of another opioid. ( 2.1 ) Limitations of use: • Because of the risks of addiction, abuse, and misuse with opioids, which can occur at any dosage or duration, and because of the greater risks of overdose and death with extended-release/long-acting opioid formulations ( 5.1 ) , reserve fentanyl transdermal system for use in patients for whom alternative treatment options (e.g., non-opioid analgesics or immediate-release opioids) are ineffective, not tolerated or would be otherwise inadequate to provide sufficient management of pain. ( 1 ) • Fentanyl transdermal system is not indicated as an as-needed (prn) analgesic.",FDA,FENTANYL-100; FENTANYL-12; FENTANYL-25; FENTANYL-37; FENTANYL-50; FENTANYL-62; FENTANYL-75; FENTANYL-87,FENTANYL,MYLAN TECHNOLOGIES,"FILM, EXTENDED RELEASE",TRANSDERMAL,Approved,28.01.2005,2005,authorised,yes,No,No
ANDA076259,,FDA,MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,MILRINONE LACTATE,BAXTER HLTHCARE,INJECTABLE,INJECTION,Approved,08.08.2002,2002,Discontinued,yes,No,No
ANDA076260,,FDA,BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,BAUSCH AND LOMB,SOLUTION/DROPS,OPHTHALMIC,Approved,28.05.2003,2003,authorised,yes,No,No
ANDA076262,,FDA,LISINOPRIL AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,SANDOZ,TABLET,ORAL,Approved,01.07.2002,2002,authorised,yes,No,No
ANDA076263,,FDA,DIFLORASONE DIACETATE,DIFLORASONE DIACETATE,ANI PHARMS,CREAM,TOPICAL,Approved,20.12.2002,2002,Discontinued,yes,No,No
ANDA076264,,FDA,NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,SPECGX LLC,TABLET,ORAL,Approved,22.03.2002,2002,authorised,yes,No,No
ANDA076265,,FDA,LISINOPRIL AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,HIKMA INTL PHARMS,TABLET,ORAL,Approved,08.07.2002,2002,Discontinued,yes,No,No
ANDA076266,,FDA,DOXAPRAM HYDROCHLORIDE,DOXAPRAM HYDROCHLORIDE,CHARTWELL INJECTABLE,INJECTABLE,INJECTION,Approved,10.01.2003,2003,authorised,yes,No,No
ANDA076267,,FDA,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,HERITAGE PHARMA,TABLET,ORAL,Approved,11.02.2004,2004,authorised,yes,No,No
ANDA076268,,FDA,DIGOXIN,DIGOXIN,STEVENS J,TABLET,ORAL,Approved,26.07.2002,2002,authorised,yes,No,No
ANDA076269,,FDA,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,TEVA,"TABLET, EXTENDED RELEASE",ORAL,Approved,18.06.2004,2004,authorised,yes,No,No
ANDA076270,,FDA,MIRTAZAPINE,MIRTAZAPINE,ROXANE,TABLET,ORAL,Approved,19.06.2003,2003,Discontinued,yes,No,No
ANDA076271,,FDA,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,SANDOZ,INJECTABLE,INJECTION,Approved,06.10.2004,2004,authorised,yes,No,No
ANDA076273,"1 INDICATIONS AND USAGE Clopidogrel tablets are a P2Y 12 platelet inhibitor indicated for: Acute coronary syndrome - For patients with non-ST-segment elevation ACS [unstable angina (UA)/non-ST-elevation myocardial infarction (NSTEMI)], clopidogrel tablets have been shown to reduce the rate of myocardial infarction (MI) and stroke. (1.1) - For patients with ST-elevation myocardial infarction (STEMI), clopidogrel tablets have been shown to reduce the rate of MI and stroke. (1.1) Recent MI, recent stroke, or established peripheral arterial disease. Clopidogrel tablets have been shown to reduce the rate of MI and stroke. (1.2) 1.1 Acute Coronary Syndrome (ACS) Clopidogrel tablets are indicated to reduce the rate of myocardial infarction (MI) and stroke in patients with non-ST-segment elevation ACS [unstable angina (UA)/non-ST-elevation myocardial infarction (NSTEMI)], including patients who are to be managed medically and those who are to be managed with coronary revascularization. Clopidogrel tablets should be administered in conjunction with aspirin. Clopidogrel tablets are indicated to reduce the rate of myocardial infarction and stroke in patients with acute ST-elevation myocardial infarction (STEMI) who are to be managed medically. Clopidogrel tablets should be administered in conjunction with aspirin. 1.2 Recent MI, Recent Stroke, or Established Peripheral Arterial Disease In patients with established peripheral arterial disease or with a history of recent myocardial infarction (MI) or recent stroke clopidogrel tablets are indicated to reduce the rate of MI and stroke.",FDA,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,DR REDDYS,TABLET,ORAL,Approved,14.01.2008,2008,authorised,yes,No,No
ANDA076274,,FDA,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,APOTEX INC,TABLET,ORAL,Approved,04.03.2014,2014,authorised,yes,No,No
ANDA076276,,FDA,LEVOFLOXACIN,LEVOFLOXACIN,NATCO PHARMA,TABLET,ORAL,Approved,20.06.2011,2011,Discontinued,yes,No,No
ANDA076277,,FDA,RIBAVIRIN,RIBAVIRIN,TEVA,CAPSULE,ORAL,Approved,04.10.2004,2004,Discontinued,yes,No,No
ANDA076278,,FDA,FLECAINIDE ACETATE,FLECAINIDE ACETATE,HIKMA,TABLET,ORAL,Approved,14.01.2003,2003,authorised,yes,No,No
ANDA076280,,FDA,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,CHARTWELL RX,TABLET,ORAL,Approved,27.06.2002,2002,Discontinued,yes,No,No
ANDA076281,,FDA,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,OXFORD PHARMS,TABLET,ORAL,Approved,20.10.2003,2003,authorised,yes,No,No
ANDA076282,,FDA,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,AUROBINDO PHARMA USA,TABLET,ORAL,Approved,16.12.2003,2003,Discontinued,yes,No,No
ANDA076283,,FDA,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,ANI PHARMS,TABLET,ORAL,Approved,12.07.2002,2002,Discontinued,yes,No,No
ANDA076284,,FDA,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,ANI PHARMS,TABLET,ORAL,Approved,03.07.2002,2002,Discontinued,yes,No,No
ANDA076285,,FDA,SIMVASTATIN,SIMVASTATIN,SUN PHARM INDS LTD,TABLET,ORAL,Approved,23.06.2006,2006,Discontinued,yes,No,No
ANDA076286,,FDA,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,DR REDDYS LABS INC,TABLET,ORAL,Approved,03.07.2002,2002,authorised,yes,No,No
ANDA076287,,FDA,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,ANI PHARMS,CAPSULE,ORAL,Approved,20.05.2008,2008,Discontinued,yes,No,No
ANDA076288,,FDA,RISPERIDONE,RISPERIDONE,DASH PHARMS,TABLET,ORAL,Approved,15.09.2008,2008,Discontinued,yes,No,No
ANDA076290,,FDA,LIDOCAINE AND PRILOCAINE,LIDOCAINE,HIKMA,CREAM,TOPICAL,Approved,25.09.2003,2003,Discontinued,yes,No,No
ANDA076291,,FDA,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,WATSON LABS,SOLUTION,INHALATION,Approved,09.05.2005,2005,Discontinued,yes,No,No
ANDA076294,"INDICATIONS AND USAGE Ketoconazole Cream 2% is indicated for the topical treatment of tinea corporis, tinea cruris and tinea pedis caused by Trichophyton rubrum, T. mentagrophytes and Epidermophyton floccosum; in the treatment of tinea (pityriasis) versicolor caused by Malassezia furfur (Pityrosporum orbiculare) ; in the treatment of cutaneous candidiasis caused by Candida spp. and in the treatment of seborrheic dermatitis.",FDA,KETOCONAZOLE,KETOCONAZOLE,FOUGERA PHARMS,CREAM,TOPICAL,Approved,28.04.2004,2004,authorised,yes,No,No
ANDA076295,,FDA,VALPROATE SODIUM,VALPROATE SODIUM,SAGENT,INJECTABLE,INJECTION,Approved,14.11.2002,2002,authorised,yes,No,No
ANDA076296,,FDA,VINCRISTINE SULFATE,VINCRISTINE SULFATE,FRESENIUS KABI USA,INJECTABLE,INJECTION,Approved,20.12.2002,2002,Discontinued,yes,No,No
ANDA076298,,FDA,FEXOFENADINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,IMPAX PHARMS,"TABLET, EXTENDED RELEASE",ORAL,Approved,12.11.2010,2010,Discontinued,yes,No,No
ANDA076299,,FDA,AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE,BEDFORD LABS,INJECTABLE,INJECTION,Approved,24.10.2002,2002,Discontinued,yes,No,No
ANDA076300,,FDA,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,CHARTWELL RX,OINTMENT,TOPICAL,Approved,14.05.2004,2004,Discontinued,yes,No,No
ANDA076301,,FDA,LORATADINE,LORATADINE,PERRIGO,TABLET,ORAL,Approved,25.06.2004,2004,authorised,yes,No,No
ANDA076302,,FDA,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE,CHARTWELL RX,TABLET,ORAL,Approved,16.09.2003,2003,Discontinued,yes,No,No
ANDA076303,,FDA,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,FLUCONAZOLE,HOSPIRA,INJECTABLE,INJECTION,Approved,29.07.2004,2004,authorised,yes,No,No
ANDA076304,,FDA,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,FLUCONAZOLE,HOSPIRA,INJECTABLE,INJECTION,Approved,29.07.2004,2004,Discontinued,yes,No,No
ANDA076306,,FDA,TOPIRAMATE,TOPIRAMATE,ROXANE,TABLET,ORAL,Tentative Approval,08.09.2003,2003,Discontinued,yes,No,No
ANDA076307,,FDA,MIRTAZAPINE,MIRTAZAPINE,ACTAVIS LABS FL INC,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,17.12.2003,2003,Discontinued,yes,No,No
ANDA076308,,FDA,MIRTAZAPINE,MIRTAZAPINE,ACTAVIS ELIZABETH,TABLET,ORAL,Approved,20.06.2003,2003,Discontinued,yes,No,No
ANDA076309,,FDA,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE,DR REDDYS LABS INC,TABLET,ORAL,Approved,16.09.2003,2003,Discontinued,yes,No,No
ANDA076310,,FDA,CABERGOLINE,CABERGOLINE,STRIDES PHARMA,TABLET,ORAL,Approved,29.12.2005,2005,authorised,yes,No,No
ANDA076311,,FDA,TOPIRAMATE,TOPIRAMATE,ACCORD HLTHCARE,TABLET,ORAL,Approved,27.03.2009,2009,authorised,yes,No,No
ANDA076312,,FDA,MIRTAZAPINE,MIRTAZAPINE,WATSON LABS,TABLET,ORAL,Approved,19.06.2003,2003,Discontinued,yes,No,No
ANDA076313,,FDA,OCTREOTIDE ACETATE (PRESERVATIVE FREE),OCTREOTIDE ACETATE,WEST-WARD PHARMS INT,INJECTABLE,INJECTION,Approved,28.03.2005,2005,authorised,yes,No,No
ANDA076314,,FDA,TOPIRAMATE,TOPIRAMATE,NATCO,TABLET,ORAL,Approved,27.03.2009,2009,Discontinued,yes,No,No
ANDA076315,,FDA,TOPIRAMATE,TOPIRAMATE,BARR,TABLET,ORAL,Tentative Approval,05.01.2004,2004,Discontinued,yes,No,No
ANDA076316,,FDA,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SODIUM CHLORIDE,HAEMONETICS,INJECTABLE,INJECTION,Approved,27.10.2004,2004,authorised,yes,No,No
ANDA076317,,FDA,TOPIRAMATE,TOPIRAMATE,TEVA,TABLET,ORAL,Approved,27.03.2009,2009,Discontinued,yes,No,No
ANDA076318,,FDA,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,IMPAX LABS,"TABLET, EXTENDED RELEASE",ORAL,Tentative Approval,04.09.2003,2003,None (Tentative Approval),yes,No,No
ANDA076320,,FDA,LIDOCAINE AND PRILOCAINE,LIDOCAINE,ENCUBE,CREAM,TOPICAL,Approved,27.08.2003,2003,authorised,yes,No,No
ANDA076321,,FDA,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,ANI PHARMS,TABLET,ORAL,Approved,30.09.2004,2004,Discontinued,yes,No,No
ANDA076322,,FDA,FAMOTIDINE PRESERVATIVE FREE (PHARMACY BULK),FAMOTIDINE,EPIC PHARMA LLC,INJECTABLE,INJECTION,Approved,27.11.2002,2002,Discontinued,yes,No,No
ANDA076323,,FDA,ESMOLOL HYDROCHLORIDE,ESMOLOL HYDROCHLORIDE,HIKMA,INJECTABLE,INJECTION,Approved,10.08.2004,2004,authorised,yes,No,No
ANDA076324,,FDA,FAMOTIDINE PRESERVATIVE FREE,FAMOTIDINE,EPIC PHARMA LLC,INJECTABLE,INJECTION,Approved,27.11.2002,2002,Discontinued,yes,No,No
ANDA076327,,FDA,TOPIRAMATE,TOPIRAMATE,SUN PHARM INDS LTD,TABLET,ORAL,Approved,27.03.2009,2009,Discontinued,yes,No,No
ANDA076328,,FDA,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,TEVA,TABLET,ORAL,Approved,16.12.2002,2002,Discontinued,yes,No,No
ANDA076329,,FDA,AMCINONIDE,AMCINONIDE,SOLUBIOMIX,LOTION,TOPICAL,Approved,06.11.2002,2002,authorised,yes,No,No
ANDA076330,,FDA,OCTREOTIDE ACETATE,OCTREOTIDE ACETATE,WEST-WARD PHARMS INT,INJECTABLE,INJECTION,Approved,08.04.2005,2005,authorised,yes,No,No
ANDA076332,,FDA,FLUCONAZOLE,FLUCONAZOLE,SUN PHARM INDS LTD,FOR SUSPENSION,ORAL,Approved,29.07.2004,2004,Discontinued,yes,No,No
ANDA076333,,FDA,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,ANI PHARMS,TABLET,ORAL,Approved,11.02.2004,2004,authorised,yes,No,No
ANDA076334,,FDA,PREVIFEM,ETHINYL ESTRADIOL,ENDO OPERATIONS,TABLET,ORAL-28,Approved,09.01.2004,2004,authorised,yes,No,No
ANDA076335,,FDA,TRI-PREVIFEM,ETHINYL ESTRADIOL,ENDO OPERATIONS,TABLET,ORAL-28,Approved,26.03.2004,2004,Discontinued,yes,No,No
ANDA076336,,FDA,MIRTAZAPINE,MIRTAZAPINE,ACTAVIS LABS FL INC,TABLET,ORAL,Approved,20.06.2003,2003,Discontinued,yes,No,No
ANDA076337,,FDA,CYCLAFEM 1/35,ETHINYL ESTRADIOL,ENDO OPERATIONS,TABLET,ORAL-28,Approved,12.11.2010,2010,Discontinued,yes,No,No
ANDA076338,,FDA,CYCLAFEM 7/7/7,ETHINYL ESTRADIOL,ENDO OPERATIONS,TABLET,ORAL-28,Approved,16.11.2010,2010,Discontinued,yes,No,No
ANDA076340,,FDA,FINASTERIDE,FINASTERIDE,IVAX SUB TEVA PHARMS,TABLET,ORAL,Approved,19.06.2006,2006,Discontinued,yes,No,No
ANDA076341,,FDA,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,APOTEX,TABLET,ORAL,Approved,23.10.2006,2006,authorised,yes,No,No
