Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
000222647.pdf,Not reported,Not reported,Symproic,Naldemedine Tosilate,"Shionogi & Co., Ltd.",Small molecule,tablet,oral,approved,authorised,09.02.2017,2017,no,no,Opioid-induced constipation,Opioid-induced constipation,Diseases of the digestive system,30.03.2016,2016,no,NA
000153012.pdf,Not reported,Not reported,Rozerem,Ramelteon,Takeda Pharmaceutical Company Limited,Small molecule,tablet,oral,approved,authorised,29.01.2010,2010,no,no,Insomnia,Improvement of sleep-onset insomnia,Mental and behavioural disorders,29.02.2008,2008,no,NA
000234741.pdf,Not reported,Not reported,Tremfya,Guselkumab,Janssen Pharmaceutical K.K.,Biologics,solution for injection,subcutaneous,approved,authorised,02.03.2018,2018,no,no,"Treatment of plaque psoriasis, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies","Treatment of plaque psoriasis, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,20.04.2017,2017,no,NA
000245812.pdf,Not reported,Not reported,Zagallo,Dutasteride,GlaxoSmithKline K.K.,Small molecule,capsule,oral,approved,authorised,28.08.2015,2015,no,yes,"Hair growth, hair restoration, and prevention of the progression of hair loss in men with androgenetic alopecia",Androgenetic alopecia in men,Diseases of the skin,25.11.2014,2014,yes,Not reported
000223201.pdf,Not reported,Not reported,Opdivo,Nivolumab,"Ono Pharmaceutical Co., Ltd.",Biologics,Injection,intravenous,approved,authorised,Not reported,2017,no,yes,Treatment of recurrent or distant metastatic head and neck cancer,Treatment of recurrent or distant metastatic head and neck cancer,Neoplasms,27.07.2016,2016,yes,Not reported
000246328.pdf,Not reported,Not reported,Actemra,Tocilizumab,"Chugai Pharmaceutical Co., Ltd.",Biologics,concentrate for a solution for intravenous infusion,intravenous,approved,authorised,07.01.2022,2022,no,yes,Pneumonia caused by SARS-CoV-2 infection (COVID-19) (limited to patients requiring supplemental oxygen),Pneumonia caused by SARS-CoV-2 infection (COVID-19) (limited to patients requiring supplemental oxygen),Infectious and parasitic diseases; Diseases of the respiratory system,13.12.2021,2021,yes,Not reported
000263433.pdf,Not reported,Not reported,Herceptin,Trastuzumab,"Chugai Pharmaceutical Co., Ltd.",Biologics,Lyophilized powder for solution for injection,intravenous,approved,authorised,09.02.2022,2022,no,yes,HER2-overexpressing breast cancer; Unresectable advanced or recurrent HER2-overexpressing gastric cancer; Unresectable advanced or recurrent HER2-overexpressing colorectal cancer,HER2-overexpressing breast cancer; Unresectable advanced or recurrent HER2-overexpressing gastric cancer; Unresectable advanced or recurrent HER2-positive salivary gland carcinoma; Unresectable advanced or recurrent HER2-positive colorectal cancer that has progressed after cancer chemotherapy,Neoplasms; Diseases of the digestive system,26.04.2021,2021,yes,Not reported
000153400.pdf,Not reported,Not reported,Zetia,Ezetimibe,Schering-Plough K.K.,Small molecule,tablet,oral,approved,authorised,31.01.2007,2007,no,no,"Hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia","Hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia","Endocrine, nutritional, and metabolic diseases",31.10.2003,2003,no,NA
000235932.pdf,Not reported,Not reported,Trerief,Zonisamide,"Dainippon Sumitomo Pharma Co., Ltd.",Small molecule,tablet,oral,approved,authorised,28.11.2008,2008,no,yes,Parkinson’s disease (for patients who have not responded adequately to a combination of levodopa-containing drugs with other antiparkinsonian drugs),Parkinson’s disease (for patients who did not respond adequately to a combination of levodopa-containing drugs with other antiparkinsonian drugs),Diseases of the nervous system,28.09.2005,2005,no,NA
000210230.pdf,Not reported,Not reported,Forxiga,Dapagliflozin,Bristol-Myers K.K.,Small molecule,tablet,oral,approved,authorised,24.01.2014,2014,no,no,Type 2 diabetes mellitus,Type 2 diabetes mellitus,"Endocrine, nutritional, and metabolic diseases",15.03.2013,2013,no,NA
000226231.pdf,Not reported,Not reported,Ximency,Daclatasvir Hydrochloride/Asunaprevir/Beclabuvir Hydrochloride,Bristol-Myers Squibb K.K.,Small molecule,tablet,oral,approved,authorised,11.11.2016,2016,no,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients without cirrhosis or with compensated cirrhosis,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients without cirrhosis or with compensated cirrhosis,Infectious and parasitic diseases,21.12.2015,2015,no,NA
000216480.pdf,Not reported,Not reported,Yondelis,Trabectedin,"Taiho Pharmaceutical Co., Ltd.",Small molecule,Lyophilized powder for solution for infusion,intravenous,approved,authorised,31.08.2015,2015,yes,no,"Soft tissue sarcomas of the following histological subtypes: myxoid/round cell liposarcoma, synovial sarcoma, alveolar rhabdomyosarcoma, extra-osseous Ewing’s sarcoma/primitive neuroectodermal tumor, dermatofibrosarcoma protuberans, low-grade fibromyxoid sarcoma, alveolar soft part sarcoma, clear cell sarcoma, angiomatoid fibrous histiocytoma, desmoplastic small round cell tumor, extraskeletal myxoid chondrosarcoma, mesenchymal chondrosarcoma, giant cell fibroblastoma, and endometrial stromal sarcoma.",Soft tissue sarcomas,Neoplasms,05.01.2015,2015,no,NA
000208866.pdf,Not reported,Not reported,Anoro Ellipta,Umeclidinium Bromide/ Vilanterol Trifenatate,GlaxoSmithKline K.K.,Small molecule,Inhalation powder,Inhalation,approved,authorised,30.04.2014,2014,no,no,Relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),Relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),Diseases of the respiratory system,22.04.2013,2013,no,NA
000208682.pdf,Not reported,Not reported,Eliquis,Apixaban,Bristol-Myers K.K.,Small molecule,Film-coated tablets,oral,approved,authorised,30.11.2012,2012,no,no,Reduction of the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation,Reduction of the risk of ischemic stroke and systemic embolism in patients with nonvalvular atrial fibrillation,Diseases of the circulatory system,21.12.2011,2011,no,NA
000237315.pdf,Not reported,Not reported,Velexbru,Tirabrutinib Hydrochloride,"Ono Pharmaceutical Co., Ltd.",Small molecule,tablet,oral,approved,authorised,26.02.2020,2020,yes,no,Recurrent or refractory primary central nervous system lymphoma,Recurrent or refractory primary central nervous system lymphoma,Neoplasms; Diseases of the nervous system,28.08.2019,2019,no,NA
000230308.pdf,Not reported,Not reported,Maviret,Glecaprevir Hydrate/Pibrentasvir,AbbVie GK,Small molecule,tablet,oral,approved,authorised,08.09.2017,2017,no,no,Improvement of viremia in patients with chronic hepatitis C or compensated cirrhosis type C,Improvement of viremia in patients with chronic hepatitis C or compensated cirrhosis type C,Infectious and parasitic diseases,14.02.2017,2017,no,NA
000210796.pdf,Not reported,Not reported,Sovaldi,Sofosbuvir,Gilead Sciences K.K.,Small molecule,tablet,oral,approved,authorised,05.03.2015,2015,no,no,Suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis C patients with or without compensated cirrhosis,Suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis C patients with or without compensated cirrhosis,Infectious and parasitic diseases,27.06.2014,2014,no,NA
000245967.pdf,Not reported,Not reported,Keytruda,Pembrolizumab,MSD K.K.,Biologics,Injection,intravenous,approved,authorised,07.07.2020,2020,no,yes,"Unresectable, advanced or recurrent esophageal cancer","Radically unresectable, advanced or recurrent PD-L1 positive esophageal squamous cell carcinoma that has progressed after cancer chemotherapy",Neoplasms; Diseases of the digestive system,08.11.2019,2019,yes,Not reported
000252994.pdf,Not reported,Not reported,Mitchga,Nemolizumab,"Maruho Co., Ltd.",Biologics,solution for injection,subcutaneous,approved,authorised,03.03.2022,2022,no,no,Treatment of pruritus associated with atopic dermatitis (only for patients who are inadequately controlled by conventional treatments),Treatment of pruritus associated with atopic dermatitis (only for patients who are inadequately controlled by conventional treatments),Diseases of the skin,29.07.2020,2020,no,NA
000235933.pdf,Not reported,Not reported,Trerief,Zonisamide,"Sumitomo Dainippon Pharma Co., Ltd.",Small molecule,tablet,oral,approved,authorised,08.06.2018,2018,no,yes,Parkinsonism in dementia with Lewy bodies,Parkinsonism in dementia with Lewy bodies,Diseases of the nervous system,30.08.2017,2017,yes,Not reported
000211073.pdf,Not reported,Not reported,Clenafin,Efinaconazole,"Kaken Pharmaceutical Co., Ltd.",Small molecule,topical solution,cutaneous,approved,authorised,30.04.2014,2014,no,no,Onychomycosis,Tinea unguium,Infectious and parasitic diseases; Diseases of the skin,23.10.2012,2012,no,NA
000267330.pdf,Not reported,Not reported,TS-1,Tegafur/Gimeracil/Oteracil Potassium,"Taiho Pharmaceutical Co., Ltd.",Small molecule,capsules,oral,approved,authorised,Not reported,2022,no,yes,"Adjuvant therapy for hormone receptor-positive, HER2-negative breast cancer with a high risk of recurrence","Adjuvant therapy for hormone receptor-positive, HER2-negative breast cancer with a high risk of recurrence",Neoplasms,14.02.2022,2022,yes,Not reported
000223200.pdf,Not reported,Not reported,Opdivo,Nivolumab,"Ono Pharmaceutical Co., Ltd.",Biologics,injection,intravenous,approved,authorised,11.11.2016,2016,yes,yes,Treatment of relapsed or refractory classical Hodgkin lymphoma,Treatment of relapsed or refractory classical Hodgkin lymphoma,Neoplasms; Diseases of the blood and blood-forming organs,18.03.2016,2016,yes,Not reported
000224547.pdf,Not reported,Not reported,Humira,Adalimumab,AbbVie GK,Biologics,solution for injection,subcutaneous,approved,authorised,09.09.2016,2016,no,yes,"Non-infectious intermediate uveitis, posterior uveitis, or panuveitis","Non-infectious intermediate uveitis, posterior uveitis, or panuveitis",Diseases of the eye and adnexa,29.10.2015,2015,yes,Not reported
000220043.pdf,Not reported,Not reported,Risperdal,Risperidone,Janssen Pharmaceutical K.K.,Small molecule,tablet,oral,approved,authorised,05.02.2016,2016,no,yes,Schizophrenia; Irritability associated with autistic disorder in pediatric patients,Schizophrenia; Irritability associated with autism spectrum disorder in pediatric patients,Mental and behavioural disorders; Diseases of the nervous system,24.04.2015,2015,no,NA
000153773.pdf,Not reported,Not reported,Adsorbed Influenza Vaccine (H5N1) “HOKKEN”,Adsorbed Influenza Vaccine (H5N1),The Kitasato Institute,Vaccine,Injectable suspension,intramuscular or subcutaneous,approved,authorised,31.08.2007,2007,yes,no,Prophylaxis of pandemic influenza (H5N1),Prophylaxis of pandemic influenza (H5N1),Infectious and parasitic diseases,30.01.2007,2007,yes,Not reported
000253046.pdf,Not reported,Not reported,Comirnaty,Coronavirus Modified Uridine RNA Vaccine,Pfizer Japan Inc.,Vaccine,injection,intramuscular,approved,authorised,07.02.2023,2023,no,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,13.10.2022,2022,yes,Not reported
000153954.pdf,Not reported,Not reported,Moistear,Diquafosol Sodium,"Santen Pharmaceutical Co., Ltd.",Small molecule,ophthalmic solution,ocular,approved,authorised,26.02.2010,2010,no,no,Corneal and conjunctival epithelial damage associated with dry eye (including Sjogren’s syndrome and Stevens-Johnson syndrome),Dry eye,Diseases of the eye and adnexa,30.05.2008,2008,no,NA
000246305.pdf,Not reported,Not reported,Paxlovid,Nirmatrelvir and Ritonavir,Pfizer Japan Inc.,Small molecule,film-coated tablet,oral,approved,authorised,10.02.2022,2022,no,no,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),Treatment of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,14.01.2022,2022,yes,Not reported
000235894.pdf,Not reported,Not reported,Benlysta,Belimumab,GlaxoSmithKline K.K.,Biologics,solution for infusion,intravenous,approved,authorised,08.09.2017,2017,no,no,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,Diseases of the musculoskeletal system and connective tissue,13.12.2016,2016,no,NA
000226817.pdf,Not reported,Not reported,Mundesine,Forodesine Hydrochloride,Mundipharma K.K.,Small molecule,capsule,oral,approved,authorised,03.03.2017,2017,yes,no,Relapsed or refractory peripheral T-cell lymphoma,Relapsed or refractory peripheral T-cell lymphoma,Neoplasms; Diseases of the blood and blood-forming organs,07.06.2016,2016,no,NA
000216877.pdf,Not reported,Not reported,Cosentyx,Secukinumab,Novartis Pharma K.K.,Biologics,solution for injection,subcutaneous,approved,authorised,12.11.2015,2015,no,yes,"Treatment of psoriasis vulgaris, psoriatic arthritis, and pustular psoriasis (generalized) in patients who have had an inadequate response to conventional therapy","Treatment of psoriasis vulgaris, psoriatic arthritis, and pustular psoriasis (generalized) in patients who have had an inadequate response to conventional therapy",Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,03.03.2015,2015,yes,Not reported
000216650.pdf,Not reported,Not reported,Viekirax,Ombitasvir Hydrate/Paritaprevir Hydrate/Ritonavir,AbbVie GK,Small molecule,tablet,oral,approved,authorised,31.08.2015,2015,no,no,"Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients, including those with compensated cirrhosis",Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,Infectious and parasitic diseases,12.02.2015,2015,no,NA
000204240.pdf,Not reported,Not reported,Betanis,Mirabegron,Astellas Pharma Inc.,Small molecule,tablet,oral,approved,authorised,01.06.2011,2011,no,no,"Urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder","Urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",Diseases of the genitourinary system,18.06.2010,2010,no,NA
000244664.pdf,Not reported,Not reported,Opdivo,Nivolumab,"Ono Pharmaceutical Co., Ltd.",Biologics,Injection,intravenous,approved,authorised,15.07.2020,2020,no,yes,"Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy","Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy",Neoplasms; Diseases of the digestive system,12.11.2019,2019,yes,Not reported
000224437.pdf,Not reported,Not reported,Avastin,Bevacizumab,"Chugai Pharmaceutical Co., Ltd.",Biologics,Injection,Intravenous,approved,authorised,22.02.2007,2007,no,no,Unresectable advanced or recurrent colorectal cancer,Unresectable advanced or recurrent colorectal cancer,Neoplasms; Diseases of the digestive system,21.04.2006,2006,no,NA
000269293.pdf,Not reported,Not reported,Spikevax,Coronavirus (SARS-CoV-2) RNA Vaccine,"Moderna Japan Co., Ltd.",Vaccine,suspension for injection,intramuscular,approved,authorised,15.06.2023,2023,no,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,09.02.2023,2023,yes,Not reported
000224436.pdf,Not reported,Not reported,Avastin,Bevacizumab,"Chugai Pharmaceutical Co., Ltd.",Biologics,Injection,intravenous,approved,authorised,25.04.2016,2016,yes,yes,Advanced or recurrent cervical cancer,Advanced or recurrent cervical cancer,Neoplasms; Diseases of the genitourinary system,17.09.2015,2015,yes,Not reported
000153174.pdf,Not reported,Not reported,Januvia,Sitagliptin,"Banyu Pharmaceutical Co., Ltd.; Ono Pharmaceutical Co., Ltd.",Small molecule,tablet,oral,approved,authorised,24.07.2009,2009,no,no,Improvement of post-prandial hyperglycemia in type 2 diabetes mellitus,Type 2 diabetes mellitus,"Endocrine, nutritional, and metabolic diseases",10.12.2007,2007,no,NA
000244665.pdf,Not reported,Not reported,Yervoy,Ipilimumab,Bristol-Myers Squibb K.K.,Biologics,Injection,intravenous,approved,authorised,26.08.2020,2020,no,yes,"Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy","Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy",Neoplasms; Diseases of the digestive system,12.11.2019,2019,yes,Not reported
000204241.pdf,Not reported,Not reported,Cedartolen,None,"Torii Pharmaceutical Co., Ltd.",Other,sublingual drop,sublingual,approved,authorised,18.11.2013,2013,no,no,Japanese cedar pollinosis (allergen immunotherapy),Japanese cedar pollinosis (hyposensitization therapy),Diseases of the respiratory system,25.12.2012,2012,yes,Not reported
000216876.pdf,Not reported,Not reported,Cosentyx,Secukinumab,Novartis Pharma K.K.,Biologics,solution for injection,subcutaneous,approved,authorised,28.11.2014,2014,no,no,Treatment of psoriasis vulgaris and psoriatic arthritis in patients who have had an inadequate response to conventional therapy,Treatment of psoriasis vulgaris and psoriatic arthritis in patients who have had an inadequate response to conventional therapy,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,26.12.2013,2013,no,NA
000273156.pdf,Not reported,Not reported,Xocova,Ensitrelvir Fumaric Acid,"Shionogi & Co., Ltd.",Small molecule,tablet,oral,approved,authorised,04.03.2024,2024,no,no,Disease caused by SARS-CoV-2 infection (COVID-19),Disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,08.06.2023,2023,no,NA
000211260.pdf,Not reported,Not reported,Inavir,Laninamivir Octanoate Hydrate,"Daiichi Sankyo Company, Limited",Small molecule,dry powder for inhalation,inhalation,approved,authorised,29.07.2010,2010,no,no,Treatment of influenza A or B virus infection,Treatment of influenza A or B virus infection,Infectious and parasitic diseases,29.01.2010,2010,no,NA
000233994.pdf,Not reported,Not reported,Revolade,Eltrombopag Olamine,Novartis Pharma K.K.,Small molecule,tablet,oral,approved,authorised,01.08.2017,2017,yes,yes,Chronic idiopathic thrombocytopenic purpura; Aplastic anemia,Chronic idiopathic thrombocytopenic purpura; Aplastic anemia,Diseases of the blood and blood-forming organs,30.11.2016,2016,yes,Not reported
000242148.pdf,Not reported,Not reported,Sarclisa,Isatuximab,Sanofi K.K.,Biologics,injection,intravenous,approved,authorised,28.05.2020,2020,no,no,Relapsed or refractory multiple myeloma,Relapsed or refractory multiple myeloma,Neoplasms; Diseases of the blood and blood-forming organs,23.08.2019,2019,no,NA
000268789.pdf,Not reported,Not reported,Alhemo,Concizumab,Novo Nordisk Pharma Ltd.,Biologics,solution for injection,subcutaneous,approved,authorised,31.07.2023,2023,yes,no,Control of bleeding tendency in patients with congenital hemophilia with coagulation factor VIII or IX inhibitors,Control of bleeding tendency in patients with congenital hemophilia with coagulation factor VIII or IX inhibitors,Diseases of the blood and blood-forming organs,29.08.2022,2022,no,NA
000219170.pdf,Not reported,Not reported,Halaven,Eribulin Mesilate,"Eisai Co., Ltd.",Small molecule,Injectable solution,intravenous,approved,authorised,20.01.2011,2011,no,no,Inoperable or recurrent breast cancer,Inoperable or recurrent breast cancer,Neoplasms,30.03.2010,2010,no,NA
000263435.pdf,Not reported,Not reported,Perjeta,Pertuzumab,"Chugai Pharmaceutical Co., Ltd.",Biologics,solution for injection,intravenous,approved,authorised,25.04.2013,2013,no,no,HER2-positive inoperable or recurrent breast cancer,HER2-positive inoperable or recurrent breast cancer,Neoplasms,25.05.2012,2012,no,NA
000211074.pdf,Not reported,Not reported,Nopicor,Nalfurafine Hydrochloride,"Toray Medical Co., Ltd.",Small molecule,capsules,oral,approved,authorised,21.11.2014,2014,no,yes,Alleviation of pruritus in patients with chronic hepatic disease (only when the patient’s response to conventional treatments is inadequate),Alleviation of pruritus in patients with chronic hepatic disease (only when the patient’s response to conventional treatments is inadequate),Diseases of the digestive system,25.10.2013,2013,no,NA
000242410.pdf,Not reported,Not reported,Izcargo,Pabinafusp Alfa,"JCR Pharmaceuticals Co., Ltd.",Biologics,Lyophilized powder for injection,intravenous,approved,authorised,25.02.2021,2021,yes,no,Mucopolysaccharidosis type II,Mucopolysaccharidosis type II,"Endocrine, nutritional, and metabolic diseases",29.09.2020,2020,no,NA
