File Name,Origin,Marketing_authorisation_number,Drug,Non_proprietary_name,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Orphan_drug_status,Indication_requested,Indication_approved,Disease_class(es),Application_date,Nonclinical_pharmacology_species,Nonclinical_pharmacology_strain,Nonclinical_pharmacology_model,Nonclinical_pharmacokinetics_species,Nonclinical_pharmacokinetics_strain,Nonclinical_pharmacokinetics_model
SwissPAR_Nexviadyme.pdf,Swissmedic,67871,Nexviadyme,avalglucosidase alfa,Biologics,powder for concentrate for solution for infusion,intravenous use,approved,authorised,17.11.2021,yes,long-term enzyme replacement therapy for the treatment of patients with late-onset Pompe’s disease (LOPD),long-term enzyme replacement therapy for the treatment of patients with late-onset Pompe's disease (LOPD),metabolic disease,21.10.2020,mouse,GAAKO mouse,Pompe disease mouse,"mouse, monkey, rabbit","CD-1 mouse, cynomolgus monkey",NA
SwissPAR_Adtralza_final.pdf,Swissmedic,68229,ADTRALZA,tralokinumab,Biologics,solution for injection in pre-filled syringe,subcutaneous,approved,authorised,24.02.2022,no,treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,treatment of adult patients with moderate-to-severe atopic dermatitis (AD) when therapy with topical prescription medications does not provide adequate disease control or is not recommended,Atopic dermatitis,22.01.2021,"mouse, cynomolgus monkey",NS0 mouse,NA,cynomolgus monkey,NA,NA
SwissPAR_Rinvoq_final.pdf,Swissmedic,67257,Rinvoq,upadacitinib,Other,prolonged-release tablet,oral,approved,authorised,20.01.2020,no,treatment of adults with moderately to severely active rheumatoid arthritis,"treatment of adults with moderately to severely active rheumatoid arthritis, who had an inadequate response or are intolerant to a treatment with one or more conventional synthetic disease-modifying anti-rheumatic drugs (csDMARD)",Rheumatoid Arthritis,11.01.2019,"mouse, rat, dog","CByB6F1 mouse, Sprague Dawley rat, Beagle dog",NA,"mouse, rat, dog","CByB6F1 mouse, Sprague Dawley rat, Beagle dog",NA
SwissPAR Vabysmo G102701735.pdf,Swissmedic,68395,Vabysmo,faricimab,Biologics,solution for injection,intravitreal,approved,authorised,11.07.2024,no,Treatment of macular oedema due to retinal vein occlusion (branch retinal vein occlusion (BRVO) and central retinal vein occlusion (CRVO)).,Treatment of macular oedema secondary to retinal vein occlusion (branch retinal vein occlusion (BRVO) and central retinal vein occlusion (CRVO)).,Ophthalmology,24.08.2023,monkey,cynomolgus monkey,NA,monkey,cynomolgus monkey,NA
SwissPAR_Pombiliti.pdf,Swissmedic,67804,Pombiliti,cipaglucosidase alfa,Biologics,powder for concentrate for solution for infusion,parenteral,approved,authorised,04.07.2024,yes,treatment of adults with late-onset Pompe disease (acid α-glucosidase [GAA] deficiency),treatment of adults with late-onset Pompe disease (acid α-glucosidase [GAA] deficiency),metabolic disorders,12.06.2023,hamster,CHO hamster,NA,NA,NA,NA
SwissPAR_Elucirem-1.pdf,Swissmedic,68791,Elucirem,gadopiclenol,Other,solution for injection,intravenous use,approved,authorised,21.12.2023,no,Magnetic resonance imaging (MRI) contrast media for central nervous system (CNS) diagnostics and other body regions.,"In adults, ELUCIREM is a gadolinium-based contrast agent indicated in adults for use with magnetic resonance imaging (MRI) to detect and visualise lesions with abnormal vascularity in the CNS area and in other areas of the body.","CNS diagnostics, imaging",16.05.2022,"mouse, rat",Wistar rat,NA,"rat, dog",NA,NA
SwissPAR_Epidyolex_final_zur Publikation.pdf,Swissmedic,67590,Epidyolex,cannabidiol,Other,solution,oral,approved,authorised,10.02.2021,yes,adjunctive therapy of seizures associated with Lennox-Gastaut syndrome or Dravet syndrome in patients 2 years of age and older,adjunctive therapy of seizures associated with Lennox-Gastaut syndrome (LGS) or Dravet syndrome (DS) in patients 2 years of age and older,epileptic syndromes,11.06.2019,rat,NA,NA,rat,NA,NA
SwissPAR_Spravato.pdf,Swissmedic,67103,Spravato,esketamine as esketamine hydrochloride,Other,"Nasal spray, solution",nasal,approved,authorised,25.02.2020,no,treatment-resistant depression,treatment-resistant episodes of major depression in adults who have not responded to at least two different treatments with antidepressants in the current moderate to severe depressive episode,Mental health disorders,03.01.2019,"mouse, rat, dog",NA,NA,"mouse, rat, dog",NA,NA
SwissPAR Trodelvy HR_HER2- Brustkrebs.pdf,Swissmedic,68179,Trodelvy,sacituzumab govitecan,Other,powder for concentrate for infusion,intravenous,approved,authorised,18.08.2023,no,"treatment of adult patients with unresectable locally advanced or metastatic hormone receptor (HR)-positive, HER2-negative breast cancer",HR+/HER2- breast cancer,breast cancer,31.01.2023,mouse,NA,NA,mouse,NA,NA
SwissPAR_Voydeya.pdf,Swissmedic,69301,Voydeya,danicopan,Other,film-coated tablets,oral,approved,authorised,30.04.2024,yes,treatment of signs or symptoms of extravascular haemolysis (EVH) in adult patients with paroxysmal nocturnal haemoglobinuria (PNH),treatment of clinically relevant extravascular haemolysis (EVH) after at least 6 months of monotherapy with a C5 inhibitor in adult patients with paroxysmal nocturnal haemoglobinuria (PNH),haematological disease,17.05.2023,"mouse, rat, rabbit, dog",NA,NA,"mouse, rat, rabbit, dog",NA,NA
