Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
auspar-trametinib-dabrafenib-181108.pdf,"205919, 205917 and 200922, 200936",PM-2017-04434-1-4 and PM-2017-04435-1-4,Mekinist and Tafinlar,Trametinib and Dabrafenib,Novartis Pharmaceuticals Australia Pty Limited,Small molecule,Film-coated tablet (Mekinist) and Hard capsules (Tafinlar),Oral,approved,authorised,06.06.2018,2018,no,yes,"Adjuvant treatment of patients with Stage III melanoma with a BRAF V600 mutation, following complete resection.","Adjuvant treatment of patients with Stage III melanoma with a BRAF V600 mutation, following complete resection.",Neoplasms; Diseases of the skin,16.01.2018,2018,yes,Not reported
auspar-emtricitabine-140612.pdf,"96426, 96427",PM-2012-02513-3-2,Emtriva,Emtricitabine,Gilead Sciences Pty Ltd,Small molecule,Capsules,Oral,approved,authorised,09.04.2014,2014,yes,yes,Treatment of HIV infected adults and paediatric patients 12 years of age and older in combination with other antiretroviral agents.,"Treatment of HIV in combination with other antiretroviral agents in infected adults and paediatric patients 12 years of age and older, weighing more than 33 kg.",Infectious and parasitic diseases,Not reported,Not reported,yes,Not reported
auspar-normal-immunoglobulin-human-120507.pdf,"173315, 173323, 173324",PM-2010-01887-3-2,Evogam,Normal (Human) Immunoglobulin,CSL Ltd,Biologics,Solution for Injection,Subcutaneous,approved,authorised,24.01.2012,2012,no,no,Replacement therapy in primary immunodeficiency disease and symptomatic hypogammaglobulinaemia secondary to underlying disease or treatment.,Replacement therapy in primary immunodeficiency disease and symptomatic hypogammaglobulinaemia secondary to underlying disease or treatment.,Diseases of the blood and blood-forming organs,10.04.2007,2007,yes,Not reported
auspar-tocilizumab-140206.pdf,"149402, 149403, 149404",PM-2012-01905-3-3,Actemra,Tocilizumab,Roche Products Pty Ltd,Biologics,Injection concentrated,Intravenous,approved,authorised,04.10.2013,2013,no,yes,Treatment of moderate to severe active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older who have had an inadequate response to or intolerance to methotrexate.,Treatment of moderate to severe active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older who have had an inadequate response to or intolerance to methotrexate.,Diseases of the musculoskeletal system and connective tissue,Not reported,Not reported,yes,Not reported
auspar-brimonidine-as-tartrate-150123.pdf,212325,PM-2013-01459-1-5,Mirvaso,Brimonidine,Galderma Australia Pty Ltd,Small molecule,Gel,Topical,approved,authorised,01.08.2014,2014,no,no,For the treatment of facial erythema of rosacea in adult patients,For the treatment of facial erythema of rosacea in adult patients,Diseases of the skin,Not reported,Not reported,yes,Not reported
auspar-fomepizole-170817.pdf,263913,PM-2015-02803-1-3,Antizol,Fomepizole,AFT Pharmaceuticals,Small molecule,Concentrated injection,Intravenous,approved,authorised,25.11.2016,2016,yes,no,Antidote for ethylene glycol or methanol poisoning,Treatment of ethylene glycol or methanol poisoning,"Injury, poisoning and certain other consequences of external causes",06.01.2015,2015,yes,Not reported
auspar-gliclazide-160719.pdf,Not reported,PM-2015-00426-1-5,Gliclazide Gppl MR 30; Gliclazide Gxp MR 60; Gliclazide Genpar MR 60,Gliclazide,Generic Partners Pty Ltd,Small molecule,Modified release tablet,Oral,withdrawn,withdrawn,23.02.2016,2016,no,no,Type II Diabetes in association with dietary measures when dietary measures alone are inadequate to control blood glucose.,NA,"Endocrine, nutritional, and metabolic diseases",Not reported,Not reported,yes,NA
auspar-lutetium-177lu-chloride-20220916.pdf,352151,PM-2020-06691-1-4,Lutetium (177Lu) chloride,Lutetium (177Lu) chloride,Australian Nuclear Science and Technology Organisation (ANSTO),Other,Radiochemical solution,Intravenous,approved,authorised (under additional monitoring),08.12.2021,2021,yes,no,For the treatment of non resectable or metastatic neuroendocrine tumours (NETS) expressing somatostatin subtype 2 receptors when coupled with a suitable carrier molecule.,For the treatment of non resectable or metastatic neuroendocrine tumours (NETS) expressing somatostatin subtype 2 receptors when coupled with a suitable carrier molecule.,Neoplasms,20.01.2021,2021,yes,Not reported
auspar-alogliptin-benzoate-140109.pdf,"199538, 199539, 199540, 199541, 199542, 199543",PM-2012-01949-3-5,"Nesina, Vipidia",Alogliptin,Takeda Pharmaceuticals Australia Pty Ltd,Small molecule,Film-coated tablet,Oral,approved,authorised,10.09.2013,2013,no,no,To improve glycaemic control in adult patients with type 2 diabetes mellitus when diet and exercise do not provide adequate glycaemic control.,"To improve glycaemic control in adult patients with type 2 diabetes mellitus when diet and exercise do not provide adequate glycaemic control, as add on to metformin, a sulphonylurea, a thiazolidinedione, insulin (with or without metformin), or in combination with metformin and a thiazolidinedione when dual therapy does not provide adequate glycaemic control.","Endocrine, nutritional, and metabolic diseases",Not reported,Not reported,no,NA
auspar-bendamustine-150106.pdf,211684 and 211685,PM-2013-01517-1-4,Ribomustin,Bendamustine hydrochloride,Janssen-Cilag Pty Ltd,Small molecule,Powder for concentrated injection,Intravenous,approved,authorised,26.06.2014,2014,no,no,"First-line treatment of chronic lymphocytic leukaemia (Binet stage B or C); Previously untreated indolent CD20-positive, stage III-IV Non-Hodgkin's lymphoma, in combination with rituximab; Previously untreated CD20-positive, stage I/II-IV Mantle Cell Lymphoma in combination with rituximab, in patients ineligible for autologous stem cell transplantation; Relapsed/Refractory indolent Non-Hodgkin's lymphoma.","First-line treatment of chronic lymphocytic leukaemia (Binet stage B or C); Previously untreated indolent CD20-positive, stage III-IV Non-Hodgkin's lymphoma, in combination with rituximab; Previously untreated CD20-positive, stage I/II-IV Mantle Cell Lymphoma in combination with rituximab, in patients ineligible for autologous stem cell transplantation; Relapsed/Refractory indolent Non-Hodgkin's lymphoma.",Neoplasms; Diseases of the blood and blood-forming organs,Not reported,Not reported,yes,Not reported
auspar-venetoclax-220426.pdf,"267441, 267442, 267443, 267444 and 267445",PM-2020-02543-1-6,Venclexta,Venetoclax,AbbVie Pty Ltd,Small molecule,Film coated tablet,Oral,approved,authorised (under additional monitoring),24.09.2021,2021,yes,no,Acute Myeloid Leukaemia,Acute Myeloid Leukaemia,Neoplasms; Diseases of the blood and blood-forming organs,30.06.2020,2020,yes,Not reported
auspar-eliquis.pdf,172244,PM-2010-01492-3-3,Eliquis,Apixaban,Bristol-Myers Squibb Australia Pty Ltd,Small molecule,Film coated tablet,Oral,approved,authorised,14.07.2011,2011,no,no,Prevention of venous thromboembolic events (VTE) in adult patients who have undergone elective hip or knee replacement surgery.,For the prevention of venous thromboembolic events (VTE) in adult patients who have undergone elective total hip or total knee replacement surgery.,Diseases of the musculoskeletal system and connective tissue; Diseases of the circulatory system,Not reported,Not reported,no,NA
auspar-fentanyl-140520.pdf,"185934, 185935",PM-2013-01123-1-1,Pecfent,Fentanyl,AstraZeneca Pty Ltd,Small molecule,Nasal spray solution,Nasal,withdrawn,withdrawn,03.03.2014,2014,no,yes,Management of breakthrough pain in adults with cancer who are already receiving maintenance opioid therapy for chronic pain.,NA,Neoplasms; Diseases of the nervous system,Not reported,Not reported,yes,Not reported
auspar-influenza-virus-140206.pdf,200674 and 210806,PM-2012-02287-3-2,Fluarix Tetra,Influenza virus haemagglutinin,GlaxoSmithKline Australia Pty Ltd,Vaccine,Suspension for Injection,Intramuscular,approved,authorised,21.08.2013,2013,no,no,Active immunisation of adults and children from 3 years of age for the prevention of influenza disease caused by the influenza virus types A and B contained in the vaccine.,Active immunisation of adults and children from 3 years of age for the prevention of influenza disease caused by the influenza virus types A and B contained in the vaccine.,Infectious and parasitic diseases,Not reported,Not reported,no,NA
auspar-esperoct-231024.pdf,"389597,389598,389600,389599,389596",PM-2022-01578-1-6,Esperoct,Turoctocog alfa pegol,Novo Nordisk Pharmaceuticals Pty Ltd,Biologics,Powder for injection,Intravenous,approved,authorised (under additional monitoring),31.05.2023,2023,no,no,For the treatment and prophylaxis of bleeding in previously treated patients with haemophilia A (congenital factor VIII deficiency).,Routine prophylactic treatment to prevent or reduce the frequency of bleeding episodes; On-demand treatment and control of bleeding episodes; Peri-operative management of bleeding (surgical prophylaxis),Diseases of the blood and blood-forming organs,03.06.2022,2022,no,NA
auspar-liraglutide-160323.pdf,225804,PM-2014-01472-1-5,Saxenda,Liraglutide,Novo Nordisk Pharmaceuticals Pty Ltd,Peptides and proteins,Solution for injection,Subcutaneous,approved,authorised,23.12.2015,2015,no,yes,"Chronic weight management in adult patients with an initial Body Mass Index (BMI) of greater than or equal to 30 kg/m2 (obese); or greater than or equal to 27 kg/m2 to less than 30 kg/m2 (overweight) in the presence of at least one weight related comorbidity, such as dysglycaemia (pre-diabetes and type 2 diabetes mellitus), hypertension, dyslipidaemia, or obstructive sleep apnoea.","Chronic weight management in adult patients with an initial Body Mass Index (BMI) of greater than or equal to 30 kg/m2 (obese); or greater than or equal to 27 kg/m2 to less than 30 kg/m2 (overweight) in the presence of at least one weight related comorbidity, such as dysglycaemia (pre-diabetes and type 2 diabetes mellitus), hypertension, dyslipidaemia, or obstructive sleep apnoea.","Endocrine, nutritional, and metabolic diseases",Not reported,Not reported,no,NA
auspar-olmesartan-medoxomil-130226.pdf,"AUST R 102134, AUST R 102138, AUST R 102139",PM-2011-01941-3-3,Olmetec,Olmesartan medoxomil,Merck Sharp & Dohme (Australia) Pty Ltd,Small molecule,Tablet,Oral,approved,authorised,07.09.2012,2012,no,yes,for the treatment of hypertension,for the treatment of hypertension,Diseases of the circulatory system,Not reported,Not reported,yes,Not reported
auspar-insulin-detemir-rys-140328.pdf,172213; 172234; 172235,PM-2012-02256-3-5,Levemir,insulin detemir,Novo Nordisk Pharmaceuticals,Peptides and proteins,Solution for injection,Subcutaneous,approved,authorised,16.10.2013,2013,no,no,Treatment of diabetes mellitus,Treatment of diabetes mellitus,"Endocrine, nutritional, and metabolic diseases",Not reported,Not reported,yes,Not reported
auspar-isatuximab-201102.pdf,"319085, 319086",PM-2019-02568-1-6,Sarclisa,Isatuximab,Sanofi-Aventis Australia Pty Ltd,Biologics,Concentrated injection,Intravenous,approved,authorised (under additional monitoring),29.04.2020,2020,yes,no,"Sarclisa is indicated in combination with pomalidomide and dexamethasone, for the treatment of patients with multiple myeloma (MM) who have received at least two prior therapies including lenalidomide and a proteasome inhibitor (PI).","Sarclisa is indicated in combination with pomalidomide and dexamethasone, for the treatment of patients with multiple myeloma (MM) who have received at least two prior therapies including lenalidomide and a proteasome inhibitor (PI).",Neoplasms; Diseases of the blood and blood-forming organs,30.07.2019,2019,no,NA
auspar-ultomiris-240708.pdf,"311926, 330566, 336710",PM-2023-02695-1-1,ULTOMIRIS,ravulizumab,Alexion Pharmaceuticals Australasia Pty Ltd,Biologics,Solution for intravenous infusion,Intravenous,approved,authorised,19.01.2024,2024,no,yes,treatment of adult patients with Neuromyelitis Optica Spectrum Disorder (NMOSD) who are anti-aquaporin 4 (AQP4) antibody-positive,treatment of adult patients with Neuromyelitis Optica Spectrum Disorder (NMOSD) who are anti-aquaporin 4 (AQP4) antibody-positive,Diseases of the nervous system,31.07.2023,2023,yes,Not reported
auspar-avanafil-161027.pdf,"228476, 228475, 228474",PM-2014-02782-1-3,Spedra,Avanafil,A.Menarini Australia Pty Ltd,Small molecule,Uncoated tablets,Oral,approved,authorised,10.11.2015,2015,no,no,Treatment of erectile dysfunction in men.,Treatment of erectile dysfunction in adult males.,Diseases of the genitourinary system,Not reported,Not reported,no,NA
auspar-ryzodeg-180522.pdf,280432; 280433,PM-2016-02723-1-5,Ryzodeg 70/30 FlexTouch; Ryzodeg 70/30 Penfill,insulin degludec; insulin aspart,Novo Nordisk Pharmaceuticals Pty Ltd,Peptides and proteins,Solution for injection,Subcutaneous,approved,authorised,24.11.2017,2017,no,no,To improve glycaemic control in adult patients with diabetes mellitus requiring basal and prandial insulin.,To improve glycaemic control in adult patients with diabetes mellitus requiring basal and prandial insulin.,"Endocrine, nutritional, and metabolic diseases",31.10.2016,2016,yes,Not reported
auspar-alirocumab-rch-191209.pdf,"238285, 238299, 238304, 238305",PM-2018-02973-1-3,Praluent,Alirocumab,Sanofi-Aventis Australia Pty Ltd,Biologics,Solution for injection,Subcutaneous,approved,authorised,29.10.2019,2019,no,yes,Primary hypercholesterolaemia and mixed dyslipidaemia,Primary hypercholesterolaemia; Prevention of cardiovascular events,"Diseases of the circulatory system; Endocrine, nutritional, and metabolic diseases",31.08.2018,2018,yes,Not reported
auspar-propranolol-hydrochloride-150819.pdf,212274,PM-2013-01250-1-4,Hemangiol,Propranolol hydrochloride,Pierre Fabre Medicament Australia Pty Limited,Small molecule,Oral solution,Oral,approved,authorised,18.06.2015,2015,yes,yes,Treatment of proliferating infantile hemangioma requiring systemic therapy,Treatment of proliferating infantile hemangioma requiring systemic therapy,Neoplasms,Not reported,Not reported,yes,Not reported
auspar-comirnaty-jn-1-covid-19-vaccine-250318.pdf,"457685, 457688, 457690, 457677, 457680, 457686, 459385, 457679, 459366",PM-2024-02578 1-1-2,Comirnaty JN.1 COVID-19 Vaccine,bretovameran,Pfizer Australia Pty Ltd,Vaccine,suspension for injection,intramuscular,approved,authorised,10.10.2024,2024,no,no,"Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2, in individuals 6 months of age and older.","Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2, in individuals 6 months of age and older.",Infectious and parasitic diseases,02.08.2024,2024,yes,Not reported
auspar-insulin-degludec-liraglutide-210322.pdf,328580,PM-2019-05122-1-5,Xultophy,insulin degludec/liraglutide,Novo Nordisk Pharmaceuticals Pty Ltd,Peptides and proteins,Solution for injection,Subcutaneous,approved,authorised (under additional monitoring),17.12.2020,2020,no,no,Treatment of adults with type 2 diabetes mellitus to improve glycaemic control in combination with one or more oral glucose-lowering medicinal products.,"Treatment of adults with type 2 diabetes mellitus to improve glycaemic control in combination with metformin, with or without other oral glucose-lowering medicinal products.","Endocrine, nutritional, and metabolic diseases",31.01.2020,2020,no,NA
auspar-aclidinium-bromide-140908.pdf,206071,PM-2012-04170-1-5,Bretaris Genuair,Aclidinium bromide,A Menarini Australia Pty Ltd,Small molecule,Powder for inhalation,Oral inhalation,approved,authorised,18.03.2014,2014,no,no,Long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,Long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,Diseases of the respiratory system,Not reported,Not reported,no,NA
auspar-nuvaxovid-homologous-booster-220614.pdf,351139,PM-2022-00638-1-2,Nuvaxovid,SARS-CoV-2 rS vaccine,Biocelect Pty Ltd,Vaccine,Suspension for injection,Intramuscular,approved,authorised,09.06.2022,2022,no,yes,Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 18 years of age and older.,Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 18 years of age and older.,Infectious and parasitic diseases,03.03.2022,2022,no,NA
auspar-eribulin-mesilate-130517-01.pdf,187136,PM-2011-01624-3-4,Halaven,Eribulin mesilate,Eisai Australia Pty Ltd,Small molecule,Solution for injection,Intravenous,approved,authorised,30.08.2012,2012,no,no,Treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapeutic regimens for advanced disease.,Treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapeutic regimens for advanced disease.,Neoplasms,Not reported,Not reported,no,NA
auspar-mycophenolate-sodium-130517.pdf,"91939, 91940",PM-2010-01235-3-2,Myfortic,Mycophenolate sodium,Novartis Pharmaceuticals Australia Pty Limited,Small molecule,Enteric coated tablet,Oral,approved,authorised,07.09.2012,2012,yes,yes,Induction and maintenance treatment of lupus nephritis,"Induction and maintenance treatment of adult patients with WHO Class III, IV or V lupus nephritis",Diseases of the genitourinary system,Not reported,Not reported,yes,Not reported
auspar-hepsera.pdf,96916,PM-2009-00296-3-2,Hepsera,Adefovir dipivoxil,Gilead Sciences Pty Ltd,Small molecule,Tablet,Oral,approved,authorised,29.04.2010,2010,no,yes,Treatment of chronic hepatitis B in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases or histologically active disease.,Treatment of chronic hepatitis B in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases or histologically active disease.,Infectious and parasitic diseases,Not reported,Not reported,yes,Not reported
auspar-tocilizumab-rch-160929.pdf,234034,PM-2014-04309-1-3,Actemra,Tocilizumab,Roche Products Pty Ltd,Biologics,Solution for injection,Subcutaneous,approved,authorised,19.01.2016,2016,no,no,Treatment of moderate to severe active rheumatoid arthritis in adult patients,Treatment of moderate to severe active rheumatoid arthritis in adult patients,Diseases of the musculoskeletal system and connective tissue,Not reported,Not reported,no,NA
auspar-prevenar13.pdf,Not reported,Not reported,Prevenar 13,Pneumococcal Polysaccharide Conjugate Vaccine,Wyeth Australia Pty Ltd,Vaccine,Suspension for Injection,Intramuscular,approved,authorised,16.03.2010,2010,no,no,"Active immunisation for the prevention of disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, and 23F in infants and children from 6 weeks to 5 years of age.","Active immunisation for the prevention of disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, and 23F (including invasive disease, pneumonia and acute otitis media) in infants and children from 6 weeks up to 5 years of age.",Infectious and parasitic diseases,Not reported,Not reported,no,NA
auspar-ravulizumab-191113.pdf,311926,PM-2018-05023-1-6,Ultomiris,Ravulizumab,Alexion Pharmaceuticals Australasia Pty Ltd,Biologics,"Injection, intravenous solution",Intravenous,approved,authorised (under additional monitoring),08.10.2019,2019,yes,no,treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH),treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH),Diseases of the blood and blood-forming organs,02.01.2019,2019,yes,Not reported
auspar-tibsovo-231003.pdf,391874,PM-2022-02134-1-4,Tibsovo,Ivosidenib,Servier Laboratories (Aust) Pty Ltd,Small molecule,Film-coated tablet,Oral,approved,authorised (under additional monitoring),04.04.2023,2023,yes,no,"Treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an isocitrate dehydrogenase-1 (IDH1) mutation, who were previously treated by at least one prior line of systemic therapy.",Treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an isocitrate dehydrogenase-1 (IDH1) R132 mutation after at least one prior line of systemic therapy.,Neoplasms; Diseases of the digestive system,01.08.2022,2022,no,NA
auspar-saxagliptin-131015.pdf,"AUST R 196044, AUST R 196045, AUST R 196046",PM-2012-00296-3-5,Kombiglyze,Saxagliptin / metformin hydrochloride,Bristol-Myers Squibb Australia Pty Ltd,Small molecule,Film coated tablets,Oral,approved,authorised,01.05.2013,2013,no,no,As an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus when treatment with both saxagliptin and metformin is appropriate.,As an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus when treatment with both saxagliptin and metformin is appropriate.,"Endocrine, nutritional, and metabolic diseases",Not reported,Not reported,no,NA
auspar-paritaprevir-ritonavir-ombitasvir-dasabuvir-sodium-salt-170324.pdf,224612,PM-2014-01436-1-2,Viekira Pak,Paritaprevir / Ritonavir / Ombitasvir / Dasabuvir,AbbVie Pty Ltd,Small molecule,"Tablet, film coated",oral,approved,authorised,01.07.2015,2015,no,no,"treatment of genotype 1 chronic Hepatitis C infection, including patients with cirrhosis","treatment of genotype 1 chronic hepatitis C infection, including patients with compensated cirrhosis",Infectious and parasitic diseases,Not reported,Not reported,no,NA
auspar-tenofovir-disoproxil-fumarate-170601.pdf,194081,PM-2014-01079-1-2,Stribild,Tenofovir disoproxil fumarate / Emtricitabine / Elvitegravir / Cobicistat,Gilead Sciences Pty Ltd,Small molecule,Tablet,Oral,approved,authorised,01.07.2015,2015,no,yes,Stribild is indicated as a single tablet regimen for the treatment of HIV infection in treatment naive adults or adults who have no known mutations associated with resistance to the individual components of Stribild.,Stribild is indicated as a single tablet regimen for the treatment of HIV infection in treatment naive adults. Stribild is also indicated in certain virologically suppressed (HIV-1 RNA < 50 copies/mL) adult patients on a stable antiretroviral regimen at start of therapy in order to replace their current antiretroviral treatment regimen.,Infectious and parasitic diseases,22.02.2013,2013,yes,Not reported
auspar-cenegermin-rbe-191126.pdf,310960,PM-2018-04728-1-5,Oxervate,Cenegermin,JACE Pharma Pty Ltd,Biologics,"Eye drops, Solution",Ophthalmic,approved,authorised (under additional monitoring),16.09.2019,2019,yes,no,Treatment of moderate (persistent epithelial defect) or severe (corneal ulcer) neurotrophic keratitis in adults.,Treatment of moderate (persistent epithelial defect) or severe (corneal ulcer) neurotrophic keratitis in adults.,Diseases of the eye and adnexa,31.10.2018,2018,no,NA
auspar-spy-agent-green-240808.pdf,369670,PM-2021-02677-1-2,Spy Agent Green,Indocyanine green,Stryker Australia Pty Ltd,Small molecule,Powder for injection,Intravenous and interstitial,approved,authorised,19.02.2024,2024,no,no,"Visualisation of vessels, blood flow and tissue perfusion; Visualisation of extrahepatic biliary ducts; Visualisation of lymph nodes and lymphatic vessels during lymphatic mapping for cervical and uterine tumours","Visualisation of vessels, blood flow and tissue perfusion in adults and paediatric patients from one month of age and above; Visualisation of extrahepatic biliary ducts in adults and children from 12 years of age and above; Visualisation of lymph nodes and lymphatic vessels in women with cervical or uterine solid tumours for which lymphatic mapping is a component of intraoperative management",Neoplasms; Diseases of the circulatory system; Diseases of the digestive system,02.08.2021,2021,yes,Not reported
auspar-beclometasone-dipropionate-formoterol-fumarate-glycopyrronium-bromide-201102.pdf,314166,PM-2019-00405-1-5,Trimbow,Beclometasone dipropionate / formoterol fumarate dihydrate / glycopyrronium bromide,Emerge Health Pty Ltd,Small molecule,Pressurised inhalation solution,Inhalation,approved,authorised,18.06.2020,2020,no,no,Maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid (ICS) and a long-acting beta2-agonist (LABA) or a combination of a LABA and a long-acting muscarinic antagonist (LAMA),Maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid (ICS) and a long-acting beta2-agonist (LABA) or a combination of a LABA and a long-acting muscarinic antagonist (LAMA),Diseases of the respiratory system,10.05.2019,2019,no,NA
