Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
intravenous,30.10.2009,2009,authorised,PMDA,approved,26.12.2009,2009,Infectious and parasitic diseases,000153628.pdf,Small molecule,Rapiacta,Influenza A or B virus infection,<Influenza>,no,Influenza A or B virus infection,<Influenza>,"Shionogi & Co., Ltd.",Shionogi,000153628,Peramivir,no,no,solution,Not reported,NA
subcutaneous,25.05.2018,2018,authorised,PMDA,approved,22.02.2019,2019,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000239461.pdf,Biologics,Skyrizi,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients with inadequate response to conventional therapies",<Psoriasis>; <Psoriatic Arthritis>,no,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients with inadequate response to conventional therapies","<Psoriasis>; <Arthritis, Psoriatic>",AbbVie GK,AbbVie,000239461,Risankizumab,no,no,solution,Not reported,NA
oral,04.02.2015,2015,authorised,PMDA,approved,09.11.2015,2015,"Endocrine, nutritional, and metabolic diseases",000218646.pdf,Small molecule,Suiny,Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,yes,Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,"Sanwa Kagaku Kenkyusho Co., Ltd.",Sanwa Kagaku Kenkyusho,000218646,Anagliptin,yes,no,tablet,Not reported,Not reported
oral,02.11.2018,2018,authorised,PMDA,approved,21.02.2019,2019,Diseases of the circulatory system,000237869.pdf,Small molecule,Vyndaqel,Delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy; Transthyretin amyloid cardiomyopathy (wild-type or variant),<Transthyretin Familial Amyloid Polyneuropathy>; <Transthyretin Amyloid Cardiomyopathy>,yes,Delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy; Reductions in all-cause mortality and the frequency of cardiovascular-related hospitalizations in patients with transthyretin amyloid cardiomyopathy (wild-type or variant),<Transthyretin Familial Amyloid Polyneuropathy>; <Transthyretin Amyloid Cardiomyopathy>,Pfizer Japan Inc.,Pfizer,000237869,Tafamidis Meglumine,yes,yes,Capsule,Not reported,Not reported
oral,30.05.2014,2014,authorised,PMDA,approved,24.04.2015,2015,Diseases of the respiratory system; Diseases of the skin,000216694.pdf,Small molecule,Talion,"Allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)",<Allergic Rhinitis>; <Urticaria>; <Pruritus>; <Eczema>; <Dermatitis>; <Prurigo>; <Cutaneous Pruritus>,yes,"Allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)",<Allergic Rhinitis>; <Urticaria>; <Eczema>; <Dermatitis>; <Prurigo>; <Pruritus>,Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,000216694,Bepotastine Besilate,yes,no,tablet,Not reported,Not reported
subcutaneous,21.07.2017,2017,authorised,PMDA,approved,02.03.2018,2018,Diseases of the blood and blood-forming organs,000236236.pdf,Biologics,Hemlibra,Reduction in bleeding tendency in patients with congenital blood coagulation factor VIII deficiency with blood coagulation factor VIII inhibitors,<Blood Coagulation Disorders>,no,Reduction in bleeding tendency in patients with congenital blood coagulation factor VIII deficiency with blood coagulation factor VIII inhibitors,<Congenital Blood Coagulation Factor VIII Deficiency>,"Chugai Pharmaceutical Co., Ltd.",Chugai,000236236,Emicizumab,no,yes,injection,Not reported,NA
intravenous,29.11.2018,2018,authorised,PMDA,approved,05.08.2019,2019,Diseases of the musculoskeletal system and connective tissue,000235893.pdf,Biologics,Benlysta,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,<Systemic Lupus Erythematosus>,yes,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,<Systemic Lupus Erythematosus>,GlaxoSmithKline K.K.,GlaxoSmithKline,000235893,Belimumab,yes,no,Powder,Not reported,Not reported
intravenous,27.12.2016,2016,authorised,PMDA,approved,22.08.2017,2017,Neoplasms; Diseases of the digestive system,000223203.pdf,Biologics,Opdivo,Treatment of unresectable advanced or recurrent gastric cancer that has progressed after cancer chemotherapy,<Gastric Cancer>,yes,Treatment of unresectable advanced or recurrent gastric cancer,<Gastric Cancer>,"Ono Pharmaceutical Co., Ltd.",Ono,000223203,Nivolumab,yes,no,Injection,Not reported,Not reported
oral,11.03.2016,2016,authorised,PMDA,approved,30.05.2017,2017,Diseases of the musculoskeletal system and connective tissue,000242825.pdf,Small molecule,Olumiant,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments,<Rheumatoid Arthritis>,no,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments,<Rheumatoid Arthritis>,Eli Lilly Japan K.K.,Eli Lilly,000242825,Baricitinib,no,no,tablet,Not reported,NA
oral,30.03.2016,2016,authorised,PMDA,approved,09.02.2017,2017,Diseases of the digestive system,000222647.pdf,Small molecule,Symproic,Opioid-induced constipation,<Constipation>,no,Opioid-induced constipation,<Constipation>,"Shionogi & Co., Ltd.",Shionogi,000222647,Naldemedine Tosilate,no,no,tablet,Not reported,NA
oral,29.02.2008,2008,authorised,PMDA,approved,29.01.2010,2010,Mental and behavioural disorders,000153012.pdf,Small molecule,Rozerem,Improvement of sleep-onset insomnia,<Insomnia>,no,Insomnia,<Insomnia>,Takeda Pharmaceutical Company Limited,Takeda,000153012,Ramelteon,no,no,tablet,Not reported,NA
subcutaneous,20.04.2017,2017,authorised,PMDA,approved,02.03.2018,2018,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000234741.pdf,Biologics,Tremfya,"Treatment of plaque psoriasis, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",<Psoriasis>; <Psoriatic Arthritis>,no,"Treatment of plaque psoriasis, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",<Psoriasis>; <Psoriatic Arthritis>,Janssen Pharmaceutical K.K.,Janssen,000234741,Guselkumab,no,no,solution,Not reported,NA
oral,25.11.2014,2014,authorised,PMDA,approved,28.08.2015,2015,Diseases of the skin,000245812.pdf,Small molecule,Zagallo,Androgenetic alopecia in men,<Androgenetic Alopecia>,yes,"Hair growth, hair restoration, and prevention of the progression of hair loss in men with androgenetic alopecia",<Androgenetic Alopecia>,GlaxoSmithKline K.K.,GlaxoSmithKline,000245812,Dutasteride,yes,no,capsule,Not reported,Not reported
intravenous,27.07.2016,2016,authorised,PMDA,approved,Not reported,2017,Neoplasms,000223201.pdf,Biologics,Opdivo,Treatment of recurrent or distant metastatic head and neck cancer,<Head and Neck Neoplasms>,yes,Treatment of recurrent or distant metastatic head and neck cancer,<Head and Neck Neoplasms>,"Ono Pharmaceutical Co., Ltd.",Ono,000223201,Nivolumab,yes,no,Injection,Not reported,Not reported
intravenous,13.12.2021,2021,authorised,PMDA,approved,07.01.2022,2022,Infectious and parasitic diseases; Diseases of the respiratory system,000246328.pdf,Biologics,Actemra,Pneumonia caused by SARS-CoV-2 infection (COVID-19) (limited to patients requiring supplemental oxygen),<Pneumonia>,yes,Pneumonia caused by SARS-CoV-2 infection (COVID-19) (limited to patients requiring supplemental oxygen),<Pneumonia>; <COVID-19>,"Chugai Pharmaceutical Co., Ltd.",Chugai,000246328,Tocilizumab,yes,no,concentrate,Not reported,Not reported
intravenous,26.04.2021,2021,authorised,PMDA,approved,09.02.2022,2022,Neoplasms; Diseases of the digestive system,000263433.pdf,Biologics,Herceptin,HER2-overexpressing breast cancer; Unresectable advanced or recurrent HER2-overexpressing gastric cancer; Unresectable advanced or recurrent HER2-positive salivary gland carcinoma; Unresectable advanced or recurrent HER2-positive colorectal cancer that has progressed after cancer chemotherapy,<Breast Neoplasms>; <Stomach Neoplasms>; <Salivary Gland Neoplasms>; <Colorectal Neoplasms>,yes,HER2-overexpressing breast cancer; Unresectable advanced or recurrent HER2-overexpressing gastric cancer; Unresectable advanced or recurrent HER2-overexpressing colorectal cancer,<Breast Neoplasms>; <Stomach Neoplasms>; <Colorectal Neoplasms>,"Chugai Pharmaceutical Co., Ltd.",Chugai,000263433,Trastuzumab,yes,no,Lyophilized powder,Not reported,Not reported
oral,31.10.2003,2003,authorised,PMDA,approved,31.01.2007,2007,"Endocrine, nutritional, and metabolic diseases",000153400.pdf,Small molecule,Zetia,"Hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",<Hypercholesterolemia>; <Sitosterolemia>,no,"Hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",<Hypercholesterolemia>; <Sitosterolemia>,Schering-Plough K.K.,Schering-Plough,000153400,Ezetimibe,no,no,tablet,Not reported,NA
oral,28.09.2005,2005,authorised,PMDA,approved,28.11.2008,2008,Diseases of the nervous system,000235932.pdf,Small molecule,Trerief,Parkinson’s disease (for patients who did not respond adequately to a combination of levodopa-containing drugs with other antiparkinsonian drugs),<Parkinson Disease>,yes,Parkinson’s disease (for patients who have not responded adequately to a combination of levodopa-containing drugs with other antiparkinsonian drugs),<Parkinson Disease>,"Dainippon Sumitomo Pharma Co., Ltd.",Dainippon Sumitomo,000235932,Zonisamide,no,no,tablet,Not reported,NA
oral,15.03.2013,2013,authorised,PMDA,approved,24.01.2014,2014,"Endocrine, nutritional, and metabolic diseases",000210230.pdf,Small molecule,Forxiga,Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,no,Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,Bristol-Myers K.K.,Bristol-Myers,000210230,Dapagliflozin,no,no,tablet,Not reported,NA
oral,21.12.2015,2015,authorised,PMDA,approved,11.11.2016,2016,Infectious and parasitic diseases,000226231.pdf,Small molecule,Ximency,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients without cirrhosis or with compensated cirrhosis,<Chronic Hepatitis C>,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients without cirrhosis or with compensated cirrhosis,<Chronic Hepatitis C>,Bristol-Myers Squibb K.K.,Bristol-Myers Squibb,000226231,Daclatasvir Hydrochloride/Asunaprevir/Beclabuvir Hydrochloride,no,no,tablet,Not reported,NA
intravenous,05.01.2015,2015,authorised,PMDA,approved,31.08.2015,2015,Neoplasms,000216480.pdf,Small molecule,Yondelis,Soft tissue sarcomas,<Soft Tissue Neoplasms>,no,"Soft tissue sarcomas of the following histological subtypes: myxoid/round cell liposarcoma, synovial sarcoma, alveolar rhabdomyosarcoma, extra-osseous Ewing’s sarcoma/primitive neuroectodermal tumor, dermatofibrosarcoma protuberans, low-grade fibromyxoid sarcoma, alveolar soft part sarcoma, clear cell sarcoma, angiomatoid fibrous histiocytoma, desmoplastic small round cell tumor, extraskeletal myxoid chondrosarcoma, mesenchymal chondrosarcoma, giant cell fibroblastoma, and endometrial stromal sarcoma.",<Soft Tissue Sarcomas>,"Taiho Pharmaceutical Co., Ltd.",Taiho,000216480,Trabectedin,no,yes,Lyophilized powder,Not reported,NA
Inhalation,22.04.2013,2013,authorised,PMDA,approved,30.04.2014,2014,Diseases of the respiratory system,000208866.pdf,Small molecule,Anoro Ellipta,Relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),<Chronic Obstructive Pulmonary Disease>,no,Relief of symptoms of obstructive airway disorder due to chronic obstructive pulmonary disease (chronic bronchitis and pulmonary emphysema),<Chronic Obstructive Pulmonary Disease>,GlaxoSmithKline K.K.,GlaxoSmithKline,000208866,Umeclidinium Bromide/ Vilanterol Trifenatate,no,no,powder,Not reported,NA
oral,21.12.2011,2011,authorised,PMDA,approved,30.11.2012,2012,Diseases of the circulatory system,000208682.pdf,Small molecule,Eliquis,Reduction of the risk of ischemic stroke and systemic embolism in patients with nonvalvular atrial fibrillation,<Ischemic Stroke>; <Embolism>; <Atrial Fibrillation>,no,Reduction of the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation,<Stroke>; <Embolism>; <Atrial Fibrillation>,Bristol-Myers K.K.,Bristol-Myers,000208682,Apixaban,no,no,tablet,Not reported,NA
oral,28.08.2019,2019,authorised,PMDA,approved,26.02.2020,2020,Neoplasms; Diseases of the nervous system,000237315.pdf,Small molecule,Velexbru,Recurrent or refractory primary central nervous system lymphoma,<Central Nervous System Neoplasms>,no,Recurrent or refractory primary central nervous system lymphoma,<Central Nervous System Neoplasms>,"Ono Pharmaceutical Co., Ltd.",Ono,000237315,Tirabrutinib Hydrochloride,no,yes,tablet,Not reported,NA
oral,14.02.2017,2017,authorised,PMDA,approved,08.09.2017,2017,Infectious and parasitic diseases,000230308.pdf,Small molecule,Maviret,Improvement of viremia in patients with chronic hepatitis C or compensated cirrhosis type C,<Chronic Hepatitis C>; <Liver Cirrhosis>,no,Improvement of viremia in patients with chronic hepatitis C or compensated cirrhosis type C,<Chronic Hepatitis C>; <Liver Cirrhosis>,AbbVie GK,AbbVie,000230308,Glecaprevir Hydrate/Pibrentasvir,no,no,tablet,Not reported,NA
oral,27.06.2014,2014,authorised,PMDA,approved,05.03.2015,2015,Infectious and parasitic diseases,000210796.pdf,Small molecule,Sovaldi,Suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis C patients with or without compensated cirrhosis,<Chronic Hepatitis C>; <Liver Cirrhosis>,no,Suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis C patients with or without compensated cirrhosis,<Chronic Hepatitis C>; <Liver Cirrhosis>,Gilead Sciences K.K.,Gilead,000210796,Sofosbuvir,no,no,tablet,Not reported,NA
intravenous,08.11.2019,2019,authorised,PMDA,approved,07.07.2020,2020,Neoplasms; Diseases of the digestive system,000245967.pdf,Biologics,Keytruda,"Radically unresectable, advanced or recurrent PD-L1 positive esophageal squamous cell carcinoma that has progressed after cancer chemotherapy",<Esophageal Squamous Cell Carcinoma>,yes,"Unresectable, advanced or recurrent esophageal cancer",<Esophageal Neoplasms>,MSD K.K.,MSD,000245967,Pembrolizumab,yes,no,Injection,Not reported,Not reported
subcutaneous,29.07.2020,2020,authorised,PMDA,approved,03.03.2022,2022,Diseases of the skin,000252994.pdf,Biologics,Mitchga,Treatment of pruritus associated with atopic dermatitis (only for patients who are inadequately controlled by conventional treatments),"<Pruritus>; <Dermatitis, Atopic>",no,Treatment of pruritus associated with atopic dermatitis (only for patients who are inadequately controlled by conventional treatments),"<Pruritus>; <Dermatitis, Atopic>","Maruho Co., Ltd.",Maruho,000252994,Nemolizumab,no,no,solution,Not reported,NA
oral,30.08.2017,2017,authorised,PMDA,approved,08.06.2018,2018,Diseases of the nervous system,000235933.pdf,Small molecule,Trerief,Parkinsonism in dementia with Lewy bodies,<Parkinsonism>; <Dementia with Lewy Bodies>,yes,Parkinsonism in dementia with Lewy bodies,<Parkinsonism>; <Dementia with Lewy Bodies>,"Sumitomo Dainippon Pharma Co., Ltd.",Sumitomo Dainippon,000235933,Zonisamide,yes,no,tablet,Not reported,Not reported
cutaneous,23.10.2012,2012,authorised,PMDA,approved,30.04.2014,2014,Infectious and parasitic diseases; Diseases of the skin,000211073.pdf,Small molecule,Clenafin,Tinea unguium,<Tinea Unguium>,no,Onychomycosis,<Onychomycosis>,"Kaken Pharmaceutical Co., Ltd.",Kaken,000211073,Efinaconazole,no,no,solution,Not reported,NA
oral,14.02.2022,2022,authorised,PMDA,approved,Not reported,2022,Neoplasms,000267330.pdf,Small molecule,TS-1,"Adjuvant therapy for hormone receptor-positive, HER2-negative breast cancer with a high risk of recurrence",<Breast Neoplasms>,yes,"Adjuvant therapy for hormone receptor-positive, HER2-negative breast cancer with a high risk of recurrence",<Breast Neoplasms>,"Taiho Pharmaceutical Co., Ltd.",Taiho,000267330,Tegafur/Gimeracil/Oteracil Potassium,yes,no,capsule,Not reported,Not reported
intravenous,18.03.2016,2016,authorised,PMDA,approved,11.11.2016,2016,Neoplasms; Diseases of the blood and blood-forming organs,000223200.pdf,Biologics,Opdivo,Treatment of relapsed or refractory classical Hodgkin lymphoma,<Classical Hodgkin Lymphoma>,yes,Treatment of relapsed or refractory classical Hodgkin lymphoma,<Classical Hodgkin Lymphoma>,"Ono Pharmaceutical Co., Ltd.",Ono,000223200,Nivolumab,yes,yes,injection,Not reported,Not reported
subcutaneous,29.10.2015,2015,authorised,PMDA,approved,09.09.2016,2016,Diseases of the eye and adnexa,000224547.pdf,Biologics,Humira,"Non-infectious intermediate uveitis, posterior uveitis, or panuveitis",<Uveitis>,yes,"Non-infectious intermediate uveitis, posterior uveitis, or panuveitis",<Uveitis>,AbbVie GK,AbbVie,000224547,Adalimumab,yes,no,solution,Not reported,Not reported
oral,24.04.2015,2015,authorised,PMDA,approved,05.02.2016,2016,Mental and behavioural disorders; Diseases of the nervous system,000220043.pdf,Small molecule,Risperdal,Schizophrenia; Irritability associated with autism spectrum disorder in pediatric patients,<Schizophrenia>; <Autism Spectrum Disorder>,yes,Schizophrenia; Irritability associated with autistic disorder in pediatric patients,<Schizophrenia>; <Autistic Disorder>,Janssen Pharmaceutical K.K.,Janssen,000220043,Risperidone,no,no,tablet,Not reported,NA
intramuscular; subcutaneous,30.01.2007,2007,authorised,PMDA,approved,31.08.2007,2007,Infectious and parasitic diseases,000153773.pdf,Vaccine,Adsorbed Influenza Vaccine (H5N1) “HOKKEN”,Prophylaxis of pandemic influenza (H5N1),<Influenza>,no,Prophylaxis of pandemic influenza (H5N1),<Influenza>,The Kitasato Institute,Kitasato,000153773,Adsorbed Influenza Vaccine (H5N1),yes,yes,suspension,Not reported,Not reported
intramuscular,13.10.2022,2022,authorised,PMDA,approved,07.02.2023,2023,Infectious and parasitic diseases,000253046.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<SARS-CoV-2>,Pfizer Japan Inc.,Pfizer,000253046,Coronavirus Modified Uridine RNA Vaccine,yes,no,injection,Not reported,Not reported
ocular,30.05.2008,2008,authorised,PMDA,approved,26.02.2010,2010,Diseases of the eye and adnexa,000153954.pdf,Small molecule,Moistear,Dry eye,<Dry Eye Syndromes>,no,Corneal and conjunctival epithelial damage associated with dry eye (including Sjogren’s syndrome and Stevens-Johnson syndrome),<Corneal Diseases>; <Conjunctival Diseases>; <Dry Eye Syndromes>; <Sjögren's Syndrome>; <Stevens-Johnson Syndrome>,"Santen Pharmaceutical Co., Ltd.",Santen,000153954,Diquafosol Sodium,no,no,solution,Not reported,NA
oral,14.01.2022,2022,authorised,PMDA,approved,10.02.2022,2022,Infectious and parasitic diseases,000246305.pdf,Small molecule,Paxlovid,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,no,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,Pfizer Japan Inc.,Pfizer,000246305,Nirmatrelvir and Ritonavir,yes,no,tablet,Not reported,Not reported
intravenous,13.12.2016,2016,authorised,PMDA,approved,08.09.2017,2017,Diseases of the musculoskeletal system and connective tissue,000235894.pdf,Biologics,Benlysta,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,<Systemic Lupus Erythematosus>,no,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,<Systemic Lupus Erythematosus>,GlaxoSmithKline K.K.,GlaxoSmithKline,000235894,Belimumab,no,no,solution,Not reported,NA
oral,07.06.2016,2016,authorised,PMDA,approved,03.03.2017,2017,Neoplasms; Diseases of the blood and blood-forming organs,000226817.pdf,Small molecule,Mundesine,Relapsed or refractory peripheral T-cell lymphoma,<Peripheral T-Cell Lymphoma>,no,Relapsed or refractory peripheral T-cell lymphoma,<Peripheral T-Cell Lymphoma>,Mundipharma K.K.,Mundipharma,000226817,Forodesine Hydrochloride,no,yes,capsule,Not reported,NA
subcutaneous,03.03.2015,2015,authorised,PMDA,approved,12.11.2015,2015,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000216877.pdf,Biologics,Cosentyx,"Treatment of psoriasis vulgaris, psoriatic arthritis, and pustular psoriasis (generalized) in patients who have had an inadequate response to conventional therapy",<Psoriasis>; <Psoriatic Arthritis>,yes,"Treatment of psoriasis vulgaris, psoriatic arthritis, and pustular psoriasis (generalized) in patients who have had an inadequate response to conventional therapy","<Psoriasis>; <Arthritis, Psoriatic>",Novartis Pharma K.K.,Novartis,000216877,Secukinumab,yes,no,solution,Not reported,Not reported
oral,12.02.2015,2015,authorised,PMDA,approved,31.08.2015,2015,Infectious and parasitic diseases,000216650.pdf,Small molecule,Viekirax,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,<Chronic Hepatitis C>; <Cirrhosis>,no,"Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients, including those with compensated cirrhosis",<Chronic Hepatitis C>; <Liver Cirrhosis>,AbbVie GK,AbbVie,000216650,Ombitasvir Hydrate/Paritaprevir Hydrate/Ritonavir,no,no,tablet,Not reported,NA
oral,18.06.2010,2010,authorised,PMDA,approved,01.06.2011,2011,Diseases of the genitourinary system,000204240.pdf,Small molecule,Betanis,"Urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",<Overactive Bladder>,no,"Urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",<Overactive Urinary Bladder>,Astellas Pharma Inc.,Astellas,000204240,Mirabegron,no,no,tablet,Not reported,NA
intravenous,12.11.2019,2019,authorised,PMDA,approved,15.07.2020,2020,Neoplasms; Diseases of the digestive system,000244664.pdf,Biologics,Opdivo,"Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy",<Colorectal Neoplasms>,yes,"Unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy",<Colorectal Neoplasms>,"Ono Pharmaceutical Co., Ltd.",Ono,000244664,Nivolumab,yes,no,Injection,Not reported,Not reported
Intravenous,21.04.2006,2006,authorised,PMDA,approved,22.02.2007,2007,Neoplasms; Diseases of the digestive system,000224437.pdf,Biologics,Avastin,Unresectable advanced or recurrent colorectal cancer,<Colorectal Neoplasms>,no,Unresectable advanced or recurrent colorectal cancer,<Colorectal Neoplasms>,"Chugai Pharmaceutical Co., Ltd.",Chugai,000224437,Bevacizumab,no,no,Injection,Not reported,NA
