Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,01.07.2020,2020,authorised,SWISSMEDIC,approved,19.11.2021,2021,Infectious and parasitic diseases; Diseases of the respiratory system,swisspar_xofluza.pdf,Small molecule,Xofluza,Post-exposure prophylaxis of influenza in individuals aged 12 years and above,<Influenza>,yes,Prophylaxis of influenza,<Influenza>,Roche Pharma (Schweiz) AG,Roche,67426,baloxavirum marboxilum,no,no,tablet,Not reported,NA
oral,16.07.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,26.04.2021,2021,Neoplasms; Diseases of the respiratory system,swisspar_tabrecta.pdf,Small molecule,Tabrecta,Tabrecta is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) with a MET exon 14 skipping mutation.,<Non-Small Cell Lung Carcinoma>,no,Tabrecta is indicated for the treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with a MET-Exon-14-skipping mutation.,<Non-Small Cell Lung Cancer>,Novartis Pharma Schweiz AG,Novartis,67648,capmatinib,yes,yes,tablet,Not reported,FDA
oral,29.11.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,01.07.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_inrebic-1.pdf,Small molecule,INREBIC,"Inrebic is indicated for the treatment of splenomegaly or disease-associated symptoms in intermediate or high risk patients who have failed to respond, or are intolerant, to ruxolitinib.",<Not Reported>,no,Inrebic is a kinase inhibitor indicated for the treatment of adult patients with intermediate-2 or high-risk primary or secondary (post-polycythaemia vera or post-essential thrombocythaemia) myelofibrosis (MF).,<Myelofibrosis>,Celgene GmbH,Celgene,67792,fedratinib as fedratinib dihydrochloride monohydrate,yes,yes,capsule,Not reported,FDA
intranasal,01.04.2021,2021,authorised,SWISSMEDIC,approved,11.05.2022,2022,Infectious and parasitic diseases; Diseases of the respiratory system,swisspar_fluenz_tetra_final.pdf,Vaccine,FLUENZ TETRA,Active immunisation in children and adolescents from 24 months to 18 years of age. For prophylaxis of influenza caused by the two influenza A virus subtypes and the two influenza B virus subtypes contained in the vaccine.,<Influenza>,no,Prophylaxis of influenza in children and adolescents from 24 months to 18 years of age.,<Influenza>,AstraZeneca AG,AstraZeneca,68462,"reassortant live attenuated influenza virus strains of types A/H1N1, A/H3N2, B/Yamagata and B/Victoria",yes,no,suspension,Not reported,EMA
intravenous,08.12.2021,2021,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,26.08.2022,2022,"Endocrine, nutritional, and metabolic diseases",swisspar_lamzede.pdf,Biologics,Lamzede,Enzyme replacement therapy for the treatment of non-neurological manifestations in patients with mild to moderate alpha-mannosidosis.,<Alpha-Mannosidosis>,no,Enzyme replacement therapy for non-neurological manifestations in patients with mild to moderate alpha-mannosidosis.,<Alpha-Mannosidosis>,Chiesi SA,Chiesi,68591,velmanasum alfa,no,yes,powder,Not reported,NA
oral,08.05.2019,2019,authorised,SWISSMEDIC,approved,11.08.2020,2020,Diseases of the nervous system,swisspar_zeposia.pdf,Small molecule,Zeposia,Zeposia is indicated for the treatment of adult patients with relapsing remitting multiple sclerosis (MS).,"<Multiple Sclerosis, Relapsing-Remitting>",no,Zeposia is indicated for the treatment of adults with relapsing multiple sclerosis (RMS).,"<Multiple Sclerosis, Relapsing-Remitting>",Celgene GmbH,Celgene,67046,ozanimod,no,no,capsule,Not reported,NA
ocular,22.07.2022,2022,authorised,SWISSMEDIC,approved,03.10.2023,2023,Diseases of the eye and adnexa,swisspar_roclanda.pdf,Small molecule,Roclanda,Reduction of elevated intraocular pressure (IOP) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy with a prostaglandin provides insufficient IOP reduction.,"<Glaucoma, Open-Angle>; <Ocular Hypertension>",no,Reduction of elevated intraocular pressure (IOP) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy with a prostaglandin or netarsudil provides insufficient IOP reduction.,"<Glaucoma, Open-Angle>; <Ocular Hypertension>",Santen SA,Santen,69043,"latanoprost, netarsudil",yes,no,solution,Not reported,CHMP
intravenous,25.11.2019,2019,authorised,SWISSMEDIC,approved,20.12.2021,2021,Diseases of the circulatory system,swisspar_heparin_sintetica.pdf,Biologics,Heparin Sintetica,"Treatment of thromboembolic disease of all causes and at any site, and relay treatment following thrombolytic therapy; in the event of myocardial infarction; inhibition of coagulation in the event of extracorporeal circulation and haemodialysis.",<Thromboembolism>; <Myocardial Infarction>,no,"Treatment of thromboembolic disease of all causes and at any site, and relay treatment following thrombolytic therapy; in the event of myocardial infarction; inhibition of coagulation in the event of extracorporeal circulation and haemodialysis.",<Thromboembolism>; <Myocardial Infarction>,Sintetica SA,Sintetica,67780,heparin sodium,yes,no,solution,Not reported,NA
intravenous,23.11.2021,2021,authorised,SWISSMEDIC,approved,03.03.2023,2023,Neoplasms,swisspar_locametz.pdf,Peptides and proteins,Locametz,Radiodiagnostic for identification of PSMA-positive lesions in prostate cancer,<Prostatic Neoplasms>,no,Radiodiagnostic for identification of PSMA-positive lesions in prostate cancer,<Prostatic Neoplasms>,ADVANCED ACCELERATOR,Advanced Accelerator,68685,gozetotide,yes,no,kit for radiopharmaceutical preparation,Not reported,NA
intramuscular,09.02.2022,2022,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,09.09.2022,2022,Infectious and parasitic diseases,swisspar_evusheld-1.pdf,Biologics,Evusheld,pre-exposure prophylaxis of COVID-19 in adults and adolescents (12 years of age and older weighing at least 40 kg) unable to produce an adequate immune response to the SARS-CoV-2 vaccine and who are not currently infected with SARS-CoV-2 and who have not had recent contact with a person infected with SARS-CoV-2,<COVID-19>,no,prophylaxis of COVID-19 in adults and paediatric individuals (12 years of age and older weighing at least 40 kg),<COVID-19>,AstraZeneca AG,AstraZeneca,68704,cilgavimab / tixagevimab,yes,no,solution,Not reported,EMA
oral,12.04.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,12.08.2021,2021,"Neoplasms; Diseases of the respiratory system; endocrine, nutritional, and metabolic diseases",swisspar_gavreto-1.pdf,Small molecule,Gavreto,RET Fusion-Positive Non-Small Cell Lung Cancer; RET-Mutant Medullary Thyroid Cancer; RET Fusion-Positive Thyroid Cancer,<Non-Small Cell Lung Cancer>; <Medullary Thyroid Cancer>; <Thyroid Cancer>,no,GAVRETO is indicated for the treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC) and who have experienced progression after previous treatment. GAVRETO is indicated for the treatment of adult and paediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy and who have experienced progression after previous treatment. GAVRETO is indicated for the treatment of adult and paediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who have experienced progression after previous treatment including radioactive iodine.,"<Non-Small Cell Lung Carcinoma>; <Thyroid Neoplasms>; <Medullary Carcinoma, Thyroid>",Roche Pharma (Schweiz) AG,Roche,68182,pralsetinib,yes,yes,capsule,Not reported,US-FDA
oral,11.01.2019,2019,authorised,SWISSMEDIC,approved,20.01.2020,2020,Diseases of the musculoskeletal system and connective tissue,swisspar_rinvoq_final.pdf,Small molecule,Rinvoq,"RINVOQ is indicated for the treatment of adults with moderately to severely active rheumatoid arthritis, who had an inadequate response or are intolerant to a treatment with one or more conventional synthetic disease-modifying anti-rheumatic drugs (csDMARD).",<Rheumatoid Arthritis>,no,RINVOQ is indicated for the treatment of adults with moderately to severely active rheumatoid arthritis.,<Rheumatoid Arthritis>,AbbVie AG,AbbVie,67257,"upadacitinib, upadacitinib hemihydrate",no,no,tablet,Not reported,NA
oral,15.05.2019,2019,authorised,SWISSMEDIC,approved,24.03.2020,2020,"Endocrine, nutritional, and metabolic diseases; Diseases of the circulatory system",swisspar_rybelsus_final.pdf,Peptides and proteins,Rybelsus,Rybelsus is used in addition to diet and exercise to treat adults with inadequately controlled type 2 diabetes mellitus: as monotherapy in case of contraindication or intolerance of metformin; in combination with other blood glucose-lowering medicines.,<Type 2 Diabetes Mellitus>,no,Rybelsus is indicated for the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise. Rybelsus is indicated to reduce the risk of serious undesirable cardiovascular events in adult patients with type 2 diabetes mellitus and established cardiovascular risk and/or chronic renal disease.,<Type 2 Diabetes Mellitus>; <Cardiovascular Diseases>; <Chronic Kidney Diseases>,Novo Nordisk Pharma AG,Novo Nordisk,67446,semaglutide,no,no,tablet,Not reported,NA
intravenous,22.04.2022,2022,authorised,SWISSMEDIC,approved,13.09.2023,2023,Neoplasms; Diseases of the digestive system,swisspar_imjudo_na_nas.pdf,Biologics,Imjudo,Hepatocellular Carcinoma (HCC) IMJUDO in combination with durvalumab is indicated for the treatment of patients with unresectable hepatocellular carcinoma (uHCC) who have not received prior systemic therapy.,<Hepatocellular Carcinoma>,no,Tremelimumab (TRADENAME) in combination with durvalumab is indicated for the treatment of patients with unresectable hepatocellular carcinoma (uHCC).,<Hepatocellular Carcinoma>,AstraZeneca AG,AstraZeneca,68706,tremelimumab,no,yes,concentrate,Not reported,NA
intravenous,02.06.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,04.03.2024,2024,Diseases of the nervous system,swisspar_uplizna_na_nas.pdf,Biologics,Uplizna,Uplizna is indicated as monotherapy for the treatment of adult patients with neuromyelitis optica spectrum disorders (NMOSD) who are anti-aquaporin-4 immunoglobulin G (AQP4-IgG) seropositive,<Neuromyelitis Optica>,no,Uplizna is indicated as monotherapy for the treatment of adult patients with neuromyelitis optica spectrum disorders (NMOSD) who are anti-aquaporin-4 immunoglobulin G (AQP4-IgG) seropositive,<Neuromyelitis Optica>,Horizon Therapeutics,Horizon,69322,inebilizumab,yes,yes,concentrate,Not reported,EMA
oral,21.04.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,18.07.2024,2024,diseases of the digestive system; Diseases of the skin,swisspar_livmarli.pdf,Small molecule,Livmarli,treatment of cholestatic pruritus in patients with Alagille syndrome (ALGS) 3 months of age and older,<Alagille Syndrome>,no,treatment of cholestatic pruritus in patients with Alagille syndrome (ALGS) 3 months of age and older,<Cholestasis>; <Alagille Syndrome>,Mirum Pharmaceuticals AG,Mirum,69201,maralixibat chloride,yes,yes,solution,Not reported,FDA
subcutaneous,06.07.2023,2023,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,15.02.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_tepkinly_na_nas.pdf,Biologics,Tepkinly,"Monotherapy for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), after 2 or more lines of systemic therapy, including a CD20 antibody, where patient is unable to receive, or has previously received, anti-CD19-targeted CAR-T cell therapy.",<Diffuse Large B-Cell Lymphoma>,no,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after 2 or more lines of systemic therapy, where patient is unable to receive, or has previously received, CAR-T cell therapy.",<Diffuse Large B-Cell Lymphoma>,AbbVie AG,AbbVie,69161,epcoritamab,yes,yes,concentrate,Not reported,CHMP
intravenous,19.10.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,29.08.2023,2023,Diseases of the nervous system,swisspar_ultomiris_final.pdf,Biologics,Ultomiris,Neuromyelitis optica spectrum disorder (NMOSD),<Neuromyelitis Optica>,yes,Neuromyelitis optica spectrum disorder (NMOSD),<Neuromyelitis Optica>,Alexion Pharma GmbH,Alexion,67278,ravulizumab,yes,yes,concentrate,Not reported,NA
oral,08.03.2021,2021,authorised,SWISSMEDIC,approved,30.01.2023,2023,Diseases of the digestive system,swisspar_spaverin.pdf,Small molecule,Spaverin,"Symptomatic treatment of gastrointestinal complaints (pain, cramps) in the context of functional disorders of the gastrointestinal tract.",<Functional Gastrointestinal Disorders>,no,"Smooth muscle spasms in diseases of the hepato-biliary system: cholecystolithiasis, cholangiolithiasis, cholecystitis, pericholecystitis, cholangitis, papillitis. Smooth muscle spasms of the urogenital system: nephrolithiasis, ureterolithiasis, pyelitis, cystitis, tenesmus of urinary bladder. As adjuvant: Smooth muscle spasm of the gastrointestinal system: ventricular and duodenal ulcer, gastritis, spasm of the pylorus or cardia, enteritis, colitis, irritable colon syndrome predominantly with constipation or with abdominal distension. Tension-type headache. Gynaecological disease: dysmenorrhoea.",<Cholecystolithiasis>; <Cholangiolithiasis>; <Cholecystitis>; <Pericholecystitis>; <Cholangitis>; <Papillitis>; <Nephrolithiasis>; <Ureterolithiasis>; <Pyelitis>; <Cystitis>; <Tenesmus>; <Peptic Ulcer>; <Gastritis>; <Pyloric Stenosis>; <Cardia Stenosis>; <Enteritis>; <Colitis>; <Irritable Bowel Syndrome>; <Tension-Type Headache>; <Dysmenorrhea>,Target BioScience AG,Target BioScience,68410,drotaverine hydrochloride,yes,no,tablet,Not reported,Hungary
oral,22.04.2021,2021,withdrawn,SWISSMEDIC,approved,16.12.2021,2021,Neoplasms; Diseases of the respiratory system,swisspar_lumykras_final_mit_fi.pdf,Small molecule,Lumykras,LUMYKRAS is indicated as monotherapy for the treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-squamous non-small cell lung cancer (NSCLC) who have experienced progression after prior treatment with platinum-based chemotherapy and/or anti-PD-1/PD-L1 immunotherapy.,<Non-Small Cell Lung Carcinoma>,no,LUMYKRAS is indicated as monotherapy for the treatment of adult patients with previously treated KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC).,<Non-Small Cell Lung Cancer>,Amgen Switzerland AG,Amgen,67693,sotorasib,no,yes,tablet,Not reported,NA
oral,17.03.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,19.06.2023,2023,Diseases of the blood and blood-forming organs; Diseases of the genitourinary system,swisspar_vafseo_final.pdf,Small molecule,Vafseo,treatment of symptomatic anaemia associated with chronic kidney disease (CKD) in adults on chronic maintenance dialysis,<Anemia>; <Chronic Kidney Disease>,no,treatment of anaemia associated with chronic kidney disease (CKD) in adults,<Anaemia>; <Chronic Kidney Disease>,Voisin Consulting CH Sàrl,Voisin,68862,vadadustat,no,no,tablet,Not reported,NA
intravitreal,22.06.2021,2021,authorised,SWISSMEDIC,approved,25.05.2022,2022,"Diseases of the eye and adnexa; Endocrine, nutritional, and metabolic diseases",swisspar_vabysmo_final.pdf,Biologics,VABYSMO,neovascular (wet) age-related macular degeneration (nAMD); diabetic macular oedema (DME),<Macular Degeneration>; <Diabetic Retinopathy>,no,neovascular (wet) age-related macular degeneration (nAMD); diabetic macular oedema (DME),<Macular Degeneration>; <Diabetic Macular Edema>,Roche Pharma (Schweiz) AG,Roche,68395,faricimab,yes,no,solution,Not reported,Not reported
subcutaneous,15.07.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,13.06.2022,2022,Diseases of the respiratory system,swisspar_tezspire_final.pdf,Biologics,TEZSPIRE,in addition to inhaled maintenance therapy in adults with severe asthma with inadequate asthma control and at least one severe exacerbation in the past 12 months despite concomitant treatment with inhaled corticosteroids and long-acting bronchodilators,<Asthma>,no,adjunct to maintenance therapy in adults with severe asthma,<Asthma>,AstraZeneca AG,AstraZeneca,68454,tezepelumab,no,no,solution,Not reported,NA
oral,02.09.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,30.08.2022,2022,Diseases of the nervous system; Congenital malformations and chromosomal abnormalities,swisspar_epidyolex_ie-1.pdf,Small molecule,Epidyolex,adjunctive therapy of tuberous sclerosis complex (TSC) in patients 2 years of age and older,<Tuberous Sclerosis>,yes,adjunctive therapy of seizures associated with tuberous sclerosis complex (TSC) for patients 1 year of age and older,<Seizures>; <Tuberous Sclerosis>,DRAC AG,DRAC,67590,cannabidiol,yes,no,solution,Not reported,EMA
intravenous,11.05.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,18.04.2024,2024,Neoplasms; Diseases of the nervous system,swisspar_qarziba.pdf,Biologics,Qarziba,"Qarziba is used in combination with isotretinoin for the treatment of high-risk neuroblastoma in paediatric patients aged 12 months and above, who have previously received induction chemotherapy and achieved at least a partial response, followed by myeloablative therapy and stem cell transplantation.",<Neuroblastoma>,no,"Qarziba is indicated for the treatment of high-risk neuroblastoma in patients aged 12 months and above, who have previously received induction chemotherapy and achieved at least a partial response, followed by myeloablative therapy and stem cell transplantation, as well as patients with a history of relapsed or refractory neuroblastoma, with or without residual disease.",<Neuroblastoma>,Medius AG,Medius,67463,dinutuximab beta,yes,yes,concentrate,Not reported,EMA
oral,12.04.2019,2019,authorised,SWISSMEDIC,approved,19.06.2020,2020,Neoplasms,swisspar_nubeqa_final.pdf,Small molecule,NUBEQA,"NUBEQA, in combination with androgen deprivation therapy (ADT), is indicated for the treatment of adult patients with non-metastatic castration-resistant prostate cancer (nmCRPC) who are at high risk of developing metastatic disease (in particular PSADT ≤10 months; see “Clinical efficacy”).",<Prostatic Neoplasms>,no,"NUBEQA, in combination with androgen deprivation therapy (ADT), is indicated for the treatment of adult patients with non-metastatic, castration-resistant prostate cancer (nmCRPC) who are at high risk of developing metastases (in particular, PSADT ≤10 months).",<Prostatic Neoplasms>,Bayer (Schweiz) AG,Bayer,67521,darolutamidum,no,no,tablet,Not reported,NA
subcutaneous,26.08.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,08.08.2023,2023,Diseases of the blood and blood-forming organs,swisspar_alhemol.pdf,Biologics,Alhemo,Concizumab is indicated for the treatment of adolescent and adult patients (12 years of age or older) with haemophilia B (congenital factor IX [FIX] deficiency) who have FIX inhibitors and require routine prophylaxis to prevent or reduce the frequency of bleeding episodes.,<Hemophilia B>,no,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in patients from 12 years with haemophilia B (congenital factor IX [FIX] deficiency) with FIX inhibitors.,<Hemophilia B>,Novo Nordisk Pharma AG,Novo Nordisk,68844,concizumab,no,yes,solution,Not reported,NA
oral,03.11.2020,2020,authorised,SWISSMEDIC,approved,05.04.2022,2022,Diseases of the skin,swisspar_cibinqo_final.pdf,Small molecule,CIBINQO,treatment of moderate to severe atopic dermatitis in adults when therapy with topical medications does not provide adequate disease control or cannot be used,"<Dermatitis, Atopic>",no,moderate to severe atopic dermatitis in adults and patients 12 years of age and older who are candidates for systemic therapy,"<Dermatitis, Atopic>",Pfizer AG,Pfizer,68174,abrocitinib,yes,no,tablet,Not reported,Not reported
oral,01.09.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,22.03.2022,2022,Diseases of the nervous system; Diseases of the respiratory system,swisspar_sunosi.pdf,Small molecule,Sunosi,Sunosi is indicated to improve wakefulness and reduce excessive daytime sleepiness (EDS) in adult patients with obstructive sleep apnoea (OSA) whose EDS has not been satisfactorily treated by primary OSA therapy. Sunosi is indicated to improve wakefulness and reduce excessive sleepiness in adult patients with narcolepsy.,<Obstructive Sleep Apnea>; <Narcolepsy>,no,Sunosi is indicated to improve wakefulness and reduce excessive daytime sleepiness in adult patients with narcolepsy or obstructive sleep apnoea (OSA).,"<Narcolepsy>; <Sleep Apnea, Obstructive>",Clinipace AG,Clinipace,68177,solriamfetol,yes,no,tablet,Not reported,European Medicines Agency
oral,01.11.2022,2022,authorised,SWISSMEDIC,approved,07.06.2024,2024,Diseases of the digestive system,swisspar_rinvoq_morbus_crohn.pdf,Small molecule,Rinvoq,"treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, lost response, or were intolerant to at least 1 biologic agent, or for whom such a therapy is contraindicated.",<Crohn Disease>,yes,"treatment of adult patients with moderately to severely active Crohn's disease who have responded inadequately to, no longer respond to, or are intolerant of conventional therapy or a biologic, or for whom such therapies are inadvisable.",<Crohn Disease>,AbbVie AG,AbbVie,67257,upadacitinib as upadacitinib hemihydrate,yes,no,tablet,Not reported,NA
subcutaneous,02.03.2021,2021,authorised,SWISSMEDIC,approved,09.09.2022,2022,"Endocrine, nutritional, and metabolic diseases",swisspar_ngenla.pdf,Biologics,Ngenla,Growth disorders in children and adolescents aged 3 years and above in cases of proven growth hormone deficiency,<Growth Disorders>,no,long-term treatment of paediatric patients with growth disturbance due to insufficient secretion of growth hormone,<Growth Disorders>,Pfizer AG,Pfizer,68265,somatrogon,no,yes,solution,Not reported,NA
