Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency
"96426, 96427",pm-2012-02513-3-2,emtriva,emtricitabine,gilead sciences pty ltd,small molecule,capsule,oral,approved,authorised,09.04.2014,2014,yes,yes,treatment of hiv infected adults and paediatric patients 12 years of age and older in combination with other antiretroviral agents.,"treatment of hiv in combination with other antiretroviral agents in infected adults and paediatric patients 12 years of age and older, weighing more than 33 kg.",infectious and parasitic diseases,,,yes,,auspar-emtricitabine-140612.pdf,TGA
"173315, 173323, 173324",pm-2010-01887-3-2,evogam,normal (human) immunoglobulin,csl ltd,biologics,solution,subcutaneous,approved,authorised,24.01.2012,2012,no,no,replacement therapy in primary immunodeficiency disease and symptomatic hypogammaglobulinaemia secondary to underlying disease or treatment.,replacement therapy in primary immunodeficiency disease and symptomatic hypogammaglobulinaemia secondary to underlying disease or treatment.,diseases of the blood and blood-forming organs,10.04.2007,2007,yes,,auspar-normal-immunoglobulin-human-120507.pdf,TGA
"149402, 149403, 149404",pm-2012-01905-3-3,actemra,tocilizumab,roche products pty ltd,biologics,concentrate,intravenous,approved,authorised,04.10.2013,2013,no,yes,treatment of moderate to severe active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older who have had an inadequate response to or intolerance to methotrexate.,treatment of moderate to severe active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older who have had an inadequate response to or intolerance to methotrexate.,diseases of the musculoskeletal system and connective tissue,,,yes,,auspar-tocilizumab-140206.pdf,TGA
212325,pm-2013-01459-1-5,mirvaso,brimonidine,galderma australia pty ltd,small molecule,gel,topical,approved,authorised,01.08.2014,2014,no,no,for the treatment of facial erythema of rosacea in adult patients,for the treatment of facial erythema of rosacea in adult patients,diseases of the skin,,,yes,,auspar-brimonidine-as-tartrate-150123.pdf,TGA
263913,pm-2015-02803-1-3,antizol,fomepizole,aft pharmaceuticals,small molecule,concentrate,intravenous,approved,authorised,25.11.2016,2016,yes,no,antidote for ethylene glycol or methanol poisoning,treatment of ethylene glycol or methanol poisoning,"injury, poisoning and certain other consequences of external causes",06.01.2015,2015,yes,,auspar-fomepizole-170817.pdf,TGA
,pm-2015-00426-1-5,gliclazide gppl mr 30; gliclazide gxp mr 60; gliclazide genpar mr 60,gliclazide,generic partners pty ltd,small molecule,tablet,oral,withdrawn,withdrawn,23.02.2016,2016,no,no,type ii diabetes in association with dietary measures when dietary measures alone are inadequate to control blood glucose.,na,"endocrine, nutritional, and metabolic diseases",,,yes,na,auspar-gliclazide-160719.pdf,TGA
352151,pm-2020-06691-1-4,lutetium (177lu) chloride,lutetium (177lu) chloride,australian nuclear science and technology organisation (ansto),other,solution,intravenous,approved,authorised (under additional monitoring),08.12.2021,2021,yes,no,for the treatment of non resectable or metastatic neuroendocrine tumours (nets) expressing somatostatin subtype 2 receptors when coupled with a suitable carrier molecule.,for the treatment of non resectable or metastatic neuroendocrine tumours (nets) expressing somatostatin subtype 2 receptors when coupled with a suitable carrier molecule.,neoplasms,20.01.2021,2021,yes,,auspar-lutetium-177lu-chloride-20220916.pdf,TGA
"199538, 199539, 199540, 199541, 199542, 199543",pm-2012-01949-3-5,"nesina, vipidia",alogliptin,takeda pharmaceuticals australia pty ltd,small molecule,tablet,oral,approved,authorised,10.09.2013,2013,no,no,to improve glycaemic control in adult patients with type 2 diabetes mellitus when diet and exercise do not provide adequate glycaemic control.,"to improve glycaemic control in adult patients with type 2 diabetes mellitus when diet and exercise do not provide adequate glycaemic control, as add on to metformin, a sulphonylurea, a thiazolidinedione, insulin (with or without metformin), or in combination with metformin and a thiazolidinedione when dual therapy does not provide adequate glycaemic control.","endocrine, nutritional, and metabolic diseases",,,no,na,auspar-alogliptin-benzoate-140109.pdf,TGA
211684 and 211685,pm-2013-01517-1-4,ribomustin,bendamustine hydrochloride,janssen-cilag pty ltd,small molecule,powder,intravenous,approved,authorised,26.06.2014,2014,no,no,"first-line treatment of chronic lymphocytic leukaemia (binet stage b or c); previously untreated indolent cd20-positive, stage iii-iv non-hodgkin's lymphoma, in combination with rituximab; previously untreated cd20-positive, stage i/ii-iv mantle cell lymphoma in combination with rituximab, in patients ineligible for autologous stem cell transplantation; relapsed/refractory indolent non-hodgkin's lymphoma.","first-line treatment of chronic lymphocytic leukaemia (binet stage b or c); previously untreated indolent cd20-positive, stage iii-iv non-hodgkin's lymphoma, in combination with rituximab; previously untreated cd20-positive, stage i/ii-iv mantle cell lymphoma in combination with rituximab, in patients ineligible for autologous stem cell transplantation; relapsed/refractory indolent non-hodgkin's lymphoma.",neoplasms; diseases of the blood and blood-forming organs,,,yes,,auspar-bendamustine-150106.pdf,TGA
"267441, 267442, 267443, 267444 and 267445",pm-2020-02543-1-6,venclexta,venetoclax,abbvie pty ltd,small molecule,tablet,oral,approved,authorised (under additional monitoring),24.09.2021,2021,yes,no,acute myeloid leukaemia,acute myeloid leukaemia,neoplasms; diseases of the blood and blood-forming organs,30.06.2020,2020,yes,,auspar-venetoclax-220426.pdf,TGA
172244,pm-2010-01492-3-3,eliquis,apixaban,bristol-myers squibb australia pty ltd,small molecule,tablet,oral,approved,authorised,14.07.2011,2011,no,no,prevention of venous thromboembolic events (vte) in adult patients who have undergone elective hip or knee replacement surgery.,for the prevention of venous thromboembolic events (vte) in adult patients who have undergone elective total hip or total knee replacement surgery.,diseases of the musculoskeletal system and connective tissue; diseases of the circulatory system,,,no,na,auspar-eliquis.pdf,TGA
"185934, 185935",pm-2013-01123-1-1,pecfent,fentanyl,astrazeneca pty ltd,small molecule,solution,nasal,withdrawn,withdrawn,03.03.2014,2014,no,yes,management of breakthrough pain in adults with cancer who are already receiving maintenance opioid therapy for chronic pain.,na,neoplasms; diseases of the nervous system,,,yes,,auspar-fentanyl-140520.pdf,TGA
200674 and 210806,pm-2012-02287-3-2,fluarix tetra,influenza virus haemagglutinin,glaxosmithkline australia pty ltd,vaccine,suspension,intramuscular,approved,authorised,21.08.2013,2013,no,no,active immunisation of adults and children from 3 years of age for the prevention of influenza disease caused by the influenza virus types a and b contained in the vaccine.,active immunisation of adults and children from 3 years of age for the prevention of influenza disease caused by the influenza virus types a and b contained in the vaccine.,infectious and parasitic diseases,,,no,na,auspar-influenza-virus-140206.pdf,TGA
"389597,389598,389600,389599,389596",pm-2022-01578-1-6,esperoct,turoctocog alfa pegol,novo nordisk pharmaceuticals pty ltd,biologics,powder,intravenous,approved,authorised (under additional monitoring),31.05.2023,2023,no,no,for the treatment and prophylaxis of bleeding in previously treated patients with haemophilia a (congenital factor viii deficiency).,routine prophylactic treatment to prevent or reduce the frequency of bleeding episodes; on-demand treatment and control of bleeding episodes; peri-operative management of bleeding (surgical prophylaxis),diseases of the blood and blood-forming organs,03.06.2022,2022,no,na,auspar-esperoct-231024.pdf,TGA
225804,pm-2014-01472-1-5,saxenda,liraglutide,novo nordisk pharmaceuticals pty ltd,peptides and proteins,solution,subcutaneous,approved,authorised,23.12.2015,2015,no,yes,"chronic weight management in adult patients with an initial body mass index (bmi) of greater than or equal to 30 kg/m2 (obese); or greater than or equal to 27 kg/m2 to less than 30 kg/m2 (overweight) in the presence of at least one weight related comorbidity, such as dysglycaemia (pre-diabetes and type 2 diabetes mellitus), hypertension, dyslipidaemia, or obstructive sleep apnoea.","chronic weight management in adult patients with an initial body mass index (bmi) of greater than or equal to 30 kg/m2 (obese); or greater than or equal to 27 kg/m2 to less than 30 kg/m2 (overweight) in the presence of at least one weight related comorbidity, such as dysglycaemia (pre-diabetes and type 2 diabetes mellitus), hypertension, dyslipidaemia, or obstructive sleep apnoea.","endocrine, nutritional, and metabolic diseases",,,no,na,auspar-liraglutide-160323.pdf,TGA
"aust r 102134, aust r 102138, aust r 102139",pm-2011-01941-3-3,olmetec,olmesartan medoxomil,merck sharp & dohme (australia) pty ltd,small molecule,tablet,oral,approved,authorised,07.09.2012,2012,no,yes,for the treatment of hypertension,for the treatment of hypertension,diseases of the circulatory system,,,yes,,auspar-olmesartan-medoxomil-130226.pdf,TGA
172213; 172234; 172235,pm-2012-02256-3-5,levemir,insulin detemir,novo nordisk pharmaceuticals,peptides and proteins,solution,subcutaneous,approved,authorised,16.10.2013,2013,no,no,treatment of diabetes mellitus,treatment of diabetes mellitus,"endocrine, nutritional, and metabolic diseases",,,yes,,auspar-insulin-detemir-rys-140328.pdf,TGA
"319085, 319086",pm-2019-02568-1-6,sarclisa,isatuximab,sanofi-aventis australia pty ltd,biologics,concentrate,intravenous,approved,authorised (under additional monitoring),29.04.2020,2020,yes,no,"sarclisa is indicated in combination with pomalidomide and dexamethasone, for the treatment of patients with multiple myeloma (mm) who have received at least two prior therapies including lenalidomide and a proteasome inhibitor (pi).","sarclisa is indicated in combination with pomalidomide and dexamethasone, for the treatment of patients with multiple myeloma (mm) who have received at least two prior therapies including lenalidomide and a proteasome inhibitor (pi).",neoplasms; diseases of the blood and blood-forming organs,30.07.2019,2019,no,na,auspar-isatuximab-201102.pdf,TGA
"311926, 330566, 336710",pm-2023-02695-1-1,ultomiris,ravulizumab,alexion pharmaceuticals australasia pty ltd,biologics,solution,intravenous,approved,authorised,19.01.2024,2024,no,yes,treatment of adult patients with neuromyelitis optica spectrum disorder (nmosd) who are anti-aquaporin 4 (aqp4) antibody-positive,treatment of adult patients with neuromyelitis optica spectrum disorder (nmosd) who are anti-aquaporin 4 (aqp4) antibody-positive,diseases of the nervous system,31.07.2023,2023,yes,,auspar-ultomiris-240708.pdf,TGA
"228476, 228475, 228474",pm-2014-02782-1-3,spedra,avanafil,a.menarini australia pty ltd,small molecule,tablet,oral,approved,authorised,10.11.2015,2015,no,no,treatment of erectile dysfunction in men.,treatment of erectile dysfunction in adult males.,diseases of the genitourinary system,,,no,na,auspar-avanafil-161027.pdf,TGA
280432; 280433,pm-2016-02723-1-5,ryzodeg 70/30 flextouch; ryzodeg 70/30 penfill,insulin degludec; insulin aspart,novo nordisk pharmaceuticals pty ltd,peptides and proteins,solution,subcutaneous,approved,authorised,24.11.2017,2017,no,no,to improve glycaemic control in adult patients with diabetes mellitus requiring basal and prandial insulin.,to improve glycaemic control in adult patients with diabetes mellitus requiring basal and prandial insulin.,"endocrine, nutritional, and metabolic diseases",31.10.2016,2016,yes,,auspar-ryzodeg-180522.pdf,TGA
"238285, 238299, 238304, 238305",pm-2018-02973-1-3,praluent,alirocumab,sanofi-aventis australia pty ltd,biologics,solution,subcutaneous,approved,authorised,29.10.2019,2019,no,yes,primary hypercholesterolaemia and mixed dyslipidaemia,primary hypercholesterolaemia; prevention of cardiovascular events,"diseases of the circulatory system; endocrine, nutritional, and metabolic diseases",31.08.2018,2018,yes,,auspar-alirocumab-rch-191209.pdf,TGA
212274,pm-2013-01250-1-4,hemangiol,propranolol hydrochloride,pierre fabre medicament australia pty limited,small molecule,solution,oral,approved,authorised,18.06.2015,2015,yes,yes,treatment of proliferating infantile hemangioma requiring systemic therapy,treatment of proliferating infantile hemangioma requiring systemic therapy,neoplasms,,,yes,,auspar-propranolol-hydrochloride-150819.pdf,TGA
"457685, 457688, 457690, 457677, 457680, 457686, 459385, 457679, 459366",pm-2024-02578 1-1-2,comirnaty jn.1 covid-19 vaccine,bretovameran,pfizer australia pty ltd,vaccine,suspension,intramuscular,approved,authorised,10.10.2024,2024,no,no,"active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sars-cov-2, in individuals 6 months of age and older.","active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sars-cov-2, in individuals 6 months of age and older.",infectious and parasitic diseases,02.08.2024,2024,yes,,auspar-comirnaty-jn-1-covid-19-vaccine-250318.pdf,TGA
328580,pm-2019-05122-1-5,xultophy,insulin degludec/liraglutide,novo nordisk pharmaceuticals pty ltd,peptides and proteins,solution,subcutaneous,approved,authorised (under additional monitoring),17.12.2020,2020,no,no,treatment of adults with type 2 diabetes mellitus to improve glycaemic control in combination with one or more oral glucose-lowering medicinal products.,"treatment of adults with type 2 diabetes mellitus to improve glycaemic control in combination with metformin, with or without other oral glucose-lowering medicinal products.","endocrine, nutritional, and metabolic diseases",31.01.2020,2020,no,na,auspar-insulin-degludec-liraglutide-210322.pdf,TGA
206071,pm-2012-04170-1-5,bretaris genuair,aclidinium bromide,a menarini australia pty ltd,small molecule,powder,inhalation,approved,authorised,18.03.2014,2014,no,no,long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (copd).,long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (copd).,diseases of the respiratory system,,,no,na,auspar-aclidinium-bromide-140908.pdf,TGA
351139,pm-2022-00638-1-2,nuvaxovid,sars-cov-2 rs vaccine,biocelect pty ltd,vaccine,suspension,intramuscular,approved,authorised,09.06.2022,2022,no,yes,active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sars-cov-2 in individuals 18 years of age and older.,active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sars-cov-2 in individuals 18 years of age and older.,infectious and parasitic diseases,03.03.2022,2022,no,na,auspar-nuvaxovid-homologous-booster-220614.pdf,TGA
187136,pm-2011-01624-3-4,halaven,eribulin mesilate,eisai australia pty ltd,small molecule,solution,intravenous,approved,authorised,30.08.2012,2012,no,no,treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapeutic regimens for advanced disease.,treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapeutic regimens for advanced disease.,neoplasms,,,no,na,auspar-eribulin-mesilate-130517-01.pdf,TGA
"91939, 91940",pm-2010-01235-3-2,myfortic,mycophenolate sodium,novartis pharmaceuticals australia pty limited,small molecule,tablet,oral,approved,authorised,07.09.2012,2012,yes,yes,induction and maintenance treatment of lupus nephritis,"induction and maintenance treatment of adult patients with who class iii, iv or v lupus nephritis",diseases of the genitourinary system,,,yes,,auspar-mycophenolate-sodium-130517.pdf,TGA
96916,pm-2009-00296-3-2,hepsera,adefovir dipivoxil,gilead sciences pty ltd,small molecule,tablet,oral,approved,authorised,29.04.2010,2010,no,yes,treatment of chronic hepatitis b in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases or histologically active disease.,treatment of chronic hepatitis b in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases or histologically active disease.,infectious and parasitic diseases,,,yes,,auspar-hepsera.pdf,TGA
234034,pm-2014-04309-1-3,actemra,tocilizumab,roche products pty ltd,biologics,solution,subcutaneous,approved,authorised,19.01.2016,2016,no,no,treatment of moderate to severe active rheumatoid arthritis in adult patients,treatment of moderate to severe active rheumatoid arthritis in adult patients,diseases of the musculoskeletal system and connective tissue,,,no,na,auspar-tocilizumab-rch-160929.pdf,TGA
,,prevenar 13,pneumococcal polysaccharide conjugate vaccine,wyeth australia pty ltd,vaccine,suspension,intramuscular,approved,authorised,16.03.2010,2010,no,no,"active immunisation for the prevention of disease caused by streptococcus pneumoniae serotypes 1, 3, 4, 5, 6a, 6b, 7f, 9v, 14, 18c, 19a, 19f, and 23f in infants and children from 6 weeks to 5 years of age.","active immunisation for the prevention of disease caused by streptococcus pneumoniae serotypes 1, 3, 4, 5, 6a, 6b, 7f, 9v, 14, 18c, 19a, 19f, and 23f (including invasive disease, pneumonia and acute otitis media) in infants and children from 6 weeks up to 5 years of age.",infectious and parasitic diseases,,,no,na,auspar-prevenar13.pdf,TGA
311926,pm-2018-05023-1-6,ultomiris,ravulizumab,alexion pharmaceuticals australasia pty ltd,biologics,solution,intravenous,approved,authorised (under additional monitoring),08.10.2019,2019,yes,no,treatment of adult patients with paroxysmal nocturnal haemoglobinuria (pnh),treatment of adult patients with paroxysmal nocturnal haemoglobinuria (pnh),diseases of the blood and blood-forming organs,02.01.2019,2019,yes,,auspar-ravulizumab-191113.pdf,TGA
391874,pm-2022-02134-1-4,tibsovo,ivosidenib,servier laboratories (aust) pty ltd,small molecule,tablet,oral,approved,authorised (under additional monitoring),04.04.2023,2023,yes,no,"treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an isocitrate dehydrogenase-1 (idh1) mutation, who were previously treated by at least one prior line of systemic therapy.",treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an isocitrate dehydrogenase-1 (idh1) r132 mutation after at least one prior line of systemic therapy.,neoplasms; diseases of the digestive system,01.08.2022,2022,no,na,auspar-tibsovo-231003.pdf,TGA
"aust r 196044, aust r 196045, aust r 196046",pm-2012-00296-3-5,kombiglyze,saxagliptin / metformin hydrochloride,bristol-myers squibb australia pty ltd,small molecule,tablet,oral,approved,authorised,01.05.2013,2013,no,no,as an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus when treatment with both saxagliptin and metformin is appropriate.,as an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus when treatment with both saxagliptin and metformin is appropriate.,"endocrine, nutritional, and metabolic diseases",,,no,na,auspar-saxagliptin-131015.pdf,TGA
224612,pm-2014-01436-1-2,viekira pak,paritaprevir / ritonavir / ombitasvir / dasabuvir,abbvie pty ltd,small molecule,tablet,oral,approved,authorised,01.07.2015,2015,no,no,"treatment of genotype 1 chronic hepatitis c infection, including patients with cirrhosis","treatment of genotype 1 chronic hepatitis c infection, including patients with compensated cirrhosis",infectious and parasitic diseases,,,no,na,auspar-paritaprevir-ritonavir-ombitasvir-dasabuvir-sodium-salt-170324.pdf,TGA
194081,pm-2014-01079-1-2,stribild,tenofovir disoproxil fumarate / emtricitabine / elvitegravir / cobicistat,gilead sciences pty ltd,small molecule,tablet,oral,approved,authorised,01.07.2015,2015,no,yes,stribild is indicated as a single tablet regimen for the treatment of hiv infection in treatment naive adults or adults who have no known mutations associated with resistance to the individual components of stribild.,stribild is indicated as a single tablet regimen for the treatment of hiv infection in treatment naive adults. stribild is also indicated in certain virologically suppressed (hiv-1 rna < 50 copies/ml) adult patients on a stable antiretroviral regimen at start of therapy in order to replace their current antiretroviral treatment regimen.,infectious and parasitic diseases,22.02.2013,2013,yes,,auspar-tenofovir-disoproxil-fumarate-170601.pdf,TGA
310960,pm-2018-04728-1-5,oxervate,cenegermin,jace pharma pty ltd,biologics,solution,ocular,approved,authorised (under additional monitoring),16.09.2019,2019,yes,no,treatment of moderate (persistent epithelial defect) or severe (corneal ulcer) neurotrophic keratitis in adults.,treatment of moderate (persistent epithelial defect) or severe (corneal ulcer) neurotrophic keratitis in adults.,diseases of the eye and adnexa,31.10.2018,2018,no,na,auspar-cenegermin-rbe-191126.pdf,TGA
369670,pm-2021-02677-1-2,spy agent green,indocyanine green,stryker australia pty ltd,small molecule,powder,intravenous; interstitial,approved,authorised,19.02.2024,2024,no,no,"visualisation of vessels, blood flow and tissue perfusion; visualisation of extrahepatic biliary ducts; visualisation of lymph nodes and lymphatic vessels during lymphatic mapping for cervical and uterine tumours","visualisation of vessels, blood flow and tissue perfusion in adults and paediatric patients from one month of age and above; visualisation of extrahepatic biliary ducts in adults and children from 12 years of age and above; visualisation of lymph nodes and lymphatic vessels in women with cervical or uterine solid tumours for which lymphatic mapping is a component of intraoperative management",neoplasms; diseases of the circulatory system; diseases of the digestive system,02.08.2021,2021,yes,,auspar-spy-agent-green-240808.pdf,TGA
314166,pm-2019-00405-1-5,trimbow,beclometasone dipropionate / formoterol fumarate dihydrate / glycopyrronium bromide,emerge health pty ltd,small molecule,solution,inhalation,approved,authorised,18.06.2020,2020,no,no,maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (copd) who are not adequately treated by a combination of an inhaled corticosteroid (ics) and a long-acting beta2-agonist (laba) or a combination of a laba and a long-acting muscarinic antagonist (lama),maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (copd) who are not adequately treated by a combination of an inhaled corticosteroid (ics) and a long-acting beta2-agonist (laba) or a combination of a laba and a long-acting muscarinic antagonist (lama),diseases of the respiratory system,10.05.2019,2019,no,na,auspar-beclometasone-dipropionate-formoterol-fumarate-glycopyrronium-bromide-201102.pdf,TGA
232805,pm-2017-01431-1-4,blincyto,blinatumomab,amgen australia pty ltd,biologics,powder,intravenous,approved,authorised,03.05.2018,2018,no,yes,treatment of relapsed or refractory b-cell precursor acute lymphoblastic leukaemia (all) and minimal residual disease (mrd) positive b-cell precursor acute lymphoblastic leukaemia (all) in patients in complete haematological remission.,treatment of relapsed or refractory b-cell precursor acute lymphoblastic leukaemia (all) and minimal residual disease (mrd) positive b-cell precursor acute lymphoblastic leukaemia (all) in patients in complete haematological remission.,neoplasms; diseases of the blood and blood-forming organs,31.05.2017,2017,yes,,auspar-blinatumomab-190930.pdf,TGA
275778,pm-2016-01580-1-1,ocrevus,ocrelizumab,roche products pty limited,biologics,vial,intravenous,approved,authorised,03.07.2017,2017,no,no,treatment of patients with relapsing forms of multiple sclerosis (rms) to delay the progression of physical disability and to reduce the frequency of relapse; treatment of patients with primary progressive multiple sclerosis (ppms) to delay the progression of physical disability,treatment of patients with relapsing forms of multiple sclerosis (rms) to delay the progression of physical disability and to reduce the frequency of relapse; treatment of patients with primary progressive multiple sclerosis (ppms) to delay the progression of physical disability,diseases of the nervous system,30.06.2016,2016,yes,,auspar-ocrelizumab-180808.pdf,TGA
176537,pm-2013-01524-1-2,eviplera,tenofovir disoproxil fumarate / emtricitabine / rilpivirine,gilead sciences pty ltd,small molecule,tablet,oral,approved,authorised,14.05.2014,2014,no,yes,"treatment of hiv infection in adult patients with plasma hiv-1 rna ≤500,000 copies/ml.","treatment of hiv infection in treatment-naïve adult patients with plasma hiv-1 rna ≤100,000 copies/ml and in certain virologically-suppressed adult patients on a stable antiretroviral regimen.",infectious and parasitic diseases,,,yes,,auspar-tenofovir-disoproxil-fumarate-140715.pdf,TGA
"232296, 232297",pm-2014-03464-1-4,imlygic,talimogene laherparepvec,amgen australia,biologics,solution,intralesional,approved,authorised,18.12.2015,2015,no,no,treatment of melanoma that is regionally or distantly metastatic,"treatment of melanoma in patients with unresectable cutaneous, subcutaneous or nodal lesions after initial surgery",neoplasms; diseases of the skin,,,no,na,auspar-talimogene-laherparepvec-160531.pdf,TGA
377110,pm-2021-04582-1-2,comirnaty,tozinameran,pfizer australia pty ltd,vaccine,suspension,intramuscular,approved,authorised (under additional monitoring),27.01.2022,2022,no,yes,"active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sars-cov-2, in individuals 12 years of age and older.","active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sars-cov-2, in individuals 12 years of age and older.",infectious and parasitic diseases,15.10.2021,2021,yes,,auspar-tozinameran-220128.pdf,TGA
