Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency
ema/55567/2014,emea/h/c/002552,deltyba,delamanid,otsuka novel products gmbh,small molecule,tablet,oral,conditional marketing authorisation,authorised,21.11.2013,2013,yes,no,delamanid is indicated for the treatment of multidrug-resistant tuberculosis (mdr-tb) in combination with an optimised background regimen (obr) according to who guidelines in adult patients.,treatment of pulmonary infections due to multidrug-resistant mycobacterium tuberculosis as part of an appropriate combination regimen,infectious and parasitic diseases,25.11.2011,2011,no,na,deltyba-epar-public-assessment-report_en.pdf,EMA
ema/523618/2015,emea/h/c/004021/0000,aripiprazole accord,aripiprazole,accord healthcare ltd,small molecule,tablet,oral,approved,authorised,24.09.2015,2015,no,no,treatment of schizophrenia in adults and adolescents aged 15 years and older; treatment of moderate to severe manic episodes in bipolar i disorder and prevention of new manic episodes in adults; treatment up to 12 weeks of moderate to severe manic episodes in bipolar i disorder in adolescents aged 13 years and older.,treatment of schizophrenia in adults and adolescents aged 15 years and older; treatment of moderate to severe manic episodes in bipolar i disorder and prevention of new manic episodes in adults; treatment up to 12 weeks of moderate to severe manic episodes in bipolar i disorder in adolescents aged 13 years and older.,mental and behavioural disorders,01.08.2014,2014,yes,,aripiprazole-accord-epar-public-assessment-report_en.pdf,EMA
ema/494720/2008,emea/h/c/826,biograstim,filgrastim,ct arzneimittel gmbh,biologics,solution,subcutaneous; intravenous,approved,withdrawn,24.07.2008,2008,no,no,reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation.,reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation.,neoplasms; diseases of the blood and blood-forming organs,29.01.2007,2007,no,na,biograstim-epar-public-assessment-report_en.pdf,EMA
ema/108199/2024,emea/h/c/006051/0000,incellipan,"pandemic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted, prepared in cell cultures)",seqirus netherlands b.v.,vaccine,suspension,intramuscular,approved,authorised,22.02.2024,2024,no,no,prophylaxis of influenza in an officially declared pandemic situation in persons 6 months and above.,prophylaxis of influenza in an officially declared pandemic situation in persons 6 months and above.,infectious and parasitic diseases,24.11.2022,2022,no,na,incellipan-epar-public-assessment-report_en.pdf,EMA
,emea/h/c/001119,nevirapine teva,nevirapine,teva pharma b.v.,small molecule,tablet,oral,approved,withdrawn,24.09.2009,2009,no,no,"treatment of hiv-1 infected adults, adolescents, and children of any age in combination with other anti-retroviral medicinal products","treatment of hiv-1 infected adults, adolescents, and children of any age in combination with other anti-retroviral medicinal products",infectious and parasitic diseases,07.01.2009,2009,yes,,nevirapine-teva-epar-public-assessment-report_en.pdf,EMA
ema/810499/2018,emea/h/c/004916/0000,ogivri,trastuzumab,mylan s.a.s,biologics,powder,intravenous,approved,authorised,18.10.2018,2018,no,no,breast cancer; metastatic breast cancer; early breast cancer; metastatic gastric cancer,breast cancer; metastatic breast cancer; early breast cancer; metastatic gastric cancer,neoplasms; diseases of the digestive system,03.11.2017,2017,no,na,ogivri-epar-public-assessment-report_en.pdf,EMA
ema/372021/2024,emea/h/c/006206/0000,axitinib accord,axitinib,accord healthcare s.l.u.,small molecule,tablet,oral,approved,authorised,25.07.2024,2024,no,no,treatment of adult patients with advanced renal cell carcinoma (rcc) after failure of prior treatment with sunitinib or a cytokine.,treatment of adult patients with advanced renal cell carcinoma (rcc) after failure of prior treatment with sunitinib or a cytokine.,neoplasms; diseases of the genitourinary system,06.03.2023,2023,yes,na,axitinib-accord-epar-public-assessment-report_en.pdf,EMA
ema/519229/2014,emea/h/c/03720,faldaprevir,faldaprevir,boehringer ingelheim,small molecule,capsule,oral,withdrawn,withdrawn,20.03.2014,2014,no,no,"treatment of chronic genotype-1 hepatitis c virus (hcv) infection in adult patients with compensated liver disease including cirrhosis, and patients with human immunodeficiency virus (hiv)/hcv co-infection",na,infectious and parasitic diseases,,,no,na,faldaprevir-boehringer-ingelheim-withdrawal-assessment-report_en.pdf,EMA
ema/427491/2015,emea/h/c/002749/0000,lumark,"lutetium, isotope of mass 177",i.d.b. radiopharmacy b.v.,other,solution,not applicable,approved,authorised,23.04.2015,2015,no,no,to be used only for the radiolabelling of carrier molecules which have been specifically developed for radiolabelling with this radionuclide,na,neoplasms,05.12.2013,2013,yes,,lumark-epar-public-assessment-report_en.pdf,EMA
,emea/h/c/000944,xarelto,rivaroxaban,bayer healthcare ag,small molecule,tablet,oral,approved,authorised,30.09.2008,2008,no,no,prevention of venous thromboembolism (vte) in patients undergoing major orthopaedic surgery of the lower limbs.,prevention of venous thromboembolism (vte) in adult patients undergoing elective hip or knee replacement surgery.,diseases of the circulatory system,31.10.2007,2007,no,na,xarelto-epar-public-assessment-report_en.pdf,EMA
ema/002015/2011,emea/h/c/002015,benlysta,belimumab,glaxo group limited,biologics,powder,intravenous,approved,authorised,19.05.2011,2011,no,no,"treatment of active, autoantibody-positive systemic lupus erythematosus (sle)",add-on therapy in adult patients with active autoantibody-positive systemic lupus erythematosus (sle) with a high degree of disease activity despite standard therapy,diseases of the musculoskeletal system and connective tissue,04.06.2010,2010,no,na,benlysta-epar-public-assessment-report_en.pdf,EMA
ema/83618/2020,emea/h/c/004882/0000,budesonide/formoterol teva pharma b.v.,budesonide / formoterol fumarate dihydrate,teva pharma b.v.,small molecule,powder,oral,approved,authorised,30.01.2020,2020,no,no,regular treatment of asthma and symptomatic treatment of copd,regular treatment of asthma and symptomatic treatment of copd,diseases of the respiratory system,30.07.2019,2019,yes,na,budesonideformoterol-teva-pharma-bv-epar-public-assessment-report_en.pdf-0.pdf,EMA
ema/596950/2015,emea/h/c/002734/0000,cresemba,isavuconazole,basilea medical ltd,small molecule,powder; capsule,intravenous; oral,approved,authorised,23.07.2015,2015,yes,no,treatment of invasive aspergillosis; treatment of mucormycosis,treatment of invasive aspergillosis; mucormycosis in patients for whom amphotericin b is inappropriate,infectious and parasitic diseases,16.07.2014,2014,no,na,cresemba-epar-public-assessment-report_en.pdf,EMA
ema/1767/2021,emea/h/c/005063/0000,heplisav b,"hepatitis b vaccine (recombinant, adjuvanted)",dynavax gmbh,vaccine,solution,intramuscular,approved,authorised,10.12.2020,2020,no,no,prevention of infection caused by all known subtypes of hepatitis b virus in adults 18 years of age and older,prevention of infection caused by all known subtypes of hepatitis b virus in adults 18 years of age and older,infectious and parasitic diseases,11.03.2019,2019,no,na,heplisav-b-epar-public-assessment-report_en.pdf,EMA
ema/chmp/282380/2015,emea/h/c/004024/0000,pregabalin accord,pregabalin,accord healthcare limited,small molecule,capsule,oral,approved,authorised,25.06.2015,2015,no,no,adjunctive therapy in adults with partial seizures with or without secondary generalisation; treatment of generalised anxiety disorder (gad) in adults,adjunctive therapy in adults with partial seizures with or without secondary generalisation; treatment of generalised anxiety disorder (gad) in adults,diseases of the nervous system; mental and behavioural disorders,31.07.2014,2014,yes,na,pregabalin-accord-epar-public-assessment-report_en.pdf,EMA
ema/327248/2020,emea/h/c/005209/0000,zercepac,trastuzumab,accord healthcare s.l.u.,biologics,powder,intravenous,approved,authorised,28.05.2020,2020,no,no,"treatment of adult patients with her2-positive metastatic breast cancer (mbc), early breast cancer (ebc), and metastatic adenocarcinoma of the stomach or gastroesophageal junction.","treatment of adult patients with her2-positive metastatic breast cancer (mbc), early breast cancer (ebc), and metastatic adenocarcinoma of the stomach or gastroesophageal junction.",neoplasms; diseases of the digestive system,29.05.2019,2019,no,na,zercepac-epar-public-assessment-report_en.pdf,EMA
ema/306253/2009,emea/h/c/000954,modigraf,tacrolimus,astellas pharma europe b.v.,biologics,granules,oral,approved,authorised,15.05.2009,2009,no,no,"prophylaxis of transplant rejection (liver, kidney and heart) and treatment of allograft rejection","prophylaxis of transplant rejection in adult and paediatric, kidney, liver or heart allograft recipients. treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult and paediatric patients",diseases of the genitourinary system; diseases of the digestive system; diseases of the circulatory system,27.11.2007,2007,yes,,modigraf-epar-public-assessment-report_en.pdf,EMA
ema/000574/2008,emea/h/c/000860,isentress,raltegravir,merck sharp & dohme ltd,small molecule,tablet,oral,conditional marketing authorisation,authorised,09.07.2007,2007,no,no,isentress is indicated in combination with other anti-retroviral agents for the treatment of human immunodeficiency virus (hiv-1) infection in treatment-experienced patients with evidence of hiv-1 replication despite ongoing antiretroviral therapy.,isentress is indicated in combination with other anti-retroviral medicinal products for the treatment of human immunodeficiency virus (hiv-1) infection in treatment-experienced adult patients with evidence of hiv-1 replication despite ongoing anti-retroviral therapy.,infectious and parasitic diseases,,,no,na,isentress-epar-scientific-discussion_en.pdf,EMA
ema/140293/2020,emea/h/c/005114/0000,tigecycline accord,tigecycline,accord healthcare s.l.u.,small molecule,powder,intravenous,approved,authorised,27.02.2020,2020,no,no,"complicated skin and soft tissue infections (cssti), excluding diabetic foot infections; complicated intra-abdominal infections (ciai)","complicated skin and soft tissue infections (cssti), excluding diabetic foot infections; complicated intra-abdominal infections (ciai)",infectious and parasitic diseases,30.07.2018,2018,yes,,tigecycline-accord-epar-public-assessment-report_en.pdf,EMA
ema/250302/2024,emea/h/c/006415/0000,upstelda,ustekinumab,amgen technology ireland unlimited company,biologics,solution,subcutaneous,approved,authorised,22.02.2024,2024,no,no,moderate to severe plaque psoriasis in adult patients and paediatric patients 6 years of age and older; active psoriatic arthritis in adults; moderately to severely active crohn’s disease,moderate to severe plaque psoriasis in adult patients and paediatric patients 6 years of age and older; active psoriatic arthritis in adults; moderately to severely active crohn’s disease,diseases of the skin; diseases of the musculoskeletal system and connective tissue; diseases of the digestive system,,,yes,,withdrawal-assessment-report-upstelda_en.pdf,EMA
,emea/h/c/004964/0000,silodosin recordati,silodosin,recordati ireland ltd,small molecule,capsule,oral,approved,authorised,15.11.2018,2018,no,no,treatment of the signs and symptoms of benign prostatic hyperplasia (bph) in adult men.,treatment of the signs and symptoms of benign prostatic hyperplasia (bph) in adult men.,diseases of the genitourinary system,10.04.2018,2018,yes,,silodosin-recordati-epar-public-assessment-report_en.pdf,EMA
ema/332184/2021,emea/h/c/003690/0000,skysona,elivaldogene autotemcel,bluebird bio (netherlands) b.v,cell and gene therapy,dispersion,intravenous,approved,withdrawn,20.05.2021,2021,yes,no,treatment of patients less than 18 years of age with an abcd1 genetic mutation and early cerebral adrenoleukodystrophy for whom a human leukocyte antigen (hla)-matched sibling haematopoietic stem cell (hsc) donor is not available,treatment of patients less than 18 years of age with an abcd1 genetic mutation and early cerebral adrenoleukodystrophy for whom a human leukocyte antigen (hla)-matched sibling haematopoietic stem cell (hsc) donor is not available,"endocrine, nutritional, and metabolic diseases; diseases of the nervous system",10.09.2020,2020,no,na,skysona-epar-public-assessment-report_en.pdf,EMA
ema/324336/2014,emea/h/c/003843/0000,zydelig,idelalisib,gilead sciences international ltd,small molecule,tablet,oral,approved,authorised,24.07.2014,2014,no,no,"idelalisib is indicated, alone or in combination, for the treatment of patients with relapsed chronic lymphocytic leukaemia (cll) and for the treatment of patients with refractory indolent non-hodgkin lymphoma(inhl).","zydelig is indicated in combination with rituximab for the treatment of adult patients with chronic lymphocytic leukaemia (cll): who have received at least one prior therapy, or as first line treatment in the presence of 17p deletion or tp53 mutation in patients unsuitable for chemo-immunotherapy. zydelig is indicated as monotherapy for the treatment of adult patients with follicular lymphoma (fl) that is refractory to two prior lines of treatment.",neoplasms; diseases of the blood and blood-forming organs,28.10.2013,2013,no,na,zydelig-epar-public-assessment-report_en.pdf,EMA
ema/002108/2011,emea/h/c/002108,methylthioninium chloride proveblue,methylthioninium chloride,provepharm s.a.s.,small molecule,solution,intravenous,approved,authorised,06.05.2011,2011,no,yes,treatment of medicinal and chemical products-induced methaemoglobinaemia,acute symptomatic treatment of medicinal and chemical products-induced methaemoglobinaemia,diseases of the blood and blood-forming organs,30.12.2009,2009,yes,chmp,methylthioninium-chloride-proveblue-epar-public-assessment-report_en.pdf,EMA
ema/chmp/76688/2015,emea/h/c/003985/0000,opdivo,nivolumab,bristol-myers squibb pharma eeig,biologics,concentrate,intravenous,approved,authorised,23.04.2015,2015,no,no,treatment of advanced (unresectable or metastatic) melanoma in adults,treatment of advanced (unresectable or metastatic) melanoma in adults,neoplasms; diseases of the skin,02.09.2014,2014,no,na,opdivo-epar-public-assessment-report_en.pdf,EMA
ema/696912/2020,emea/h/c/005333/0000,leqvio,inclisiran,novartis europharm limited,small molecule,solution,subcutaneous,approved,authorised,15.10.2020,2020,no,no,hypercholesterolaemia and mixed dyslipidaemia,treatment for primary hypercholesterolaemia or mixed dyslipidaemia,"endocrine, nutritional, and metabolic diseases; diseases of the circulatory system",09.01.2020,2020,no,na,leqvio-epar-public-assessment-report_en.pdf,EMA
ema/000228/2006,emea/h/c/000690,nexavar,sorafenib,bayer pharma ag,small molecule,tablet,oral,approved,authorised,19.07.2006,2006,no,no,treatment of patients with advanced renal cell carcinoma who have failed prior interferon-alpha or interleukin-2 based therapy or are considered unsuitable for such therapy,treatment of patients with advanced renal cell carcinoma who have failed prior interferon-alpha or interleukin-2 based therapy or are considered unsuitable for such therapy,neoplasms; diseases of the genitourinary system,,,no,na,nexavar-epar-scientific-discussion_en.pdf,EMA
ema/536977/2016,emea/h/c/004264/0000,inhixa,enoxaparin sodium,techdow europe ab,biologics,solution,intraarterial; intravenous; subcutaneous,approved,authorised (under additional monitoring),21.07.2016,2016,no,no,"prophylaxis of venous thromboembolism, treatment of deep vein thrombosis, treatment of unstable angina and non-q-wave myocardial infarction, treatment of acute st-segment elevation myocardial infarction, blood clot prevention in the extracorporeal circulation during haemodialysis","prophylaxis of venous thromboembolism, treatment of deep vein thrombosis, treatment of unstable angina and non-q-wave myocardial infarction, treatment of acute st-segment elevation myocardial infarction, blood clot prevention in the extracorporeal circulation during haemodialysis",diseases of the circulatory system,27.05.2015,2015,yes,chmp,inhixa-epar-public-assessment-report_en.pdf,EMA
ema/chmp/296722/2013,emea/h/c/002679/0000,ultibro breezhaler,indacaterol/glycopyrronium bromide,novartis europharm ltd,small molecule,powder; capsule,inhalation,approved,authorised,25.07.2013,2013,no,no,once-daily maintenance bronchodilator treatment to relieve symptoms and reduce exacerbations in adult patients with chronic obstructive pulmonary disease (copd).,maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (copd).,diseases of the respiratory system,04.10.2012,2012,no,na,ultibro-breezhaler-epar-public-assessment-report_en.pdf,EMA
,emea/h/c/933,extavia,interferon beta-1b,novartis europharm limited,biologics,powder; solvent,,approved,withdrawn,19.03.2008,2008,no,yes,"treatment of patients with a single demyelinating event with an active inflammatory process, relapsing-remitting multiple sclerosis, and secondary progressive multiple sclerosis with active disease.","treatment of patients with a single demyelinating event with an active inflammatory process, relapsing-remitting multiple sclerosis, and secondary progressive multiple sclerosis with active disease.",diseases of the nervous system,04.10.2007,2007,yes,,extavia-epar-public-assessment-report_en.pdf,EMA
ema/73167/2017,emea/h/c/004117/0000,ivabradine zentiva,ivabradine,"zentiva, k.s.",small molecule,tablet,oral,approved,authorised,15.09.2016,2016,no,no,symptomatic treatment of chronic stable angina pectoris; treatment of chronic heart failure,symptomatic treatment of chronic stable angina pectoris; treatment of chronic heart failure,diseases of the circulatory system,04.11.2015,2015,yes,na,ivabradine-zentiva-epar-public-assessment-report_en.pdf,EMA
ema/814964/2009,emea/h/c/001210,oslif breezhaler,indacaterol,novartis europharm ltd.,small molecule,powder,inhalation,approved,authorised,24.09.2009,2009,no,no,maintenance bronchodilator treatment of airflow obstruction in adult patients with chronic obstructive pulmonary disease (copd),maintenance bronchodilator treatment of airflow obstruction in adult patients with chronic obstructive pulmonary disease (copd),diseases of the respiratory system,24.07.2009,2009,no,na,oslif-breezhaler-epar-public-assessment-report_en.pdf,EMA
ema/chmp/242419/2013,emea/h/c/002604/0000,tafinlar,dabrafenib,glaxosmithkline trading services limited,small molecule,capsule,oral,approved,authorised,27.06.2013,2013,no,no,dabrafenib is indicated for the treatment of adult patients with unresectable or metastatic melanoma with a braf v600 mutation.,dabrafenib is indicated in monotherapy for the treatment of adult patients with unresectable or metastatic melanoma with a braf v600 mutation.,neoplasms; diseases of the skin,24.07.2012,2012,no,na,tafinlar-epar-public-assessment-report_en.pdf,EMA
,emea/h/c/995,factive,gemifloxacin,menarini international operations luxembourg,small molecule,tablet,oral,withdrawn,withdrawn,19.03.2009,2009,no,no,"community acquired pneumonia, of mild to moderate severity; acute exacerbation of chronic bronchitis; acute bacterial sinusitis",na,infectious and parasitic diseases; diseases of the respiratory system,,,no,na,factive-withdrawal-assessment-report_en.pdf,EMA
,emea/h/c/002348,duoresp spiromax,budesonide / formoterol,teva pharma b.v.,small molecule,powder,inhalation,approved,authorised,20.02.2014,2014,no,no,asthma; copd,asthma; copd,diseases of the respiratory system,29.01.2013,2013,yes,,duoresp-spiromax-epar-public-assessment-report_en.pdf,EMA
,,tritanrix hepb,,glaxosmithkline (gsk) biologicals s.a.,vaccine,solution,intramuscular,approved,authorised,13.03.1996,1996,no,no,"active immunisation against diphtheria, tetanus, pertussis and hepatitis b in infants from 6 weeks of age onwards","active immunisation against diphtheria, tetanus, pertussis and hepatitis b in infants from 6 weeks of age onwards",infectious and parasitic diseases,,,no,na,tritanrix-hepb-epar-scientific-discussion_en.pdf,EMA
ema/282960/2013,emea/h/c/002673/0000,relvar ellipta,fluticasone furoate / vilanterol,glaxo group ltd,small molecule,powder,inhalation,approved,authorised,19.09.2013,2013,no,no,asthma in adults and adolescents aged 12 years and older; symptomatic treatment of adults with copd,asthma in adults and adolescents aged 12 years and older; symptomatic treatment of adults with copd,diseases of the respiratory system,26.06.2012,2012,no,na,relvar-ellipta-epar-public-assessment-report_en.pdf,EMA
ema/267872/2020,emea/h/c/005178/0000,cabazitaxel accord,cabazitaxel,accord healthcare s.l.u.,small molecule,concentrate,intravenous,approved,authorised,30.04.2020,2020,no,no,treatment of adult patients with metastatic castration resistant prostate cancer previously treated with a docetaxel-containing regimen.,treatment of adult patients with metastatic castration resistant prostate cancer previously treated with a docetaxel-containing regimen.,neoplasms,25.03.2019,2019,yes,,cabazitaxel-accord-epar-public-assessment-report_en.pdf,EMA
ema/435156/2018,emea/h/c/004218/0000,myalepta,metreleptin,aegerion pharmaceuticals b.v.,peptides and proteins,powder,subcutaneous,approved,authorised,31.05.2018,2018,yes,no,"as an adjunct to diet as a replacement therapy to treat the complications of leptin deficiency in patients with congenital or acquired generalised lipodystrophy (ld), in adults and children 2 years of age and above, and in patients with familial or acquired partial ld, characterised by leptin level < 12 ng/ml with triglycerides ≥ 5.65 mmol/l and/or hba1c ≥ 6.5 %, in adults and children 2 years of age and above.","as a replacement therapy adjunctive to diet to treat the complications of leptin deficiency in lipodystrophy (ld) patients with confirmed congenital generalised ld (berardinelli-seip syndrome) or acquired generalised ld (lawrence syndrome) in adults and children 2 years of age and above, and with confirmed familial partial ld or acquired partial ld (barraquer-simons syndrome), in adults and children 12 years of age and above for whom standard treatments have failed to achieve adequate metabolic control.","endocrine, nutritional, and metabolic diseases",21.12.2016,2016,no,na,myalepta-epar-public-assessment-report_en.pdf,EMA
ema/chmp/668488/2011,emea/h/c/002022,mercaptopurine nova laboratories,mercaptopurine,nova laboratories ltd.,small molecule,suspension,oral,approved,authorised,21.07.2011,2011,yes,no,treatment of acute lymphoblastic leukaemia (all),"treatment of acute lymphoblastic leukaemia (all) in adults, adolescents and children",neoplasms; diseases of the blood and blood-forming organs,02.06.2010,2010,yes,chmp,mercaptopurine-nova-laboratories-epar-public-assessment-report_en.pdf,EMA
ema/548646/2023,emea/h/c/005768/0000,omjjara,momelotinib,glaxosmithkline trading services limited,small molecule,tablet,oral,approved,authorised,09.11.2023,2023,yes,no,"treatment of disease-related splenomegaly or symptoms, and anaemia in adult patients with primary myelofibrosis, post polycythaemia vera myelofibrosis or post essential thrombocythaemia myelofibrosis who are janus associated kinase (jak) inhibitor naïve or have been treated with a jak inhibitor.","treatment of disease-related splenomegaly or symptoms, and anaemia in adult patients with primary myelofibrosis, post polycythaemia vera myelofibrosis or post essential thrombocythaemia myelofibrosis who are janus associated kinase (jak) inhibitor naïve or have been treated with a jak inhibitor.",neoplasms; diseases of the blood and blood-forming organs,09.11.2022,2022,no,na,omjjara-epar-public-assessment-report_en.pdf,EMA
ema/225644/2012,emea/h/c/002386,capecitabine accord,capecitabine,accord healthcare ltd,small molecule,tablet,oral,approved,authorised,16.02.2012,2012,no,no,capecitabine is indicated for the adjuvant treatment of patients following surgery of stage iii (dukes’ stage c) colon cancer; treatment of metastatic colorectal cancer; first-line treatment of advanced gastric cancer in combination with a platinum based regimen; treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic chemotherapy.,capecitabine is indicated for the adjuvant treatment of patients following surgery of stage iii (dukes’ stage c) colon cancer; treatment of metastatic colorectal cancer; first-line treatment of advanced gastric cancer in combination with a platinum based regimen; treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic chemotherapy.,neoplasms; diseases of the digestive system,25.02.2011,2011,yes,,capecitabine-accord-epar-public-assessment-report_en.pdf,EMA
ema/000409/2007,emea/h/c/000735,atriance,nelarabine,glaxo group ltd,small molecule,solution,intravenous,approved,authorised,22.08.2007,2007,yes,no,treatment of patients with t-cell acute lymphoblastic leukaemia (t-all) and t-cell lymphoblastic lymphoma (t-lbl) whose disease has not responded to or has relapsed following treatment with at least two chemotherapy regimens.,treatment of patients with t-cell acute lymphoblastic leukaemia (t-all) and t-cell lymphoblastic lymphoma (t-lbl) whose disease has not responded to or has relapsed following treatment with at least two chemotherapy regimens.,neoplasms; diseases of the blood and blood-forming organs,29.05.2006,2006,no,na,atriance-epar-scientific-discussion_en.pdf,EMA
,emea/h/c/001201,arepanrix,"pandemic influenza vaccine (h1n1) (split virion, inactivated, adjuvanted)",glaxosmithkline biologicals s.a.,vaccine,suspension,intramuscular,conditional marketing authorisation,withdrawn,20.01.2010,2010,no,no,prophylaxis of influenza in an officially declared pandemic situation.,prophylaxis of influenza in an officially declared pandemic situation.,infectious and parasitic diseases,18.01.2010,2010,no,na,arepanrix-epar-public-assessment-report_en.pdf,EMA
