Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
oral,,,authorised,fda,approved,21.08.1996,1996,mental and behavioural disorders,<psychotic disorders>,,small molecule,fluphenazine hydrochloride,indications and usage fluphenazine hydrochloride elixir is indicated in the management of manifestations of psychotic disorders. fluphenazine hydrochloride has not been shown effective in the management of behavioral complications in patients with mental retardation.,,,,pharm assoc,not reported,anda040146,fluphenazine hydrochloride,yes,no,elixir,,no,FDA
intramuscular; intravenous,,,discontinued,fda,approved,25.06.1997,1997,,,,small molecule,leucovorin calcium preservative free,,,,,hospira,hospira,anda040147,leucovorin calcium,yes,no,solution,,no,FDA
oral,,,discontinued,fda,approved,14.02.1997,1997,,,,small molecule,hydrocodone bitartrate and acetaminophen; norco,,,,,apil,apil,anda040148,acetaminophen,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,14.03.1997,1997,,,,small molecule,somophyllin-crt,,,,,graham dm,graham,anda088382,theophylline,yes,no,capsule,,no,FDA
oral,,,discontinued,fda,approved,14.03.1997,1997,,,,small molecule,somophyllin-crt,,,,,graham dm,graham,anda088383,theophylline,yes,no,capsule,,no,FDA
injection,,,authorised,fda,approved,30.09.2009,2009,,,,small molecule,lignospan forte,,,,,deproco,deproco,anda088389,epinephrine bitartrate,yes,no,injectable,,yes,FDA
oral,,,discontinued,fda,approved,27.01.1997,1997,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,sandoz,sandoz,anda040149,acetaminophen,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,27.01.1996,1996,,,,small molecule,hydroxychloroquine sulfate,,,,,creekwood pharms,creekwood,anda040150,hydroxychloroquine sulfate,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,26.08.1997,1997,,,,small molecule,promethazine hydrochloride and codeine phosphate,,,,,hikma,hikma,anda040151,codeine phosphate,yes,no,syrup,,no,FDA
topical,,,discontinued,fda,approved,29.09.2006,2006,,,,small molecule,aristocort a,,,,,astellas,astellas,anda088819,triamcinolone acetonide,yes,no,cream,,no,FDA
oral,,,discontinued,fda,approved,03.12.1996,1996,,,,small molecule,carisoprodol,,,,,watson labs,watson,anda040152,carisoprodol,yes,no,tablet,,no,FDA
ophthalmic,,,discontinued,fda,approved,31.10.1995,1995,,,,small molecule,sulf-15,,,,,novartis,novartis,anda089047,sulfacetamide sodium,yes,no,solution; drops,,no,FDA
oral,,,discontinued,fda,approved,25.10.1996,1996,,,,small molecule,trifluoperazine hydrochloride,,,,,athem,athem,anda040153,trifluoperazine hydrochloride,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,14.04.1997,1997,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,vintage pharms,vintage,anda040155,acetaminophen,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,15.07.1996,1996,,,,small molecule,hydroxyzine pamoate,,,,,impax labs inc,impax,anda040156,hydroxyzine pamoate,yes,no,capsule,,no,FDA
oral,,,discontinued,fda,approved,03.01.2000,2000,,,,small molecule,dipyridamole,,,,,purepac pharm,purepac,anda089427,dipyridamole,yes,no,tablet,,no,FDA
injection,,,discontinued,fda,approved,29.07.2004,2004,,,,small molecule,procainamide hydrochloride,,,,,hospira,hospira,anda089537,procainamide hydrochloride,yes,no,injectable,,no,FDA
oral,,,discontinued,fda,approved,12.04.1996,1996,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,vintage pharms,vintage,anda040157,acetaminophen,yes,no,tablet,,no,FDA
topical,,,discontinued,fda,approved,23.03.1995,1995,diseases of the skin,<dermatoses>,,small molecule,trianex,"indications and usage triamcinolone acetonide 0.05% in absorbase ® (triamcinolone acetonide ointment, usp) is indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.",,,,cmp pharma inc,cmp,anda089595,triamcinolone acetonide,yes,no,ointment,,no,FDA
injection,,,discontinued,fda,approved,03.03.1997,1997,,,,small molecule,prochlorperazine edisylate,,,,,watson labs,watson,anda089605,prochlorperazine edisylate,yes,no,injectable,,no,FDA
injection,,,discontinued,fda,approved,17.04.1997,1997,,,,small molecule,leucovorin calcium,,,,,pharmachemie usa,pharmachemie,anda089628,leucovorin calcium,yes,no,injectable,,no,FDA
oral,,,discontinued,fda,approved,12.06.1995,1995,,,,small molecule,"butalbital, acetaminophen and caffeine",,,,,hikma pharms,hikma,anda089718,acetaminophen,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,17.07.1997,1997,,,,small molecule,methazolamide,,,,,applied anal,applied,anda040011,methazolamide,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,09.08.1996,1996,"endocrine, nutritional, and metabolic diseases; diseases of the genitourinary system",<secondary amenorrhea>; <abnormal uterine bleeding>; <endometrial hyperplasia>,,small molecule,medroxyprogesterone acetate,"indications and usage medroxyprogesterone acetate tablets, usp are indicated for the treatment of secondary amenorrhea and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as fibroids or uterine cancer. they are also indicated for use in the prevention of endometrial hyperplasia in nonhysterectomized postmenopausal women who are receiving daily oral conjugated estrogens 0.625 mg tablets.",,,,barr,barr,anda040159,medroxyprogesterone acetate,yes,no,tablet,,no,FDA
transdermal,,,discontinued,fda,approved,30.08.1996,1996,,,,small molecule,minitran,,,,,valeant pharms,valeant,anda089771,nitroglycerin,yes,no,film,,no,FDA
transdermal,,,discontinued,fda,approved,30.08.1996,1996,,,,small molecule,minitran,,,,,valeant pharms north,valeant,anda089772,nitroglycerin,yes,no,film,,no,FDA
transdermal,,,discontinued,fda,approved,30.08.1996,1996,,,,small molecule,minitran,,,,,bausch,bausch,anda089773,nitroglycerin,yes,no,film,,no,FDA
transdermal,,,discontinued,fda,approved,30.08.1996,1996,,,,small molecule,minitran,,,,,valeant pharms,valeant,anda089774,nitroglycerin,yes,no,film,,no,FDA
oral,,,discontinued,fda,approved,04.01.1995,1995,,,,small molecule,uni-dur,,,,,schering,schering,anda089822,theophylline,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,04.01.1995,1995,,,,small molecule,uni-dur,,,,,schering,schering,anda089823,theophylline,yes,no,tablet,,no,FDA
transdermal,,,authorised,fda,approved,30.10.1998,1998,,,,small molecule,nitroglycerin,,,,,zydus pharms,zydus,anda089884,nitroglycerin,yes,no,film,,no,FDA
transdermal,,,authorised,fda,approved,30.10.1998,1998,,,,small molecule,nitroglycerin,,,,,zydus pharms,zydus,anda089885,nitroglycerin,yes,no,film,,no,FDA
transdermal,,,authorised,fda,approved,30.10.1998,1998,,,,small molecule,nitroglycerin,,,,,zydus pharms,zydus,anda089886,nitroglycerin,yes,no,film,,no,FDA
injection,,,discontinued,fda,approved,17.04.1997,1997,,,,small molecule,leucovorin calcium,,,,,pharmachemie usa,pharmachemie,anda089915,leucovorin calcium,yes,no,injectable,,no,FDA
injection,,,authorised,fda,approved,30.06.2011,2011,infectious and parasitic diseases,not reported,,small molecule,nafcillin sodium,"indications and usage nafcillin is indicated in the treatment of infections caused by penicillinase-producing staphylococci which have demonstrated susceptibility to the drug. culture and susceptibility tests should be performed initially to determine the causative organism and its susceptibility to the drug (see clinical pharmacology - susceptibility test methods ) . nafcillin should not be used in infections caused by organisms susceptible to penicillin g. if the susceptibility tests indicate that the infection is due to a methicillin-resistant staphylococcus sp ., therapy with nafcillin for injection should be discontinued and alternative therapy provided. to reduce the development of drug-resistant bacteria and maintain the effectiveness of nafcillin for injection and other antibacterial drugs, nafcillin for injection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. when culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. in the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy.",,,,istituto bio ita spa,istituto bio ita,anda090002,nafcillin sodium,yes,no,injectable,,no,FDA
injection,,,authorised,fda,approved,20.04.2011,2011,,,,small molecule,nafcillin sodium,,,,,istituto bio ita spa,istituto bio ita,anda090005,nafcillin sodium,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,21.07.2011,2011,,,,small molecule,gabapentin,,,,,marksans pharma,marksans,anda090007,gabapentin,yes,no,capsule,,no,FDA
oral,,,discontinued,fda,approved,22.01.2014,2014,,,,small molecule,repaglinide,,,,,actavis totowa,actavis,anda090008,repaglinide,yes,no,tablet,,no,FDA
injection,,,discontinued,fda,approved,28.04.2009,2009,,,,small molecule,adenosine,,,,,am regent,am regent,anda090010,adenosine,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,28.03.2013,2013,diseases of the circulatory system,<hypertension>,,small molecule,amlodipine besylate and valsartan,"1 indications and usage amlodipine and valsartan is the combination tablet of amlodipine, a dihydropyridine calcium channel blocker (dhp ccb), and valsartan, an angiotensin ii receptor blocker (arb). amlodipine and valsartan is indicated for the treatment of hypertension, to lower blood pressure: in patients not adequately controlled on monotherapy ( 1 ) as initial therapy in patients likely to need multiple drugs to achieve their blood pressure goals ( 1 ) lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. 1.1 hypertension amlodipine and valsartan is indicated for the treatment of hypertension, to lower blood pressure. lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. these benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes, including amlodipine and the angiotensin ii receptor blocker (arb) class to which valsartan principally belongs. there are no controlled trials demonstrating risk reduction with amlodipine and valsartan. control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. many patients will require more than 1 drug to achieve blood pressure goals. for specific advice on goals and management, see published guidelines, such as those of the national high blood pressure education program's joint national committee on prevention, detection, evaluation, and treatment of high blood pressure (jnc). numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. the largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmhg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). these considerations may guide selection of therapy. amlodipine and valsartan is indicated for the treatment of hypertension. amlodipine and valsartan may be used in patients whose blood pressure is not adequately controlled on either monotherapy. amlodipine and valsartan may also be used as initial therapy in patients who are likely to need multiple drugs to achieve their blood pressure goals. the choice of amlodipine and valsartan as initial therapy for hypertension should be based on an assessment of potential benefits and risks including whether the patient is likely to tolerate the lowest dose of amlodipine and valsartan. patients with stage 2 hypertension (moderate or severe) are at a relatively higher risk for cardiovascular events (such as strokes, heart attacks, and heart failure), kidney failure and vision problems, so prompt treatment is clinically relevant. the decision to use a combination as initial therapy should be individualized and should be shaped by considerations such as baseline blood pressure, the target goal and the incremental likelihood of achieving goal with a combination compared to monotherapy. individual blood pressure goals may vary based upon the patient's risk. data from the high-dose multifactorial study [see clinical studies (14)] provide estimates of the probability of reaching a blood pressure goal with amlodipine and valsartan compared to amlodipine or valsartan monotherapy. the figures below provide estimates of the likelihood of achieving systolic or diastolic blood pressure control with amlodipine and valsartan 10/320 mg, based upon baseline systolic or diastolic blood pressure. the curve of each treatment group was estimated by logistic regression modeling. the estimated likelihood at the right tail of each curve is less reliable due to small numbers of subjects with high baseline blood pressures. figure 1: probability of achieving systolic blood pressure <140 mmhg at week 8 figure 2: probability of achieving diastolic blood pressure <90 mmhg at week 8 figure 3: probability of achieving systolic blood pressure <130 mmhg at week 8 figure 4: probability of achieving diastolic blood pressure <80 mmhg at week 8 for example, a patient with a baseline blood pressure of 160/100 mmhg has about a 67% likelihood of achieving a goal of <140 mmhg (systolic) and 80% likelihood of achieving <90 mmhg (diastolic) on amlodipine alone, and the likelihood of achieving these goals on valsartan alone is about 47% (systolic) or 62% (diastolic). the likelihood of achieving these goals on amlodipine and valsartan rises to about 80% (systolic) or 85% (diastolic). the likelihood of achieving these goals on placebo is about 28% (systolic) or 37% (diastolic). fig1 fig2 fig3 fig4",,,,strides pharma,strides,anda090011,amlodipine besylate,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,30.12.2009,2009,,,,small molecule,metformin hydrochloride,,,,,torrent,torrent,anda090014,metformin hydrochloride,yes,no,tablet,,no,FDA
injection,,,discontinued,fda,approved,28.01.2009,2009,,,,small molecule,irinotecan hydrochloride,,,,,hisun pharm hangzhou,hisun,anda090016,irinotecan hydrochloride,yes,no,injectable,,no,FDA
ophthalmic,,,discontinued,fda,approved,05.11.2009,2009,diseases of the eye and adnexa,"<conjunctivitis, allergic>",,small molecule,ketorolac tromethamine,"1 indications and usage ketorolac tromethamine ophthalmic solution is indicated for the temporary relief of ocular itching due to seasonal allergic conjunctivitis. ketorolac tromethamine ophthalmic solution is also indicated for the treatment of postoperative inflammation in patients who have undergone cataract extraction. ketorolac tromethamine ophthalmic solution is a nonsteroidal, anti-inflammatory indicated for: the treatment of inflammation following cataract surgery. ( 1 ) the temporary relief of ocular itching due to seasonal allergic conjunctivitis. ( 1 )",,,,sun pharm,sun,anda090017,ketorolac tromethamine,yes,no,solution; drops,,no,FDA
intravenous,,,discontinued,fda,approved,04.03.2013,2013,,,,small molecule,zoledronic acid,,,,,sun pharma global,sun,anda090018,zoledronic acid,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,27.05.2009,2009,,,,other,"peg-3350, potassium chloride, sodium bicarbonate, sodium chloride",,,,,novel labs inc,novel,anda090019,polyethylene glycol 3350,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,19.10.2011,2011,,,,small molecule,glycopyrrolate,,,,,oxford pharms,oxford,anda090020,glycopyrrolate,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,10.09.2008,2008,,,,small molecule,alendronate sodium,,,,,sun pharm,sun,anda090022,alendronate sodium,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,03.02.2009,2009,,,,small molecule,minocycline hydrochloride,,,,,impax labs inc,impax,anda090024,minocycline hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,15.01.2009,2009,,,,small molecule,levetiracetam,,,,,lupin,lupin,anda090025,levetiracetam,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,04.08.2010,2010,,,,small molecule,venlafaxine hydrochloride,,,,,prinston inc,prinston,anda090027,venlafaxine hydrochloride,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,03.03.2010,2010,,,,small molecule,levetiracetam,,,,,pharmobedient cnsltg,pharmobedient,anda090028,levetiracetam,yes,no,solution,,no,FDA
injection,,,authorised,fda,approved,31.03.2009,2009,,,,small molecule,methotrexate sodium preservative free,,,,,sandoz,sandoz,anda090029,methotrexate sodium,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,01.10.1996,1996,,,,small molecule,dicyclomine hydrochloride,,,,,hikma pharms,hikma,anda040161,dicyclomine hydrochloride,yes,no,tablet,,no,FDA
intravenous,,,authorised,fda,approved,31.01.2017,2017,,,,small molecule,oxaliplatin,,,,,fresenius kabi usa,fresenius,anda090030,oxaliplatin,yes,no,injectable,,no,FDA
oral,,,discontinued,fda,approved,14.01.2009,2009,,,,small molecule,cefpodoxime proxetil,,,,,chartwell rx,chartwell,anda090031,cefpodoxime proxetil,yes,no,suspension,,no,FDA
oral,,,authorised,fda,approved,07.07.2014,2014,,,,small molecule,telmisartan,,,,,glenmark pharms ltd,glenmark,anda090032,telmisartan,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,24.02.2014,2014,,,,small molecule,rifabutin,,,,,lupin ltd,lupin,anda090033,rifabutin,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,21.08.2013,2013,,,,small molecule,rifampin,,,,,lupin pharms,lupin,anda090034,rifampin,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,09.06.2009,2009,"diseases of the blood and blood-forming organs; endocrine, nutritional, and metabolic diseases; pregnancy and childbirth","<anemia, megaloblastic>; <sprue, tropical>; <anemia, nutritional>",,small molecule,folic acid,"indications and usage folic acid is effective in the treatment of megaloblastic anemias due to a deficiency of folic acid (as may be seen in tropical or nontropical sprue) and in anemias of nutritional origin, pregnancy, infancy, or childhood.",,,,chartwell molecular,chartwell,anda090035,folic acid,yes,no,tablet,,no,FDA
ophthalmic,,,authorised,fda,approved,14.07.2009,2009,,,,small molecule,dorzolamide hydrochloride and timolol maleate,,,,,bausch and lomb,bausch & lomb,anda090037,dorzolamide hydrochloride,yes,no,solution; drops,,no,FDA
injection,,,authorised,fda,approved,21.01.2010,2010,,,,small molecule,milrinone lactate in plastic container,,,,,hikma farmaceutica,hikma,anda090038,milrinone lactate,yes,no,injectable,,no,FDA
injection,,,authorised,fda,approved,31.03.2009,2009,,,,small molecule,methotrexate sodium preservative free,,,,,sandoz,sandoz,anda090039,methotrexate sodium,yes,no,injectable,,no,FDA
injection,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,15.03.2011,2011,,,,small molecule,doxercalciferol,,,,,cobrek pharma,cobrek,anda090040,doxercalciferol,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,10.04.2015,2015,diseases of the nervous system,<alzheimer disease>,,small molecule,memantine hydrochloride,1 indications and usage memantine hydrochloride tablets are indicated for the treatment of moderate to severe dementia of the alzheimer’s type. memantine hydrochloride tablets are an n-methyl-d-aspartate (nmda) receptor antagonist indicated for the treatment of moderate to severe dementia of the alzheimer’s type. ( 1 ),,,,amneal pharms,amneal,anda090041,memantine hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,31.07.2015,2015,mental and behavioural disorders; diseases of the nervous system,<alzheimer disease>,,small molecule,memantine hydrochloride,1 indications and usage memantine hydrochloride tablets are indicated for the treatment of moderate to severe dementia of the alzheimer's type. memantine hydrochloride is an n-methyl-d-aspartate (nmda) receptor antagonist indicated for the treatment of moderate to severe dementia of the alzheimer's type. ( 1 ),,,,upsher smith labs,upsher smith,anda090043,memantine hydrochloride,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,12.03.2012,2012,,,,small molecule,memantine hydrochloride,,,,,orbion pharms,orbion,anda090044,memantine hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,14.04.2010,2010,,,,small molecule,memantine hydrochloride,,,,,dr reddys labs ltd,dr reddys,anda090048,memantine hydrochloride,yes,no,tablet,,no,FDA
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,30.03.2009,2009,,,,small molecule,emtricitabine; tenofovir disoproxil fumarate,,,,,matrix labs ltd,matrix,anda090049,emtricitabine,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,10.04.2015,2015,mental and behavioural disorders; diseases of the nervous system,<alzheimer disease>,,small molecule,memantine hydrochloride,1 indications and usage memantine hydrochloride is an n-methyl-d-aspartate (nmda) receptor antagonist indicated for the treatment of moderate to severe dementia of the alzheimer's type. ( 1 ) memantine hydrochloride is indicated for the treatment of moderate to severe dementia of the alzheimer's type.,,,,lupin ltd,lupin,anda090051,memantine hydrochloride,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,25.10.2011,2011,,,,small molecule,memantine hydrochloride,,,,,teva pharms,teva,anda090052,memantine hydrochloride,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,15.11.2010,2010,,,,small molecule,ranitidine hydrochloride,,,,,tolmar,tolmar,anda090054,ranitidine hydrochloride,yes,no,syrup,,no,FDA
oral,,,authorised,fda,approved,10.06.2010,2010,,,,small molecule,mycophenolate mofetil,,,,,strides pharma,strides,anda090055,mycophenolate mofetil,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,31.05.2011,2011,,,,small molecule,donepezil hydrochloride,,,,,aurobindo,aurobindo,anda090056,donepezil hydrochloride,yes,no,tablet,,no,FDA
injection,,,authorised,fda,approved,25.04.2014,2014,,,,small molecule,ceftriaxone,,,,,samson medcl,samson,anda090057,ceftriaxone sodium,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,05.05.2010,2010,,,,small molecule,memantine hydrochloride,,,,,sun pharm,sun,anda090058,memantine hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,01.07.2013,2013,,,,small molecule,finasteride,,,,,hetero labs ltd iii,hetero,anda090060,finasteride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,07.06.2010,2010,,,,small molecule,finasteride,,,,,hetero labs ltd iii,hetero,anda090061,finasteride,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,17.03.2009,2009,,,,small molecule,divalproex sodium,,,,,norvium bioscience,norvium,anda090062,divalproex sodium,yes,no,tablet,,no,FDA
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,04.12.2009,2009,,,,small molecule,levofloxacin,,,,,mylan pharma,mylan,anda090063,levofloxacin,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,20.11.2009,2009,,,,small molecule,caffeine citrate,,,,,am regent,not reported,anda090064,caffeine citrate,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,18.08.2015,2015,,,,small molecule,methadone hydrochloride,,,,,epic pharma llc,epic,anda090065,methadone hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,01.12.2010,2010,diseases of the musculoskeletal system and connective tissue,<osteoarthritis>; <rheumatoid arthritis>; <ankylosing spondylitis>,,small molecule,diclofenac sodium,"indications and usage carefully consider the potential benefits and risks of diclofenac sodium delayed-release tablets and other treatment options before deciding to use diclofenac sodium delayed-release tablets. use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see warnings: gastrointestinal bleeding, ulceration and perforation ). diclofenac sodium delayed-release tablets are indicated: for relief of the signs and symptoms of osteoarthritis for relief of the signs and symptoms of rheumatoid arthritis for acute or long-term use in the relief of signs and symptoms of ankylosing spondylitis",,,,unique,not reported,anda090066,diclofenac sodium,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,12.03.2012,2012,,,,small molecule,divalproex sodium,,,,,reddys,reddys,anda090070,divalproex sodium,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,15.04.2011,2011,,,,small molecule,venlafaxine hydrochloride,,,,,valeant pharms north,valeant,anda090071,venlafaxine hydrochloride,yes,no,capsule,,no,FDA
oral,,,discontinued,fda,approved,10.11.2009,2009,,,,small molecule,perindopril erbumine,,,,,hikma,hikma,anda090072,perindopril erbumine,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,04.09.2015,2015,,,,small molecule,memantine hydrochloride,,,,,pointview hldings,pointview,anda090073,memantine hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,19.01.2011,2011,,,,small molecule,pantoprazole sodium,,,,,torrent pharms,torrent,anda090074,pantoprazole sodium,yes,no,tablet,,no,FDA
injection,,,authorised,fda,approved,25.03.2010,2010,,,,small molecule,epirubicin hydrochloride,,,,,hisun pharm hangzhou,hisun,anda090075,epirubicin hydrochloride,yes,no,injectable,,no,FDA
intravenous,,,discontinued,fda,approved,30.09.2009,2009,,,,small molecule,caffeine citrate,,,,,sun pharm,sun,anda090077,caffeine citrate,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,11.04.2012,2012,,,,small molecule,levetiracetam,,,,,quagen,quagen,anda090079,levetiracetam,yes,no,solution,,no,FDA
