Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency
67792,,inrebic,fedratinib as fedratinib dihydrochloride monohydrate,celgene gmbh,small molecule,capsule,oral,approved,authorised (under additional monitoring),01.07.2021,2021,yes,no,inrebic is a kinase inhibitor indicated for the treatment of adult patients with intermediate-2 or high-risk primary or secondary (post-polycythaemia vera or post-essential thrombocythaemia) myelofibrosis (mf).,"inrebic is indicated for the treatment of splenomegaly or disease-associated symptoms in intermediate or high risk patients who have failed to respond, or are intolerant, to ruxolitinib.",neoplasms; diseases of the blood and blood-forming organs,29.11.2019,2019,yes,fda,swisspar_inrebic-1.pdf,Swissmedic
68462,,fluenz tetra,"reassortant live attenuated influenza virus strains of types a/h1n1, a/h3n2, b/yamagata and b/victoria",astrazeneca ag,vaccine,suspension,intranasal,approved,authorised,11.05.2022,2022,no,no,prophylaxis of influenza in children and adolescents from 24 months to 18 years of age.,active immunisation in children and adolescents from 24 months to 18 years of age. for prophylaxis of influenza caused by the two influenza a virus subtypes and the two influenza b virus subtypes contained in the vaccine.,infectious and parasitic diseases; diseases of the respiratory system,01.04.2021,2021,yes,ema,swisspar_fluenz_tetra_final.pdf,Swissmedic
68591,,lamzede,velmanasum alfa,chiesi sa,biologics,powder,intravenous,conditional marketing authorisation,authorised (under additional monitoring),26.08.2022,2022,yes,no,enzyme replacement therapy for non-neurological manifestations in patients with mild to moderate alpha-mannosidosis.,enzyme replacement therapy for the treatment of non-neurological manifestations in patients with mild to moderate alpha-mannosidosis.,"endocrine, nutritional, and metabolic diseases",08.12.2021,2021,no,na,swisspar_lamzede.pdf,Swissmedic
67046,,zeposia,ozanimod,celgene gmbh,small molecule,capsule,oral,approved,authorised,11.08.2020,2020,no,no,zeposia is indicated for the treatment of adults with relapsing multiple sclerosis (rms).,zeposia is indicated for the treatment of adult patients with relapsing remitting multiple sclerosis (ms).,diseases of the nervous system,08.05.2019,2019,no,na,swisspar_zeposia.pdf,Swissmedic
69043,,roclanda,"latanoprost, netarsudil",santen sa,small molecule,solution,ocular,approved,authorised,03.10.2023,2023,no,no,reduction of elevated intraocular pressure (iop) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy with a prostaglandin or netarsudil provides insufficient iop reduction.,reduction of elevated intraocular pressure (iop) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy with a prostaglandin provides insufficient iop reduction.,diseases of the eye and adnexa,22.07.2022,2022,yes,chmp,swisspar_roclanda.pdf,Swissmedic
67780,,heparin sintetica,heparin sodium,sintetica sa,biologics,solution,intravenous,approved,authorised,20.12.2021,2021,no,no,"treatment of thromboembolic disease of all causes and at any site, and relay treatment following thrombolytic therapy; in the event of myocardial infarction; inhibition of coagulation in the event of extracorporeal circulation and haemodialysis.","treatment of thromboembolic disease of all causes and at any site, and relay treatment following thrombolytic therapy; in the event of myocardial infarction; inhibition of coagulation in the event of extracorporeal circulation and haemodialysis.",diseases of the circulatory system,25.11.2019,2019,yes,na,swisspar_heparin_sintetica.pdf,Swissmedic
68685,,locametz,gozetotide,advanced accelerator,peptides and proteins,kit for radiopharmaceutical preparation,intravenous,approved,authorised,03.03.2023,2023,no,no,radiodiagnostic for identification of psma-positive lesions in prostate cancer,radiodiagnostic for identification of psma-positive lesions in prostate cancer,neoplasms,23.11.2021,2021,yes,na,swisspar_locametz.pdf,Swissmedic
68704,,evusheld,cilgavimab / tixagevimab,astrazeneca ag,biologics,solution,intramuscular,conditional marketing authorisation,authorised (under additional monitoring),09.09.2022,2022,no,no,prophylaxis of covid-19 in adults and paediatric individuals (12 years of age and older weighing at least 40 kg),pre-exposure prophylaxis of covid-19 in adults and adolescents (12 years of age and older weighing at least 40 kg) unable to produce an adequate immune response to the sars-cov-2 vaccine and who are not currently infected with sars-cov-2 and who have not had recent contact with a person infected with sars-cov-2,infectious and parasitic diseases,09.02.2022,2022,yes,ema,swisspar_evusheld-1.pdf,Swissmedic
68182,,gavreto,pralsetinib,roche pharma (schweiz) ag,small molecule,capsule,oral,approved,authorised (under additional monitoring),12.08.2021,2021,yes,no,gavreto is indicated for the treatment of adult patients with metastatic ret fusion-positive non-small cell lung cancer (nsclc) and who have experienced progression after previous treatment. gavreto is indicated for the treatment of adult and paediatric patients 12 years of age and older with advanced or metastatic ret-mutant medullary thyroid cancer (mtc) who require systemic therapy and who have experienced progression after previous treatment. gavreto is indicated for the treatment of adult and paediatric patients 12 years of age and older with advanced or metastatic ret fusion-positive thyroid cancer who require systemic therapy and who have experienced progression after previous treatment including radioactive iodine.,ret fusion-positive non-small cell lung cancer; ret-mutant medullary thyroid cancer; ret fusion-positive thyroid cancer,"neoplasms; diseases of the respiratory system; endocrine, nutritional, and metabolic diseases",12.04.2021,2021,yes,us-fda,swisspar_gavreto-1.pdf,Swissmedic
67257,,rinvoq,"upadacitinib, upadacitinib hemihydrate",abbvie ag,small molecule,tablet,oral,approved,authorised,20.01.2020,2020,no,no,rinvoq is indicated for the treatment of adults with moderately to severely active rheumatoid arthritis.,"rinvoq is indicated for the treatment of adults with moderately to severely active rheumatoid arthritis, who had an inadequate response or are intolerant to a treatment with one or more conventional synthetic disease-modifying anti-rheumatic drugs (csdmard).",diseases of the musculoskeletal system and connective tissue,11.01.2019,2019,no,na,swisspar_rinvoq_final.pdf,Swissmedic
67446,,rybelsus,semaglutide,novo nordisk pharma ag,peptides and proteins,tablet,oral,approved,authorised,24.03.2020,2020,no,no,rybelsus is indicated for the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise. rybelsus is indicated to reduce the risk of serious undesirable cardiovascular events in adult patients with type 2 diabetes mellitus and established cardiovascular risk and/or chronic renal disease.,rybelsus is used in addition to diet and exercise to treat adults with inadequately controlled type 2 diabetes mellitus: as monotherapy in case of contraindication or intolerance of metformin; in combination with other blood glucose-lowering medicines.,"endocrine, nutritional, and metabolic diseases; diseases of the circulatory system",15.05.2019,2019,no,na,swisspar_rybelsus_final.pdf,Swissmedic
68706,,imjudo,tremelimumab,astrazeneca ag,biologics,concentrate,intravenous,approved,authorised,13.09.2023,2023,yes,no,tremelimumab (tradename) in combination with durvalumab is indicated for the treatment of patients with unresectable hepatocellular carcinoma (uhcc).,hepatocellular carcinoma (hcc) imjudo in combination with durvalumab is indicated for the treatment of patients with unresectable hepatocellular carcinoma (uhcc) who have not received prior systemic therapy.,neoplasms; diseases of the digestive system,22.04.2022,2022,no,na,swisspar_imjudo_na_nas.pdf,Swissmedic
69322,,uplizna,inebilizumab,horizon therapeutics,biologics,concentrate,intravenous,approved,authorised (under additional monitoring),04.03.2024,2024,yes,no,uplizna is indicated as monotherapy for the treatment of adult patients with neuromyelitis optica spectrum disorders (nmosd) who are anti-aquaporin-4 immunoglobulin g (aqp4-igg) seropositive,uplizna is indicated as monotherapy for the treatment of adult patients with neuromyelitis optica spectrum disorders (nmosd) who are anti-aquaporin-4 immunoglobulin g (aqp4-igg) seropositive,diseases of the nervous system,02.06.2023,2023,yes,ema,swisspar_uplizna_na_nas.pdf,Swissmedic
69201,,livmarli,maralixibat chloride,mirum pharmaceuticals ag,small molecule,solution,oral,approved,authorised (under additional monitoring),18.07.2024,2024,yes,no,treatment of cholestatic pruritus in patients with alagille syndrome (algs) 3 months of age and older,treatment of cholestatic pruritus in patients with alagille syndrome (algs) 3 months of age and older,diseases of the digestive system; diseases of the skin,21.04.2023,2023,yes,fda,swisspar_livmarli.pdf,Swissmedic
69161,,tepkinly,epcoritamab,abbvie ag,biologics,concentrate,subcutaneous,conditional marketing authorisation,authorised (under additional monitoring),15.02.2024,2024,yes,no,"treatment of adult patients with relapsed or refractory diffuse large b-cell lymphoma (dlbcl) after 2 or more lines of systemic therapy, where patient is unable to receive, or has previously received, car-t cell therapy.","monotherapy for the treatment of adult patients with relapsed or refractory diffuse large b-cell lymphoma (dlbcl), after 2 or more lines of systemic therapy, including a cd20 antibody, where patient is unable to receive, or has previously received, anti-cd19-targeted car-t cell therapy.",neoplasms; diseases of the blood and blood-forming organs,06.07.2023,2023,yes,chmp,swisspar_tepkinly_na_nas.pdf,Swissmedic
67278,,ultomiris,ravulizumab,alexion pharma gmbh,biologics,concentrate,intravenous,approved,authorised (under additional monitoring),29.08.2023,2023,yes,yes,neuromyelitis optica spectrum disorder (nmosd),neuromyelitis optica spectrum disorder (nmosd),diseases of the nervous system,19.10.2022,2022,yes,na,swisspar_ultomiris_final.pdf,Swissmedic
68410,,spaverin,drotaverine hydrochloride,target bioscience ag,small molecule,tablet,oral,approved,authorised,30.01.2023,2023,no,no,"smooth muscle spasms in diseases of the hepato-biliary system: cholecystolithiasis, cholangiolithiasis, cholecystitis, pericholecystitis, cholangitis, papillitis. smooth muscle spasms of the urogenital system: nephrolithiasis, ureterolithiasis, pyelitis, cystitis, tenesmus of urinary bladder. as adjuvant: smooth muscle spasm of the gastrointestinal system: ventricular and duodenal ulcer, gastritis, spasm of the pylorus or cardia, enteritis, colitis, irritable colon syndrome predominantly with constipation or with abdominal distension. tension-type headache. gynaecological disease: dysmenorrhoea.","symptomatic treatment of gastrointestinal complaints (pain, cramps) in the context of functional disorders of the gastrointestinal tract.",diseases of the digestive system,08.03.2021,2021,yes,hungary,swisspar_spaverin.pdf,Swissmedic
67693,,lumykras,sotorasib,amgen switzerland ag,small molecule,tablet,oral,approved,withdrawn,16.12.2021,2021,yes,no,lumykras is indicated as monotherapy for the treatment of adult patients with previously treated kras g12c-mutated locally advanced or metastatic non-small cell lung cancer (nsclc).,lumykras is indicated as monotherapy for the treatment of adult patients with kras g12c-mutated locally advanced or metastatic non-squamous non-small cell lung cancer (nsclc) who have experienced progression after prior treatment with platinum-based chemotherapy and/or anti-pd-1/pd-l1 immunotherapy.,neoplasms; diseases of the respiratory system,22.04.2021,2021,no,na,swisspar_lumykras_final_mit_fi.pdf,Swissmedic
68862,,vafseo,vadadustat,voisin consulting ch sàrl,small molecule,tablet,oral,approved,authorised (under additional monitoring),19.06.2023,2023,no,no,treatment of anaemia associated with chronic kidney disease (ckd) in adults,treatment of symptomatic anaemia associated with chronic kidney disease (ckd) in adults on chronic maintenance dialysis,diseases of the blood and blood-forming organs; diseases of the genitourinary system,17.03.2022,2022,no,na,swisspar_vafseo_final.pdf,Swissmedic
68395,,vabysmo,faricimab,roche pharma (schweiz) ag,biologics,solution,intravitreal,approved,authorised,25.05.2022,2022,no,no,neovascular (wet) age-related macular degeneration (namd); diabetic macular oedema (dme),neovascular (wet) age-related macular degeneration (namd); diabetic macular oedema (dme),"diseases of the eye and adnexa; endocrine, nutritional, and metabolic diseases",22.06.2021,2021,yes,,swisspar_vabysmo_final.pdf,Swissmedic
68454,,tezspire,tezepelumab,astrazeneca ag,biologics,solution,subcutaneous,approved,authorised (under additional monitoring),13.06.2022,2022,no,no,adjunct to maintenance therapy in adults with severe asthma,in addition to inhaled maintenance therapy in adults with severe asthma with inadequate asthma control and at least one severe exacerbation in the past 12 months despite concomitant treatment with inhaled corticosteroids and long-acting bronchodilators,diseases of the respiratory system,15.07.2021,2021,no,na,swisspar_tezspire_final.pdf,Swissmedic
67590,,epidyolex,cannabidiol,drac ag,small molecule,solution,oral,approved,authorised (under additional monitoring),30.08.2022,2022,no,yes,adjunctive therapy of seizures associated with tuberous sclerosis complex (tsc) for patients 1 year of age and older,adjunctive therapy of tuberous sclerosis complex (tsc) in patients 2 years of age and older,diseases of the nervous system; congenital malformations and chromosomal abnormalities,02.09.2021,2021,yes,ema,swisspar_epidyolex_ie-1.pdf,Swissmedic
67463,,qarziba,dinutuximab beta,medius ag,biologics,concentrate,intravenous,approved,authorised (under additional monitoring),18.04.2024,2024,yes,no,"qarziba is indicated for the treatment of high-risk neuroblastoma in patients aged 12 months and above, who have previously received induction chemotherapy and achieved at least a partial response, followed by myeloablative therapy and stem cell transplantation, as well as patients with a history of relapsed or refractory neuroblastoma, with or without residual disease.","qarziba is used in combination with isotretinoin for the treatment of high-risk neuroblastoma in paediatric patients aged 12 months and above, who have previously received induction chemotherapy and achieved at least a partial response, followed by myeloablative therapy and stem cell transplantation.",neoplasms; diseases of the nervous system,11.05.2023,2023,yes,ema,swisspar_qarziba.pdf,Swissmedic
67521,,nubeqa,darolutamidum,bayer (schweiz) ag,small molecule,tablet,oral,approved,authorised,19.06.2020,2020,no,no,"nubeqa, in combination with androgen deprivation therapy (adt), is indicated for the treatment of adult patients with non-metastatic, castration-resistant prostate cancer (nmcrpc) who are at high risk of developing metastases (in particular, psadt ≤10 months).","nubeqa, in combination with androgen deprivation therapy (adt), is indicated for the treatment of adult patients with non-metastatic castration-resistant prostate cancer (nmcrpc) who are at high risk of developing metastatic disease (in particular psadt ≤10 months; see “clinical efficacy”).",neoplasms,12.04.2019,2019,no,na,swisspar_nubeqa_final.pdf,Swissmedic
68844,,alhemo,concizumab,novo nordisk pharma ag,biologics,solution,subcutaneous,approved,authorised (under additional monitoring),08.08.2023,2023,yes,no,routine prophylaxis to prevent or reduce the frequency of bleeding episodes in patients from 12 years with haemophilia b (congenital factor ix [fix] deficiency) with fix inhibitors.,concizumab is indicated for the treatment of adolescent and adult patients (12 years of age or older) with haemophilia b (congenital factor ix [fix] deficiency) who have fix inhibitors and require routine prophylaxis to prevent or reduce the frequency of bleeding episodes.,diseases of the blood and blood-forming organs,26.08.2022,2022,no,na,swisspar_alhemol.pdf,Swissmedic
68174,,cibinqo,abrocitinib,pfizer ag,small molecule,tablet,oral,approved,authorised,05.04.2022,2022,no,no,moderate to severe atopic dermatitis in adults and patients 12 years of age and older who are candidates for systemic therapy,treatment of moderate to severe atopic dermatitis in adults when therapy with topical medications does not provide adequate disease control or cannot be used,diseases of the skin,03.11.2020,2020,yes,,swisspar_cibinqo_final.pdf,Swissmedic
68177,,sunosi,solriamfetol,clinipace ag,small molecule,tablet,oral,approved,authorised (under additional monitoring),22.03.2022,2022,no,no,sunosi is indicated to improve wakefulness and reduce excessive daytime sleepiness in adult patients with narcolepsy or obstructive sleep apnoea (osa).,sunosi is indicated to improve wakefulness and reduce excessive daytime sleepiness (eds) in adult patients with obstructive sleep apnoea (osa) whose eds has not been satisfactorily treated by primary osa therapy. sunosi is indicated to improve wakefulness and reduce excessive sleepiness in adult patients with narcolepsy.,diseases of the nervous system; diseases of the respiratory system,01.09.2020,2020,yes,european medicines agency,swisspar_sunosi.pdf,Swissmedic
67257,,rinvoq,upadacitinib as upadacitinib hemihydrate,abbvie ag,small molecule,tablet,oral,approved,authorised,07.06.2024,2024,no,yes,"treatment of adult patients with moderately to severely active crohn's disease who have responded inadequately to, no longer respond to, or are intolerant of conventional therapy or a biologic, or for whom such therapies are inadvisable.","treatment of adult patients with moderately to severely active crohn’s disease who have had an inadequate response, lost response, or were intolerant to at least 1 biologic agent, or for whom such a therapy is contraindicated.",diseases of the digestive system,01.11.2022,2022,yes,na,swisspar_rinvoq_morbus_crohn.pdf,Swissmedic
68265,,ngenla,somatrogon,pfizer ag,biologics,solution,subcutaneous,approved,authorised,09.09.2022,2022,yes,no,long-term treatment of paediatric patients with growth disturbance due to insufficient secretion of growth hormone,growth disorders in children and adolescents aged 3 years and above in cases of proven growth hormone deficiency,"endocrine, nutritional, and metabolic diseases",02.03.2021,2021,no,na,swisspar_ngenla.pdf,Swissmedic
68531,,welireg,belzutifan,msd merck sharp & dohme ag,small molecule,tablet,oral,conditional marketing authorisation,authorised (under additional monitoring),21.03.2024,2024,yes,no,"welireg as monotherapy is indicated for the treatment of adult patients with von hippel-lindau (vhl) disease who require therapy for vhl-associated renal cell carcinoma (rcc), central nervous system (cns) haemangioblastomas, or pancreatic neuroendocrine tumours (pnet), not requiring immediate surgery.","welireg as monotherapy is indicated for the treatment of adult patients with von hippel-lindau (vhl) disease who require therapy for vhl-associated renal cell carcinoma (rcc), central nervous system (cns) haemangioblastomas, or pancreatic neuroendocrine tumours (pnet), not requiring immediate surgery.",neoplasms; diseases of the nervous system; diseases of the digestive system,07.07.2022,2022,yes,mhra,swisspar_welireg.pdf,Swissmedic
67773,,trikafta,"elexacaftor, ivacaftor, tezacaftor",vertex pharmaceuticals (ch) gmbh,small molecule,tablet,oral,approved,authorised (under additional monitoring),14.09.2021,2021,yes,yes,trikafta is indicated for the treatment of cystic fibrosis (cf) in patients aged 12 years and older who have at least one f508del mutation in the cystic fibrosis transmembrane conductance regulator (cftr) gene,trikafta is indicated for the treatment of cystic fibrosis (cf) in patients aged 12 years and older who have at least one f508del mutation in the cystic fibrosis transmembrane conductance regulator (cftr) gene,"endocrine, nutritional, and metabolic diseases",29.01.2021,2021,yes,na,swisspar_trikafta_ie.pdf,Swissmedic
68548,,bimzelx,bimekizumab,ucb-pharma sa,biologics,solution,subcutaneous,approved,authorised (under additional monitoring),27.10.2022,2022,no,no,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy,treatment of moderate to severe plaque psoriasis in adult patients who are candidates for systemic therapy,diseases of the skin,16.06.2021,2021,yes,ema,swisspar_bimzelx_final.pdf,Swissmedic
68023,,jemperli,dostarlimab,glaxosmithkline ag,biologics,concentrate,intravenous,approved,authorised (under additional monitoring),22.12.2023,2023,no,yes,jemperli is indicated in combination with platinum-containing chemotherapy for the treatment of adult patients with primary advanced or recurrent endometrial cancer (ec) with deficient dna mismatch repair (dmmr) / high microsatellite instability (msi-h) who are candidates for systemic therapy.,jemperli is indicated in combination with therapy containing carboplatin and paclitaxel for the treatment of adult patients with primary recurrent or advanced endometrial cancer (ec) with deficient dna mismatch repair (dmmr) / high microsatellite instability (msi-h) with a high risk of recurrence.,neoplasms,20.04.2023,2023,yes,na,swisspar_jemperli.pdf,Swissmedic
67278,,ultomiris,ravulizumab,alexion pharma gmbh,biologics,concentrate,intravenous,approved,authorised (under additional monitoring),24.08.2021,2021,yes,yes,ultomiris is used in the treatment of patients with a body weight of 10 kg and over with atypical haemolytic uremic syndrome (ahus) who are complement inhibitor treatment-naïve or have received eculizumab for at least 3 months and have evidence of response to eculizumab,"ultomiris is used in the treatment of patients weighing 10 kg and over with atypical haemolytic uraemic syndrome (ahus) who have not previously been treated with complement inhibitors (complement inhibitor-naïve patients) or have received eculizumab for at least 3 months, with evidence of a response to eculizumab.",diseases of the blood and blood-forming organs; diseases of the genitourinary system,02.12.2020,2020,yes,european medicines agency ema,swisspar_ultomiris_ie.pdf,Swissmedic
68354,,vazkepa,icosapent ethyl,amarin switzerland gmbh,small molecule,capsule,oral,approved,authorised (under additional monitoring),22.11.2022,2022,no,no,vazkepa is used to reduce the risk of cardiovascular events in statin-treated adult patients at high cardiovascular risk with elevated triglyceride levels (≥ 150 mg/dl) as well as: established cardiovascular disease or diabetes and at least one other cardiovascular risk factor.,"vazkepa is indicated to reduce the risk of cardiovascular events in adult statin-treated patients at high cardiovascular risk with elevated triglycerides (≥ 150 mg/dl [≥ 1.7 mmol/l]) and established cardiovascular disease, or diabetes, and at least one other cardiovascular risk factor.",diseases of the circulatory system,28.04.2021,2021,yes,ema chmp,swisspar_vazkepa_final.pdf,Swissmedic
68395,,vabysmo,faricimab,roche pharma (schweiz) ag,biologics,solution,intravitreal,approved,authorised (under additional monitoring),11.07.2024,2024,no,yes,treatment of macular oedema due to retinal vein occlusion (branch retinal vein occlusion (brvo) and central retinal vein occlusion (crvo)).,treatment of macular oedema secondary to retinal vein occlusion (branch retinal vein occlusion (brvo) and central retinal vein occlusion (crvo)).,diseases of the eye and adnexa,24.08.2023,2023,yes,na,swisspar_vabysmo_g102701735.pdf,Swissmedic
67967,,enhertu,trastuzumab deruxtecan,daiichi sankyo (schweiz) ag,biologics,powder,intravenous,approved,authorised (under additional monitoring),29.11.2021,2021,no,no,trastuzumab deruxtecan is indicated for the treatment of adult patients with unresectable or metastatic her2-positive breast cancer who have received two or more prior anti-her2-based regimens.,"enhertu as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic her2-positive breast cancer who have received two or more prior anti-her2-based regimens, including trastuzumab, and have had disease progression on trastuzumab emtansine (t-dm1).",neoplasms,14.08.2020,2020,yes,fda,swisspar_enhertu_g102637736.pdf,Swissmedic
68291,,padcev,enfortumab vedotin,astellas pharma ag,biologics,powder,intravenous,approved,authorised (under additional monitoring),17.09.2024,2024,no,yes,padcev in combination with pembrolizumab is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma.,"padcev, in combination with pembrolizumab, is indicated for the first-line treatment of adult patients with unresectable or metastatic urothelial cancer (muc).",neoplasms; diseases of the genitourinary system,22.01.2024,2024,no,na,swisspar_padcev.pdf,Swissmedic
