Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,03.05.2012,2012,authorised,EMA,approved,17.01.2013,2013,diseases of the circulatory system,<hypertension>,actelsar-hct-epar-public-assessment-report_en.pdf,small molecule,actelsar hct,treatment of essential hypertension.,no,treatment of essential hypertension.,<hypertension>,actavis group hf,actavis,ema/163479/2013,telmisartan / hydrochlorothiazide,yes,no,tablet,emea/h/c/002676/0000,
intravenous,29.05.2019,2019,withdrawn,EMA,approved,23.07.2020,2020,diseases of the blood and blood-forming organs,<sickle cell disease>,adakveo-epar-public-assessment-report_en.pdf,biologics,adakveo,prevention of recurrent vaso-occlusive crises (vocs) in sickle cell disease patients aged 16 years and older,no,prevention of vaso-occlusive crises in sickle cell disease patients aged 16 years and over,<sickle cell disease>,novartis europharm limited,novartis,ema/427120/2020,crizanlizumab,no,yes,concentrate,emea/h/c/004874/0000,na
inhalation,26.10.2011,2011,authorised,EMA,approved,13.12.2012,2012,mental and behavioural disorders,<schizophrenia>; <bipolar disorder>,adasuve-epar-public-assessment-report_en.pdf,small molecule,adasuve,adasuve is indicated for the rapid control of mild-to-moderate agitation in adult patients with schizophrenia or bipolar disorder.,no,adasuve powder is indicated for the rapid control of agitation in adult patients with schizophrenia or bipolar disorder.,<schizophrenia>; <bipolar disorder>,alexza uk ltd.,alexza,ema/91055/2013,loxapine,no,no,powder,emea/h/c/002400,na
intravenous,31.05.2011,2011,authorised,EMA,conditional marketing authorisation,19.07.2012,2012,neoplasms; diseases of the blood and blood-forming organs,<hodgkin lymphoma>; <anaplastic large-cell lymphoma>,adcetris-epar-public-assessment-report_en.pdf,biologics,adcetris,treatment of adult patients with relapsed or refractory cd30+ hodgkin lymphoma (hl): following autologous stem cell transplant (asct) or following at least two prior therapies when asct or multi-agent chemotherapy is not a treatment option; treatment of adult patients with relapsed or refractory systemic anaplastic large cell lymphoma (salcl),no,treatment of patients with relapsed or refractory hodgkin lymphoma (hl) and for the treatment of patients with relapsed or refractory systemic anaplastic large cell lymphoma (salcl),<hodgkin disease>; <anaplastic large-cell lymphoma>,takeda global research and development centre (europe) ltd.,takeda,ema/702390/2012,brentuximab vedotin,no,yes,powder,emea/h/c/002455,na
oral,05.02.2013,2013,authorised,EMA,approved,23.01.2014,2014,diseases of the circulatory system,"<hypertension, pulmonary>",adempas-epar-public-assessment-report_en.pdf,small molecule,adempas,chronic thromboembolic pulmonary hypertension (cteph); pulmonary arterial hypertension (pah),no,chronic thromboembolic pulmonary hypertension (cteph); pulmonary arterial hypertension (pah),"<hypertension, pulmonary>",bayer pharma ag,bayer,ema/734750/2013,riociguat,no,yes,tablet,emea/h/c/002737/0000,na
oral,23.08.2006,2006,authorised,EMA,approved,21.02.2008,2008,"endocrine, nutritional, and metabolic diseases",<hyperuricemia>; <gouty arthritis>,adenuric-epar-public-assessment-report_en.pdf,small molecule,adenuric,"treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis)",no,"treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis)",<hyperuricemia>; <gouty arthritis>,ipsen manufacturing ireland ltd.,ipsen,ema/258531/2008,febuxostat,no,no,tablet,emea/h/c/777,na
,,,authorised,EMA,approved,19.02.2015,2015,infectious and parasitic diseases,<influenza>,adjupanrix-previously-pandemic-influenza-vaccine-h5n1-split-virion-inactivated-adjuvanted-glaxosmithkline-biologicals-h-c-1206-p46-0032-epar-assessment-report_en.pdf,vaccine,adjupanrix,prophylaxis of influenza in an officially declared pandemic situation.,no,prophylaxis of influenza in an officially declared pandemic situation.,<influenza>,gsk biologicals,gsk,,"pandemic influenza vaccine (h5n1) (split virion, inactivated, adjuvanted)",no,no,vaccines,ema/h/c/001206/p46/032 and ema/h/c/000822/p46/054,na
subcutaneous,27.04.2020,2020,authorised,EMA,approved,22.04.2021,2021,diseases of the skin,"<dermatitis, atopic>",adtralza-epar-public-assessment-report_en.pdf,biologics,adtralza,treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,no,treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,"<dermatitis, atopic>",leo pharma a/s,leo,ema/266138/2021,tralokinumab,no,no,solution,emea/h/c/005255/0000,na
oral,,,authorised,EMA,approved,,2007,diseases of the genitourinary system; diseases of the digestive system,<transplant rejection>,advagraf-epar-scientific-discussion_en.pdf,small molecule,advagraf,prophylaxis of transplant rejection in adult kidney or liver allograft recipients; treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients,no,prophylaxis of transplant rejection in adult kidney or liver allograft recipients; treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients,<transplant rejection>,,not reported,ema/000409/2007,tacrolimus,yes,no,capsule,emea/h/c/000409,
intravenous,01.03.2016,2016,authorised,EMA,approved,09.11.2017,2017,diseases of the blood and blood-forming organs,<hemophilia a>,adynovi-epar-public-assessment-report_en.pdf,biologics,adynovi,treatment and prophylaxis of bleeding in patients 12 years and above with haemophilia a (congenital factor viii deficiency).,no,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency).,<hemophilia a>,baxalta innovations gmbh,baxalta,ema/chmp/782768/2017,rurioctocog alfa pegol,no,no,powder; solvent,emea/h/c/004195/0000,na
intravenous,17.04.2023,2023,authorised,EMA,approved,30.05.2024,2024,diseases of the blood and blood-forming organs,<congenital thrombotic thrombocytopenic purpura>,adzynma-epar-public-assessment-report_en.pdf,biologics,adzynma,enzyme replacement therapy (ert) in patients with congenital thrombotic thrombocytopenic purpura (cttp) due to adamts13 deficiency,no,enzyme replacement therapy (ert) in patients with congenital thrombotic thrombocytopenic purpura (cttp) due to adamts13 deficiency,<congenital thrombotic thrombocytopenic purpura>,takeda manufacturing austria ag,takeda,ema/352066/2024,radamts13,no,yes,lyophilisate,emea/h/c/006198/0000,na
oral,,,authorised,EMA,approved,,2004,diseases of the respiratory system; diseases of the skin,<allergic rhinitis>; <urticaria>,aerius-epar-scientific-discussion_en.pdf,small molecule,aerius,allergic rhinitis; chronic idiopathic urticaria,yes,relief of symptoms associated with seasonal allergic rhinitis,"<rhinitis, allergic, seasonal>",,not reported,,desloratadine,no,no,tablet; lyophilisate; syrup,emea/h/c/000481,na
inhalation,05.06.2015,2015,withdrawn,EMA,approved,23.06.2016,2016,diseases of the respiratory system,"<asthma>; <pulmonary disease, chronic obstructive>",aerivio-spiromax-epar-public-assessment-report_en.pdf,small molecule,aerivio spiromax,regular treatment of severe asthma and symptomatic treatment of copd in adults aged 18 years and older,no,asthma and copd in adults aged 18 years and older,"<asthma>; <pulmonary disease, chronic obstructive>",teva b.v.,teva,ema/486136/2016,salmeterol / fluticasone propionate,yes,no,powder,emea/h/c/002752/0000,
oral,01.07.2008,2008,authorised,EMA,approved,29.05.2009,2009,neoplasms; diseases of the genitourinary system,<renal cell carcinoma>,afinitor-epar-public-assessment-report_en.pdf,small molecule,afinitor,"treatment of patients with advanced renal cell carcinoma, whose disease has progressed on or after treatment with vegf-targeted therapy",no,"treatment of patients with advanced renal cell carcinoma, whose disease has progressed on or after treatment with vegf-targeted therapy",<renal cell carcinoma>,novartis europharm ltd.,novartis,ema/533232/2009,everolimus,no,yes,tablet,emea/h/c/001038,na
intramuscular,02.12.2009,2009,authorised,EMA,approved,23.09.2010,2010,infectious and parasitic diseases,<influenza>,aflunov-epar-public-assessment-report_en.pdf,vaccine,aflunov,active immunisation against h5n1 subtype of influenza a virus.,no,active immunisation against h5n1 subtype of influenza a virus.,<influenza>,novartis vaccines and diagnostics s.r.l.,novartis,ema/639703/2010,"prepandemic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted)",no,no,suspension,emea/h/c/002094,na
intravitreal,23.08.2023,2023,authorised,EMA,approved,19.09.2024,2024,diseases of the eye and adnexa,<macular degeneration>; <retinal vein occlusion>; <diabetic macular edema>; <myopia>,afqlir-epar-public-assessment-report_en.pdf,biologics,afqlir,neovascular (wet) age-related macular degeneration (amd); visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo); visual impairment due to diabetic macular oedema (dme); visual impairment due to myopic choroidal neovascularisation (myopic cnv),no,neovascular (wet) age-related macular degeneration (amd); visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo); visual impairment due to diabetic macular oedema (dme); visual impairment due to myopic choroidal neovascularisation (myopic cnv),<macular degeneration>; <retinal vein occlusion>; <diabetic macular edema>; <myopic choroidal neovascularization>,sandoz gmbh,sandoz,ema/466863/2024,aflibercept,no,no,solution,emea/h/c/006150/0000,na
intravenous,04.12.2015,2015,authorised,EMA,approved,10.11.2016,2016,diseases of the blood and blood-forming organs,<hemophilia a>,afstyla-epar-public-assessment-report_en.pdf,biologics,afstyla,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency).,no,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency).,<hemophilia a>,csl behring gmbh,csl behring,ema/795172/2016,lonoctocog alfa,no,no,lyophilisate,emea/h/c/004075/0000,na
oral,29.09.2022,2022,authorised,EMA,approved,12.10.2023,2023,diseases of the nervous system; diseases of the musculoskeletal system and connective tissue,<duchenne muscular dystrophy>,agamree-epar-public-assessment-report_en.pdf,small molecule,agamree,treatment of duchenne muscular dystrophy (dmd) in patients aged 4 years and older,no,treatment of duchenne muscular dystrophy (dmd) in patients aged 2 years and older,<duchenne muscular dystrophy>,santhera pharmaceuticals (deutschland) gmbh,santhera,ema/chmp/487504/2023,vamorolone,no,yes,suspension,emea/h/c/005679/0000,na
intravenous,24.06.2022,2022,authorised,EMA,approved,21.03.2024,2024,diseases of the musculoskeletal system and connective tissue,<malignant hyperthermia>,agilus-epar-public-assessment-report_en.pdf,small molecule,agilus,"in combination with adequate support measures, agilus is indicated for the treatment of malignant hyperthermia in adults and children of all ages.",no,"in combination with adequate support measures, agilus is indicated for the treatment of malignant hyperthermia (including suspected cases) in adults and children of all ages.",<malignant hyperthermia>,norgine b.v.,norgine,ema/150697/2024,"dantrolene sodium, hemiheptahydrate",no,yes,powder,emea/h/c/006009/0000,na
intravitreal,25.04.2024,2024,authorised,EMA,approved,14.11.2024,2024,diseases of the eye and adnexa,<macular degeneration>; <retinal vein occlusion>; <diabetic macular edema>; <myopia>,ahzantive-epar-public-assessment-report_en.pdf,biologics,ahzantive,neovascular (wet) age-related macular degeneration (amd); visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo); visual impairment due to diabetic macular oedema (dme); visual impairment due to myopic choroidal neovascularisation (myopic cnv),no,neovascular (wet) age-related macular degeneration (amd); visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo); visual impairment due to diabetic macular oedema (dme); visual impairment due to myopic choroidal neovascularisation (myopic cnv),<macular degeneration>; <retinal vein occlusion>; <diabetic macular edema>; <myopic choroidal neovascularization>,klinge biopharma gmbh,klinge,ema/565845/2024,aflibercept,no,no,solution,emea/h/c/006607/0000,na
subcutaneous,23.05.2017,2017,authorised,EMA,approved,31.05.2018,2018,diseases of the nervous system,<migraine disorders>,aimovig-epar-public-assessment-report_en.pdf,biologics,aimovig,prophylaxis of migraine in adults who have at least 4 migraine days per month,no,prophylaxis of migraine in adults who have at least 4 migraine days per month,<migraine disorders>,novartis europharm ltd,novartis,ema/chmp/413393/2018,erenumab,no,no,solution,emea/h/c/004447/0000,na
inhalation,05.06.2015,2015,withdrawn,EMA,approved,23.06.2016,2016,diseases of the respiratory system,"<asthma>; <pulmonary disease, chronic obstructive>",airexar-spiromax-epar-public-assessment-report_en.pdf,small molecule,airexar spiromax,airexar spiromax is indicated for the regular treatment of patients with severe asthma and symptomatic treatment of patients with copd.,no,airexar spiromax is indicated in adults aged 18 years and older for the regular treatment of asthma and symptomatic treatment of copd.,"<asthma>; <pulmonary disease, chronic obstructive>",teva b.v.,teva,ema/486131/2016,salmeterol / fluticasone propionate,yes,no,powder,emea/h/c/004267/0000,
subcutaneous,12.01.2018,2018,authorised,EMA,approved,31.01.2019,2019,diseases of the nervous system,<migraine disorders>,ajovy-epar-public-assessment-report_en.pdf,biologics,ajovy,treatment of episodic and chronic migraine in adults,no,treatment of episodic and chronic migraine in adults,<migraine disorders>,teva gmbh,teva,ema/118499/2019,fremanezumab,no,no,solution,emea/h/c/004833/0000,na
ocular,02.05.2022,2022,authorised,EMA,approved,30.05.2024,2024,diseases of the eye and adnexa; infectious and parasitic diseases,<acanthamoeba keratitis>,akantior-epar-public-assessment-report_en.pdf,small molecule,akantior,treatment of acanthamoeba keratitis in adults and children from 12 years of age,no,treatment of acanthamoeba keratitis in adults and children from 12 years of age,<acanthamoeba keratitis>,sifi spa,sifi,ema/286425/2024,polihexanide,no,yes,eye drops,emea/h/c/005858/0000,na
oral,28.04.2022,2022,authorised,EMA,approved,23.02.2023,2023,neoplasms; diseases of the genitourinary system,<prostatic neoplasms>,akeega-epar-public-assessment-report_en.pdf,small molecule,akeega,treatment of adult patients with metastatic castration-resistant prostate cancer (mcrpc) and brca1/2 mutations in whom chemotherapy is not clinically indicated,no,treatment of adult patients with metastatic castration-resistant prostate cancer (mcrpc) who are positive for homologous recombination repair (hrr) gene alterations,<prostatic neoplasms>,janssen-cilag international n.v.,janssen-cilag,ema/126335/2023,niraparib / abiraterone acetate,no,no,tablet,emea/h/c/005932/0000,na
oral,13.12.2013,2013,authorised,EMA,approved,26.03.2015,2015,neoplasms,<neoplasms>,akynzeo-epar-public-assessment-report_en.pdf,small molecule,akynzeo,prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy; prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy.,no,prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy; prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy.,<neoplasms>,helsinn birex pharmaceuticals ltd.,helsinn,ema/236963/2015,netupitant / palonosetron,no,no,capsule,emea/h/c/003728/0000,na
oral,08.09.2015,2015,authorised,EMA,conditional marketing authorisation,15.12.2016,2016,neoplasms; diseases of the respiratory system,<non-small cell lung carcinoma>,alecensa-epar-public-assessment-report_en.pdf,small molecule,alecensa,"treatment of adult patients with anaplastic lymphoma kinase (alk)-positive, locally advanced or metastatic non-small cell lung cancer (nsclc) who have progressed on or are intolerant to crizotinib",no,"treatment of adult patients with anaplastic lymphoma kinase (alk)-positive, locally advanced or metastatic non-small cell lung cancer (nsclc) who have progressed on or are intolerant to crizotinib",<non-small cell lung carcinoma>,roche registration limited,roche,ema/197343/2017,alectinib,no,no,capsule,emea/h/c/004164/0000,na
oral,06.05.2009,2009,authorised,EMA,approved,23.07.2009,2009,"diseases of the musculoskeletal system and connective tissue; endocrine, nutritional, and metabolic diseases","<osteoporosis, postmenopausal>",alendronate-sodiumcolecalciferol-msd-epar-public-assessment-report_en.pdf,small molecule,"alendronate sodium and colecalciferol, msd",treatment of postmenopausal osteoporosis in patients at risk of vitamin d insufficiency.,yes,treatment of postmenopausal osteoporosis in patients at risk of vitamin d insufficiency.,"<osteoporosis, postmenopausal>",merck sharp & dohme ltd.,merck sharp & dohme,ema/628268/2009,alendronic acid / colecalciferol,yes,no,tablet,emea/h/c/001180,na
subcutaneous,05.01.2023,2023,authorised,EMA,approved,17.10.2024,2024,diseases of the blood and blood-forming organs,<hemophilia a>; <hemophilia b>,alhemo-epar-public-assessment-report_en.pdf,biologics,alhemo,routine prophylaxis to prevent or reduce the frequency of bleeding in patients with haemophilia a with fviii inhibitors ≥ 12 years of age and haemophilia b with fix inhibitors of any age.,no,routine prophylaxis to prevent or reduce the frequency of bleeding in patients with haemophilia a with fviii inhibitors ≥ 12 years of age and haemophilia b with fix inhibitors of any age.,<hemophilia a>; <hemophilia b>,novo nordisk a/s,novo nordisk,ema/511415/2024,concizumab,no,no,solution,emea/h/c/005938/0000,na
intravenous,,,authorised,EMA,approved,20.09.2004,2004,neoplasms; diseases of the respiratory system,<mesothelioma>,alimta-epar-scientific-discussion_en.pdf,small molecule,alimta,treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma,no,treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma,<mesothelioma>,eli lilly nederland b.v.,eli lilly,ema/000409/2004,pemetrexed disodium,no,no,powder,emea/h/c/000409,na
nasal,09.05.2008,2008,withdrawn,EMA,approved,06.10.2008,2008,diseases of the respiratory system,not reported,alisade-epar-public-assessment-report_en.pdf,small molecule,fluticasone furoate gsk,the symptoms of allergic rhinitis,yes,the symptoms of allergic rhinitis,"<rhinitis, allergic>",glaxo group limited,glaxo,,fluticasone furoate,yes,no,spray,emea/h/c/1019,na
oral,25.11.2016,2016,authorised,EMA,approved,14.12.2017,2017,"endocrine, nutritional, and metabolic diseases",<adrenal insufficiency>,alkindi-epar-public-assessment-report_en.pdf,small molecule,alkindi,"replacement therapy of adrenal insufficiency in infants, children and adolescents (from birth to < 18 years old).",yes,"alkindi is indicated in neonates, infants and children less than 6 years for use as replacement therapy in primary, secondary, or acute adrenal insufficiency.",<adrenal insufficiency>,diurnal ltd,diurnal,ema/4145/2018,hydrocortisone,yes,no,granules; capsule,emea/h/c/004416/0000,
intralesional,02.03.2016,2016,authorised,EMA,approved,14.12.2017,2017,diseases of the digestive system,<crohn disease>,alofisel-epar-public-assessment-report_en.pdf,cell and gene therapy,alofisel,"treatment of complex perianal fistula(s) in adult patients with non-active/mildly active luminal crohn’s disease, when fistula(s) have shown an inadequate response to at least one conventional or biologic therapy",no,"treatment of complex perianal fistula(s) in adult patients with non-active/mildly active luminal crohn’s disease, when fistula(s) have shown an inadequate response to at least one conventional or biologic therapy",<crohn disease>,"tigenix, s.a.u.",tigenix,ema/64055/2018,darvadstrocel,no,yes,suspension,emea/h/c/004258/0000,na
