Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
subcutaneous,02.06.2020,2020,authorised (under additional monitoring),Swissmedic,approved,29.03.2021,2021,"endocrine, nutritional, and metabolic diseases",<porphyrias>,2024-09-13_swisspar_givlaari_fi_engl-1.pdf,small molecule,givlaari,treatment of acute hepatic porphyria in adults and adolescents aged 12 years and older.,no,treatment of acute hepatic porphyria in adults and adolescents aged 12 years and older.,<porphyrias>,alnylam switzerland gmbh,alnylam,67895,givosiran,yes,yes,solution,,ema
subcutaneous,18.05.2020,2020,authorised,Swissmedic,approved,09.09.2021,2021,"endocrine, nutritional, and metabolic diseases; diseases of the circulatory system",<hypercholesterolemia>; <dyslipidemias>,2024-09-13_swisspar_leqvio_fi_engl.pdf,small molecule,leqvio,hypercholesterolaemia and mixed dyslipidaemia,no,"inclisiran is intended for use in adults with hypercholesterolaemia (including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia, as an adjunct to diet.",<hypercholesterolemia>; <dyslipidemias>,novartis pharma schweiz ag,novartis,67836,inclisiran,no,no,solution,,na
intramuscular,21.01.2021,2021,authorised (under additional monitoring),Swissmedic,approved,10.11.2021,2021,infectious and parasitic diseases,<ebola virus disease>,2024-09-16_swisspar_ervebo_fi_engl.pdf,vaccine,ervebo,active immunisation of individuals 18 years of age or older to protect against ebola virus disease (evd) caused by zaire ebola virus.,no,active immunisation of individuals 18 years of age or older to protect against ebola virus disease (evd) caused by zaire ebola virus.,<ebola virus disease>,msd merck sharp & dohme ag,merck sharp & dohme,68358,"ebola zaire vaccine (rvsv δg-zebov-gp, live)",yes,no,solution,emea/h/c/004554/0000,ema
autologous; intravenous,03.12.2021,2021,authorised (under additional monitoring),Swissmedic,approved,12.01.2023,2023,neoplasms; diseases of the blood and blood-forming organs,<b-cell precursor acute lymphoblastic leukemia>,2024-09-26_final_swisspar_tecartus_rrall_fi_engl.pdf,cell and gene therapy,tecartus,tecartus is indicated for the treatment of adult patients with relapsed or refractory b-cell precursor acute lymphoblastic leukaemia (all) after 2 or more systemic therapies.,yes,tecartus is indicated for the treatment of adult patients with relapsed or refractory b-cell precursor acute lymphoblastic leukaemia (all).,<b-cell precursor acute lymphoblastic leukemia>,gilead sciences switzerland sàrl,gilead,67884,brexucaptagene autoleucel,yes,yes,dispersion,,na
subcutaneous,14.04.2023,2023,authorised (under additional monitoring),Swissmedic,approved,29.07.2024,2024,infectious and parasitic diseases,<dengue>,2024-10-08_swisspar_qdenga_art_13_final_fi_engl.pdf,vaccine,qdenga,qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age.,no,qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age.,<arbovirus infections>,takeda pharma ag,takeda,69403,"live, attenuated dengue virus serotype 1; live, attenuated dengue virus serotype 2; live, attenuated dengue virus serotype 3; live, attenuated dengue virus serotype 4",yes,no,powder; solvent,emea/h/c/005155/0000,ema
autologous; intravenous,20.07.2020,2020,authorised,Swissmedic,approved,25.08.2021,2021,neoplasms; diseases of the blood and blood-forming organs,<mantle cell lymphoma>,2024-10-08_swisspar_tecartus_initiale_maa_nas_final_fi_engl.pdf,cell and gene therapy,tecartus,treatment of adult patients with relapsed or refractory mantle cell lymphoma (mcl) after 2 or more lines of systemic therapy including a bruton’s tyrosine kinase (btk) inhibitor.,no,treatment of adult patients with relapsed or refractory mantle cell lymphoma (mcl).,<mantle cell lymphoma>,gilead sciences switzerland sàrl,gilead,67884,brexucaptagene autoleucel,yes,yes,dispersion,,na
subcutaneous,27.06.2019,2019,withdrawn,Swissmedic,approved,31.05.2021,2021,diseases of the nervous system,<polyneuropathies>; <amyloidosis>,2024-10-08_swisspar_tegsedi_art13_final_fi_engl.pdf,other,tegsedi®,tegsedi is indicated for the treatment of stage 1 or stage 2 polyneuropathy in adult patients with hereditary transthyretin amyloidosis (hattr).,no,tegsedi is indicated for the treatment of stage 1 or stage 2 polyneuropathy in adult patients with hereditary transthyretin amyloidosis (hattr).,<polyneuropathies>; <amyloidosis>,"sfl pharma gmbh (now swedish orphan biovitrum ag, basel)",swedish orphan biovitrum,67451,inotersen,yes,yes,solution,,ema
intravenous,28.05.2020,2020,authorised (under additional monitoring),Swissmedic,approved,28.06.2021,2021,diseases of the nervous system; congenital malformations and chromosomal abnormalities,<spinal muscular atrophy>,2024-10-09_swisspar_zolgensma_final_fi_engl.pdf,cell and gene therapy,zolgensma,"patients with 5q spinal muscular atrophy (sma) with a bi-allelic mutation in the smn1 gene and a clinical diagnosis of sma type 1, or patients with 5q sma with a bi-allelic mutation in the smn1 gene and up to 3 copies of the smn2 gene.",no,"patients with 5q spinal muscular atrophy (sma) with a bi-allelic mutation in the smn1 gene and a clinical diagnosis of sma type 1, or patients with 5q sma with a bi-allelic mutation in the smn1 gene and up to 3 copies of the smn2 gene.",<spinal muscular atrophy>,novartis pharma schweiz ag,novartis,67529,onasemnogene abeparvovec,no,yes,solution,,na
intravenous,16.06.2021,2021,authorised,Swissmedic,approved,08.08.2022,2022,neoplasms; diseases of the blood and blood-forming organs,<multiple myeloma>,2024-11-22_final_swisspar_carvykti_nas_fi_engl.pdf,cell and gene therapy,carvykti,"treatment of adult patients with relapsed and refractory multiple myeloma who have received at least 3 prior therapies, with at least a proteasome inhibitor, an immunomodulatory agent, and an anti-cd38 antibody, and have demonstrated disease progression on the last therapy",no,"treatment of adult patients with relapsed or refractory multiple myeloma who have received at least 3 prior therapies, including a proteasome inhibitor, an immunomodulatory agent, and an anti-cd38 antibody",<multiple myeloma>,janssen-cilag ag,janssen-cilag,67956,ciltacabtagene autoleucel,yes,yes,dispersion,,na
intravenous,20.12.2023,2023,authorised (under additional monitoring),Swissmedic,conditional marketing authorisation,06.09.2024,2024,diseases of the blood and blood-forming organs,"<thalassemia>; <anemia, sickle cell>",2024-11-22_final_swisspar_casgevy_art_13_fi_engl_corr.pdf,cell and gene therapy,casgevy,β-thalassemia; sickle cell disease,no,β-thalassemia; sickle cell disease,"<thalassemia>; <anemia, sickle cell>",vertex pharmaceuticals (ch) gmbh,vertex,68978,exagamglogene autotemcel,yes,yes,dispersion,emea/h/c/005763/0000,ema
intramuscular,20.11.2023,2023,authorised (under additional monitoring),Swissmedic,approved,29.07.2024,2024,infectious and parasitic diseases,<ebola virus disease>,2024-12-10_final_swisspar_ervebo_ie_kinder_ab_1j_fi_engl.pdf,vaccine,ervebo,ervebo is indicated for active immunisation of individuals 1 year of age or older to protect against ebola virus disease (evd) caused by zaire ebola virus,yes,ervebo is indicated for active immunisation of individuals 1 year of age or older to protect against ebola virus disease (evd) caused by zaire ebola virus,<ebola virus disease>,msd merck sharp & dohme ag,merck sharp & dohme,68358,"rvsvdeltag-zebov-gp, live, attenuated",yes,,solution,emea/h/c/004554/ii/0025,ema
intravenous,15.03.2023,2023,authorised,Swissmedic,approved,07.12.2023,2023,diseases of the blood and blood-forming organs,<hemophilia b>,2024-12-13_hemgenix_swisspar_final_fi_engl.pdf,cell and gene therapy,hemgenix,treatment of male adults with severe/moderately severe haemophilia b (congenital factor ix deficiency) with a preexisting neutralising adeno-associated viral vector serotype 5 (aav5) antibody titre below 1:900 to reduce the frequency of bleeding episodes and the need for factor ix replacement therapy,no,treatment of adults with haemophilia b (congenital factor ix deficiency) with a preexisting neutralising adeno-associated viral vector serotype 5 (aav5) antibody titre below 1:900 to reduce the frequency of bleeding episodes and the need for factor ix replacement therapy,<hemophilia b>,csl behring ag,csl behring,68780,etranacogene dezaparvovec,no,yes,concentrate,,na
subcutaneous; intravenous,03.01.2019,2019,authorised (under additional monitoring),Swissmedic,approved,01.10.2019,2019,diseases of the blood and blood-forming organs,<thrombotic thrombocytopenic purpura>,66792-cablivi-01-swisspar-20191108.pdf,biologics,cablivi,"treatment of adults suffering from an episode of acquired thrombotic thrombocytopenic purpura (attp), in combination with plasmapheresis and immunosuppression.",no,"treatment of adults suffering from an episode of acquired thrombotic thrombocytopenic purpura (attp), in combination with plasmapheresis and immunosuppression.",<thrombotic thrombocytopenic purpura>,sanofi-aventis (suisse) sa,sanofi-aventis,66792,caplacizumabum,yes,yes,powder; solvent,,european medicines agency ema
intravenous,03.01.2019,2019,authorised (under additional monitoring),Swissmedic,approved,23.09.2019,2019,"endocrine, nutritional, and metabolic diseases; diseases of the nervous system",<transthyretin amyloidosis>,67304-onpattro-01-swisspar-20191113.pdf,small molecule,onpattro,onpattro is indicated for the treatment of hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy.,no,onpattro is indicated for the treatment of hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy.,<transthyretin amyloidosis>,alnylam switzerland gmbh,alnylam,67304,patisiran,yes,yes,concentrate,,european medicines agency (ema)
intravenous,08.03.2021,2021,withdrawn,Swissmedic,conditional marketing authorisation,20.06.2022,2022,neoplasms; diseases of the blood and blood-forming organs,<multiple myeloma>,assessment_report_swisspar_blenrep_final_mit_fi.pdf,biologics,blenrep,"monotherapy for the treatment of multiple myeloma in adult patients who have already received at least four prior therapy lines and whose disease is refractory to at least one proteasome inhibitor, one immunomodulatory agent and an anti-cd38 monoclonal antibody, and who demonstrated disease progression during the most recent therapy",no,"treatment of patients with relapsed/refractory multiple myeloma who have received at least four prior therapies including an anti-cd38 antibody, a proteasome inhibitor, and an immunomodulatory agent",<multiple myeloma>,glaxosmithkline ag,glaxosmithkline,67741,belantamab mafodotin,no,yes,powder,,na
oral,08.04.2019,2019,authorised,Swissmedic,approved,13.08.2020,2020,diseases of the genitourinary system,<urinary incontinence>; <overactive bladder>,assessment_report_swisspar_mictonorm_final.pdf,small molecule,mictonorm,symptomatic treatment of urinary incontinence and/or increased urinary frequency and urgency as may occur in patients with overactive bladder.,no,symptomatic treatment of aconuresis and/or higher frequency of micturition and imperative urge to urinate in patients with overactive bladder.,<overactive urinary bladder>,labatec pharma sa,labatec,67514,"propiverinum, propiverini hydrochloridum",yes,no,capsule,,na
intramuscular,01.07.2022,2022,authorised (under additional monitoring),Swissmedic,conditional marketing authorisation,02.09.2022,2022,infectious and parasitic diseases,<covid-19>,assessment_report_swisspar_nuvaxovid_g102682544.pdf,vaccine,nuvaxovid,nuvaxovid is indicated for active immunisation to prevent covid-19 caused by sars-cov-2 in individuals 12 years of age and older.,yes,nuvaxovid is indicated for active immunisation to prevent covid-19 caused by sars-cov-2 in individuals 12 years of age and older.,<covid-19>,future health pharma gmbh,future health,68473,sars cov-2 recombinant spike protein (rs nvx-cov2373),yes,no,dispersion,,na
nasal,03.07.2020,2020,authorised (under additional monitoring),Swissmedic,approved,27.08.2021,2021,mental and behavioural disorders,<major depressive disorder>,assessment_report_swisspar_spravato_g102620850.pdf,small molecule,spravato,spravato in combination with an oral antidepressant therapy is indicated as acute short-term treatment for the rapid reduction of depressive symptoms in adult patients with a severe episode of major depression (without psychotic symptoms) when the symptoms are classified as a psychiatric emergency according to clinical evaluation.,yes,"spravato is indicated, in conjunction with oral antidepressant therapy, for the rapid reduction of depressive symptoms in adult patients with severe major depressive disorder for whom urgent symptom control is necessary.",<major depressive disorder>,janssen-cilag ag,janssen-cilag,67103,esketamine as esketamine hydrochloride,yes,no,solution,,na
intravenous,25.01.2021,2021,authorised,Swissmedic,approved,09.09.2021,2021,neoplasms,<breast neoplasms>,assessment_report_swisspar_trodelvy_g102639433.pdf,biologics,trodelvy,"trodelvy is indicated for the treatment of adult patients with unresectable locally advanced or metastatic triple-negative breast cancer (mtnbc) who have received at least two prior therapies, at least one of them for metastatic disease.",no,trodelvy is indicated for the treatment of adult patients with unresectable locally advanced or metastatic triple-negative breast cancer (mtnbc) who have received at least two prior therapies.,<breast neoplasms>,gilead sciences switzerland sàrl,gilead,68179,sacituzumab govitecan,yes,no,powder,,fda
intravenous,04.12.2019,2019,authorised,Swissmedic,approved,01.07.2021,2021,infectious and parasitic diseases,"<urinary tract infections>; <pyelonephritis>; <intraabdominal infections>; <pneumonia, hospital-acquired>; <pneumonia, ventilator-associated>; <bacteremia>",assessment_report_swisspar_vaborem_final.pdf,small molecule,vaborem,"complicated urinary tract infection (cuti), including pyelonephritis; complicated intra-abdominal infection (ciai); hospital-acquired pneumonia (hap), including ventilator-associated pneumonia (vap); treatment of patients with bacteraemia associated with these infections.",no,"complicated urinary tract infection (cuti), including pyelonephritis; complicated intra-abdominal infection (ciai); hospital-acquired pneumonia (hap), including ventilator-associated pneumonia (vap); treatment of patients with bacteraemia associated with these infections; infections due to aerobic gram-negative organisms in adults with limited treatment options.","<urinary tract infections>; <pyelonephritis>; <intraabdominal infections>; <pneumonia, hospital-acquired>; <pneumonia, ventilator-associated>; <bacteremia>",a. menarini ag,menarini,67797,"meropenem trihydrate, vaborbactam",yes,no,powder,,european medicines agency (ema)
oral,04.10.2021,2021,authorised,Swissmedic,approved,06.04.2023,2023,"endocrine, nutritional, and metabolic diseases; diseases of the nervous system; diseases of the circulatory system",<polyneuropathies>; <cardiovascular diseases>; <diabetes mellitus>,swiss_public_assessment_report__milgamma.pdf,small molecule,milgamma,"treatment of disorders responding to administration of vitamin b1, such as: treatment and prophylaxis of vitamin b1 deficiency that cannot be corrected by dietary means; treatment of neurological disorders associated with vitamin b1 deficiency, such as alcoholic or diabetic polyneuropathy, which can manifest as sensory disturbances (e.g. pain, tingling, numbness) in the extremities; treatment of cardiovascular disease associated with vitamin b1 deficiency in people with diabetes mellitus.",no,"treatment of conditions that are responsive to vitamin b1 administration, such as treatment and prophylaxis of vitamin b1 deficiency conditions, if they cannot be solved by dietary means. treatment of neurological disorders associated with vitamin b1 deficiency, such as alcoholic or diabetic polyneuropathy, which can manifest in sensory impairments (e.g. pain, tingling, numbness) in the extremities. treatment of cardiovascular disorders associated with vitamin b1 deficiency in diabetic patients.",<polyneuropathies>,maras ag,maras,68695,benfotiamine,yes,no,tablet,,na
oral,22.01.2019,2019,authorised (under additional monitoring),Swissmedic,approved,28.07.2020,2020,"endocrine, nutritional, and metabolic diseases",<hyperammonemia>; <isovaleric acidemia>; <methylmalonic acidemia>; <propionic acidemia>,swisspar-carbaglu-final.pdf,small molecule,carbaglu,hyperammonaemia due to n-acetylglutamate synthase primary deficiency; hyperammonaemia due to isovaleric acidaemia; hyperammonaemia due to methymalonic acidaemia; hyperammonaemia due to propionic acidaemia,no,hyperammonaemia due to a primary deficiency of n-acetylglutamate synthase; hyperammonaemia due to isovaleric acidaemia; hyperammonaemia due to methylmalonic acidaemia; hyperammonaemia due to propionic acidaemia,<hyperammonemia>; <isovaleric acidemia>; <methylmalonic acidemia>; <propionic acidemia>,recordati ag,recordati,67376,acidum carglumicum,yes,yes,tablet,,"ema, fda, and tga"
oral,27.11.2020,2020,authorised (under additional monitoring),Swissmedic,approved,07.10.2021,2021,neoplasms; diseases of the digestive system,<stromal tumor>,swisspar-qinlock.pdf,small molecule,qinlock,"treatment of adult patients with advanced gastrointestinal stromal tumor (gist) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",no,"treatment of adult patients with advanced gastrointestinal stromal tumors (gist) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",<stromal tumors>,deciphera pharmaceuticals,deciphera,68199,ripretinib,yes,yes,tablet,,fda
intravenous,03.05.2023,2023,authorised (under additional monitoring),Swissmedic,approved,03.10.2024,2024,diseases of the nervous system,<myasthenia gravis>,swisspar-vyvgart.pdf,biologics,vyvgart,vyvgart is indicated as an add-on to standard therapy for the treatment of adult patients with generalised myasthenia gravis (gmg) who are anti-acetylcholine receptor (achr) antibody positive.,no,vyvgart is indicated as an add-on to standard therapy for the treatment of adult patients with generalised myasthenia gravis (gmg) who are anti-acetylcholine receptor (achr) antibody positive.,<myasthenia gravis>,argenx switzerland sa,argenx,69286,efgartigimod alfa,yes,yes,concentrate,emea/h/c/005849/0000,european medicines agency (ema)
oral,15.04.2019,2019,authorised,Swissmedic,approved,05.03.2020,2020,diseases of the circulatory system,<transthyretin amyloidosis>,swisspar_-vyndaqel_-final.pdf,small molecule,vyndaqel,treatment of transthyretin amyloidosis in adult patients with wild-type or hereditary cardiomyopathy to reduce all-cause mortality and cardiovascular-related hospitalisation,no,treatment of transthyretin amyloidosis in adult patients with wild-type or hereditary cardiomyopathy to reduce all-cause mortality and cardiovascular-related hospitalisation,<transthyretin amyloidosis>,pfizer ag,pfizer,67083,tafamidis,no,yes,capsule,emea/h/c/002294,na
intramuscular,01.12.2023,2023,authorised (under additional monitoring),Swissmedic,approved,23.08.2024,2024,infectious and parasitic diseases; diseases of the respiratory system,<respiratory tract infections>,swisspar_abrysvo-1.pdf,vaccine,abrysvo,passive protection against lower respiratory tract disease caused by rsv in infants from birth to 6 months of age following immunisation of pregnant individuals at 32 to 36 weeks gestational age; active immunisation of individuals 60 years of age and older for the prevention of lower respiratory tract disease caused by rsv.,no,passive protection against lower respiratory tract disease caused by rsv in infants from birth to 6 months of age following maternal immunisation during pregnancy; active immunisation of individuals 60 years of age and older for the prevention of lower respiratory tract disease caused by rsv.,<respiratory tract diseases>,pfizer ag,pfizer,69691,"rsv subgroup a stabilised prefusion f antigen, rsv subgroup b stabilised prefusion f antigen",yes,no,powder; solvent,emea/h/c/006027/0000,european medicines agency (ema)
subcutaneous,22.01.2021,2021,authorised,Swissmedic,approved,24.02.2022,2022,diseases of the skin,"<dermatitis, atopic>",swisspar_adtralza_final.pdf,biologics,adtralza,treatment of adult patients with moderate-to-severe atopic dermatitis (ad) when therapy with topical prescription medications does not provide adequate disease control or is not recommended,no,treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,"<dermatitis, atopic>",leo pharmaceutical products sarath,leo,68229,tralokinumab,no,no,solution,,na
cutaneous,01.07.2019,2019,authorised (under additional monitoring),Swissmedic,approved,16.12.2020,2020,diseases of the skin,<acne vulgaris>,swisspar_aklief.pdf,small molecule,aklief,"aklief is indicated for the topical treatment of moderate acne vulgaris on the face and/or torso in patients aged 12 and over, if more than half the surface is affected, in the presence of numerous comedones, papules and pustules.",no,"aklief is indicated for the cutaneous treatment of acne vulgaris of the face and/or trunk in patients from 9 years of age and older, when many comedones, papules and pustules are present.",<acne vulgaris>,galderma sa,galderma,67632,trifarotene,no,no,cream,,na
subcutaneous,26.08.2022,2022,authorised (under additional monitoring),Swissmedic,approved,08.08.2023,2023,diseases of the blood and blood-forming organs,<hemophilia b>,swisspar_alhemol.pdf,biologics,alhemo,concizumab is indicated for the treatment of adolescent and adult patients (12 years of age or older) with haemophilia b (congenital factor ix [fix] deficiency) who have fix inhibitors and require routine prophylaxis to prevent or reduce the frequency of bleeding episodes.,no,routine prophylaxis to prevent or reduce the frequency of bleeding episodes in patients from 12 years with haemophilia b (congenital factor ix [fix] deficiency) with fix inhibitors.,<hemophilia b>,novo nordisk pharma ag,novo nordisk,68844,concizumab,no,yes,solution,,na
intravenous,16.06.2023,2023,authorised (under additional monitoring),Swissmedic,approved,02.09.2024,2024,diseases of the blood and blood-forming organs,<hemophilia a>,swisspar_altuvoct.pdf,biologics,altuvoct,altuvoct is indicated for the treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency). altuvoct can be used for all age groups.,no,altuvoct is indicated for the treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency). altuvoct can be used for all age groups.,<hemophilia a>,swedish orphan biovitrum ag,swedish orphan biovitrum,69436,efanesoctocog alfa,yes,yes,powder; solvent,,fda
