Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,DRUG_CODE
oral,01.02.2021,2021.0,authorised (under additional monitoring),TGA,approved,2022-05-25,2022,neoplasms,<breast neoplasms>,auspar-verzenio-221116.pdf,small molecule,verzenio,"adjuvant treatment of patients with hormone receptor (hr) positive, human epidermal growth factor receptor 2 (her2) negative, node-positive early breast cancer at high risk of recurrence.",yes,"adjuvant treatment of patients with hormone receptor (hr) positive, human epidermal growth factor receptor 2 (her2) negative, node-positive early breast cancer at high risk of recurrence.",<breast neoplasms>,eli lilly australia pty ltd,eli lilly,"304764, 304765, 304766 and 304767",abemaciclib,no,no,tablet,pm-2020-06568-1-4,na,
oral,17.12.2010,2010.0,authorised,EMA,approved,2011-07-21,2011,neoplasms,<prostatic neoplasms>,zytiga-epar-public-assessment-report_en.pdf,small molecule,zytiga,zytiga is indicated with prednisone or prednisolone for the treatment of metastatic castration resistant prostate cancer in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,no,zytiga is indicated with prednisone or prednisolone for the treatment of metastatic advanced prostate cancer (castration resistant prostate cancer) in adult patients who have received prior chemotherapy containing a taxane.,<prostatic neoplasms>,janssen-cilag international n.v.,janssen-cilag,ema/chmp/542871/2011,abiraterone,no,no,tablet,emea/h/c/002321,na,
oral,12.09.2019,2019.0,authorised,EMA,approved,2021-02-25,2021,neoplasms,<prostatic neoplasms>,abiraterone-accord-epar-public-assessment-report_en.pdf,small molecule,abiraterone accord,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,no,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,<prostatic neoplasms>,accord healthcare s.l.u.,accord,ema/174959/2021,abiraterone acetate,yes,no,tablet,emea/h/c/005408/0000,,
oral,,,authorised,TGA,approved,2012-02-27,2012,neoplasms,<prostatic neoplasms>,auspar-abiraterone-acetate-121004-1.pdf,small molecule,zytiga,treatment of metastatic advanced prostate cancer (castration resistant prostatic cancer [mcrpc]) in patients who have received prior chemotherapy containing a taxane,no,treatment of metastatic castration resistant prostatic cancer (mcrpc) after failure of taxane chemotherapy,<prostatic neoplasms>,janssen-cilag pty ltd,janssen-cilag,aust r 180314,abiraterone acetate,no,no,tablet,pm-2010-03604-3-4,na,
oral,02.11.2020,2020.0,authorised,TGA,approved,2022-03-24,2022,neoplasms,<prostatic neoplasms>,auspar-yonsa-mpred-240801.pdf,small molecule,yonsa mpred,"treatment of patients with newly diagnosed high-risk metastatic hormone sensitive prostate cancer (mhspc) in combination with androgen deprivation therapy (adt), or patients with metastatic advanced prostate cancer (castration resistant prostate cancer, mcrpc) who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy (adt) or patients with mcrpc who have received prior chemotherapy containing a taxane.",no,"treatment of patients with newly diagnosed high-risk metastatic hormone sensitive prostate cancer (mhspc) in combination with androgen deprivation therapy (adt), or patients with metastatic advanced prostate cancer (castration resistant prostate cancer, mcrpc) who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy (adt) or patients with mcrpc who have received prior chemotherapy containing a taxane.",<prostatic neoplasms>,sun pharma anz pty ltd,sun,346890,abiraterone acetate and methylprednisolone,yes,no,tablet,pm-2020-04869-1-4,,
oral,28.08.2020,2020.0,authorised,EMA,approved,2021-10-14,2021,diseases of the skin,"<dermatitis, atopic>",cibinqo-epar-public-assessment-report_en.pdf,small molecule,cibinqo,moderate-to-severe atopic dermatitis in adults and adolescents 12 years and older who are candidates for systemic therapy,no,moderate-to-severe atopic dermatitis in adults and adolescents 12 years and older who are candidates for systemic therapy,"<dermatitis, atopic>",pfizer europe ma eeig,pfizer,ema/647846/2021,abrocitinib,no,no,tablet,emea/h/c/005452/0000,na,
oral,03.11.2020,2020.0,authorised,Swissmedic,approved,2022-04-05,2022,diseases of the skin,"<dermatitis, atopic>",swisspar_cibinqo_final.pdf,small molecule,cibinqo,treatment of moderate to severe atopic dermatitis in adults when therapy with topical medications does not provide adequate disease control or cannot be used,no,moderate to severe atopic dermatitis in adults and patients 12 years of age and older who are candidates for systemic therapy,"<dermatitis, atopic>",pfizer ag,pfizer,68174,abrocitinib,yes,no,tablet,,,
oral,,,authorised,TGA,approved,2024-07-24,2024,diseases of the skin,"<dermatitis, atopic>",auspar-cibinqo-240724.pdf,small molecule,cibinqo,treatment of moderate-to-severe atopic dermatitis in adults who are candidates for systemic therapy.,no,"treatment of patients 12 years and older with moderate-to-severe atopic dermatitis, including the relief of pruritus, who have had an inadequate response to prescribed topical therapy or for whom these treatments are not advisable.","<dermatitis, atopic>",pfizer australia pty ltd,pfizer,,abrocitinib,no,no,tablet,pm-2020-05286-1-1,na,
oral,14.10.2019,2019.0,authorised,EMA,approved,2020-07-23,2020,neoplasms; diseases of the blood and blood-forming organs,"<leukemia, lymphocytic, chronic, b-cell>; <lymphoma, small lymphocytic>",calquence-epar-public-assessment-report_en.pdf,small molecule,calquence,treatment of adult patients with chronic lymphocytic leukaemia (cll)/small lymphocytic lymphoma (sll),no,treatment of adult patients with chronic lymphocytic leukaemia (cll)/small lymphocytic lymphoma (sll),"<leukemia, lymphocytic, chronic, b-cell>; <lymphoma, small lymphocytic>",astrazeneca ab,astrazeneca,ema/458179/2020,acalabrutinib,no,no,capsule,emea/h/c/005299/0000,na,
oral,29.11.2019,2019.0,authorised,Swissmedic,approved,2021-03-04,2021,neoplasms; diseases of the blood and blood-forming organs,"<leukemia, lymphocytic, chronic, b-cell>",swisspar_calquence_final.pdf,small molecule,calquence,calquence monotherapy or in combination with obinutuzumab is indicated for the treatment of adult patients with previously untreated chronic lymphocytic leukaemia (cll) who are 65 years and older or have comorbidities.,no,calquence is indicated for the treatment of patients with chronic lymphocytic leukaemia (cll) or small lymphocytic lymphoma (sll).,"<leukemia, lymphocytic, chronic, b-cell>; <lymphoma, small lymphocytic>",astrazeneca ag,astrazeneca,67790,acalabrutinib,yes,yes,capsule,,fda and chmp,
oral,12.08.2019,2019.0,authorised (under additional monitoring),TGA,approved,2019-11-21,2019,neoplasms; diseases of the blood and blood-forming organs,<mantle cell lymphoma>,auspar-acalabrutinib-200217.pdf,small molecule,calquence,treatment of patients with mantle cell lymphoma who have received at least one prior therapy.,no,treatment of patients with mantle cell lymphoma who have received at least one prior therapy.,<mantle cell lymphoma>,astrazeneca pty ltd,astrazeneca,321419,acalabrutinib,no,yes,capsule,pm-2019-03536-1-6,na,
oral,27.05.2019,2019.0,authorised,Swissmedic,approved,2020-12-14,2020,"endocrine, nutritional, and metabolic diseases; diseases of the circulatory system",<atherosclerosis>; <hypercholesterolemia>,swisspar_nilemdo_final.pdf,small molecule,nilemdo,nilemdo is indicated as an adjunct to diet and in combination with the maximum tolerated dose of a statin with or without other lipid-lowering therapies for the treatment of adults with clinical manifestations of atherosclerotic cardiovascular disease or heterozygous familial hypercholesterolaemia who need additional ldl-c lowering.,no,"nilemdo is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) as an adjunct to diet: in combination with a statin or statin with other lipid-lowering therapies in patients unable to reach ldl-c goals with the maximum tolerated dose of a statin or, alone or in combination with other lipid-lowering therapies in patients who are statin-intolerant, or for whom a statin is contraindicated.",<hypercholesterolemia>,pharmacontext gmbh,pharmacontext,67583,acidum bempedoicum,no,no,tablet,,na,
oral,22.01.2019,2019.0,authorised (under additional monitoring),Swissmedic,approved,2020-07-28,2020,"endocrine, nutritional, and metabolic diseases",<hyperammonemia>; <isovaleric acidemia>; <methylmalonic acidemia>; <propionic acidemia>,swisspar-carbaglu-final.pdf,small molecule,carbaglu,hyperammonaemia due to n-acetylglutamate synthase primary deficiency; hyperammonaemia due to isovaleric acidaemia; hyperammonaemia due to methymalonic acidaemia; hyperammonaemia due to propionic acidaemia,no,hyperammonaemia due to a primary deficiency of n-acetylglutamate synthase; hyperammonaemia due to isovaleric acidaemia; hyperammonaemia due to methylmalonic acidaemia; hyperammonaemia due to propionic acidaemia,<hyperammonemia>; <isovaleric acidemia>; <methylmalonic acidemia>; <propionic acidemia>,recordati ag,recordati,67376,acidum carglumicum,yes,yes,tablet,,"ema, fda, and tga",
inhalation,26.01.2012,2012.0,authorised,EMA,approved,2012-05-24,2012,diseases of the respiratory system,<chronic obstructive pulmonary disease>,bretaris-genuair-epar-public-assessment-report_en.pdf,small molecule,bretaris genuair,maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (copd),no,maintenance bronchodilator treatment to relieve symptoms of patients with chronic obstructive pulmonary disease (copd),"<pulmonary disease, chronic obstructive>","almirall, s.a.",almirall,ema/chmp/303918/2012,aclidinium bromide,no,no,powder,emea/h/c/002706,na,
inhalation,,,authorised,TGA,approved,2014-03-18,2014,diseases of the respiratory system,<chronic obstructive pulmonary disease>,auspar-aclidinium-bromide-140908.pdf,small molecule,bretaris genuair,long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (copd).,no,long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (copd).,<chronic obstructive pulmonary disease>,a menarini australia pty ltd,menarini,206071,aclidinium bromide,no,no,powder,pm-2012-04170-1-5,na,
inhalation,05.02.2014,2014.0,authorised,EMA,approved,2014-09-25,2014,diseases of the respiratory system,<chronic obstructive pulmonary disease>,brimica-genuair-epar-public-assessment-report_en.pdf,small molecule,brimica genuair,maintenance bronchodilator treatment for airflow obstruction and relief of symptoms in adult patients with chronic obstructive pulmonary disease (copd).,no,maintenance bronchodilator treatment for airflow obstruction and relief of symptoms in adult patients with chronic obstructive pulmonary disease (copd).,<chronic obstructive pulmonary disease>,almirall s.a,almirall,ema/717942/2014,aclidinium bromide/formoterol fumarate dihydrate,no,no,powder,emea/h/c/003969/0000,na,
oral,07.01.2024,2024.0,authorised,EMA,approved,2024-12-12,2024,diseases of the circulatory system,<transthyretin amyloidosis>; <cardiomyopathy>,beyonttra-epar-public-assessment-report_en.pdf,small molecule,beyonttra,treatment of wild-type or variant transthyretin amyloidosis in adult patients with cardiomyopathy (attr-cm),no,treatment of wild-type or variant transthyretin amyloidosis in adult patients with cardiomyopathy (attr-cm),<transthyretin amyloidosis>,bridgebio europe b.v.,bridgebio,ema/66885/2025,acoramidis,no,no,tablet,emea/h/c/006333/0000,na,
intravenous,,,authorised,EMA,approved,1996-02-23,1996,diseases of the blood and blood-forming organs,<hemophilia>,novoseven-epar-scientific-discussion_en.pdf,biologics,novoseven,treatment of bleeding episodes and surgery in patients with inherited or acquired haemophilia with inhibitors to coagulation factors (fviii or fix),yes,serious bleeding events and surgery in patients with inhibitors to coagulation factor viii or factor ix,<factor viii deficiency>; <factor ix deficiency>,novo nordisk a/s,novo nordisk,,activated recombinant dna human coagulation factor vii (rfviia),no,,lyophilisate,,na,
intramuscular,15.02.2021,2021.0,withdrawn,EMA,approved,2021-03-11,2021,infectious and parasitic diseases,<covid-19>,covid-19-vaccine-janssen-epar-public-assessment-report_en.pdf,vaccine,covid-19 vaccine janssen,covid-19 vaccine janssen is indicated for active immunisation for the prevention of coronavirus disease-2019 (covid-19) in adults greater than or equal to 18 years of age.,no,covid-19 vaccine janssen is indicated for active immunisation for the prevention of coronavirus disease-2019 (covid-19) in adults greater than or equal to 18 years of age.,<covid-19>,janssen-cilag international nv,janssen-cilag,ema/158424/2021,ad26.cov2.s,no,no,suspension,emea/h/c/005737/0000,na,
oral,28.04.2022,2022.0,authorised (under additional monitoring),EMA,approved,2023-11-09,2023,neoplasms; diseases of the respiratory system,<non-small-cell lung carcinoma>,krazati-epar-public-assessment-report_en.pdf,small molecule,krazati,"krazati as monotherapy is indicated for the treatment of adult patients with advanced non-small cell lung cancer (nsclc) with kras g12c mutation, who have received at least one prior systemic therapy.",no,"krazati as monotherapy is indicated for the treatment of adult patients with advanced non-small cell lung cancer (nsclc) with kras g12c mutation, who have received at least one prior systemic therapy.",<non-small cell lung cancer>,mirati therapeutics b.v.,mirati,ema/552099/2023,adagrasib,no,no,tablet,emea/h/c/006013/0000,na,
subcutaneous,03.12.2015,2015.0,authorised,EMA,approved,2017-01-26,2017,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the digestive system; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",amgevita-epar-public-assessment-report_en.pdf,biologics,amgevita,rheumatoid arthritis; juvenile idiopathic arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",amgen europe b.v.,amgen,ema/106922/2017,adalimumab,no,no,solution,emea/h/c/004212/0000,na,
subcutaneous,,,authorised,TGA,approved,2013-07-16,2013,diseases of the digestive system,<ulcerative colitis>,auspar-adalimumab-131025.pdf,biologics,humira,treatment of moderate to severe ulcerative colitis in adult patients who have had an inadequate response to conventional therapy or who are intolerant to or have medical contraindications for such therapies.,yes,treatment of moderate to severe ulcerative colitis in patients who have had an inadequate response to conventional therapy or who are intolerant to or have medical contraindications for such therapies.,<ulcerative colitis>,abbvie pty ltd,abbvie,"95779, 95780, 127116, 155315, 199410, 199411, 199412",adalimumab,yes,no,solution,pm-2012-01954-3-1,,
oral,,,authorised,TGA,approved,2010-04-29,2010,infectious and parasitic diseases,<chronic hepatitis b>,auspar-hepsera.pdf,small molecule,hepsera,treatment of chronic hepatitis b in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases or histologically active disease.,yes,treatment of chronic hepatitis b in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases or histologically active disease.,<chronic hepatitis b>,gilead sciences pty ltd,gilead,96916,adefovir dipivoxil,yes,no,tablet,pm-2009-00296-3-2,,
intramuscular,01.12.2020,2020.0,authorised (under additional monitoring),TGA,approved,2021-06-25,2021,infectious and parasitic diseases,<covid-19>,auspar-ad26-cov2-s-210625.pdf,vaccine,covid-19 vaccine janssen,active immunisation to prevent covid-19 caused by sars-cov-2 in individuals 18 years of age and older.,no,active immunisation for the prevention of coronavirus disease-2019 (covid-19) in adults greater than or equal to 18 years of age.,<coronavirus infections>,janssen-cilag pty ltd,janssen-cilag,350150,adenovirus serotype 26 encoding the sars-cov-2 spike glycoprotein,no,no,suspension,pm-2020-06173-1-2,na,
subcutaneous,03.02.2012,2012.0,authorised,EMA,approved,2014-10-23,2014,diseases of the blood and blood-forming organs; diseases of the skin,<erythropoietic protoporphyria>,scenesse-epar-public-assessment-report_en.pdf,peptides and proteins,scenesse,prevention of phototoxicity in adult patients with erythropoietic protoporphyria (epp),no,prevention of phototoxicity in adult patients with erythropoietic protoporphyria (epp),<erythropoietic protoporphyria>,clinuvel (uk) limited,clinuvel,ema/709396/2014,afamelanotide,no,yes,implant,emea/h/c/002548/0000,na,
subcutaneous,31.01.2020,2020.0,authorised (under additional monitoring),TGA,approved,2020-10-22,2020,diseases of the blood and blood-forming organs; diseases of the skin,<erythropoietic protoporphyria>,auspar-afamelanotide-210311.pdf,peptides and proteins,scenesse,prevention of phototoxicity in adult patients with erythropoietic protoporphyria (epp),no,prevention of phototoxicity in adult patients with erythropoietic protoporphyria (epp),<erythropoietic protoporphyria>,clinuvel pharmaceuticals ltd,clinuvel,327947,afamelanotide,no,yes,implant,pm-2019-05977-1-6,na,
oral,28.08.2012,2012.0,authorised,EMA,approved,2013-07-25,2013,neoplasms; diseases of the respiratory system,<non-small cell lung carcinoma>,giotrif-epar-public-assessment-report_en.pdf,small molecule,giotrif,treatment of epidermal growth factor receptor (egfr) tki-naïve adult patients with locally advanced or metastatic non-small cell lung cancer (nsclc) with activating egfr mutation(s),no,treatment of patients with locally advanced or metastatic non-small cell lung cancer (nsclc) with epidermal growth factor receptor (egfr) mutation(s),<non-small cell lung carcinoma>,boehringer ingelheim international gmbh,boehringer ingelheim,ema/491185/2013,afatinib,no,no,tablet,emea/h/c/002280,na,
oral,,2012.0,authorised,TGA,approved,2013-11-01,2013,neoplasms; diseases of the respiratory system,<lung neoplasms>,auspar-afatinib-dimaleate-140414.pdf,small molecule,giotrif,"as monotherapy for the treatment of patients with advanced or metastatic non-squamous non-small cell carcinoma of the lung, either as first line therapy or after failure of cytotoxic chemotherapy. tumours must have epidermal growth factor receptor (egfr) exon 19 deletions or l858r substitution mutations.",no,for the treatment of patients with locally advanced or metastatic non-small cell lung cancer (nsclc) with epidermal growth factor receptor (egfr) mutation(s).,<lung neoplasms>,boehringer ingelheim pty ltd,boehringer ingelheim,"201314 (20 mg), 201318 (30 mg), 201315 (40 mg), 201320 (50 mg)",afatinib,no,no,tablet,pm-2012-02708-3-4,na,
intravitreal,31.05.2011,2011.0,authorised,EMA,approved,2012-09-20,2012,diseases of the eye and adnexa,<macular degeneration>,eylea-epar-public-assessment-report_en.pdf,biologics,eylea,treatment of neovascular (wet) age-related macular degeneration (amd),no,treatment of neovascular (wet) age-related macular degeneration (amd),<macular degeneration>,bayer pharma ag,bayer,ema/646256/2012,aflibercept,no,no,solution,emea/h/c/002392,na,
intravitreal,,,authorised,TGA,approved,2012-02-17,2012,diseases of the eye and adnexa,<macular degeneration>,auspar-aflibercept-120730.pdf,biologics,eylea,treatment of neovascular (wet) age-related macular degeneration (amd),no,treatment of neovascular (wet) age-related macular degeneration (amd),<macular degeneration>,bayer australia limited,bayer,aust r 180859 and aust r 180860,aflibercept,no,no,solution,pm-2010-03802-3-5,na,
intravenous,,,authorised,EMA,approved,,2001,"endocrine, nutritional, and metabolic diseases; diseases of the nervous system; diseases of the circulatory system; diseases of the genitourinary system",<fabry disease>,replagal-epar-scientific-discussion_en.pdf,biologics,replagal,long-term enzyme replacement therapy in patients with fabry disease,no,long-term enzyme replacement therapy in patients with fabry disease,<fabry disease>,,not reported,ema/000180/2001,agalsidase alfa,no,yes,concentrate,emea/h/c/000180,na,
intravenous,,,authorised,TGA,approved,2010-05-07,2010,"endocrine, nutritional, and metabolic diseases",<fabry disease>,auspar-replagal.pdf,biologics,replagal,long-term enzyme replacement therapy of patients with fabry disease (α-galactosidase a deficiency),no,long-term enzyme replacement therapy of patients with fabry disease (α-galactosidase a deficiency),<fabry disease>,shire australia pty limited,shire,82818,agalsidase alfa ghu,no,no,solution,pm-2009-01140-3-3,na,
oral,06.09.2007,2007.0,withdrawn,EMA,approved,2008-11-20,2008,mental and behavioural disorders,"<depressive disorder, major>",thymanax-epar-public-assessment-report_en.pdf,small molecule,thymanax,treatment of major depressive episodes in adults,no,treatment of major depressive disorder in adults,<major depressive disorder>,servier (ireland) industries ltd,servier,ema/97539/2009,agomelatine,no,no,tablet,emea/h/c/000916,na,
oral,,,authorised,TGA,approved,2010-08-05,2010,mental and behavioural disorders,"<depressive disorder, major>",auspar-valdoxan.pdf,small molecule,valdoxan,the treatment of major depression in adults including prevention of relapse.,no,the treatment of major depression in adults including prevention of relapse.,"<depressive disorder, major>",servier laboratories (australia) pty ltd,servier,159712,agomelatine,yes,no,tablet,pm-2009-00483-3-3,,
subcutaneous,07.03.2013,2013.0,withdrawn,EMA,approved,2014-01-23,2014,"endocrine, nutritional, and metabolic diseases",<type 2 diabetes mellitus>,eperzan-epar-public-assessment-report_en.pdf,peptides and proteins,eperzan,"treatment of type 2 diabetes mellitus in adults, as an adjunct to diet and exercise to improve glycaemic control",no,"treatment of type 2 diabetes mellitus in adults, as an adjunct to diet and exercise to improve glycaemic control",<type 2 diabetes mellitus>,glaxosmithkline trading services limited,glaxosmithkline,ema/177464/2014,albiglutide,no,no,powder; solvent,emea/h/c/002735/0000,na,
intravenous,,,authorised,TGA,approved,2015-07-15,2015,diseases of the circulatory system,not reported,auspar-albumin-human-170502.pdf,biologics,"albunate 5, albunate 20 and albunate 25",restoration and maintenance of circulating blood volume where volume deficiency has been demonstrated and use of a colloid is appropriate,no,restoration and maintenance of circulating blood volume where volume deficiency has been demonstrated and use of a colloid is appropriate,not reported,csl limited,csl,"223744, 223741, 223739, 223743, 223740, 223742",albumin,yes,no,solution,pm-2014-01051-1-5,,
intravenous,09.03.2015,2015.0,authorised,EMA,approved,2016-02-25,2016,diseases of the blood and blood-forming organs,<hemophilia b>,idelvion-epar-public-assessment-report_en.pdf,biologics,idelvion,treatment and prophylaxis of bleeding in patients with haemophilia b (congenital factor ix deficiency).,no,prophylaxis and treatment of bleeding in all patients with haemophilia b (congenital factor ix deficiency) including control and prevention of bleeding in surgical settings.,<hemophilia b>,csl behring gmbh,csl behring,ema/213825/2016,albutrepenonacog alfa,no,yes,lyophilisate,emea/h/c/003955/0000,na,
